MOF	CO2_mass	CO2_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	CO2_comp	O2_comp	N2_comp
AMIMAL	0.0137623618	0.0180191613	4.1787107541	0.2800080229	15.6951960929	0.7000642052	19.887669208800002	0.9980913894	1e-06	0.1666665	0.8333325
AMIMAL	0.0196605169	0.015228970900000001	5.1073925795	0.2505039252	15.605069353800001	1.5824626340999999	20.7321224502	1.8481955302000002	1e-06	0.19999979999999998	0.7999991999999999
AMIMAL	0.012779336	0.0220688754	6.356358822000001	0.3779056899	14.4446875873	0.7093119179	20.8138257453	1.1092864832	1e-06	0.24999975	0.74999925
AMIMAL	0.1386066439	0.0441377509	4.3324186775	0.1325980131	15.5506177822	0.7091904098999999	20.0216431036	0.8859261739000001	1e-05	0.166665	0.8333250000000001
AMIMAL	0.1199291528	0.047185240499999996	5.0373303633	0.34206988409999994	15.779689910799998	1.0806584919	20.9369494269	1.4699136165	1e-05	0.199998	0.799992
AMIMAL	0.18185978100000003	0.1045895149	6.226958198099999	0.3293914597	14.6005317404	1.8723195546	21.0093497195	2.3063005292	1e-05	0.24999749999999998	0.7499925000000001
AMIMAL	1.4430819375	0.5815526385	4.0464504479	0.26330050120000004	15.5293378577	1.116578577	21.0188702431	1.9614317167	0.0001	0.16665	0.8332499999999999
AMIMAL	1.6337889509999999	0.4327368639	4.9014954542	0.3449860322	15.0511654361	0.6248352927	21.586449841300002	1.4025581888	0.0001	0.19998	0.79992
AMIMAL	1.6514834162	0.7343143828	6.0375042461	0.3714561089	14.3852289747	0.7347672823	22.074216637	1.840537774	0.0001	0.249975	0.749925
AMIMAL	11.4974702595	2.7298286059	3.3815743143	0.25203358530000003	12.924424744500001	1.2786410972	27.8034693183	4.2605032884	0.001	0.1665	0.8325
AMIMAL	11.1917492223	3.6339794369	4.2437685263	0.5826563203	11.9255200524	1.2966955532	27.361037801	5.5133313104	0.001	0.1998	0.7992
AMIMAL	12.4804961024	3.2462269977	5.0273214752	0.5097859949	11.0862147942	0.3876538047	28.594032371799997	4.1436667973	0.001	0.24975	0.74925
AMIMAL	19.2564932381	3.1180079752	3.0863121173000003	0.4244629812	10.9072130762	1.2110067338	33.2500184316	4.7534776901999996	0.002	0.16633333333333333	0.8316666666666667
AMIMAL	17.566671814	3.7604663967	3.7304555543	0.1245357986	10.440932377100001	1.1859435986	31.7380597454	5.0709457939	0.002	0.1996	0.7984
AMIMAL	16.081319765299998	0.8120388493	4.6648567443	0.5024625363	10.5323108765	0.47784790229999996	31.2784873861	1.7923492878999998	0.002	0.2495	0.7484999999999999
AMIMAL	21.629517623	2.7812342811	2.6995400868	0.4697501496	9.933969469500001	1.8293421700999999	34.263027179299996	5.080326600799999	0.003	0.16616666666666666	0.8308333333333333
AMIMAL	21.6727707601	2.4641271764	3.3544073325	0.35638916090000006	9.84196509	1.0265731654	34.869143182600006	3.8470895027	0.003	0.1994	0.7976
AMIMAL	20.8244194576	4.189874331	4.301677092799999	0.4312008341	9.3406351035	1.2646706867	34.4667316539	5.885745851799999	0.003	0.24925	0.74775
AMIMAL	24.5088003171	1.7503116747	2.6995400868	0.321297746	9.2373648816	0.5778795702	36.445705285500004	2.6494889909	0.004	0.166	0.8300000000000001
AMIMAL	23.4933346213	3.0493924321	3.3258105094999997	0.45543526840000004	9.3187292988	1.3921994165	36.137874429600004	4.8970271169999995	0.004	0.1992	0.7968
AMIMAL	24.7093375891	0.9194397889	3.9006066509	0.10675083310000001	8.4399935922	0.48582168929999997	37.0499378322	1.5120123113	0.004	0.249	0.747
AMIMAL	26.3362453592	1.7761555108000002	2.4679058209	0.22153772510000003	9.027695037	0.7941568058	37.8318462171	2.7918500417	0.005	0.16583333333333333	0.8291666666666666
AMIMAL	26.1799442502	2.9815716697	3.0977508464	0.2890118922	8.6039741871	0.9132669956999999	37.8816692837	4.1838505576	0.005	0.19899999999999998	0.7959999999999999
AMIMAL	25.999067495100004	1.460785664	3.809811738	0.3479658785	8.3648879763	0.4116179101	38.1737672094	2.2203694526	0.005	0.24875	0.74625
AMIMAL	27.4834365179	1.6611984996	2.4235807453000002	0.080503993	9.0427161602	0.7190335862	38.949733423400005	2.4607360788	0.006	0.16566666666666666	0.8283333333333333
AMIMAL	27.6190940843	3.2142413749000003	2.9554816523	0.2796938872	8.2334531484	1.1361336413	38.808028885	4.6300689034	0.006	0.1988	0.7952
AMIMAL	28.954043179	1.3946694521	3.7919387236	0.3137972005	8.0156468621	0.7610311231	40.7616287647	2.4694977757	0.006	0.2485	0.7455
AMIMAL	29.0366173498	3.0651786172000004	2.3585229731	0.2430898162	8.518854489	0.9166561027	39.913994811900004	4.2249245361000005	0.006999999999999999	0.1655	0.8275
AMIMAL	29.73653175	1.3037161353	2.9204505441000004	0.1155431974	7.8892190753	0.6424225885	40.5462013694	2.0616819212	0.006999999999999999	0.1986	0.7944
AMIMAL	28.7446586745	1.4514389055	3.6360860385000002	0.26960753460000003	7.5618837658	0.5023537125	39.9426284788	2.2234001526	0.006999999999999999	0.24825	0.74475
AMIMAL	30.5376978121	2.999675615	2.4021331281	0.176340634	8.2572365934	0.5223996179	41.1970675336	3.6984158669	0.008	0.16533333333333333	0.8266666666666667
AMIMAL	30.354855005300003	2.7230447535000004	2.9426130819	0.2749759627	7.8441557057	0.4678570167	41.1416237929	3.4658777329	0.008	0.1984	0.7936
AMIMAL	28.7328623644	2.3829925225	3.5674536635000003	0.2253984823	7.5700202075	0.6129536559000001	39.870336235399996	3.2213446607	0.008	0.248	0.7440000000000001
AMIMAL	30.869960546999998	2.3753012738	2.2570042516	0.1279368295	8.1527146112	0.6255470761	41.2796794098	3.1287851794	0.009000000000000001	0.16516666666666666	0.8258333333333333
AMIMAL	29.934119944499997	3.0908583625	2.9154461001	0.38025710659999995	7.8823343938	0.4104437735	40.731900438400004	3.8815592426	0.009000000000000001	0.1982	0.7928
AMIMAL	30.4049893233	1.0162984996	3.5424314434	0.2267549548	7.2020026894	0.6283736792	41.1494234561	1.8714271336000001	0.009000000000000001	0.24775	0.74325
AMIMAL	30.8974852706	4.9941172645	2.3413648793	0.2344241895	8.2722577166	0.8747341579000001	41.5111078665	6.103275611900001	0.01	0.165	0.8250000000000001
AMIMAL	31.8323428473	4.0742482969	2.9004327681	0.3346133793	7.7809418123	0.8101181231999999	42.5137174277	5.2189797994	0.01	0.198	0.792
AMIMAL	31.316254279699997	2.9706227738999997	3.2872047985000004	0.40975864630000003	7.1231417926	0.6740633144	41.7266008708	4.0544447346	0.01	0.2475	0.7424999999999999
AMIMAL	31.954238051799997	1.7965495874000001	2.2648683779	0.10076069359999999	7.836645144099999	0.7822990926000001	42.0557515738	2.6796093736	0.012	0.16466666666666666	0.8233333333333333
AMIMAL	31.779259451799998	2.3921735445	2.7502994476	0.38913226	7.2864965073	0.4167177419	41.8160554067	3.1980235464	0.012	0.1976	0.7904
AMIMAL	32.5882897205	1.8235317512	3.2400200406	0.28383697350000003	6.9942104852	0.6497588397999999	42.8225202463	2.7571275644999997	0.012	0.247	0.741
AMIMAL	34.9544329246	3.4240335314999997	2.2012404469	0.19302325920000002	7.5218274373	0.6058002408	44.6775008088	4.222857031499999	0.013999999999999999	0.16433333333333333	0.8216666666666667
AMIMAL	34.0549642782	3.3362026007	2.5894423184	0.2795184022	7.308402311900001	0.6769419524	43.9528089085	4.2926629553	0.013999999999999999	0.1972	0.7888
AMIMAL	33.9959827277	1.8440747355000002	3.38872352	0.2426520892	6.7557501546	0.7563926484000001	44.140456402299996	2.8431194731000002	0.013999999999999999	0.2465	0.7395
AMIMAL	34.986872777399995	1.8005792171000001	2.1068709311	0.2309359451	7.4392112597	0.7175698664	44.532954968199995	2.7490850286	0.016	0.16399999999999998	0.8200000000000001
AMIMAL	35.1815118943	1.7479670095	2.5894423184	0.3471482344	7.0342668137	0.371108393	44.805221026400005	2.4662236369	0.016	0.1968	0.7872
AMIMAL	35.9423738968	2.4863100364	3.2471692464	0.24531674190000002	6.5923954399	0.3781600704	45.78193858310001	3.1097868487	0.016	0.24600000000000002	0.738
AMIMAL	35.5619428955	2.9986987027999996	2.1011515665	0.23105985199999998	7.1638240012	0.5944793876	44.826918463199995	3.8242379424	0.018000000000000002	0.16366666666666665	0.8183333333333332
AMIMAL	36.4928683688	3.1225246089	2.4707655032	0.19014199399999998	6.831481650700001	0.6827201933	45.7951155227	3.9953867962	0.018000000000000002	0.1964	0.7856
AMIMAL	36.36015988	4.2093005896	3.049851168	0.3144155336	6.4759817351999995	0.296712074	45.885992783199995	4.8204281972	0.018000000000000002	0.2455	0.7364999999999999
AMIMAL	36.3778543452	4.6000836907	2.1047261694	0.2756813826	7.260209541699999	0.40062195700000003	45.7427900563	5.2763870303	0.02	0.16333333333333333	0.8166666666666667
AMIMAL	37.7943945849	3.7348079519	2.4557521711000003	0.2384021616	6.8971990646000005	0.6005188599	47.1473458206	4.5737289734	0.02	0.196	0.784
AMIMAL	36.1606056339	2.498951463	3.1306371927999996	0.43062675659999994	6.3971208384	0.6616284243	45.6883636651	3.5912066438999997	0.02	0.245	0.735
AMIMAL	41.4148787646	2.3279579587	2.0217953828	0.329379046	6.9954622455	0.4812297877	50.4321363929	3.1385667924000002	0.03	0.16166666666666665	0.8083333333333332
AMIMAL	40.5380197127	2.2717606001	2.3456544028	0.1430841686	6.703176223400001	0.5776707490999999	49.58685033890001	2.9925155178	0.03	0.19399999999999998	0.7759999999999999
AMIMAL	40.0160329901	2.9594701162	3.0755883087	0.1415903761	6.0641526077	0.27037442219999996	49.155773906499995	3.3714349145	0.03	0.2425	0.7275
AMIMAL	42.885485425700004	2.1857190008000003	1.917416979	0.1232154772	6.5980283611	0.5438693085	51.4009307658	2.8528037864999995	0.04	0.16	0.8
AMIMAL	42.6623385593	2.0418788494999998	2.3263515473	0.1524910669	6.0547644057	0.5930279489	51.043454512299995	2.7873978652999996	0.04	0.192	0.768
AMIMAL	44.2410780632	1.7853979382	2.8511032485000003	0.30668676079999996	5.7862618287	0.46337115	52.8784431404	2.555455849	0.04	0.24	0.72
AMIMAL	45.736260370299995	1.4053680708	1.7715731819999998	0.069549684	6.2782036132000005	0.1744129286	53.786037165500005	1.6493306834	0.05	0.15833333333333333	0.7916666666666666
AMIMAL	44.325618285699996	1.7140250131	2.1368975952	0.1599505973	5.9389765811	0.36183017700000003	52.401492462	2.2358057874	0.05	0.19	0.76
AMIMAL	44.7669968892	2.7896603823	2.8225064255000003	0.3110553609	5.9039272937	0.06908537370000001	53.493430608400004	3.1698011169	0.05	0.2375	0.7124999999999999
