MOF	CO2_mass	CO2_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	CO2_comp	O2_comp	N2_comp
BAZGAM	0.0	0.0	3.3898016187	0.3927330276	13.6454958509	0.6104095516	17.0352974696	1.0031425792	1e-06	0.1666665	0.8333325
BAZGAM	0.0	0.0	4.1157171616	0.312366511	13.227976664200002	1.1725027308	17.3436938258	1.4848692418	1e-06	0.19999979999999998	0.7999991999999999
BAZGAM	0.0	0.0	5.0326631105	0.218712751	12.4679072055	0.8636253858	17.500570315999997	1.0823381368	1e-06	0.24999975	0.74999925
BAZGAM	0.0	0.0	3.2949451412	0.3109184539	14.016880320899999	0.9405600467	17.3118254621	1.2514785006	1e-05	0.166665	0.8333250000000001
BAZGAM	0.0	0.0	4.1618279492	0.23793035129999998	13.0180637029	0.74213109	17.1798916521	0.9800614413	1e-05	0.199998	0.799992
BAZGAM	0.0	0.0	5.0511074256	0.2520983169	12.1218968298	0.294504317	17.1730042554	0.5466026339	1e-05	0.24999749999999998	0.7499925000000001
BAZGAM	0.0054345413	0.0144921101	3.4833406450999997	0.38916354119999996	13.6293487	1.014114115	17.1181238864	1.4177697663	0.0001	0.16665	0.8332499999999999
BAZGAM	0.007246055	0.0135561277	4.1091299062	0.18033205649999998	13.3652274466	0.3220850902	17.481603407799998	0.5159732744	0.0001	0.19998	0.79992
BAZGAM	0.0036230275	0.0088745687	5.0748215449	0.4097759978	12.4448398471	0.5743725917	17.5232844195	0.9930231582	0.0001	0.249975	0.749925
BAZGAM	0.0706490365	0.0621219811	3.5716098672000003	0.3300892009	14.189885508699998	0.725342805	17.8321444124	1.117553987	0.001	0.1665	0.8325
BAZGAM	0.06883752280000001	0.07025311	4.1143997105	0.1805629062	13.2914118998	0.986177458	17.474649133099998	1.2369934742	0.001	0.1998	0.7992
BAZGAM	0.0634029815	0.0606248459	5.006314089	0.16892168429999999	12.436766271700002	0.6799434038	17.5064833422	0.9094899340000001	0.001	0.24975	0.74925
BAZGAM	0.1576016969	0.0271122553	3.3054847498	0.41077440049999997	13.5382326344	0.7018165601	17.0013190811	1.1397032159	0.002	0.16633333333333333	0.8316666666666667
BAZGAM	0.1521671556	0.0631696432	4.1460185363	0.4684349173	13.0492046367	0.7862349303	17.3473903286	1.3178394908	0.002	0.1996	0.7984
BAZGAM	0.1431095868	0.0771968463	5.127519588	0.3603752504	12.2925952818	0.44278513950000004	17.5632244566	0.8803572362000001	0.002	0.2495	0.7484999999999999
BAZGAM	0.2246277059	0.0266237062	3.2093108213	0.4138893699	13.771212954100001	0.9898020436	17.2051514813	1.4303151197	0.003	0.16616666666666666	0.8308333333333333
BAZGAM	0.208324082	0.0677806383	4.0840983357	0.39117427590000003	13.2360502396	0.9784856938	17.5284726573	1.4374406080000002	0.003	0.1994	0.7976
BAZGAM	0.201078027	0.0631696432	5.0484725234	0.34482001149999997	12.4136989133	1.06903208	17.663249463699998	1.4770217347	0.003	0.24925	0.74775
BAZGAM	0.32244944870000003	0.1358514545	3.4266902488	0.2463880082	14.0099601134	1.1378686220999998	17.7590998109	1.5201080848	0.004	0.166	0.8300000000000001
BAZGAM	0.3315070175	0.033598575	4.0155908798	0.1156358863	13.2348968717	0.4759372404	17.581994769	0.6251717017	0.004	0.1992	0.7968
BAZGAM	0.29527674239999996	0.0773666965	4.9667905567	0.30648794030000004	12.5128885544	1.2393935171	17.7749558535	1.6232481538999999	0.004	0.249	0.747
BAZGAM	0.35143366880000004	0.0771968463	3.3990237762	0.28767533	13.625888596300001	0.665580236	17.3763460413	1.0304524123	0.005	0.16583333333333333	0.8291666666666666
BAZGAM	0.32244944870000003	0.046679444199999996	4.070923825	0.1894566107	13.1241735515	0.6883741903	17.5175468252	0.9245102451999999	0.005	0.19899999999999998	0.7959999999999999
BAZGAM	0.3786063752	0.1058767417	4.9694254588	0.185119457	12.1714916503	0.43380128520000005	17.519523484300002	0.7247974839	0.005	0.24875	0.74625
BAZGAM	0.4565014667	0.1160500448	3.3555478907	0.216735718	13.467877191400001	1.1950717297	17.279926548800002	1.5278574925	0.006	0.16566666666666666	0.8283333333333333
BAZGAM	0.4909202281	0.23463124510000002	4.0985902975999995	0.42054557189999997	13.4044419558	1.0085633666	17.993952481500003	1.6637401836	0.006	0.1988	0.7952
BAZGAM	0.4565014667	0.0693125976	4.9746952632	0.4259586437	12.503661610999998	0.38972232009999996	17.9348583409	0.8849935614	0.006	0.2485	0.7455
BAZGAM	0.528962017	0.1518217132	3.3766271079	0.1036022618	13.624735228399999	1.0724113898999998	17.5303243533	1.3278353648999999	0.006999999999999999	0.1655	0.8275
BAZGAM	0.5814959160000001	0.1323273292	4.1315265745	0.5991955202	12.8646657697	0.7765310229000001	17.5776882602	1.5080538722999999	0.006999999999999999	0.1986	0.7944
BAZGAM	0.4999777969	0.1333155978	4.9681080078	0.3671318011	11.925824283499999	1.1030201999	17.3939100882	1.6034675988	0.006999999999999999	0.24825	0.74475
BAZGAM	0.5561347234	0.07651367490000001	3.3568653418000003	0.18864868969999998	13.550919681500002	0.705288019	17.4639197467	0.9704503836	0.008	0.16533333333333333	0.8266666666666667
BAZGAM	0.5941765123	0.0854297289	4.120986965899999	0.44797986170000004	13.179535211600001	0.7556311729999999	17.8946986898	1.2890407636	0.008	0.1984	0.7936
BAZGAM	0.6177261911	0.1883974307	5.0392503659	0.1282740081	12.111516518499998	0.9556514543000001	17.7684930755	1.2723228931000001	0.008	0.248	0.7440000000000001
BAZGAM	0.6612025213	0.1917125959	3.4385473085000005	0.48348839060000004	13.728538341099998	1.0162892764	17.8282881709	1.6914902629	0.009000000000000001	0.16516666666666666	0.8258333333333333
BAZGAM	0.6503334386999999	0.07191504280000001	4.0327177438	0.3424764689	12.8969600714	0.5368602456	17.5800112539	0.9512517573	0.009000000000000001	0.1982	0.7928
BAZGAM	0.6756946313	0.1709362657	4.9391240841	0.4596677239	12.2972087535	0.3880256065	17.9120274689	1.0186295961	0.009000000000000001	0.24775	0.74325
BAZGAM	0.7861969704999999	0.1962463947	3.3871667165	0.4023211725	13.5751404079	0.302525569	17.7485040949	0.9010931362000001	0.01	0.165	0.8250000000000001
BAZGAM	0.7735163742	0.048064891500000005	4.2408750138	0.3461062079	13.458650248	0.7526253728	18.473041635999998	1.1467964722	0.01	0.198	0.792
BAZGAM	0.7572127504	0.121574034	5.1051229197	0.2142225684	12.6166916671	0.9831512726	18.4790273372	1.318947875	0.01	0.2475	0.7424999999999999
BAZGAM	0.9148144471999999	0.1080853008	3.377944559	0.3032313352	13.578600511600001	1.011145229	17.8713595178	1.422461865	0.012	0.16466666666666666	0.8233333333333333
BAZGAM	0.8948877959	0.14050622	4.0182257819	0.16809767120000002	13.186455419100001	0.5781859952	18.0995689969	0.8867898864	0.012	0.1976	0.7904
BAZGAM	0.8514114657999999	0.1398507392	4.9404415352	0.19055280079999998	11.9650387928	0.558563592	17.7568917938	0.888967132	0.012	0.247	0.741
BAZGAM	0.9782174287000001	0.26869091170000003	3.3186592606	0.36428415630000005	13.524392219400001	0.5937503993	17.8212689087	1.2267254673	0.013999999999999999	0.16433333333333333	0.8216666666666667
BAZGAM	1.0615470616	0.2204992523	4.1381138299	0.3923616153	12.9073403827	0.8114793742	18.1070012742	1.4243402418	0.013999999999999999	0.1972	0.7888
BAZGAM	1.0271283002	0.1002734637	4.9167274158	0.4438539406	12.306435696800001	0.6196065936999999	18.2502914128	1.1637339979999999	0.013999999999999999	0.2465	0.7395
BAZGAM	1.1412536669	0.2664834638	3.3884841675999997	0.29122523489999996	13.6927839356	0.9359379906	18.2225217701	1.4936466893	0.016	0.16399999999999998	0.8200000000000001
BAZGAM	1.237263896	0.1585876576	4.1012251997	0.3066691065	12.8381383075	0.5934814865	18.176627403199998	1.0587382506	0.016	0.1968	0.7872
BAZGAM	1.1738609145	0.2067349152	4.816601134	0.5372487306	12.1934056408	0.32109232579999997	18.1838676893	1.0650759716	0.016	0.24600000000000002	0.738
