MOF	CO2_mass	CO2_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	CO2_comp	O2_comp	N2_comp
FIDRIV	4.969359573999999	2.0886267379	1.8299481625	0.1505706855	17.703988717799998	2.5143436653999998	24.5032964543	4.7535410888	1e-06	0.1666665	0.8333325
FIDRIV	3.8921636269	2.2135612276	2.2474256912	0.06637859480000001	20.4027338896	1.8760020563	26.5423232077	4.1559418787	1e-06	0.19999979999999998	0.7999991999999999
FIDRIV	4.1443609947	2.9103249571	2.746720424	0.1539752959	18.6246475558	3.3709355938	25.515728974499996	6.4352358467999995	1e-06	0.24999975	0.74999925
FIDRIV	26.539240010300002	11.469985061700001	1.9132638502000001	0.0949125833	16.587338955899998	2.0231558076	45.039842816400004	13.5880534526	1e-05	0.166665	0.8333250000000001
FIDRIV	22.6647961331	9.1576854956	2.206067544	0.0734201912	16.703044441099998	2.5295659028	41.5739081182	11.760671589600001	1e-05	0.199998	0.799992
FIDRIV	24.127705701700002	2.6771755016	2.8219443002999998	0.19891736129999998	16.0799139937	3.4393811026	43.029563995699995	6.3154739655	1e-05	0.24999749999999998	0.7499925000000001
FIDRIV	67.8950753836	17.481926853399997	1.9264505058	0.08982106150000001	13.888593784200001	3.4518801862	83.71011967359999	21.023628101099998	0.0001	0.16665	0.8332499999999999
FIDRIV	74.69945927	13.399979260899999	2.244428724	0.0780455369	11.029277735099999	1.1203034122	87.9731657291	14.59832821	0.0001	0.19998	0.79992
FIDRIV	72.7989130924	17.2322097803	2.8147515791	0.20779683280000003	10.7060370146	1.8121464924000001	86.3197016861	19.2521531055	0.0001	0.249975	0.749925
FIDRIV	99.6121910923	4.4756513129	1.8838935718	0.12055707939999999	8.204856991	0.31245961839999997	109.7009416551	4.9086680107	0.001	0.1665	0.8325
FIDRIV	100.1680967284	7.681447825299999	2.1988748228	0.12727199050000002	7.8653492862	0.7059958635	110.2323208374	8.5147156793	0.001	0.1998	0.7992
FIDRIV	100.0580694453	7.247219407	2.7653016205000003	0.11155161150000001	7.3949185947	0.7947918765	110.21828966049999	8.153562895	0.001	0.24975	0.74925
FIDRIV	102.9447402983	5.2575128574	1.9348420138999998	0.1490719314	7.952718734199999	0.6899749212	112.83230104639999	6.09655971	0.002	0.16633333333333333	0.8316666666666667
FIDRIV	103.2014706254	7.3273857577	2.26031265	0.1288570429	7.4552638591	0.4177647087	112.91704713450001	7.874007509299999	0.002	0.1996	0.7984
FIDRIV	104.2114963585	5.2175549166	2.7853813007	0.1751460033	6.7864809072000005	0.35236064640000003	113.7833585664	5.7450615662999995	0.002	0.2495	0.7484999999999999
FIDRIV	105.8820978771	5.4385990672	1.8122660561000001	0.10351647859999999	7.4710061019000005	0.5366055222	115.1653700351	6.078721067999999	0.003	0.16616666666666666	0.8308333333333333
FIDRIV	104.2724852645	2.6220820817	2.223150257	0.0704535929	7.4413582112	0.45412604009999996	113.9369937327	3.1466617147000004	0.003	0.1994	0.7976
FIDRIV	103.9465242874	6.8447187632	2.7149525718	0.1464704666	6.8591575952	0.5173711002	113.52063445440001	7.50856033	0.003	0.24925	0.74775
FIDRIV	107.8864900297	2.5501945854	1.8796978177	0.08734707	7.530039512799999	0.8878835873	117.2962273602	3.5254252427	0.004	0.166	0.8300000000000001
FIDRIV	107.82879782139999	1.0111212641	2.1934802818	0.1494570437	7.2582234523	0.3922434288	117.2805015555	1.5528217366	0.004	0.1992	0.7968
FIDRIV	107.5090181523	2.9265519801999997	2.744622547	0.0766802035	6.8512864737	0.4716068166	117.104927173	3.4748390003	0.004	0.249	0.747
FIDRIV	109.63950898879999	1.5183283490000001	1.803874548	0.1448673302	7.275539919500001	0.41969146259999995	118.71892345629999	2.0828871418	0.005	0.16583333333333333	0.8291666666666666
FIDRIV	108.67604910950001	2.3525139852000003	2.1853884705	0.07705411870000001	7.2939058695000005	0.6777193509999999	118.15534344950001	3.1072874549000002	0.005	0.19899999999999998	0.7959999999999999
FIDRIV	107.86135271040001	3.748753815	2.713753785	0.12404693	6.8586328538	0.3223270949	117.4337393492	4.1951278399000005	0.005	0.24875	0.74625
FIDRIV	110.10681587639999	2.6754021453	1.8089693922	0.1330518424	7.3537263925	0.2813739681	119.26951166110001	3.0898279557999997	0.006	0.16566666666666666	0.8283333333333333
FIDRIV	109.2941799132	3.0389327644999997	2.2120614784	0.0617520707	7.2435306923	0.7296710243000001	118.7497720839	3.8303558595	0.006	0.1988	0.7952
FIDRIV	110.10970048680001	1.3433208486000001	2.7308364979000004	0.1001830142	6.6067569676	0.1521967264	119.4472939523	1.5957005891999998	0.006	0.2485	0.7455
FIDRIV	110.64953472190001	1.7006714528	1.7906878922999998	0.0266038871	7.395705706799999	0.6045617949000001	119.835928321	2.3318371347999998	0.006999999999999999	0.1655	0.8275
FIDRIV	111.26107213030001	2.2009398094	2.2216517734	0.09298522349999999	7.257698710900001	0.4329278983	120.74042261459999	2.7268529312	0.006999999999999999	0.1986	0.7944
FIDRIV	110.8551662359	0.9964108354000001	2.6670010969	0.09167780910000001	6.7494866363999995	0.4467673307	120.2716539692	1.5348559752000002	0.006999999999999999	0.24825	0.74475
FIDRIV	112.357636176	1.1014775646	1.8008775808000002	0.1020976595	7.5350245563	0.6138833341	121.69353831309999	1.8174585582	0.008	0.16533333333333333	0.8266666666666667
FIDRIV	111.6504945366	3.1203752357999996	2.1802936262	0.0752232793	7.1886952129	0.4215976553	121.01948337569999	3.6171961704	0.008	0.1984	0.7936
FIDRIV	112.51299305129999	2.2719344782	2.7670998007999996	0.1243882195	6.7670654743	0.4244168889	122.0471583264	2.8207395866000002	0.008	0.248	0.7440000000000001
FIDRIV	112.6844213275	3.5386392369	1.7568221631999998	0.1726586062	7.335885183899999	0.9995766420000001	121.7771286746	4.7108744851	0.009000000000000001	0.16516666666666666	0.8258333333333333
FIDRIV	113.1710963136	1.067499629	2.1557184953	0.1244604064	7.0409805005	0.557169155	122.36779530940001	1.7491291904	0.009000000000000001	0.1982	0.7928
FIDRIV	112.6547510489	1.9085544624000002	2.727539834	0.17052084879999999	6.5432632547	0.5953338947	121.9255541376	2.6744092059	0.009000000000000001	0.24775	0.74325
FIDRIV	115.2010378727	2.8034737901	1.7939845562	0.0869099814	7.210734352899999	0.2231391589	124.2057567818	3.1135229304000003	0.01	0.165	0.8250000000000001
