MOF	CO2_mass	CO2_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	CO2_comp	O2_comp	N2_comp
HIFTOG	0.0013392838	0.0021870412	3.2892472587	0.13977326140000002	9.8370896144	0.2314755232	13.1276761569	0.3734358258	1e-06	0.1666665	0.8333325
HIFTOG	0.0008928558	0.0021870412	3.8366434563	0.1305098779	9.3533216198	0.6938842137000001	13.1908579319	0.8265811328	1e-06	0.19999979999999998	0.7999991999999999
HIFTOG	0.0008928558	0.0021870412	4.9343578953	0.0904570073	8.6771265205	0.3851383397	13.612377271600002	0.4777823882	1e-06	0.24999975	0.74999925
HIFTOG	0.0098214142	0.0077837367	3.3648957249	0.12362100289999998	9.94794127	0.374860189	13.3226584091	0.5062649285999999	1e-05	0.166665	0.8333250000000001
HIFTOG	0.0098214142	0.006055642900000001	3.7986568874	0.1867693958	9.4741215009	0.2604846043	13.2825998025	0.453309643	1e-05	0.199998	0.799992
HIFTOG	0.0147321213	0.0140038966	4.9177996473	0.3493357022	8.726299178	0.39527843100000004	13.6588309466	0.7586180298	1e-05	0.24999749999999998	0.7499925000000001
HIFTOG	0.11874982619999999	0.0277217	3.3272338275	0.41483620600000004	9.7367546543	0.8031807603	13.182738308	1.2457386662999999	0.0001	0.16665	0.8332499999999999
HIFTOG	0.1334819475	0.0409547434	3.9902130894	0.1540736599	9.342520689199999	0.4693008446	13.4662157261	0.6643292479	0.0001	0.19998	0.79992
HIFTOG	0.14196407789999999	0.017313117	5.1103298639	0.4662943303	8.7828619458	0.308930904	14.0351558876	0.7925383512999999	0.0001	0.249975	0.749925
HIFTOG	1.3660694291	0.1290477871	3.281455142	0.26210143539999997	9.8234463337	0.7695442422	14.4709709048	1.1606934647	0.001	0.1665	0.8325
HIFTOG	1.3620515779	0.2528122522	3.8795000981	0.21527852449999998	9.417274498	0.518033734	14.658826174000001	0.9861245107	0.001	0.1998	0.7992
HIFTOG	1.4196407793	0.2348906698	4.9489681141	0.3751640979	8.8706905653	0.8272741029	15.2392994587	1.4373288706	0.001	0.24975	0.74925
HIFTOG	2.8352637073	0.4412858112	3.2577541204	0.1308454458	9.7788214364	0.4064755492	15.8718392641	0.9786068062000001	0.002	0.16633333333333333	0.8316666666666667
HIFTOG	2.5464248444	0.19100438170000003	3.8593704633	0.19319019989999997	9.418979908099999	0.5684148846	15.824775215799999	0.9526094662000001	0.002	0.1996	0.7984
HIFTOG	2.7950851947000004	0.21142780949999998	4.8684495749000005	0.2016834868	8.7783141856	0.44808782350000004	16.4418489552	0.8611991198000001	0.002	0.2495	0.7484999999999999
HIFTOG	4.0437440814	0.6064759003	3.2967147037999998	0.2076111323	9.5974794972	0.4651439793	16.9379382824	1.2792310118999999	0.003	0.16616666666666666	0.8308333333333333
HIFTOG	3.8785657517	0.8118146540000001	3.7752805373	0.131122286	9.2157518728	0.4057402812	16.8695981618	1.3486772212	0.003	0.1994	0.7976
HIFTOG	4.0080298480000005	0.7692438823000001	4.8840338083	0.3473323815	8.411366782	0.5725500767	17.303430438299998	1.6891263405	0.003	0.24925	0.74775
HIFTOG	5.3700814258000005	0.7890411072	3.2090533910000003	0.1156013028	9.6941194021	0.41115515909999995	18.2732542189	1.3157975691	0.004	0.166	0.8300000000000001
HIFTOG	5.4424027486	0.6698049522	3.7944361575	0.170946266	9.06141226	0.33562366520000003	18.2982511661	1.1763748834	0.004	0.1992	0.7968
HIFTOG	5.1906174028	0.4779790119	4.7902037365	0.0900552441	8.5560424043	0.601146237	18.5368635436	1.169180493	0.004	0.249	0.747
HIFTOG	6.495079779199999	0.31018742109999997	3.1895730993	0.1437587457	9.5983322022	0.4710740695	19.282985080699998	0.9250202363	0.005	0.16583333333333333	0.8291666666666666
HIFTOG	6.4508834154	0.4979062425	3.7512548442	0.2194491346	9.0346941686	0.5618411059	19.2368324282	1.279196483	0.005	0.19899999999999998	0.7959999999999999
HIFTOG	6.5566868319000005	0.8216631657	4.8428005242	0.1268863523	8.4886787059	0.3996469639	19.888166062	1.3481964819	0.005	0.24875	0.74625
HIFTOG	7.6932923112000005	0.775400958	3.0584058017	0.0726858272	9.2924953267	0.5374811222	20.0441934396	1.3855679074	0.006	0.16566666666666666	0.8283333333333333
HIFTOG	7.7191851304	0.5358950182	3.681775137	0.1593075554	8.942886259	0.39623462049999997	20.3438465264	1.0914371941	0.006	0.1988	0.7952
HIFTOG	7.6772209062	1.31351991	4.5567649073	0.2727318144	8.5369986584	0.6152017216	20.7709844719	2.201453446	0.006	0.2485	0.7455
HIFTOG	8.8187370925	1.4502227236	3.0668472614	0.1752312127	9.446266469500001	0.5444310802000001	21.3318508234	2.1698850165	0.006999999999999999	0.1655	0.8275
HIFTOG	8.800433547899999	0.8286625751000001	3.7243071073	0.122335267	9.1347448937	0.599531358	21.659485548899998	1.5505292001	0.006999999999999999	0.1986	0.7944
HIFTOG	8.9290047883	0.770723377	4.6639065118000005	0.3031674186	8.2973885412	0.49971264039999996	21.890299841300003	1.573603436	0.006999999999999999	0.24825	0.74475
HIFTOG	10.055788853400001	1.6420417472	3.0295100356	0.1455224008	9.1481039394	0.5291567469	22.233402828400003	2.3167208949	0.008	0.16533333333333333	0.8266666666666667
HIFTOG	9.9986460798	1.1137123086	3.6989827281	0.2176955891	8.884049611	0.43440707659999994	22.581678418899997	1.7658149743	0.008	0.1984	0.7936
HIFTOG	9.6531108713	0.5750754066	4.7044904529	0.1556257356	8.5520631141	0.35242207630000005	22.9096644383	1.0831232185	0.008	0.248	0.7440000000000001
HIFTOG	11.407126161199999	0.8747918803	3.0197698897000005	0.09172530949999999	9.0844352961	0.41238729560000004	23.511331347	1.3789044853999999	0.009000000000000001	0.16516666666666666	0.8258333333333333
HIFTOG	10.819627021099999	0.6797113918000001	3.6931386405	0.1336290587	8.9659092951	0.35430963409999994	23.4786749567	1.1676500846	0.009000000000000001	0.1982	0.7928
HIFTOG	11.339715545599999	0.9256396255	4.5005967328	0.2256371357	8.237983423200001	0.6515534555	24.0782957016	1.8028302166999999	0.009000000000000001	0.24775	0.74325
HIFTOG	11.912482564400001	1.8118163616999998	3.0785354363999997	0.1072025861	9.245880784299999	0.482169831	24.236898785100003	2.4011887788	0.01	0.165	0.8250000000000001
HIFTOG	12.193732152699999	0.7417445198999999	3.5817763061	0.2211544632	8.8007687517	0.27429842320000003	24.576277210500002	1.2371974063	0.01	0.198	0.792
HIFTOG	12.141053658399999	0.6266130703	4.4457272444	0.17465517719999998	8.1527129189	0.5427790416	24.7394938217	1.3440472891	0.01	0.2475	0.7424999999999999
HIFTOG	14.2419434406	1.4279709988999998	2.9694458027999997	0.1699418988	8.9971751467	0.3945050939	26.2085643901	1.9924179916	0.012	0.16466666666666666	0.8233333333333333
HIFTOG	13.8490868727	0.6895402554000001	3.5801529485000003	0.3520828836	8.6097628221	0.2661168443	26.039002643299998	1.3077399833	0.012	0.1976	0.7904
HIFTOG	13.9531045776	2.0904708851	4.4863111855	0.2935332291	8.1737463099	0.32823225149999996	26.613162073	2.7122363657	0.012	0.247	0.741
HIFTOG	15.6249771306	2.2300439666	3.0593798162	0.1570094864	8.6145948173	0.7733106562000001	27.2989517641	3.1603641092	0.013999999999999999	0.16433333333333333	0.8216666666666667
HIFTOG	15.665602071199999	2.6930749261	3.5843736783999995	0.3352522425	8.568548745	0.5666691054999999	27.818524494600002	3.5949962741	0.013999999999999999	0.1972	0.7888
HIFTOG	15.732119830899999	0.9783964606000001	4.4366364416	0.36483604210000004	7.9020176361	0.465334996	28.0707739086	1.8085674987	0.013999999999999999	0.2465	0.7395
HIFTOG	18.4321158791	1.3860982259	2.876265074	0.2157383066	8.7479010391	0.8350273263	30.0562819922	2.4368638588	0.016	0.16399999999999998	0.8200000000000001
HIFTOG	17.878991688699998	1.7880436281999998	3.6350224369	0.1681961474	8.5765073254	0.5738997053	30.090521451	2.5301394809	0.016	0.1968	0.7872
HIFTOG	17.2624747339	1.5045206348	4.3950784859	0.2326207498	7.9537484088	0.48110031979999995	29.6113016286	2.2182417044	0.016	0.24600000000000002	0.738
HIFTOG	19.616935573499998	1.3745938239	2.9545109124	0.167726707	8.633354328200001	0.5276779983	31.204800814099997	2.0699985292	0.018000000000000002	0.16366666666666665	0.8183333333333332
HIFTOG	19.876756621800002	1.4959516433000002	3.5243094455	0.2070070634	8.3380341483	0.6673968875999999	31.7391002156	2.3703555943	0.018000000000000002	0.1964	0.7856
HIFTOG	19.6446141045	1.4785471586	4.2892355675	0.16614048380000002	7.879278835	0.2722692529	31.813128507	1.9169568953	0.018000000000000002	0.2455	0.7364999999999999
HIFTOG	21.9004143742	3.2014623129000004	2.9200957304000004	0.1769194714	8.6455764339	0.4532727777	33.4660865385	3.8316545619999998	0.02	0.16333333333333333	0.8166666666666667
HIFTOG	21.4963971084	3.1108212095999996	3.3480128054000002	0.1137852124	8.293693486	0.4371767374	33.1381033998	3.6617831594	0.02	0.196	0.784
HIFTOG	21.460236447	2.5466017189	4.3301441801	0.2752065723	7.770416824400001	0.2787857237	33.5607974515	3.1005940149	0.02	0.245	0.735
HIFTOG	29.635224481799998	2.3984384663	2.7123059519	0.1087024328	8.3027890065	0.28550781140000003	40.6503194402	2.7926487105	0.03	0.16166666666666665	0.8083333333333332
HIFTOG	29.7044208091	2.7688344831	3.2145728069999997	0.3020275984	7.97932956	0.5711655761	40.8983231761	3.6420276576	0.03	0.19399999999999998	0.7759999999999999
