MOF	CO2_mass	CO2_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	CO2_comp	O2_comp	N2_comp
IRMOF-1	0.0	0.0	1.5181640688	0.1467917503	6.4066572252	0.49807837409999994	7.924821294	0.6448701244	1e-06	0.1666665	0.8333325
IRMOF-1	0.0	0.0	1.9324449396	0.1109901861	5.9973588044	0.2122152753	7.929803744	0.3232054614	1e-06	0.19999979999999998	0.7999991999999999
IRMOF-1	0.0	0.0	2.2493243518	0.1617059787	5.5368980811	0.38130738979999995	7.7862224329	0.5430133685	1e-06	0.24999975	0.74999925
IRMOF-1	0.0	0.0	1.6168642136000002	0.1717018251	6.2270206961	0.20872683670000003	7.8438849097	0.3804286618	1e-05	0.166665	0.8333250000000001
IRMOF-1	0.0	0.0	1.9649120925	0.1186291299	5.8575151773	0.26229579210000004	7.8224272698	0.38092492200000005	1e-05	0.199998	0.799992
IRMOF-1	0.0	0.0	2.3506218688	0.2028612562	5.7040282696	0.40091285810000005	8.0546501384	0.6037741142999999	1e-05	0.24999749999999998	0.7499925000000001
IRMOF-1	0.0035714233000000003	0.0087481648	1.6142668413999999	0.11428437820000001	6.2224729359	0.5324279487	7.8403112005999995	0.6554604917	0.0001	0.16665	0.8332499999999999
IRMOF-1	0.0089285584	0.011293832299999999	1.9285488813	0.3398490601	5.999632684600001	0.3725695496	7.937110124299999	0.7237124420000001	0.0001	0.19998	0.79992
IRMOF-1	0.0089285584	0.011293832299999999	2.3012717964	0.34698015549999994	5.5903342638	0.3938869718	7.9005346186	0.7521609596	0.0001	0.249975	0.749925
IRMOF-1	0.0749998902	0.018210757299999998	1.5103719522	0.161078966	6.1030942298	0.20409261609999998	7.688466072200001	0.3833823394	0.001	0.1665	0.8325
IRMOF-1	0.0803570252	0.04517532900000001	1.8545237727000001	0.22307178739999997	6.126969971	0.48302694630000004	8.0618507689	0.7512740627	0.001	0.1998	0.7992
IRMOF-1	0.0749998902	0.0349926594	2.2804928186	0.14861872480000002	5.7267670707	0.3054625975	8.082259779500001	0.4890739817	0.001	0.24975	0.74925
IRMOF-1	0.1321426637	0.0413422141	1.5571246523	0.3245572243	6.2486225572	0.3489794865	7.9378898732000005	0.7148789248999999	0.002	0.16633333333333333	0.8316666666666667
IRMOF-1	0.1517854921	0.04922867349999999	1.9103672756999999	0.2958497045	6.1099158702	0.1541214404	8.172068637999999	0.49919981840000005	0.002	0.1996	0.7984
IRMOF-1	0.1499997805	0.09806792939999999	2.3168560298	0.2839820035	5.5528152419	0.5922748435	8.0196710522	0.9743247764	0.002	0.2495	0.7484999999999999
IRMOF-1	0.223213959	0.10289170859999999	1.5077745799000002	0.1807741217	6.1099158702	0.3859840332	7.840904409099999	0.6696498635	0.003	0.16616666666666666	0.8308333333333333
IRMOF-1	0.2053568423	0.0338814968	1.9415357425	0.306555951	5.9871263439	0.4282749221	8.1340189287	0.7687123698999999	0.003	0.1994	0.7976
IRMOF-1	0.2214282473	0.0622698938	2.3921798245	0.2147510125	5.5710062828	0.27239147690000004	8.1846143546	0.5494123832	0.003	0.24925	0.74775
IRMOF-1	0.2767853092	0.0686976997	1.5675141412	0.2265230255	6.150845712200001	0.2910211232	7.9951451626	0.5862418484	0.004	0.166	0.8300000000000001
