MOF	CO2_mass	CO2_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	CO2_comp	O2_comp	N2_comp
JEWCAP	0.0	0.0	1.4767308965000001	0.1494599885	6.8301959527	0.7106443397	8.3069268492	0.8601043281999999	1e-06	0.1666665	0.8333325
JEWCAP	0.0017749351	0.0043476853	1.7852437322999999	0.19282531579999998	6.4448390996	0.2032383086	8.231857767000001	0.4004113097	1e-06	0.19999979999999998	0.7999991999999999
JEWCAP	0.0017749351	0.0043476853	2.2493038349	0.1705679605	6.2555509094	0.4146542129	8.506629679400001	0.5895698587	1e-06	0.24999975	0.74999925
JEWCAP	0.017749351	0.0097217199	1.4392962846000001	0.1169625735	6.5832737463	0.16911204629999999	8.0403193819	0.29579633969999997	1e-05	0.166665	0.8333250000000001
JEWCAP	0.0133120132	0.0148501724	1.762008456	0.2365460405	6.7109726448	0.4938405339	8.486293114	0.7452367468000001	1e-05	0.199998	0.799992
JEWCAP	0.010649610600000001	0.013282398	2.1963790387	0.1927042975	6.0131490179	0.6770916589	8.2201776672	0.8830783543999999	1e-05	0.24999749999999998	0.7499925000000001
JEWCAP	0.11182091109999999	0.052473277699999994	1.5451458768000002	0.1778094281	6.5290299663999996	0.2176098605	8.1859967543	0.4478925663	0.0001	0.16665	0.8332499999999999
JEWCAP	0.13312013220000002	0.058330319400000004	1.7742715185	0.10725702039999999	6.3905953197	0.5293426856	8.2979869704	0.6949300254	0.0001	0.19998	0.79992
JEWCAP	0.1064961058	0.0354987019	2.2202597394	0.18967131629999998	6.1058154753	0.4484917944	8.4325713205	0.6736618126	0.0001	0.249975	0.749925
JEWCAP	1.1989686574	0.5867603625	1.4128338865	0.0325027394	6.561237210700001	0.6349755511	9.1730397546	1.254238653	0.001	0.1665	0.8325
JEWCAP	1.2229302812	0.2781952437	1.7232829954	0.0853328116	6.4516195721	0.6198520563000001	9.3978328487	0.9833801115999999	0.001	0.1998	0.7992
JEWCAP	1.199856125	0.2824657387	2.2234868611	0.0968566702	5.9108768912	0.4360024829	9.3342198773	0.8153248918000001	0.001	0.24975	0.74925
JEWCAP	2.2958785468	0.9802495876	1.4367145872	0.1049802088	6.6392126443	0.24753626260000003	10.3718057783	1.3327660590000001	0.002	0.16633333333333333	0.8316666666666667
JEWCAP	2.5701060192	0.9073790415999999	1.7400640283000002	0.35340504429999997	6.3555628786	0.2901596848	10.6657329261	1.5509437707	0.002	0.1996	0.7984
JEWCAP	2.5940676430000003	0.5057661906	2.2931926902	0.0923295258	5.9221776787	0.3367445053	10.809438011900001	0.9348402217	0.002	0.2495	0.7484999999999999
JEWCAP	3.9456807186000002	0.8950918673999999	1.4825397155000002	0.1087382002	6.7256636685	0.2032445921	12.1538841026	1.2070746597	0.003	0.16616666666666666	0.8308333333333333
JEWCAP	3.5054968148000003	0.8757465731	1.7155379033000002	0.17730266030000003	6.3730790991	0.2536366022	11.5941138172	1.3066858356	0.003	0.1994	0.7976
JEWCAP	3.6918649999	0.6422960161	2.1189281176	0.0980195391	5.768486969	0.3453199661	11.5792800865	1.0856355213	0.003	0.24925	0.74775
JEWCAP	5.1881352859	0.9439985259	1.4760854721	0.17884660789999998	6.57084288	0.40955650369999996	13.235063638	1.5324016375	0.004	0.166	0.8300000000000001
JEWCAP	4.8251610588	1.6609978812000001	1.6690673506	0.0815791859	6.2301241375	0.5082264545	12.7243525469	2.2508035216	0.004	0.1992	0.7968
JEWCAP	4.6751790431	0.6439761975	2.1724983381	0.13147659820000002	5.9730312224	0.4492883854	12.820708603599998	1.2247411811	0.004	0.249	0.747
JEWCAP	5.5369100323	1.4845971374	1.4954482024000002	0.1026691415	6.3295710674	0.39779092969999996	13.3619293021	1.9850572086000002	0.005	0.16583333333333333	0.8291666666666666
JEWCAP	6.3391806957000005	1.7406458274	1.7355460579	0.1493930811	6.1702299639	0.3367179573	14.2449567175	2.2267568658	0.005	0.19899999999999998	0.7959999999999999
JEWCAP	5.4455008748000004	1.123120249	2.1873430979	0.1477105466	5.5176094869000005	0.48526323590000003	13.1504534596	1.7560940315	0.005	0.24875	0.74625
JEWCAP	6.145712770299999	1.4383327581	1.4315511925	0.09595790929999999	6.348217366699999	0.5018745753	13.9254813295	2.0361652427	0.006	0.16566666666666666	0.8283333333333333
JEWCAP	6.7953390154	0.6226101938	1.7897617027000001	0.174603688	6.2708069725	0.6041071635999999	14.855907690599999	1.4013210454	0.006	0.1988	0.7952
JEWCAP	7.222210906	1.3875474937999999	2.1983153118	0.10450295119999999	5.786568228999999	0.3405158114	15.207094446800001	1.8325662563999998	0.006	0.2485	0.7455
JEWCAP	8.4788649541	1.3779419147	1.3812080937	0.0326561757	6.1917014601	0.2469319037	16.0517745079	1.6575299941	0.006999999999999999	0.1655	0.8275
JEWCAP	8.5676117089	1.7055399272	1.6290510414	0.0666258016	6.0662627191	0.3699243348	16.2629254694	2.1420900636	0.006999999999999999	0.1986	0.7944
JEWCAP	7.7422668892	0.7859656315000001	2.1176372689	0.19282531579999998	5.6820359448	0.3275942165	15.5419401029	1.3063851638	0.006999999999999999	0.24825	0.74475
JEWCAP	8.828527167999999	1.4959302094	1.3908894588999998	0.1367325034	6.127286971499999	0.5189928943	16.346703598399998	2.1516556071	0.008	0.16533333333333333	0.8266666666666667
JEWCAP	9.0725807437	1.5289353146	1.6819758375	0.22944449579999998	5.9526898049	0.33806169280000004	16.7072463861	2.0964415032	0.008	0.1984	0.7936
JEWCAP	9.200376070599999	1.9701347821000001	2.0969836899	0.1324237117	5.6424831886	0.2795980173	16.9398429491	2.3821565111000003	0.008	0.248	0.7440000000000001
JEWCAP	10.3407718699	2.1651269146	1.3618453634	0.09720013460000002	6.1442381527	0.4375813174	17.846855385999998	2.6999083666000003	0.009000000000000001	0.16516666666666666	0.8258333333333333
JEWCAP	11.9657249504	2.8116092439999996	1.6574497125	0.0956099825	6.0058035061	0.3027767585	19.628978169	3.209995985	0.009000000000000001	0.1982	0.7928
JEWCAP	10.2431504396	2.2827321514	2.0885931735	0.15297510050000002	5.5277801957	0.4706286179	17.859523808800002	2.9063358698000004	0.009000000000000001	0.24775	0.74325
JEWCAP	11.501579422699999	2.6027715063	1.3534548469999998	0.0631856916	5.9396938993	0.4356391279	18.794728169000003	3.1015963257999997	0.01	0.165	0.8250000000000001
JEWCAP	10.960224218399999	1.0051211563	1.6458320743000001	0.13421102210000002	6.0538318528	0.3517323583	18.6598881455	1.4910645367	0.01	0.198	0.792
JEWCAP	10.9566743482	2.5152239447999998	2.0821389300999997	0.0673719145	5.6357027161	0.5181925546	18.6745159944	3.1007884138999997	0.01	0.2475	0.7424999999999999
JEWCAP	14.3805241486	3.302335315	1.3399009358	0.1051388132	5.9233077575	0.2149705646	21.6437328419	3.6224446928	0.012	0.16466666666666666	0.8233333333333333
JEWCAP	13.5152432893	3.0781253794	1.605815765	0.2030205841	5.6419181491999995	0.0954899825	20.7629772035	3.3766359460000004	0.012	0.1976	0.7904
JEWCAP	11.835267220799999	1.7466515737000001	2.0550311077	0.1557279341	5.2859433436000005	0.1340942128	19.1762416721	2.0364737206	0.012	0.247	0.741
JEWCAP	15.4064366342	2.9519363887	1.3792718206999999	0.2679747153	5.8001291739	0.33368912	22.5858376288	3.5536002239999998	0.013999999999999999	0.16433333333333333	0.8216666666666667
JEWCAP	15.7392369647	1.6155322350999999	1.5858076103999998	0.1438934454	5.674690432899999	0.4778055269	22.999735008000002	2.2372312074000003	0.013999999999999999	0.1972	0.7888
JEWCAP	16.1208480104	3.5240083665	2.0324412557	0.1421927103	5.3125001942	0.3613178286	23.4657894603	4.0275189054	0.013999999999999999	0.2465	0.7395
JEWCAP	16.6506661365	4.6288374438	1.3566819687	0.1627493505	5.9634255529999995	0.5326184744	23.970773658200002	5.3242052687	0.016	0.16399999999999998	0.8200000000000001
JEWCAP	17.629542842	3.9338344261000002	1.601943219	0.1197501339	5.6210116924	0.6717897572	24.8524977534	4.7253743172	0.016	0.1968	0.7872
JEWCAP	16.5344078877	1.9183953086	1.9724167918000002	0.1557814249	5.2475206662	0.4999318178	23.754345345700003	2.5741085513	0.016	0.24600000000000002	0.738
JEWCAP	18.2170463588	1.3315751892	1.3134385377	0.1691455141	6.0577871285	0.21723982039999998	25.588272025	1.7179605237	0.018000000000000002	0.16366666666666665	0.8183333333333332
JEWCAP	20.110014638800003	5.2694741138	1.5238468735	0.1324866119	5.4232479115	0.3312422549	27.0571094238	5.7332029806	0.018000000000000002	0.1964	0.7856
JEWCAP	20.1251015872	5.2529221412	1.9343367555000002	0.2127591199	5.0299805072	0.5478563028	27.0894188499	6.0135375639	0.018000000000000002	0.2455	0.7364999999999999
JEWCAP	21.9204484369	5.5503415274000005	1.3063388699	0.1300750245	5.5221298019	0.501793141	28.7489171087	6.1822096929	0.02	0.16333333333333333	0.8166666666666667
JEWCAP	21.356906543900003	0.7683439615000001	1.5593452122999998	0.17277130829999998	5.452064919600001	0.3256784216	28.3683166758	1.2667936914	0.02	0.196	0.784
JEWCAP	20.5963468552	3.850674955	1.9246553903999999	0.2913317082	5.0893096415	0.3824043551	27.6103118871	4.5244110182999995	0.02	0.245	0.735
JEWCAP	29.0077642756	2.986437879	1.1430465112000001	0.1006034167	5.1689801932	0.46514238950000003	35.31979098	3.5521836851999997	0.03	0.16166666666666665	0.8083333333333332
JEWCAP	30.5768069006	5.2679834442	1.4786671695	0.1381509661	4.9836472785	0.4845257934	37.0391213486	5.8906602037	0.03	0.19399999999999998	0.7759999999999999
JEWCAP	28.9332170016	2.8183856761	1.7787894888999998	0.11322737210000001	4.443469637	0.2776270235	35.1554761275	3.2092400717	0.03	0.2425	0.7275
JEWCAP	36.5858496684	8.606026822899999	1.1385285407999999	0.16431849710000002	4.738420190199999	0.4457927907	42.4627983994	9.216138110700001	0.04	0.16	0.8
JEWCAP	34.9147482754	5.7666070633	1.3863714885	0.0781576634	4.5768189293	0.2768577616	40.8779386932	6.121622488300001	0.04	0.192	0.768
JEWCAP	39.938702065	7.5561294797	1.6813304131	0.1366105841	4.2790431792	0.3435439394	45.899075657299996	8.0362840032	0.04	0.24	0.72
JEWCAP	44.3432035059	8.974496261599999	1.0449420111	0.1169198266	4.4604208182	0.4525877208	49.848566335200005	9.544003809	0.05	0.15833333333333333	0.7916666666666666
JEWCAP	43.116723354499996	9.8322840049	1.3018208995	0.1018544235	4.3553234947	0.47791242689999996	48.7738677487	10.4120508553	0.05	0.19	0.76
JEWCAP	42.7848104916	7.7414298331	1.5767716696	0.2372002514	3.9710967203	0.3398250331	48.332678881499994	8.3184551176	0.05	0.2375	0.7124999999999999
