MOF	CO2_mass	CO2_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	CO2_comp	O2_comp	N2_comp
KICXAX	0.0001344386	0.0005377544999999999	0.21940157670000002	0.0173738252	0.9322191506999999	0.1204547941	1.1517551659999998	0.1383663738	1e-06	0.1666665	0.8333325
KICXAX	0.0004033158	0.0006586119999999999	0.2743497434	0.020031682	0.931363197	0.0601496135	1.2061162562	0.0808399075	1e-06	0.19999979999999998	0.7999991999999999
KICXAX	0.0002688772	0.0006586119999999999	0.3219649697	0.0323188158	0.8782084736	0.1148828872	1.2004423204999999	0.147860315	1e-06	0.24999975	0.74999925
KICXAX	0.0021510178	0.0010060465	0.2199882119	0.012970993	0.9828916084	0.1110414425	1.2050308381000001	0.125018482	1e-05	0.166665	0.8333250000000001
KICXAX	0.0020165792	0.0014727012	0.260857133	0.0110201406	0.9552443046	0.041316947	1.2181180168	0.0538097888	1e-05	0.199998	0.799992
KICXAX	0.0021510178	0.0023129694	0.3215738795	0.0468304945	0.890876588	0.11881500369999999	1.2146014853	0.16795846760000002	1e-05	0.24999749999999998	0.7499925000000001
KICXAX	0.022047933	0.0068233392	0.21490403989999998	0.0200526686	0.949509415	0.1099007191	1.1864613879	0.1367767269	0.0001	0.16665	0.8332499999999999
KICXAX	0.0254088983	0.0084770983	0.26877670870000003	0.024387536600000002	0.9250291398	0.1032800958	1.2192147468	0.1361447307	0.0001	0.19998	0.79992
KICXAX	0.021779055699999997	0.0065641297999999995	0.3279290945	0.0280073528	0.8784652597	0.058266748	1.2281734099	0.0928382306	0.0001	0.249975	0.749925
KICXAX	0.2253191197	0.055945850899999996	0.23123205379999998	0.016029926200000003	0.9725345689	0.0662921618	1.4290857424	0.1382679389	0.001	0.1665	0.8325
KICXAX	0.2304277871	0.0517083842	0.2592927724	0.012935569199999998	0.9543027556	0.048692856799999996	1.4440233151	0.1133368102	0.001	0.1998	0.7992
KICXAX	0.2039433798	0.0419362293	0.3364353054	0.033394152999999996	0.8723879886	0.0743894169	1.4127666738	0.1497197992	0.001	0.24975	0.74925
KICXAX	0.44216860659999996	0.0740970233	0.21949934920000003	0.02998287	0.9737329041	0.031923285600000004	1.6354008599	0.1360031789	0.002	0.16633333333333333	0.8316666666666667
KICXAX	0.45050380079999996	0.0637947708	0.2536219652	0.0280482813	0.8967826684	0.0503766372	1.6009084344	0.1422196893	0.002	0.1996	0.7984
KICXAX	0.42052398950000003	0.0734610781	0.3190317935	0.0158572469	0.8688785784999999	0.0359272218	1.6084343615	0.1252455468	0.002	0.2495	0.7484999999999999
KICXAX	0.7024417664	0.0768960677	0.203855743	0.0251714446	0.9333318905	0.08454014900000001	1.8396293999000002	0.18660766129999998	0.003	0.16616666666666666	0.8308333333333333
KICXAX	0.6657400243	0.0762189887	0.2625192662	0.033489057	0.9182671056999999	0.0803842136	1.8465263962	0.1900922593	0.003	0.1994	0.7976
KICXAX	0.6724619551000001	0.1316719007	0.32392042039999996	0.00853706	0.8693065553	0.057865001	1.8656889308000002	0.19807396170000002	0.003	0.24925	0.74775
KICXAX	0.9301807812	0.1379484323	0.2182283062	0.0135279888	0.9651733673	0.0271238742	2.1135824547	0.17860029530000002	0.004	0.166	0.8300000000000001
KICXAX	0.8764053348999999	0.07209420400000001	0.25567518850000004	0.0133056894	0.9158704354	0.0679564692	2.0479509588	0.1533563626	0.004	0.1992	0.7968
KICXAX	0.8504586821	0.0843494916	0.3119921707	0.0248380738	0.8477365227	0.1132674805	2.0101873755	0.2224550459	0.004	0.249	0.747
KICXAX	1.1245790193	0.13295428539999998	0.21451294969999998	0.0239365067	0.9503653686	0.1142992737	2.2894573376	0.2711900658	0.005	0.16583333333333333	0.8291666666666666
KICXAX	1.1054887359	0.2175574055	0.2421825781	0.025477955299999997	0.8938724259	0.0528383471	2.2415437399	0.2958737079	0.005	0.19899999999999998	0.7959999999999999
