MOF	CO2_mass	CO2_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	CO2_comp	O2_comp	N2_comp
LODPUQ	0.0034016621	0.0035050796	8.7874685675	0.33046649780000004	30.355666518400003	1.0784364381	39.146536748	1.4124080155	1e-06	0.1666665	0.8333325
LODPUQ	0.0026457371999999996	0.0022038809	10.2744263921	0.3699562643	29.3690264401	0.9614788079000001	39.6460985694	1.3336389531	1e-06	0.19999979999999998	0.7999991999999999
LODPUQ	0.0030236996999999997	0.0030236996999999997	12.7894315897	0.503048054	27.362176456300002	0.700286464	40.1546317457	1.2063582177	1e-06	0.24999975	0.74999925
LODPUQ	0.03382764	0.0108495636	8.6492044422	0.3039450591	30.3236608769	0.6775305573	39.0066929591	0.99232518	1e-05	0.166665	0.8333250000000001
LODPUQ	0.0317488465	0.007030508100000001	10.368160123200001	0.5146873774	29.299720990700003	0.344256585	39.6996299604	0.8659744705	1e-05	0.199998	0.799992
LODPUQ	0.03382764	0.012950386000000001	12.7781615517	0.5536028470000001	27.046692275100003	1.0950634848	39.8586814668	1.6616167178	1e-05	0.24999749999999998	0.7499925000000001
LODPUQ	0.3237248458	0.034113074900000005	8.6689957286	0.1532114364	30.466603366300003	0.6234518826	39.4593239407	0.8107763939	0.0001	0.16665	0.8332499999999999
LODPUQ	0.3154096717	0.037500276299999996	10.3766813715	0.1991364916	29.2707233981	0.6314030603999999	39.962814441300004	0.8680398282999999	0.0001	0.19998	0.79992
LODPUQ	0.3135198594	0.012094798700000001	12.9123024923	0.36532584590000006	27.1560649375	0.2412651841	40.3818872892	0.6186858287	0.0001	0.249975	0.749925
LODPUQ	3.1276393452	0.1289788237	8.433012127000001	0.22809920579999998	29.9685907706	0.5503479661999999	41.5292422428	0.9074259956999999	0.001	0.1665	0.8325
LODPUQ	3.0834177375	0.0475001228	10.0520493	0.3697695453	28.523403699699998	0.5809252924	41.6588707372	0.9981949605	0.001	0.1998	0.7992
LODPUQ	3.1329308196	0.1385148617	12.6664232476	0.294270751	26.7630934136	0.3741493741	42.562447480799996	0.8069349868000001	0.001	0.24975	0.74925
LODPUQ	6.2225849377	0.1842061998	8.3322689821	0.1657659259	29.1962441044	0.4236579809	43.7510980242	0.7736301066	0.002	0.16633333333333333	0.8316666666666667
LODPUQ	6.127149416900001	0.3819938504	9.9797561291	0.1247072328	28.261222147199998	0.6674757071	44.368127693199995	1.1741767903	0.002	0.1996	0.7984
LODPUQ	6.0702660669	0.1161360001	12.376151048199999	0.445558048	26.1541439701	0.46457155130000005	44.600561085200006	1.0262655994	0.002	0.2495	0.7484999999999999
LODPUQ	9.1514160296	0.3657633931	8.085839979400001	0.1604822472	28.4544592162	0.1599936455	45.69171522520001	0.6862392857999999	0.003	0.16616666666666666	0.8308333333333333
LODPUQ	9.1183443145	0.3045167321	9.8516625259	0.1208936365	27.3638609637	0.7078828815	46.333867804099995	1.1332932501000001	0.003	0.1994	0.7976
LODPUQ	9.1051156284	0.3260613587	12.0897271545	0.43338696039999997	25.7052227344	0.3026623288	46.90006551729999	1.0621106479	0.003	0.24925	0.74775
LODPUQ	11.611762654100001	0.17350247170000002	7.8630505688	0.1708995793	28.1400579327	0.7255514403	47.61487115560001	1.0699534913	0.004	0.166	0.8300000000000001
LODPUQ	11.9583542287	0.3564961465	9.5870915108	0.1846728535	26.784510722600004	0.5333749701	48.3299564621	1.0745439701000001	0.004	0.1992	0.7968
LODPUQ	11.751986726199998	0.41960540350000003	11.901709934400001	0.2675356285	25.2727856074	0.6918814485	48.926482268	1.3790224805000002	0.004	0.249	0.747
LODPUQ	14.7756863953	0.3410331618	7.9051070522	0.1717005955	27.6029406998	0.4502739082	50.283734147299995	0.9630076654999999	0.005	0.16583333333333333	0.8291666666666666
LODPUQ	14.5266091351	0.43496336189999996	9.3072647125	0.1265351263	26.235120649699997	0.7119243711	50.0689944973	1.2734228593	0.005	0.19899999999999998	0.7959999999999999
LODPUQ	14.6649433949	0.279967894	11.658167161	0.2762805847	24.6633548761	0.3358173639	50.986465431999996	0.8920658426000001	0.005	0.24875	0.74625
LODPUQ	17.4817086179	0.45017058340000005	7.7609330289	0.1456044085	27.195410218699998	0.4035280707	52.4380518655	0.9993030626	0.006	0.16566666666666666	0.8283333333333333
LODPUQ	17.3669970117	0.4531698951	9.1915406633	0.11502494630000001	26.0664292607	0.34973386409999996	52.624966935699995	0.9179287054999999	0.006	0.1988	0.7952
LODPUQ	17.3720995049	0.1782244291	11.476059838900001	0.1533898581	24.079191756500002	0.44390461719999996	52.927351100299994	0.7755189043999999	0.006	0.2485	0.7455
LODPUQ	20.0715073844	0.3188229279	7.5822616941	0.11839787730000001	26.4658981705	0.42973735770000004	54.119667248999995	0.8669581629	0.006999999999999999	0.1655	0.8275
LODPUQ	19.8165717061	0.5244411281	9.0590489965	0.2167026331	25.3407675152	0.6607797268	54.216388217799995	1.4019234880000002	0.006999999999999999	0.1986	0.7944
LODPUQ	19.8358477915	0.5605255897	11.358549076400001	0.2684646023	23.896302376100003	0.5218093629999999	55.090699244	1.350799555	0.006999999999999999	0.24825	0.74475
LODPUQ	22.343439723299998	0.2955448921	7.5157409817	0.1610973733	25.9524843638	0.1922104816	55.811665068800004	0.6488527470000001	0.008	0.16533333333333333	0.8266666666666667
