MOF	CO2_mass	CO2_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	CO2_comp	O2_comp	N2_comp
MOF-801	0.1087176618	0.0378057414	2.3456935006	0.1785442672	13.4856807122	0.6902824406	15.9400918746	0.9066324492	1e-06	0.1666665	0.8333325
MOF-801	0.1089304165	0.0230561731	2.8293767382	0.2823361768	12.8628437168	0.68311504	15.8011508715	0.9885073899	1e-06	0.19999979999999998	0.7999991999999999
MOF-801	0.1168023411	0.050587328200000004	3.5360246417	0.3279842818	12.1748513071	0.752974047	15.8276782899	1.131545657	1e-06	0.24999975	0.74999925
MOF-801	1.3882245461000002	0.1786886348	2.3195442788	0.1436979617	12.8665010893	0.5430709954	16.574269914200002	0.8654575918999999	1e-05	0.166665	0.8333250000000001
MOF-801	1.1733422792000001	0.13492742630000001	2.7382412849	0.050191418099999996	12.5580626729	1.2774884579	16.469646237	1.4626073023	1e-05	0.199998	0.799992
MOF-801	1.2144039401	0.1405701845	3.4602073716	0.2928963033	12.121345301600002	0.29037824079999996	16.7959566133	0.7238447286	1e-05	0.24999749999999998	0.7499925000000001
MOF-801	8.3523247865	1.2940403178	2.0066819927	0.1762048837	10.8714721053	0.9406166465000001	21.230478884500002	2.410861848	0.0001	0.16665	0.8332499999999999
MOF-801	8.2182893131	0.9077689175	2.4162499805	0.1303969067	10.6047548274	0.6996727516	21.239294121	1.7378385758000001	0.0001	0.19998	0.79992
MOF-801	9.0173960403	1.5348800830000002	3.0187651844	0.1260220974	9.6890571134	0.4429651028	21.7252183381	2.1038672832	0.0001	0.249975	0.749925
MOF-801	28.5301951587	1.0295731770999998	1.3237076449	0.0294717349	6.2956927002	0.3814631077	36.1495955038	1.4405080197	0.001	0.1665	0.8325
MOF-801	28.115748964699996	2.236963626	1.608718689	0.0748645951	5.8952781377	0.2881364607	35.6197457914	2.5999646818	0.001	0.1998	0.7992
MOF-801	29.1199512418	0.45546089939999995	1.9153918103	0.1299112939	5.4195487928	0.45216066590000004	36.4548918449	1.0375328592	0.001	0.24975	0.74925
MOF-801	35.5800355511	1.910195239	1.095636918	0.0338202611	4.9061620567	0.3822432853	41.5818345258	2.3262587854	0.002	0.16633333333333333	0.8316666666666667
MOF-801	35.6659884579	2.5027998624000003	1.3254096653	0.1095342312	4.6742575469	0.4194296414	41.6656556701	3.031763735	0.002	0.1996	0.7984
MOF-801	35.5251448335	1.8722398894999999	1.6676704848	0.1011062177	4.4565761524	0.28681855300000003	41.6493914707	2.2601646602	0.002	0.2495	0.7484999999999999
MOF-801	39.4251516005	2.2675408008	0.9613320395	0.0728614822	4.2540660811	0.38545903579999996	44.640549721099994	2.7258613188	0.003	0.16616666666666666	0.8308333333333333
MOF-801	39.3734522036	2.0631938718000002	1.1858439966	0.135468506	4.1362174108	0.44728303210000003	44.695513611	2.6459454099	0.003	0.1994	0.7976
MOF-801	40.3212744799	3.1074500181999998	1.4095823081	0.0995907601	3.9064802328	0.23884849	45.6373370208	3.4458892682999998	0.003	0.24925	0.74775
MOF-801	44.079373849	2.1616124106	0.8579729855	0.0552883336	3.7673646186000003	0.11685454220000001	48.7047114531	2.3337552863999997	0.004	0.166	0.8300000000000001
MOF-801	43.84534365729999	3.321418697	1.0558715335	0.1267094538	3.7210378999000002	0.460039004	48.6222530907	3.9081671548	0.004	0.1992	0.7968
MOF-801	43.0538960999	3.1420068791	1.3582122393	0.1317202033	3.5830059516	0.34742691509999996	47.9951142908	3.6211539975	0.004	0.249	0.747
MOF-801	47.930021521	1.2842834992	0.7917489209999999	0.0843839923	3.3909261649	0.2522647095	52.112696606899995	1.620932201	0.005	0.16583333333333333	0.8291666666666666
MOF-801	48.7233838708	1.7585994722	0.9237328627	0.1028360993	3.1285435507	0.1921663153	52.7756602842	2.0536018868	0.005	0.19899999999999998	0.7959999999999999
MOF-801	46.197134328999994	2.3271650028	1.2104459270999999	0.08549452630000001	3.1387029188	0.1385980769	50.5462831749	2.551257606	0.005	0.24875	0.74625
MOF-801	49.9211929428	3.5275131857999997	0.7524477237999999	0.0658906298	3.1076829814	0.3450795451	53.781323648000004	3.9384833607	0.006	0.16566666666666666	0.8283333333333333
MOF-801	49.951616867700004	1.7886733543	0.8793256045000001	0.0664262053	3.0127267539999996	0.36013188090000003	53.8436692262	2.2152314405	0.006	0.1988	0.7952
MOF-801	49.022304252	2.3556813614	1.1154422458	0.0500844571	2.9365992221	0.1263481984	53.074345719899995	2.5321140169	0.006	0.2485	0.7455
MOF-801	51.9195980251	1.9183530449000001	0.6673467063	0.0490723114	2.9122167386	0.22327759120000001	55.49916147	2.1907029475	0.006999999999999999	0.1655	0.8275
MOF-801	52.92146000020001	2.1362775037	0.8355372627	0.0284297658	2.8152286375999998	0.1169738193	56.5722259005	2.2816810888	0.006999999999999999	0.1986	0.7944
MOF-801	52.3061733508	1.9956404503999998	1.0216763974	0.1066019651	2.5403838651	0.18158964219999998	55.8682336133	2.2838320577	0.006999999999999999	0.24825	0.74475
