MOF	CO2_mass	CO2_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	CO2_comp	O2_comp	N2_comp
NU-125	0.0	0.0	3.1195333343000002	0.25516371050000003	11.500812874500001	0.6566828657	14.620346208800001	0.9118465762000001	1e-06	0.1666665	0.8333325
NU-125	0.0007189746	0.0028758982	3.6000648688	0.18598844920000002	10.7825842723	0.5483217037	14.3833681157	0.7371860511	1e-06	0.19999979999999998	0.7999991999999999
NU-125	0.0	0.0	4.5020419056	0.212113603	10.2511225725	0.7460447981999999	14.753164478099999	0.9581584012000001	1e-06	0.24999975	0.74999925
NU-125	0.0043138473	0.0105667248	3.0756109743	0.1660636102	11.2861224893	0.49284623780000003	14.366047310899999	0.6694765728000001	1e-05	0.166665	0.8333250000000001
NU-125	0.0028758982	0.0083846121	3.7015046051	0.1028051422	10.738639118900002	0.4283967722	14.4430196222	0.5395865264999999	1e-05	0.199998	0.799992
NU-125	0.0007189746	0.0028758982	4.5501473475	0.313706741	9.9956913679	0.35569493049999995	14.54655769	0.6722775697	1e-05	0.24999749999999998	0.7499925000000001
NU-125	0.0208502621	0.0146642612	3.1320825801	0.16911114260000001	11.5122569249	0.3815813661	14.665189767100001	0.5653567699000001	0.0001	0.16665	0.8332499999999999
NU-125	0.0150984657	0.0105667248	3.7773229647	0.262056811	11.0238248545	0.44964814270000003	14.8162462849	0.7222716785	0.0001	0.19998	0.79992
NU-125	0.029477956800000003	0.012369706000000001	4.6714567229	0.5076071222999999	10.4644396717	1.1641599964	15.1653743514	1.6841368247	0.0001	0.249975	0.749925
NU-125	0.2688964842	0.0673537575	3.1116900558	0.1961314581	11.3602799358	0.5542558588000001	14.740866475799999	0.8177410744	0.001	0.1665	0.8325
NU-125	0.27033443329999995	0.0733776852	3.7292175227	0.0965059752	11.0265714265	1.0266556018000002	15.0261233825	1.1965392622	0.001	0.1998	0.7992
NU-125	0.24301340010000003	0.0442271634	4.5140682661	0.1554860605	10.0716798625	0.340921776	14.8287615287	0.5406349999	0.001	0.24975	0.74925
NU-125	0.5392309175	0.0426564642	3.0510353681	0.15511282869999998	11.5841255613	0.5527930762	15.1743918469	0.7505623691	0.002	0.16633333333333333	0.8316666666666667
NU-125	0.5219755281	0.0635632064	3.5221549681999997	0.1559706279	10.6846232011	0.10682247140000001	14.7287536974	0.3263563057	0.002	0.1996	0.7984
NU-125	0.49321654579999996	0.0200283136	4.5104080694	0.18758102559999998	10.206261895	0.38836352409999997	15.2098865102	0.5959728633	0.002	0.2495	0.7484999999999999
NU-125	0.7973427833	0.0684197887	2.9673737299000003	0.14925603210000002	11.1785484157	0.5382549455	14.943264928900001	0.7559307663	0.003	0.16616666666666666	0.8308333333333333
NU-125	0.7671458519	0.07791508400000001	3.7192827031999998	0.1910528501	10.7661048398	0.6648898332000001	15.2525333949	0.9338577673	0.003	0.1994	0.7976
NU-125	0.7930289359999999	0.0761705955	4.5438727247	0.3729311952	10.056573716	0.3509861708	15.393475376700001	0.8000879615000001	0.003	0.24925	0.74775
NU-125	1.0547356745999998	0.1017393456	3.0024070408999997	0.2474214273	11.4504590528	0.6330727859	15.507601768299999	0.9822335588	0.004	0.166	0.8300000000000001
NU-125	1.0324474633	0.09356618970000001	3.5666002135	0.1740320441	10.801810277000001	0.652522693	15.400857953800001	0.9201209268	0.004	0.1992	0.7968
NU-125	1.0878085042	0.0756257344	4.5689712161000005	0.4321398967	10.0826661508	0.6196576136	15.7394458711	1.1274232446999999	0.004	0.249	0.747
