MOF	CO2_mass	CO2_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	CO2_comp	O2_comp	N2_comp
RUTNOK	0.0	0.0	2.3712102916999998	0.3763455971	9.4196367467	0.6615843246	11.790847038399999	1.0379299217	1e-06	0.1666665	0.8333325
RUTNOK	0.0	0.0	2.8649799642000002	0.3656901626	8.8457153996	1.1529340801	11.710695363800001	1.5186242427	1e-06	0.19999979999999998	0.7999991999999999
RUTNOK	0.0	0.0	3.44801873	0.2729877847	8.3548294815	0.5644431384	11.8028482115	0.8374309231	1e-06	0.24999975	0.74999925
RUTNOK	0.0	0.0	2.2903101758	0.28688765899999996	9.4684811166	1.0090353126	11.7587912924	1.2959229716	1e-05	0.166665	0.8333250000000001
RUTNOK	0.0	0.0	2.7924488257999998	0.4659315431	8.6283579533	0.3981939713	11.420806779100001	0.8641255144	1e-05	0.199998	0.799992
RUTNOK	0.0	0.0	3.5512361192000004	0.5953422863000001	8.411000507	0.5322467697	11.9622366262	1.127589056	1e-05	0.24999749999999998	0.7499925000000001
RUTNOK	0.0038358206	0.0153432823	2.326575745	0.4268816635	8.965384106	0.4823984322	11.2957956716	0.9246233779999999	0.0001	0.16665	0.8332499999999999
RUTNOK	0.011507461799999999	0.030686564700000002	2.7924488257999998	0.2349946359	8.7358155672	0.9242562918	11.5397718548	1.1899374924	0.0001	0.19998	0.79992
RUTNOK	0.0076716412	0.018791606399999997	3.4452290708999995	0.5570943070000001	8.3792516665	0.5802826271	11.832152378599998	1.1561685405	0.0001	0.249975	0.749925
RUTNOK	0.0690447705	0.0711438734	2.3237860858	0.34056700219999997	9.2657769813	0.8175269423999999	11.6586078376	1.2292378179999999	0.001	0.1665	0.8325
RUTNOK	0.11123879699999999	0.092059694	2.7254970058	0.40793936770000006	8.7382577857	0.63264302	11.5749935885	1.1326420817	0.001	0.1998	0.7992
RUTNOK	0.0805522323	0.050887910599999996	3.3866462283999996	0.3785722695	8.5306692134	0.8327356292	11.9978676741	1.2621958093	0.001	0.24975	0.74925
RUTNOK	0.1342537205	0.0686172446	2.3126274492	0.2255314787	9.260892544299999	0.38695100549999994	11.707773714000002	0.6810997287999999	0.002	0.16633333333333333	0.8316666666666667
RUTNOK	0.1649402852	0.0668798172	2.929142125	0.4061805057	9.038650661	0.969951297	12.132733071199999	1.4430116199	0.002	0.1996	0.7984
RUTNOK	0.1802835675	0.1203249901	3.5261291867	0.3595956151	8.4427493475	0.6418157647	12.1491621017	1.1217363699	0.002	0.2495	0.7484999999999999
RUTNOK	0.2263134145	0.1122264351	2.2038307417	0.2476362702	8.9018864251	0.2946898677	11.332030581300002	0.6545525729999999	0.003	0.16616666666666666	0.8308333333333333
RUTNOK	0.24165669690000002	0.030686564700000002	2.9709870125	0.2658239272	9.0362084425	1.0251501236	12.248852151900001	1.3216606155	0.003	0.1994	0.7976
RUTNOK	0.1611044646	0.0711438734	3.3922255467	0.3068117831	8.3279650781	0.5148391226	11.8812950894	0.8927947790999999	0.003	0.24925	0.74775
RUTNOK	0.3068656468	0.097039438	2.0810857383	0.31234218010000003	9.4025412172	0.6753959561	11.7904926023	1.0847775742	0.004	0.166	0.8300000000000001
RUTNOK	0.3107014674	0.1173535441	2.728286665	0.3720196419	8.7113933822	0.5096225974	11.7503815146	0.9989957834000001	0.004	0.1992	0.7968
RUTNOK	0.2915223645	0.17222791710000002	3.6265569167000002	0.3195347262	8.403673851499999	1.0457030922	12.3217531327	1.5374657355	0.004	0.249	0.747
RUTNOK	0.3528954938	0.110108765	2.2791515392	0.19375583719999998	9.1338971824	0.9164016105	11.7659442154	1.2202662127	0.005	0.16583333333333333	0.8291666666666666
RUTNOK	0.3912536997	0.1297392245	2.6920210958	0.11018270869999999	8.6845289788	0.8589390436	11.7678037743	1.0988609768000002	0.005	0.19899999999999998	0.7959999999999999
RUTNOK	0.36823877619999995	0.0952025633	3.4033841833999996	0.5452338707	7.9420945554	0.403550281	11.713717515	1.043986715	0.005	0.24875	0.74625
RUTNOK	0.46029847020000003	0.1111726425	2.5134829092	0.3838798072	9.033766223999999	0.3954282844	12.007547603399999	0.8904807341	0.006	0.16566666666666666	0.8283333333333333
RUTNOK	0.47564175259999997	0.1198348659	2.8510316682999997	0.18804868760000001	8.9727107615	0.8273896026	12.2993841824	1.1352731561	0.006	0.1988	0.7952
RUTNOK	0.42961190549999995	0.1319879054	3.3838565692	0.1242573191	8.2498140861	0.1751600241	12.0632825608	0.4314052486	0.006	0.2485	0.7455
RUTNOK	0.5485223437	0.1759467111	2.3572619958	0.4529224506	9.0630728459	0.5010775344	11.9688571854	1.1299466961	0.006999999999999999	0.1655	0.8275
RUTNOK	0.5255074202000001	0.1620151811	2.828714395	0.39703426560000005	9.092379467899999	0.4912685047	12.4466012831	1.0503179514	0.006999999999999999	0.1986	0.7944
RUTNOK	0.5523581643	0.1756118931	3.632136235	0.3017993514	8.5697447094	0.8596331584	12.754239108699998	1.3370444029000002	0.006999999999999999	0.24825	0.74475
RUTNOK	0.5523581643	0.1837994584	2.2205686967	0.2701219927	9.02399735	0.6059458591	11.796924210999999	1.0598673102	0.008	0.16533333333333333	0.8266666666666667
RUTNOK	0.6789402436	0.2408944191	2.7422349608	0.35576631740000003	9.043535098	1.0579740144	12.4647103024	1.6546347509000001	0.008	0.1984	0.7936
RUTNOK	0.6635969612	0.2751115131	3.38106691	0.7054253226999999	8.5770713649	0.3875670718	12.6217352361	1.3681039076	0.008	0.248	0.7440000000000001
RUTNOK	0.7057909876999999	0.2344561986	2.3349447225	0.3284697806	9.2315859223	1.2632668798	12.2723216325	1.826192859	0.009000000000000001	0.16516666666666666	0.8258333333333333
RUTNOK	0.7057909876999999	0.061373129400000004	2.7673418933	0.2429407163	9.0850528124	0.637975536	12.558185693399999	0.9422893817	0.009000000000000001	0.1982	0.7928
RUTNOK	0.7901790406	0.17727965980000002	3.4117531608999996	0.8047767818000001	8.2327185566	0.8544833578000001	12.4346507581	1.8365397994	0.009000000000000001	0.24775	0.74325
RUTNOK	0.8477163493000001	0.2148059528	2.27636188	0.23031166579999998	8.997132946499999	0.8147498597	12.1212111758	1.2598674783	0.01	0.165	0.8250000000000001
RUTNOK	0.7518208346999999	0.1991673887	2.7645522342	0.23762918719999998	8.9067708621	0.4351263078	12.423143930999998	0.8719228837	0.01	0.198	0.792
RUTNOK	0.8630596317	0.1645383724	3.4257014567	0.38517506119999995	8.3401761706	0.6043688990999999	12.628937259	1.1540823327	0.01	0.2475	0.7424999999999999
RUTNOK	0.9934775316	0.2120483808	2.3907379058	0.4177415636	9.5515165455	0.7175967749	12.9357319829	1.3473867193	0.012	0.16466666666666666	0.8233333333333333
RUTNOK	0.9551193256999999	0.19009577600000002	2.7812901892000004	0.31885206309999997	8.8676953661	1.3087557037	12.604104881	1.8177035428	0.012	0.1976	0.7904
RUTNOK	0.9973133522	0.32818129620000003	3.3699082733999997	0.4254939018	8.2620251786	0.45835698350000004	12.629246804200001	1.2120321815000001	0.012	0.247	0.741
RUTNOK	1.2159551255	0.30164284339999997	2.3684206325	0.5129939732	9.0826105939	0.510511298	12.6669863519	1.3251481146	0.013999999999999999	0.16433333333333333	0.8216666666666667
RUTNOK	1.0625223020999999	0.531285384	2.7896591667000004	0.28612711469999996	8.6210312978	0.3585988518	12.473212766600001	1.1760113505	0.013999999999999999	0.1972	0.7888
RUTNOK	0.9666267875	0.1341989119	3.2722702025	0.43310750049999996	8.1863164052	0.3801083808	12.4252133952	0.9474147931999999	0.013999999999999999	0.2465	0.7395
RUTNOK	1.3348655637	0.3074404815	2.20941006	0.10073721529999999	9.019112912999999	0.5757837644	12.563388536700002	0.9839614612	0.016	0.16399999999999998	0.8200000000000001
RUTNOK	1.4576118224	0.1372344892	2.7143383692	0.1315583861	8.9678263245	0.2908599182	13.1397765161	0.5596527935	0.016	0.1968	0.7872
RUTNOK	1.2274625873	0.2072763303	3.3196944083999997	0.1013533508	8.450076003	0.5976203977000001	12.9972329987	0.9062500788	0.016	0.24600000000000002	0.738
RUTNOK	1.4882983871000002	0.482521226	2.24288597	0.37235419200000003	9.138781619400001	0.9640547319	12.869965976500001	1.8189301499000001	0.018000000000000002	0.16366666666666665	0.8183333333333332
RUTNOK	1.50747749	0.0789843801	2.7422349608	0.1660726066	8.8286198701	0.8382183453000001	13.0783323209	1.083275332	0.018000000000000002	0.1964	0.7856
RUTNOK	1.4192536165	0.2870465285	3.330853045	0.409386641	8.1960852792	1.0114913094	12.946191940699999	1.7079244788999999	0.018000000000000002	0.2455	0.7364999999999999
RUTNOK	1.5880297223	0.2801987516	2.1843031275	0.2454900067	9.102148341900001	0.7031893084999999	12.874481191700001	1.2288780668000001	0.02	0.16333333333333333	0.8166666666666667
RUTNOK	1.6455670311000001	0.253744678	2.7506039383	0.43447094399999997	8.7577955337	0.6555707849	13.1539665031	1.3437864069	0.02	0.196	0.784
RUTNOK	1.4499401812000001	0.3083961583	3.64887419	0.4619729486	8.0983965393	0.45882519909999997	13.197210910499999	1.229194306	0.02	0.245	0.735
RUTNOK	2.6083579980000002	0.1985755081	2.2791515392	0.2831744532	9.0850528124	0.5781407476	13.9725623496	1.0598907089	0.03	0.16166666666666665	0.8083333333333332
RUTNOK	2.3973878658000003	0.5756287524	2.7701315525	0.2886185203	8.6601067938	1.107098348	13.8276262121	1.9713456207	0.03	0.19399999999999998	0.7759999999999999
RUTNOK	2.4625968157	0.6516832271999999	3.431280775	0.5089121322	8.3108695486	0.2545536888	14.2047471393	1.4151490482	0.03	0.2425	0.7275
RUTNOK	3.1837310858	0.7481325311	2.1787238092	0.149083729	8.7797755002	0.5410492426	14.1422303952	1.4382655027000002	0.04	0.16	0.8
RUTNOK	3.4714176296	0.7887253052	2.7171280283	0.3789831806	8.755353315199999	0.7549576443000001	14.9438989731	1.9226661300999999	0.04	0.192	0.768
RUTNOK	3.5327907589999996	0.5507575867	3.2722702025	0.2848185997	7.8492902525	0.7445202329	14.654351214	1.5800964193	0.04	0.24	0.72
RUTNOK	4.1119996674	0.9632722345	2.2875205167	0.2217735175	8.7700066262	0.32925598149999996	15.169526810299999	1.5143017335	0.05	0.15833333333333333	0.7916666666666666
RUTNOK	4.1465220526	1.0181629212999999	2.6501762083	0.3877525893	8.2693518341	0.7795842999	15.066050095	2.1854998105	0.05	0.19	0.76
RUTNOK	4.2424175673	0.4335665185	3.2053183825	0.3982085784	7.773581479	0.7907057198	15.2213174288	1.6224808166999998	0.05	0.2375	0.7124999999999999
