MOF	CO2_mass	CO2_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	CO2_comp	O2_comp	N2_comp
SAPBIW	0.0	0.0	1.8551649021	0.0575013474	7.266223592999999	0.42245807630000004	9.1213884951	0.4799594237	1e-06	0.1666665	0.8333325
SAPBIW	0.0	0.0	2.2715177004	0.2104226159	7.0855875371	0.2812413552	9.3571052375	0.4916639711	1e-06	0.19999979999999998	0.7999991999999999
SAPBIW	0.00036187800000000005	0.0014475119	2.8642019619	0.1609378864	6.5602683947000004	0.4669529761	9.4248322346	0.6293383744	1e-06	0.24999975	0.74999925
SAPBIW	0.0007237559	0.0017728328	1.9022743527000001	0.2083664617	7.431653042200001	0.5177051236	9.334651150800001	0.7278444181	1e-05	0.166665	0.8333250000000001
SAPBIW	0.0018093898999999999	0.0039641746	2.3223116890999997	0.1727993105	7.1367370325	0.3073823036	9.4608581115	0.48414578869999997	1e-05	0.199998	0.799992
SAPBIW	0.00036187800000000005	0.0014475119	2.8447265466000005	0.1865463429	6.5475962224	0.10404021769999999	9.392684647000001	0.2920340725	1e-05	0.24999749999999998	0.7499925000000001
SAPBIW	0.0086850713	0.005318498299999999	1.9164861423	0.105135572	7.5413249334	0.5019477004	9.466496147	0.6124017707	0.0001	0.16665	0.8332499999999999
SAPBIW	0.0061519255000000005	0.0058798211	2.2730967881	0.2013885506	7.0630080301	0.1925762255	9.3422567437	0.3998445972	0.0001	0.19998	0.79992
SAPBIW	0.0079613154	0.0081241403	2.8831510147	0.227842655	6.8503459387	0.27130338190000003	9.7414582688	0.5072701772	0.0001	0.249975	0.749925
SAPBIW	0.07382310639999999	0.0207757041	1.9078011598	0.0738860082	7.5346432425	0.2774673669	9.5162675087	0.3721290792	0.001	0.1665	0.8325
SAPBIW	0.0759943743	0.0109763024	2.2915194783	0.22843529420000003	6.9805237086	0.4023780783	9.3480375612	0.6417896749	0.001	0.1998	0.7992
SAPBIW	0.0676711809	0.0115800951	2.8426210963	0.1703122557	6.648973600800001	0.450751446	9.559265878	0.6326437968	0.001	0.24975	0.74925
SAPBIW	0.1472843349	0.0304149771	1.9020111713999999	0.1232812623	7.3901804784000005	0.3657333139	9.4394759847	0.5194295533	0.002	0.16633333333333333	0.8316666666666667
SAPBIW	0.1490937248	0.0385429772	2.2420413961000003	0.1281387505	7.0980293062	0.37883095780000003	9.4891644271	0.5455126855	0.002	0.1996	0.7984
SAPBIW	0.1469224569	0.0165675308	2.8378838331	0.1739674104	6.697588661799999	0.3238632193	9.6823949518	0.5143981605	0.002	0.2495	0.7484999999999999
SAPBIW	0.2088035903	0.0384749641	1.9133279668	0.09599445050000001	7.3100001882	0.1254426042	9.4321317453	0.2599120188	0.003	0.16616666666666666	0.8308333333333333
SAPBIW	0.21929805149999998	0.0236082045	2.2852031274	0.1530674682	7.070841736599999	0.6052167106	9.5753429155	0.7818923833	0.003	0.1994	0.7976
SAPBIW	0.2232787092	0.0540447518	2.9021000675	0.18042492989999998	6.5787006453	0.2707431908	9.704079422000001	0.5052128725	0.003	0.24925	0.74775
SAPBIW	0.2869692324	0.05355794	1.8630603408000002	0.056283889100000005	7.3517031552	0.44277128159999996	9.5017327284	0.5526131107	0.004	0.166	0.8300000000000001
SAPBIW	0.2999968394	0.027597792700000002	2.2862558525	0.2102461078	6.9141676063999995	0.2649912494	9.5004202983	0.5028351499	0.004	0.1992	0.7968
SAPBIW	0.2985493275	0.0926577225	2.8544642543000003	0.15239446550000002	6.6360710253	0.42006377289999997	9.7890846071	0.6651159609	0.004	0.249	0.747
SAPBIW	0.34957412159999995	0.0376353092	1.8793775806	0.1423652658	7.3109218008	0.20539453929999998	9.539873502999999	0.3853951143	0.005	0.16583333333333333	0.8291666666666666
SAPBIW	0.34197468420000005	0.0608127293	2.2080910099	0.1434470814	6.8570276295	0.1322875191	9.4070933236	0.33654732979999996	0.005	0.19899999999999998	0.7959999999999999
SAPBIW	0.3466790979	0.051105575300000004	2.8647283244999997	0.1331811741	6.456586985	0.4137840129	9.6679944074	0.5980707623	0.005	0.24875	0.74625
SAPBIW	0.4556043676	0.0626122101	1.9125384230000002	0.04762345230000001	7.314377847699999	0.28175731449999997	9.6825206383	0.39199297689999996	0.006	0.16566666666666666	0.8283333333333333
SAPBIW	0.4317204214	0.050486840899999996	2.2786235952	0.17002081579999997	7.1139271224	0.30292325789999996	9.824271139	0.5234309146	0.006	0.1988	0.7952
SAPBIW	0.45343309979999996	0.029363448599999998	2.7336640429	0.0907666441	6.6153347434	0.3929507695	9.8024318861	0.5130808622	0.006	0.2485	0.7455
SAPBIW	0.5066291618	0.030961193199999997	1.8870098380000002	0.134206975	7.462987868300001	0.476317228	9.8566268681	0.6414853962	0.006999999999999999	0.1655	0.8275
SAPBIW	0.50337226	0.0377048369	2.2599377237000002	0.1396855608	6.7685528266	0.3935015703	9.5318628103	0.570891968	0.006999999999999999	0.1986	0.7944
SAPBIW	0.5051816499	0.0445800763	2.842357915	0.1133697504	6.572940567000001	0.22181301	9.9204801319	0.3797628367	0.006999999999999999	0.24825	0.74475
SAPBIW	0.6046980924	0.0927255374	1.8777984929	0.07488421099999999	7.3235939729999995	0.2853853225	9.806090558300001	0.4529950709	0.008	0.16533333333333333	0.8266666666666667
SAPBIW	0.5674246612	0.074571452	2.2933617473	0.1906958659	7.0113977284	0.3339793348	9.872184136900001	0.5992466527	0.008	0.1984	0.7936
SAPBIW	0.5634440035	0.042547986399999994	2.8391997394999997	0.1432789487	6.6010497491999995	0.1577344625	10.0036934922	0.3435613976	0.008	0.248	0.7440000000000001
SAPBIW	0.6539134967	0.0393499658	1.8449008319	0.0859116608	7.2111572443	0.2388986075	9.709971572899999	0.3641602341	0.009000000000000001	0.16516666666666666	0.8258333333333333
SAPBIW	0.6564466425	0.0398657494	2.2644118056	0.17813621429999998	7.061164805	0.4702247403	9.9820232531	0.6882267040000001	0.009000000000000001	0.1982	0.7928
SAPBIW	0.6441427914	0.0798431079	2.8099866165	0.1869409872	6.6729355266	0.5018233121	10.1270649345	0.7686074072	0.009000000000000001	0.24775	0.74325
SAPBIW	0.702405145	0.0608299542	1.9343824699	0.1168358939	7.3019360786	0.340375227	9.9387236935	0.5180410751	0.01	0.165	0.8250000000000001
SAPBIW	0.7053001687999999	0.1310857689	2.2796763203	0.1842464515	6.8699302049	0.4408704791	9.854906694	0.7562026995000001	0.01	0.198	0.792
SAPBIW	0.7483636476000001	0.0566012318	2.8363047454	0.1663389026	6.5909120113999995	0.49807039810000003	10.1755804044	0.7210105325	0.01	0.2475	0.7424999999999999
SAPBIW	0.8464325782	0.0829135013	1.8617444343	0.0804732469	7.249864970599999	0.137173287	9.9580419831	0.3005600352	0.012	0.16466666666666666	0.8233333333333333
SAPBIW	0.9217031965000001	0.0357948355	2.2330932323	0.0319307349	6.9738420177	0.4644085923	10.1286384465	0.5321341627	0.012	0.1976	0.7904
SAPBIW	0.8540320156	0.0822028736	2.7778784993	0.1935554793	6.531928809400001	0.45307591189999996	10.1638393243	0.7288342648	0.012	0.247	0.741
SAPBIW	0.9897362554000001	0.086184717	1.8451640131	0.15540983220000001	7.2641499648000005	0.2544326677	10.0990502333	0.49602721689999996	0.013999999999999999	0.16433333333333333	0.8216666666666667
SAPBIW	1.033885368	0.1306895632	2.2462522967	0.1371475042	6.8676261736	0.23320894739999998	10.147763838300001	0.5010460148	0.013999999999999999	0.1972	0.7888
SAPBIW	1.0393135376	0.056878192699999996	2.8131447919999997	0.09045782470000001	6.6100354714	0.035467118	10.462493801	0.18280313539999998	0.013999999999999999	0.2465	0.7395
SAPBIW	1.1619901704	0.2163219228	1.8838516625	0.0966932495	7.377047499800001	0.4291256953	10.4228893327	0.7421408676000001	0.016	0.16399999999999998	0.8200000000000001
SAPBIW	1.1138603999999999	0.09321010019999999	2.2146705421	0.18868464899999998	6.9388207416	0.23010064510000003	10.2673516837	0.5119953943	0.016	0.1968	0.7872
SAPBIW	1.1590951466	0.1289139169	2.8731501257	0.20038865949999998	6.620634015499999	0.2169218268	10.6528792878	0.5462244032	0.016	0.24600000000000002	0.738
SAPBIW	1.2882855828	0.1349178926	1.8877993819	0.07871892679999999	7.3567720241	0.42251939340000005	10.5328569888	0.6361562128	0.018000000000000002	0.16366666666666665	0.8183333333333332
