MOF	CO2_mass	CO2_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	CO2_comp	O2_comp	N2_comp
UKUPUL	2.5386176478999998	1.0442367674	1.6741591516999998	0.0974191054	21.7844350404	1.7262972128	25.99721184	2.8679530856	1e-06	0.1666665	0.8333325
UKUPUL	3.1825596854000002	1.4322186178	2.0480336002	0.14293989640000002	22.1375291308	1.710144483	27.3681224164	3.2853029972	1e-06	0.19999979999999998	0.7999991999999999
UKUPUL	2.5771069069	1.5585797640999999	2.437242743	0.1943278959	21.2693907335	0.6544977268	26.2837403834	2.4074053868000003	1e-06	0.24999975	0.74999925
UKUPUL	21.5874539602	2.8857353082	1.5526986375	0.0822473628	20.9753232352	1.3780245793	44.115475832899996	4.3460072503	1e-05	0.166665	0.8333250000000001
UKUPUL	16.5182512055	7.3150959763	1.8737535839	0.1143612842	20.1446890985	1.8060668119999999	38.5366938879	9.2355240725	1e-05	0.199998	0.799992
UKUPUL	18.5083132403	2.066075278	2.4335916253	0.1057029216	20.1960443645	1.1364362408	41.137949230100006	3.3082144404	1e-05	0.24999749999999998	0.7499925000000001
UKUPUL	100.5426464244	10.995448438399999	1.2046254204	0.151847482	14.568913619100002	1.234640758	116.3161854639	12.381936678399999	0.0001	0.16665	0.8332499999999999
UKUPUL	98.47895276370001	5.8448243718	1.4606904724	0.0732071095	14.402488462400001	0.5340923452	114.3421316985	6.452123826499999	0.0001	0.19998	0.79992
UKUPUL	102.61437262620001	13.3855556095	1.8389462622	0.0741495565	13.0985761273	1.6494938924	117.5518950157	15.1091990584	0.0001	0.249975	0.749925
UKUPUL	235.0806798427	4.5513661788	0.48973658229999995	0.0459157785	3.6304550501999997	0.48858065590000005	239.20087147520002	5.0858626132	0.001	0.1665	0.8325
UKUPUL	238.4737590403	3.9457626947000004	0.560568265	0.1097723501	3.4141662743	0.5660491207	242.44849357959998	4.6215841655	0.001	0.1998	0.7992
UKUPUL	236.0747067925	6.8295932339	0.7073431949	0.134023816	3.3225365465	0.45211878240000003	240.1045865339	7.4157358323	0.001	0.24975	0.74925
