MOF	CO2_mass	CO2_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	CO2_comp	O2_comp	N2_comp
VETTIZ	0.0	0.0	5.3768819843	0.5050590970000001	19.5360124531	0.5711605035	24.9128944374	1.0762196005	1e-06	0.1666665	0.8333325
VETTIZ	0.0	0.0	6.5508606559	0.5370500753999999	18.5036772919	1.178208028	25.054537947800004	1.7152581034	1e-06	0.19999979999999998	0.7999991999999999
VETTIZ	0.0	0.0	8.3931270592	0.8482933877	18.2124556082	0.92304734	26.605582667399997	1.7713407277000002	1e-06	0.24999975	0.74999925
VETTIZ	0.0051278182	0.0064862340000000004	5.477572658200001	0.3036434417	19.6666051364	1.5201594162	25.149305612800003	1.8302890918999999	1e-05	0.166665	0.8333250000000001
VETTIZ	0.0071789455000000005	0.0104587381	6.6433469045	0.5736138605	19.2232429767	1.2801547195	25.8737688267	1.8642273181	1e-05	0.199998	0.799992
VETTIZ	0.009230072800000001	0.0076746156	8.323016515900001	0.4755128398	17.829819046300003	0.39849817530000003	26.162065635	0.8816856307	1e-05	0.24999749999999998	0.7499925000000001
VETTIZ	0.1148631287	0.0548844259	5.7125175639	0.43843188380000003	19.802421527	1.4580168661000001	25.629802219600002	1.9513331758	0.0001	0.16665	0.8332499999999999
VETTIZ	0.09640298300000001	0.0412271484	6.5366893759	0.4907352618	18.4311983527	1.648137611	25.064290711599998	2.1801000212	0.0001	0.19998	0.79992
VETTIZ	0.10153080119999999	0.027822844300000003	8.0835964691	0.6519761596	17.4504473014	0.7329147138	25.6355745717	1.4127137177000002	0.0001	0.249975	0.749925
VETTIZ	0.9814644118000001	0.1352189239	5.5648379088999995	0.2959614089	20.0152876007	1.4226848669999999	26.5615899214	1.8538651998	0.001	0.1665	0.8325
VETTIZ	0.992745612	0.0932304484	6.289810760700001	0.4495135083	18.549384731099998	1.1257558937	25.831941103800002	1.6684998504	0.001	0.1998	0.7992
VETTIZ	1.0214613941	0.20931550559999998	8.0679334754	0.4646538482	17.5575333017	0.8369595312	26.6469281712	1.510928885	0.001	0.24975	0.74925
VETTIZ	1.9567754418	0.4895108869	5.3798654117	0.5037179409	19.7247188805	1.0658043243000002	27.061359734	2.0590331521	0.002	0.16633333333333333	0.8316666666666667
VETTIZ	1.96190326	0.3264838023	6.661993325599999	0.5810717878	18.7622508048	0.5128719017	27.386147390399998	1.4204274918000002	0.002	0.1996	0.7984
VETTIZ	1.9249829687	0.086196169	8.2163589873	0.36798493520000003	18.0459499371	0.9192426303	28.1872918931	1.3734237344999998	0.002	0.2495	0.7484999999999999
VETTIZ	2.8941406167	0.2628005599	5.3850864096	0.383228185	19.3904016113	0.8734044124	27.669628637600002	1.5194331573	0.003	0.16616666666666666	0.8308333333333333
VETTIZ	2.9874669087	0.3734854435	6.3636505882000005	0.5977213167000001	18.3965912916	1.3535375661000002	27.7477087885	2.3247443263	0.003	0.1994	0.7976
VETTIZ	3.0725886916000005	0.1574699466	8.2089004188	0.5497809906000001	17.9839184125	0.7728571648999999	29.2654075229	1.4801081021	0.003	0.24925	0.74775
VETTIZ	3.9279087745999997	0.2646669627	5.3567438495	0.2377681186	19.2702563427	0.7248611557	28.5549089668	1.227296237	0.004	0.166	0.8300000000000001
VETTIZ	3.9566245568	0.3297534018	6.3934848619	0.4879659739	18.6754066704	1.2632262047	29.025516089099998	2.0809455804	0.004	0.1992	0.7968
VETTIZ	3.9935448481	0.27871189890000003	8.3095910927	0.2898457657	17.3192016547	1.0544127973000001	29.622337595500003	1.6229704619	0.004	0.249	0.747
VETTIZ	5.1226904254	0.36142935	5.364948274800001	0.40539497939999997	19.2624207817	1.163191603	29.7500594819	1.9300159324000001	0.005	0.16583333333333333	0.8291666666666666
VETTIZ	5.0201340605	0.4797182908	6.336053885	0.3901622703	18.5755032677	1.1159723611	29.9316912132	1.9858529222	0.005	0.19899999999999998	0.7959999999999999
VETTIZ	4.5986274009	0.5092994926	7.827021715	0.5544561517000001	17.2284397398	1.3673746174	29.654088855700003	2.4311302617	0.005	0.24875	0.74625
VETTIZ	5.7862301061000005	0.42900444179999997	5.2709703126	0.3267023257	18.7230729998	1.1374870101	29.7802734185	1.8931937775999998	0.006	0.16566666666666666	0.8283333333333333
VETTIZ	6.0303142545	0.3573320428	6.6343966224	0.3048356247	18.454705035699998	1.2285891457	31.1194159126	1.8907568131999999	0.006	0.1988	0.7952
VETTIZ	5.80981807	0.5878904404999999	7.8441764224	0.5213448637	17.001861434400002	0.5435637091	30.655855926799997	1.6527990133000001	0.006	0.2485	0.7455
