MOF	CO2_mass	CO2_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	CO2_comp	O2_comp	N2_comp
XALTIP	0.0	0.0	1.8760136102	0.1454173488	7.1490295178	0.3155527915	9.025043128	0.4609701403	1e-06	0.1666665	0.8333325
XALTIP	0.0	0.0	2.2839130319	0.1605932627	7.119271416699999	0.3192569126	9.4031844486	0.4798501753	1e-06	0.19999979999999998	0.7999991999999999
XALTIP	0.0	0.0	2.8002619031	0.2787414231	6.5074590294000005	0.3013644444	9.3077209325	0.5801058675	1e-06	0.24999975	0.74999925
XALTIP	0.0005564161	0.0022256644	1.9083865802000002	0.060315022	7.1323791516999995	0.3673870696	9.041322147999999	0.429927756	1e-05	0.166665	0.8333250000000001
XALTIP	0.0016692482999999998	0.0027258711	2.2414235088	0.1109512411	6.7855555691	0.0885062408	9.0286483262	0.202183353	1e-05	0.199998	0.799992
XALTIP	0.0016692482999999998	0.0044513289	2.8285882518000003	0.1209120678	6.433063776699999	0.3555178115	9.2633212768	0.4808812082	1e-05	0.24999749999999998	0.7499925000000001
XALTIP	0.0122411545	0.0090406917	1.8217888855000002	0.1638476893	7.2241332967	0.5460646066	9.0581633367	0.7189529876	0.0001	0.16665	0.8332499999999999
XALTIP	0.0083462417	0.0093106224	2.2636799257	0.18669621179999998	6.8110625128999995	0.27478944969999997	9.0830886803	0.4707962839	0.0001	0.19998	0.79992
XALTIP	0.0105719061	0.0041638369	2.7759821756	0.10651149900000001	6.353000314299999	0.30383798370000004	9.139554396	0.4145133196	0.0001	0.249975	0.749925
XALTIP	0.08958299410000001	0.0424337972	1.8379753705000001	0.1678562687	7.0190149572000005	0.1418928784	8.946573321799999	0.3521829443	0.001	0.1665	0.8325
XALTIP	0.0773418396	0.0303540162	2.241828171	0.0797502711	6.7387928388	0.34487545399999997	9.0579628494	0.4549797413	0.001	0.1998	0.7992
XALTIP	0.0751161752	0.0186212448	2.8459887232	0.22185820109999999	6.5074590294000005	0.360801975	9.428563927799999	0.6012814209	0.001	0.24975	0.74925
XALTIP	0.17638390760000003	0.047422846100000006	1.7946765231	0.125327721	7.0810110011	0.4002928576	9.0520714318	0.5730434247	0.002	0.16633333333333333	0.8316666666666667
XALTIP	0.1825044848	0.033863760699999995	2.2203810784	0.1164020994	6.9113189724	0.4790936706	9.3142045356	0.6293595307000001	0.002	0.1996	0.7984
XALTIP	0.1613606726	0.0413398824	2.8694591264	0.07010822400000001	6.5049791876	0.22558077199999998	9.5357989866	0.3370288784	0.002	0.2495	0.7484999999999999
XALTIP	0.2693053983	0.025473894	1.88167888	0.17508360480000001	7.1646170946000005	0.2512362428	9.3156013729	0.45179374159999997	0.003	0.16616666666666666	0.8308333333333333
XALTIP	0.2592899083	0.0683644999	2.2191670919999997	0.046520307000000004	6.936471653099999	0.3838420748	9.4149286534	0.4987268817	0.003	0.1994	0.7976
XALTIP	0.2804337206	0.0437273684	2.7873127151	0.1173268965	6.4837234011	0.2876180119	9.551469836799999	0.4486722768	0.003	0.24925	0.74775
XALTIP	0.3349624996	0.0549247811	1.8452592887	0.1507386783	7.0845536322000005	0.4103682064	9.2647754205	0.6160316658	0.004	0.166	0.8300000000000001
XALTIP	0.35443706350000004	0.0327482909	2.2025759449	0.1148157025	6.7873268846000006	0.5191249304	9.344339892999999	0.6666889238	0.004	0.1992	0.7968
XALTIP	0.35610631189999997	0.0399691165	2.7071896144	0.24095582350000003	6.4525482476	0.28684725629999996	9.5158441739	0.5677721963	0.004	0.249	0.747
XALTIP	0.4579304604	0.0980682411	1.8294774659	0.0799307575	7.1022667876	0.2842382532	9.3896747139	0.46223725179999997	0.005	0.16583333333333333	0.8291666666666666
XALTIP	0.4239890775	0.06359716900000001	2.2219997269	0.042549217	6.8167307226	0.35604834700000004	9.462719527	0.46219473299999997	0.005	0.19899999999999998	0.7959999999999999
XALTIP	0.4557047959	0.0330868807	2.7492744754	0.08755676550000001	6.2956096908	0.3769892157	9.5005889621	0.4976328619	0.005	0.24875	0.74625
XALTIP	0.4946539238	0.0347303509	1.8217888855000002	0.0748176387	6.9538305453	0.38537183140000003	9.2702733546	0.49491982100000004	0.006	0.16566666666666666	0.8283333333333333
XALTIP	0.5196926489	0.026428301	2.258014656	0.2210951796	6.6328681696	0.5652627300999999	9.4105754745	0.8127862106999999	0.006	0.1988	0.7952
XALTIP	0.5030001654999999	0.0582937168	2.7039523174	0.1613501105	6.3540631036	0.2701185925	9.5610155865	0.48976241979999996	0.006	0.2485	0.7455
XALTIP	0.6181783007	0.0401854179	1.8230028719	0.081456787	7.1585946217	0.3727656013	9.5997757943	0.49440780619999997	0.006999999999999999	0.1655	0.8275
XALTIP	0.6298630391	0.0503364412	2.1588724353999997	0.13132517330000001	6.714348684400001	0.2934410743	9.5030841589	0.4751026888	0.006999999999999999	0.1986	0.7944
XALTIP	0.609832059	0.049065680099999995	2.6901938052	0.1909662264	6.4018886232000005	0.2772085617	9.7019144874	0.5172404682	0.006999999999999999	0.24825	0.74475
XALTIP	0.688843147	0.0929464761	1.8667063813	0.1562771386	7.0076785377999995	0.35860387	9.5632280661	0.6078274847	0.008	0.16533333333333333	0.8266666666666667
XALTIP	0.7439283420999999	0.092344961	2.2260463481	0.156607902	6.8436547188	0.38021262270000006	9.813629408999999	0.6291654857	0.008	0.1984	0.7936
XALTIP	0.6810533214	0.064544269	2.7610096769999997	0.1799286351	6.4578621943	0.21878894899999998	9.8999251927	0.4632618531	0.008	0.248	0.7440000000000001
XALTIP	0.797900705	0.0524803937	1.81693294	0.0880639993	7.0009475387	0.48516510469999996	9.6157811837	0.6257094977000001	0.009000000000000001	0.16516666666666666	0.8258333333333333
XALTIP	0.8051341145	0.07568895469999999	2.2317116178	0.1550019696	6.712931632	0.26920639820000003	9.7497773643	0.4998973225	0.009000000000000001	0.1982	0.7928
XALTIP	0.7767568926999999	0.1094542765	2.7444185299	0.1768628117	6.3696506803999995	0.3027737377	9.890826103	0.5890908259000001	0.009000000000000001	0.24775	0.74325
XALTIP	0.9058454308	0.054811929599999996	1.820170237	0.0856355316	7.0034273805	0.4924099181	9.7294430483	0.6328573793	0.01	0.165	0.8250000000000001
XALTIP	0.8757989607	0.1031638088	2.2114785115999998	0.2710571784	6.7607571515	0.687793955	9.8480346238	1.0620149422	0.01	0.198	0.792
XALTIP	0.9214250818999999	0.057329763799999996	2.7994525788	0.2174598686	6.363982470700001	0.3817069501	10.0848601314	0.6564965825	0.01	0.2475	0.7424999999999999
XALTIP	1.0494007877	0.0759991901	1.8416173296	0.1466731351	7.015118062999999	0.21244683329999997	9.906136180299999	0.4351191585	0.012	0.16466666666666666	0.8233333333333333
XALTIP	1.0427237944	0.0971675241	2.1378300049	0.1072041544	6.55882718	0.3628968635	9.7393809793	0.567268542	0.012	0.1976	0.7904
XALTIP	1.065536855	0.10783568199999999	2.7399672464999996	0.1557901881	6.3352871589	0.26934808379999997	10.1407912604	0.5329739539	0.012	0.247	0.741
XALTIP	1.2602824943000002	0.1209357332	1.8541618555000001	0.10578954619999999	7.0292885873	0.48047063799999995	10.143732937100001	0.7071959174	0.013999999999999999	0.16433333333333333	0.8216666666666667
XALTIP	1.2369130176	0.1166936056	2.2224043890000003	0.1323090451	6.7409184175	0.1731560375	10.2002358241	0.4221586882	0.013999999999999999	0.1972	0.7888
XALTIP	1.2369130176	0.0431859203	2.7391579223	0.0886348625	6.3533545774	0.2545118479	10.3294255173	0.3863326307	0.013999999999999999	0.2465	0.7395
XALTIP	1.4149661734999999	0.14911951810000001	1.8391893569	0.126135203	6.9006910792	0.3337857904	10.1548466096	0.6090405114999999	0.016	0.16399999999999998	0.8200000000000001
