MOF	CO2_mass	CO2_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	CO2_comp	O2_comp	N2_comp
YEQRIV	0.0337138333	0.07456755179999999	0.6258772035	0.0743560716	4.9528059316	0.616168415	5.612396968400001	0.7650920384000001	1e-06	0.1666665	0.8333325
YEQRIV	0.0337138333	0.1088916786	0.7439550677	0.1013325928	4.7833440498	0.5275393109000001	5.5610129508	0.7377635823	1e-06	0.19999979999999998	0.7999991999999999
YEQRIV	0.045247513200000006	0.06881426139999999	0.9342991656999999	0.1433291664	4.4082684181	0.6923821611	5.387815097000001	0.9045255889	1e-06	0.24999975	0.74999925
YEQRIV	0.21825271059999998	0.1268921911	0.5768394020000001	0.029256943599999998	5.0313232702	0.3340419959	5.8264153828	0.4901911306	1e-05	0.166665	0.8333250000000001
YEQRIV	0.2342224212	0.5007616556000001	0.7091124192	0.0882250166	4.504296817799999	0.30420177870000004	5.447631658200001	0.8931884509	1e-05	0.199998	0.799992
YEQRIV	0.302537294	0.1692123316	0.8859065984000001	0.12040838359999999	4.238241663399999	0.4983011834	5.426685555800001	0.7879218986	1e-05	0.24999749999999998	0.7499925000000001
YEQRIV	2.7343693259	2.187934529	0.5865179155	0.06747558370000001	4.6438204338	0.4290566026	7.9647076752	2.6844667152999997	0.0001	0.16665	0.8332499999999999
YEQRIV	3.1344992954000004	2.1664447663999997	0.7213718695999999	0.08936901720000001	4.5540056364999995	0.4801433275	8.4098768015	2.7359571111000003	0.0001	0.19998	0.79992
YEQRIV	2.7450157996	1.8394280402	0.9175230756999999	0.058513887199999996	4.6709343349	0.5876025418999999	8.3334732102	2.4855444693	0.0001	0.249975	0.749925
YEQRIV	17.8080016578	8.841361709	0.5832917443	0.0678447762	4.5331053376999995	0.5550835967000001	22.9243987398	9.4642900819	0.001	0.1665	0.8325
YEQRIV	17.8133248947	10.4702062143	0.6929815635	0.102946712	4.395841213500001	0.46463469020000003	22.9021476717	11.037787616500001	0.001	0.1998	0.7992
YEQRIV	20.5405965715	2.4495541432	0.9188135440999999	0.1381705491	3.9925219348	0.36158222380000005	25.4519320504	2.9493069161000003	0.001	0.24975	0.74925
YEQRIV	32.9304303275	9.701311888400001	0.5910345551	0.1338235082	4.4461149051	0.6173975952	37.9675797877	10.4525329918	0.002	0.16633333333333333	0.8316666666666667
YEQRIV	31.0415684538	6.680735525499999	0.7342765542	0.0607480404	4.3495216325	0.549549087	36.125366640500005	7.291032652899999	0.002	0.1996	0.7984
YEQRIV	32.1062158227	7.3840213683	0.8600972292	0.10661800130000001	4.0998477932999995	0.3081660166	37.0661608452	7.7988053862	0.002	0.2495	0.7484999999999999
YEQRIV	40.5932297655	11.849733797	0.5929702578	0.05087130769999999	4.2806071339	0.6375071006	45.4668071572	12.5381122053	0.003	0.16616666666666666	0.8308333333333333
YEQRIV	39.446072225500004	6.1102767417	0.7110481219	0.09730851	4.0761231298	0.4683937857	44.233243477200006	6.6759790374	0.003	0.1994	0.7976
YEQRIV	33.6446312709	6.2628725442999995	0.8897780037999999	0.07428885190000001	3.8569524294	0.7125517815000001	38.3913617041	7.0497131777	0.003	0.24925	0.74775
YEQRIV	45.090477693100006	6.513336977100001	0.5871631496999999	0.0521004167	4.0829016051	0.2208819325	49.7605424479	6.7863193263	0.004	0.166	0.8300000000000001
YEQRIV	45.6103804916	10.6020226568	0.7149195273000001	0.09627621230000001	3.9100504857	0.6877601188	50.2353505046	11.3860589879	0.004	0.1992	0.7968
YEQRIV	43.7525708328	9.4710990448	0.9484943187	0.17599643339999999	3.8778527281999997	0.4543769947	48.5789178797	10.1014724729	0.004	0.249	0.747
YEQRIV	54.4700210135	8.8571224745	0.5961964289	0.0928240701	4.000430156	0.341878351	59.0666475984	9.2918248956	0.005	0.16583333333333333	0.8291666666666666
YEQRIV	53.197767407600004	7.5810887902	0.6981434373000001	0.10661800130000001	3.9908273160000003	0.6021980035	57.8867381609	8.289904795	0.005	0.19899999999999998	0.7959999999999999
YEQRIV	46.1542378559	13.637174681400001	0.9001017514	0.1169993108	3.7744809803	0.3068170172	50.8288205876	14.0609910094	0.005	0.24875	0.74625
YEQRIV	54.3387145047	8.6877816576	0.6458794647	0.07885596519999999	3.9964760454	0.16691971460000002	58.9810700148	8.9335573374	0.006	0.16566666666666666	0.8283333333333333
YEQRIV	60.5331877797	12.7429926678	0.6729793023	0.1005903403	4.0699095275	0.5374195326	65.2760766095	13.381002540699999	0.006	0.1988	0.7952
YEQRIV	55.6854934264	5.2290247019	0.9310729945	0.0375346678	3.6084083361	0.3169052981	60.224974757	5.5834646677999995	0.006	0.2485	0.7455
YEQRIV	59.708973274899996	3.6185918166000004	0.5923250235	0.1364849617	3.9896975700999997	0.2435015175	64.2909958685	3.9985782958	0.006999999999999999	0.1655	0.8275
YEQRIV	60.8925062667	5.747760446699999	0.7110481219	0.0347708818	3.8010300083999997	0.2937643431	65.404584397	6.0762956716	0.006999999999999999	0.1986	0.7944
YEQRIV	62.8310516843	14.2994890953	0.8865518326	0.0928240701	3.4541980237	0.1105766733	67.1718015406	14.502889838699998	0.006999999999999999	0.24825	0.74475
YEQRIV	67.7302039937	14.155423772	0.5800655732	0.0902774695	3.9750108737	0.534998792	72.2852804406	14.780700033499999	0.008	0.16533333333333333	0.8266666666666667
YEQRIV	56.5239032294	12.6797309058	0.7162099958	0.1159268839	3.9100504857	0.2504012356	61.1501637109	13.0460590253	0.008	0.1984	0.7936
YEQRIV	65.9451452384	12.1261177655	0.8917137065	0.1405722405	3.5445776939999996	0.22830931570000002	70.3814366389	12.4949993217	0.008	0.248	0.7440000000000001
YEQRIV	63.7377763602	15.1622926221	0.5678061228	0.0661797724	3.9405536244	0.38798835579999996	68.24613610739999	15.6164607503	0.009000000000000001	0.16516666666666666	0.8258333333333333
YEQRIV	66.62829396689999	7.6677699091	0.725243275	0.07980063309999999	3.6897500394	0.3963556878	71.0432872813	8.14392623	0.009000000000000001	0.1982	0.7928
