MOF	gas_kh	gas_r2	gas_rmse	air_kh	air_r2	air_rmse	kh	pure_air_mass	max_comp
EDUVOO	53116.78457471082	0.9965580123020801	1.276127123164835	-779.4637639294764	0.8071338171799725	0.15985805895675068	52337.32081078135	12.044400604171937	0.001
UIO-66									
MOF-801									
FIDRIV									
KICXAX									
MgMOF-74									
LODPUQ									
BAZGAM	1589.1504624808472	0.9989532073898476	0.6845362371368796	-21.012273128960587	0.5144329306562121	0.24056106237399633	1568.1381893518867	17.312906605629856	0.05
JEWCAP									
SADLEQ									
GAGZEV	30262.911397454252	0.9942190257147885	1.3578040896654004	-830.2620163173639	0.8421612145554	0.21918628277673707	29432.64938113689	13.891814678821863	0.002
YEQRIV									
XUWVUG									
WIYMOG	5881.551262839685	0.9904888764792651	4.156975299410176	-46.63479212586094	0.8018455427686374	0.17362921786586263	5834.916470713823	9.311554512817604	0.03
XALTIP	27140.883095884008	0.9904528087830718	11.71578105278755	-174.69969737756654	0.9564816065483062	0.1636282521656777	26966.18339850644	8.90875569698792	0.014
GUPBEZ									
OFEREX									
SICZOV									
BIWSEG									
AMIMAL									
ALUKIC									
NU-125	95239.90572979073	0.9943763552570513	2.9657970463062706	-2278.498843920868	0.9366444394878715	0.24607756826527072	92961.40688586986	14.54873214095904	0.001
WUNSEE01									
RAVXIX	57712.2516965868	0.9934036464879986	3.6402668029341125	-1805.1121949294516	0.9475652046552513	0.33677429228226824	55907.139501657344	15.465450108299994	0.002
NU-100	34876.056073254214	0.9960564368092499	0.8820051908986279	-1057.1691527778275	0.8461094752856992	0.2067917373355845	33818.88692047639	12.810578305165134	0.001
KIFJUF									
SAPBIW	4314.29929391398	0.998710280472305	2.073303373465746	-32.990234211307104	0.9346872825624171	0.1180935317699924	4281.309059702673	9.269286167642218	0.05
UKUPUL									
RAVXET									
KINKAV	112627.01940074048	0.9969447610393641	0.2731221772342185	-13218.337845674272	0.7908659506734899	0.3176366282530044	99408.6815550662	10.218014648786504	0.0001
XAFXOT									
VETTIZ									
HIFTOG									
RUTNOK	32218.004263938266	0.998995993158668	0.42904641889628725	-468.6996832362151	0.3612078542087871	0.28942725716356366	31749.30458070205	11.686177834656997	0.001
HABQUY	26373.72867818595	0.9927332063557186	0.965971079179562	-860.9670578697253	0.6583618860054541	0.23813817111346477	25512.761620316225	13.666242003191321	0.001
NAYZOE	21261.904956311046	0.9930045340559662	1.44609121076474	-123.50184390947719	0.11602533704631124	0.1936705474261521	21138.403112401567	12.86560502964344	0.002
XUKYEI	3572.729039711663	0.9923768451335803	2.053047637480879	-15.9542036804373	0.2089464376152722	0.18211376142388327	3556.7748360312257	11.793313977360542	0.02
AXUHEH									
MOF-177									
XAHQAA	3705.7761971457953	0.9903566885579662	1.9142664422661049	-35.57472541206685	0.37540816775691277	0.20297403396254202	3670.2014717337283	15.41086443641984	0.016
TOHSAL	490488.54537884676	0.9989178126867827	6.899655976109504	-11595.876844153843	0.9959623549066012	0.3115255650868238	478892.6685346929	21.00653831425666	0.001
HKUST-1									
ZIF-8	1615928.721947165	0.9981349531495672	3.0725705073531118	-49913.270702553185	0.9901281106780393	0.22319709835529106	1566015.4512446118	11.132722104793476	0.0001
MUDTEL	100928.31452732575	0.9911517701835857	14.320123077992585	-1554.6036229373888	0.9814781819969685	0.3304604157784915	99373.71090438837	13.650203388470038	0.004
XAFFAN	46688.57084604096	0.9900970243999478	18.52058955616563	-111.2603681979239	0.42593452307407886	0.5536283192384572	46577.310477843035	13.804645515983326	0.014
NIBHOW	2786.6768463493436	0.9996971634793758	0.05537551627867318	-49.05742500525828	0.07033832823897745	0.23332939446626694	2737.6194213440854	11.639756963554703	0.003
IRMOF-1	34872.81966469843	0.9914208378287884	2.3644935636201243	87.15666356545415	-0.12109698603511121	0.13909355948119506	34959.97632826388	7.770345190938081	0.002
RAVXOD									
NIBJAK	1645.481116308423	0.9906047305918039	1.0574420551376806	-22.467525824490874	0.20431669724059276	0.19702166201847163	1623.0135904839321	12.300180244189649	0.02
LOFVUY									
