MOF	gas_kh	gas_r2	gas_rmse	air_kh	air_r2	air_rmse	kh	pure_air_mass	max_comp
EDUVOO	16.710575626827712	0.9978788894963361	0.010080852871777625	-14.041620683458092	0.5216242918487655	0.16426008625364338	2.66895494336962	11.977561866434467	0.05
UIO-66	13.735359118136333	0.9987033654277643	0.006486784848486227	-10.030342899225792	0.4747798954551119	0.15276135284887918	3.705016218910542	10.671596551042361	0.05
MOF-801	13.666978832024261	0.9983481161107062	0.007217287471732558	-11.732874078138666	0.4359348838038696	0.18920331291329823	1.9341047538855953	15.704731299816837	0.05
FIDRIV	12.571649168544258	0.9983504846441905	0.006670317201703505	-6.073701797406075	0.01610696905492781	1.5594280927499888	6.497947371138183	22.09862060604637	0.05
KICXAX	1.5542193558676451	0.9959220361328821	0.0013057904180075756	-1.156054045273	0.3391963493261003	0.022956665216295993	0.3981653105946452	1.2089687992686988	0.05
MgMOF-74	16.84296596717668	0.9989712800963065	0.007011279417999158	-15.515064199483454	0.6366356618704654	0.14987233424436078	1.327901767693227	13.317749040489087	0.05
LODPUQ	55.05372867877972	0.9998103811472957	0.009936427104540744	-30.17425777087913	0.4823557875180271	0.5002102604878845	24.87947090790059	39.54746835251907	0.05
BAZGAM	24.60856449917675	0.9965308125209811	0.018952584233512308	-16.28260026413437	0.3777138889516686	0.24557618679953672	8.325964235042381	17.34568139746621	0.05
JEWCAP	11.08209191269413	0.9947358081181032	0.010600040112342834	-8.06625977651401	0.4468465747292285	0.1331893471062383	3.015832136180121	8.234966307792492	0.05
SADLEQ	20.981898102333524	0.9985179998865525	0.01060369375183231	-23.73347046318033	0.30928427119811575	0.3273014133378848	-2.7515723608468043	19.775328933905918	0.05
GAGZEV	19.823098917037697	0.9951414199543688	0.01802424574785909	-13.77947897590978	0.4271127450545795	0.22001387705112446	6.043619941127917	13.99055040385284	0.05
YEQRIV									
XUWVUG									
WIYMOG	13.843013318268936	0.9981372693039816	0.007850447572669473	-9.668254367214619	0.3682234276936456	0.171646860126443	4.174758951054317	9.22179373267909	0.05
