MOF	acetone_mass	acetone_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	acetone_comp	O2_comp	N2_comp
ALUKIC	178.8050707147	31.39810248	3.0241116856	0.2414372604	11.759902795699999	0.5326435692	193.58908519599998	32.1721833096	1e-06	0.1666665	0.8333325
ALUKIC	191.3330169421	36.9306845447	3.8306029154	0.20728307140000002	11.6525837981	0.5290621213000001	206.81620365560002	37.6670297374	1e-06	0.19999979999999998	0.7999991999999999
ALUKIC	171.36189839	23.8238649225	4.7836451229	0.4274959361	10.5826214605	0.18618470039999999	186.7281649734	24.437545559	1e-06	0.24999975	0.74999925
ALUKIC	197.0032088928	20.0610678455	3.2213563977999997	0.3038550166	11.8954636349	0.46624025	212.12002892549998	20.8311631121	1e-05	0.166665	0.8333250000000001
ALUKIC	193.2214083027	25.0433658658	3.7679270255	0.23711995379999998	11.153913568399998	0.3618196306	208.1432488966	25.6423054502	1e-05	0.199998	0.799992
ALUKIC	206.83321423040002	8.1736114259	4.7744280802	0.4536807774	10.8351842144	0.5248412999000001	222.442826525	9.1521335032	1e-05	0.24999749999999998	0.7499925000000001
ALUKIC	221.0889800109	6.800230987999999	3.1503851696	0.1679020363	11.8760978007	0.5025590473	236.11546298119998	7.470692071599999	0.0001	0.16665	0.8332499999999999
ALUKIC	229.575869084	2.2066202072	3.7716138425	0.1842117687	11.7792686299	0.3443756228	245.1267515564	2.7352075987	0.0001	0.19998	0.79992
ALUKIC	223.9324391012	5.811168916900001	4.8453993085	0.1438094965	10.798066365599999	0.22072190079999998	239.5759047753	6.175700314199999	0.0001	0.249975	0.749925
ALUKIC	561.5748072246	41.088703386599995	2.4065698296	0.2862570688	8.3886338318	0.8749729957	572.3700108859999	42.2499334511	0.001	0.1665	0.8325
ALUKIC	527.8028763465	86.2792058067	3.0517628135000003	0.4793358442	8.4830422733	1.261482569	539.3376814333	88.0200242199	0.001	0.1998	0.7992
ALUKIC	557.7528636826	23.7897610068	3.7384324891000005	0.25645251350000003	7.620455743300001	0.515321657	569.111751915	24.5615351773	0.001	0.24975	0.74925
ALUKIC	765.2501092417	30.9853073365	1.3272541381	0.2653483963	3.8368558936	0.579381434	770.4142192733999	31.830037166799997	0.002	0.16633333333333333	0.8316666666666667
ALUKIC	748.4536291328	43.0811665003	1.7134482241999998	0.24353931350000002	4.0773150012	0.49834370299999997	754.2443923582001	43.823049516800005	0.002	0.1996	0.7984
ALUKIC	755.1223770111	56.400337443999994	2.1134678741	0.485401354	3.7222747082	0.8997763826999999	760.9581195933999	57.785515180699996	0.002	0.2495	0.7484999999999999
ALUKIC	808.9908731659	11.9432281305	0.9502770947	0.0829328988	2.6974993169999997	0.3565628214	812.6386495776	12.3827238507	0.003	0.16616666666666666	0.8308333333333333
ALUKIC	810.3289715613	19.3875242845	1.0995931853	0.14309885390000002	2.5498348315	0.3527958581	813.9783995780999	19.8834189965	0.003	0.1994	0.7976
ALUKIC	808.3101156072	10.2284549002	1.484865567	0.20272465679999999	2.5877595901	0.3904175969	812.3827407642999	10.8215971539	0.003	0.24925	0.74775
ALUKIC	826.9448083867999	40.353179758	0.8452028088	0.2255144953	2.4449365631	0.8913340084	830.2349477587	41.4700282617	0.004	0.166	0.8300000000000001
ALUKIC	841.6923253276	24.899114663699997	0.9309213051999999	0.2762038731	2.0447093238	0.46634637170000004	844.6679559566	25.641664908499997	0.004	0.1992	0.7968
ALUKIC	849.4231888073	25.9041286935	1.0664118318	0.266153976	1.7114555941999998	0.6219887358	852.2010562333	26.792271405300003	0.004	0.249	0.747
ALUKIC	854.1968548331	12.0480352076	0.6617836604999999	0.1091509569	1.7840774723	0.3329478231	856.6427159658999	12.4901339876	0.005	0.16583333333333333	0.8291666666666666
ALUKIC	843.5439189822999	25.784403085100003	0.8332206534000001	0.17326078949999998	1.8090916747999999	0.3584205581	846.1862313105	26.3160844327	0.005	0.19899999999999998	0.7959999999999999
ALUKIC	862.2572250427	32.4106045853	0.9170957412999999	0.1471266369	1.4895554111000002	0.2553407246	864.6638761951	32.8130719468	0.005	0.24875	0.74625
ALUKIC	863.0048875211	18.49748438	0.6479580965999999	0.1312061477	1.6235024306999999	0.2293441377	865.2763480484	18.858034665399998	0.006	0.16566666666666666	0.8283333333333333
ALUKIC	856.6204855519001	37.4024182441	0.7263029589	0.20265759600000002	1.4952037794	0.4804359936	858.8419922902001	38.0855118337	0.006	0.1988	0.7952
ALUKIC	850.9051327802999	11.4080147459	0.9088004029000001	0.15438477609999998	1.3467323841	0.35032895700000005	853.1606655672999	11.912728479	0.006	0.2485	0.7455
ALUKIC	863.3862455638	16.7388588315	0.6341325327	0.1251075613	1.6339922575	0.3048367939	865.654370354	17.1688031867	0.006999999999999999	0.1655	0.8275
ALUKIC	859.7783977651	24.8962974112	0.7465804527	0.1911286639	1.3951469694999998	0.32314292780000003	861.9201251873	25.4105690029	0.006999999999999999	0.1986	0.7944
ALUKIC	862.9898339142	34.2757828416	0.7696230593000001	0.1603871356	1.2878279718999999	0.38594924700000005	865.0472849454	34.8221192242	0.006999999999999999	0.24825	0.74475
ALUKIC	874.4406109332001	10.4335878863	0.4894249634	0.07359795549999999	1.2369926572	0.1137256218	876.1670285538	10.6209114636	0.008	0.16533333333333333	0.8266666666666667
ALUKIC	872.6542495753	11.298072966700001	0.6304457156000001	0.1692927618	1.2507101231	0.1911541794	874.5354054139999	11.658519907899999	0.008	0.1984	0.7936
ALUKIC	869.7990821239999	16.569386665499998	0.7908222573	0.1030661559	1.2426410255	0.2112193219	871.8325454067999	16.8836721433	0.008	0.248	0.7440000000000001
ALUKIC	878.6004243200999	17.3267066842	0.45624361	0.1622827815	1.217626823	0.42429644520000004	880.2742947531	17.9132859109	0.009000000000000001	0.16516666666666666	0.8258333333333333
ALUKIC	880.7129471619	20.4848109551	0.5539442618	0.1756953043	1.1240252912	0.4778268589	882.3909167149001	21.1383331183	0.009000000000000001	0.1982	0.7928
ALUKIC	874.218152075	36.2311400634	0.7410502270999999	0.34197091380000005	1.0328444887000001	0.3406268016	875.9920467908	36.9137377788	0.009000000000000001	0.24775	0.74325
ALUKIC	880.095749277	28.529566360900002	0.4470265674	0.18360200850000002	1.1635638693	0.42060359740000003	881.7063397137	29.133771966799998	0.01	0.165	0.8250000000000001
ALUKIC	883.5497157602	16.4159050136	0.5779085726	0.1693128332	1.1482325839	0.37576705299999996	885.2758569167	16.9609848998	0.01	0.198	0.792
ALUKIC	881.2046983222	35.3470775755	0.7742315806	0.245110955	1.1078870961	0.4098148411	883.0868169989	36.0020033716	0.01	0.2475	0.7424999999999999
