MOF	acetone_mass	acetone_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	acetone_comp	O2_comp	N2_comp
AMIMAL	41.6209663617	0.0190673851	1.7172392184	0.09587402099999999	6.3877326364	0.3310284697	49.7259382165	0.44596987579999997	1e-06	0.1666665	0.8333325
AMIMAL	41.6663743547	0.069817379	2.0832785522	0.1884680337	6.3846032358	0.46785366759999997	50.1342561427	0.7261390803	1e-06	0.19999979999999998	0.7999991999999999
AMIMAL	41.6689690971	0.056610596900000004	2.5837229538999997	0.2250535447	5.8044123526	0.16418590789999998	50.05710440359999	0.4458500495	1e-06	0.24999975	0.74999925
AMIMAL	42.9403929004	0.20751451780000002	1.7672836585	0.211915772	6.2644342503	0.6370020927000001	50.972110809200004	1.0564323825	1e-05	0.166665	0.8333250000000001
AMIMAL	42.9105533622	0.3994555236	2.0353788737	0.24034944960000001	6.0848066521	0.6704295234000001	51.030738888	1.3102344966	1e-05	0.199998	0.799992
AMIMAL	42.961150840100004	0.20974123600000003	2.6023108888	0.1900667137	5.625410634600001	0.2044090403	51.1888723635	0.60421699	1e-05	0.24999749999999998	0.7499925000000001
AMIMAL	56.6276593546	3.8315886313	1.5656760566999999	0.1454648173	5.9671411871	0.1542461239	64.1604765984	4.1312995725	0.0001	0.16665	0.8332499999999999
AMIMAL	56.500516974300005	2.4335447507	1.8809560297999999	0.14179238019999998	5.7192926545	0.2963421811	64.1007656586	2.871679312	0.0001	0.19998	0.79992
AMIMAL	56.324074487299995	1.9037949162999999	2.4693356619999998	0.0923770339	5.3174776092	0.3326810491	64.1108877585	2.3288529993	0.0001	0.249975	0.749925
AMIMAL	192.9735911777	16.3830990729	0.7592456494	0.0641997083	2.3977467891999997	0.2574916811	196.13058361630002	16.7047904623	0.001	0.1665	0.8325
AMIMAL	191.3142533772	15.6626865081	0.8829269087	0.1549251194	2.2813330844	0.5356451699	194.4785133703	16.3532567974	0.001	0.1998	0.7992
AMIMAL	193.01251231450001	13.879688502899999	1.1574564090000001	0.1798078542	2.1630417393	0.45024061060000004	196.3330104628	14.5097369677	0.001	0.24975	0.74925
AMIMAL	239.5427314025	6.8574217677	0.38534218929999997	0.0716919557	1.0671256266	0.18337326620000002	240.9951992184	7.112486989600001	0.002	0.16633333333333333	0.8316666666666667
AMIMAL	235.75700215950002	7.6857103745	0.5376202715	0.0799433379	1.1741511293	0.1762894473	237.46877356029998	7.9419431597	0.002	0.1996	0.7984
AMIMAL	232.15679700220002	8.6444046441	0.6312748667	0.1604737927	1.120951318	0.3607893613	233.9090231869	9.1656677981	0.002	0.2495	0.7484999999999999
AMIMAL	247.45669589259998	11.1813759952	0.3081307673	0.1265550776	0.8624628231	0.2910605072	248.627289483	11.59899158	0.003	0.16616666666666666	0.8308333333333333
AMIMAL	245.5897786957	7.9580146212	0.4125091711	0.1277769284	0.8274135357	0.1336279734	246.8297014025	8.219419523	0.003	0.1994	0.7976
AMIMAL	245.86611876720002	10.677241930800001	0.5333307481	0.1289555016	0.8455640595999999	0.13680313789999998	247.2450135749	10.943000570299999	0.003	0.24925	0.74775
AMIMAL	252.9134392771	16.8766218253	0.2831085472	0.1465430234	0.6872163859	0.2123053312	253.8837642102	17.235470179900002	0.004	0.166	0.8300000000000001
AMIMAL	252.696778282	10.1691641322	0.37104377780000003	0.08678558630000001	0.7961195291	0.24870684140000002	253.8639415889	10.5046565599	0.004	0.1992	0.7968
AMIMAL	254.5403427968	5.578422316599999	0.38820187159999997	0.1153306714	0.6333906945000001	0.09347221720000001	255.56193536290002	5.7872252051999995	0.004	0.249	0.747
AMIMAL	258.8735626979	10.4108123078	0.25808632719999997	0.0736611085	0.61211077	0.1568251302	259.7437597951	10.6412985465	0.005	0.16583333333333333	0.8291666666666666
AMIMAL	262.6891314791	4.3985331437	0.2638056917	0.0165516079	0.5457674759000001	0.12879147189999998	263.4987046467	4.5438762235	0.005	0.19899999999999998	0.7959999999999999
AMIMAL	264.2511664375	8.4266457465	0.34387679600000004	0.0608984771	0.47566890100000003	0.1318811274	265.0707121345	8.619425351	0.005	0.24875	0.74625
AMIMAL	259.9996809237	5.3457173497	0.2344939482	0.061433270899999996	0.5426380752000001	0.1302432345	260.7768129471	5.5373938550999995	0.006	0.16566666666666666	0.8283333333333333
AMIMAL	262.5191758483	5.3083928335	0.2630907712	0.060932039199999996	0.4950711851	0.1273723736	263.2773378046	5.4966972463	0.006	0.1988	0.7952
AMIMAL	266.2530102421	9.1309167669	0.3331529874	0.1234475528	0.4562666169	0.2270970507	267.0424298464	9.4814613704	0.006	0.2485	0.7455
