MOF	acetone_mass	acetone_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	acetone_comp	O2_comp	N2_comp
AXUHEH	7.2149960209	1.9279851304	4.2195100659	0.22190772190000002	15.905064338399999	0.8923675315999999	27.3395704252	3.0422603839	1e-06	0.1666665	0.8333325
AXUHEH	6.873492789199999	2.7418585431999998	5.0393358163999995	0.3675969668	14.3451903506	0.8516563477	26.258018956199997	3.9611118576999997	1e-06	0.19999979999999998	0.7999991999999999
AXUHEH	7.8243062183	1.1795499641	6.1057257025	0.10798738140000001	13.4824029068	0.5244136103	27.412434827600002	1.8119509558000002	1e-06	0.24999975	0.74999925
AXUHEH	48.6408514231	11.264009429100001	2.6132172419999997	0.2989378494	9.648744349500001	1.0942031688	60.9028130146	12.6571504473	1e-05	0.166665	0.8333250000000001
AXUHEH	46.0706941539	5.0653728716	3.2869174828	0.3215947912	9.3421024544	1.1132194602	58.6997140911	6.500187123	1e-05	0.199998	0.799992
AXUHEH	45.6350965829	7.1228365123	4.1078310163	0.4399176204	8.7170735814	1.0115929378	58.4600011806	8.5743470705	1e-05	0.24999749999999998	0.7499925000000001
AXUHEH	133.1671782672	4.742924558	0.655570525	0.1476003846	2.0223763078	0.5659332341	135.8451251	5.4564581767	0.0001	0.16665	0.8332499999999999
AXUHEH	133.85676475420001	5.4480568408000005	0.8441195698	0.1638284427	1.9547627222	0.2615445972	136.65564704620002	5.873429880700001	0.0001	0.19998	0.79992
AXUHEH	133.02833976649998	5.1996028668	1.0040236635	0.273131495	1.7287492343000002	0.406992353	135.76111266430001	5.8797267148	0.0001	0.249975	0.749925
AXUHEH	156.81709956059998	1.9434569886000002	0.2099421095	0.0760376795	0.465359232	0.20711146870000002	157.4924009021	2.2266061368	0.001	0.1665	0.8325
AXUHEH	158.634502115	1.7766746433	0.2509152673	0.12775675150000002	0.4377424154	0.1015274994	159.32315979770001	2.0059588942	0.001	0.1998	0.7992
AXUHEH	158.75754855879998	4.6106101856	0.22299550489999997	0.1009289602	0.27616816629999996	0.1542353637	159.25671223	4.8657745095	0.001	0.24975	0.74925
AXUHEH	161.7238232567	5.286640206	0.13814843470000002	0.0598621145	0.2863260759	0.1677257052	162.1482977673	5.5142280257000005	0.002	0.16633333333333333	0.8316666666666667
AXUHEH	164.0307795767	3.6204780669	0.1432247552	0.0904307609	0.19553975920000002	0.10275081400000001	164.3695440911	3.8136596418	0.002	0.1996	0.7984
AXUHEH	162.53382417790002	3.1626783955	0.1758582437	0.0834754805	0.21712531699999998	0.1358590737	162.92680773860002	3.3820129497000004	0.002	0.2495	0.7484999999999999
AXUHEH	158.3601151255	3.4763868926	0.212842864	0.0813246594	0.3606057896	0.17195937600000002	158.9335637791	3.729670928	0.003	0.16616666666666666	0.8308333333333333
AXUHEH	164.3624127727	2.1747988804	0.1330721143	0.0898648886	0.1688752465	0.0854742595	164.6643601335	2.3501380285	0.003	0.1994	0.7976
AXUHEH	160.8763162001	4.3169581504000005	0.22118253329999998	0.0703096467	0.2647405181	0.1018841684	161.3622392515	4.4891519655000005	0.003	0.24925	0.74775
AXUHEH	166.7259572968	3.4129856832999996	0.09282414509999999	0.0434145185	0.1349097364	0.093823294	166.9536911783	3.5502234957999996	0.004	0.166	0.8300000000000001
AXUHEH	165.3500743347	5.8988691045	0.1044271633	0.0423226946	0.12538669619999998	0.0761049217	165.5798881942	6.0172967208	0.004	0.1992	0.7968
AXUHEH	161.92977799940002	1.2252463578	0.1377858404	0.054846510700000004	0.1704624199	0.0631878417	162.2380262597	1.3432807102000002	0.004	0.249	0.747
AXUHEH	163.8893090665	3.2487234451	0.10478975759999999	0.0523142053	0.14951173140000001	0.1021212557	164.1436105555	3.4031589061000003	0.005	0.16583333333333333	0.8291666666666666
AXUHEH	164.95724691799998	5.1965599836	0.0797707497	0.0668984058	0.10475344240000001	0.0910987741	165.1417711101	5.3545571635	0.005	0.19899999999999998	0.7959999999999999
AXUHEH	161.9159599496	3.4509463758999996	0.17513305510000002	0.089130374	0.1612568144	0.059980875499999996	162.2523498191	3.6000576254000003	0.005	0.24875	0.74625
AXUHEH	162.62397050299998	6.774514041900001	0.10551494619999999	0.07231552549999999	0.1672880732	0.09748087550000001	162.8967735224	6.9443104429	0.006	0.16566666666666666	0.8283333333333333
AXUHEH	162.4588119074	6.151204679199999	0.1240072564	0.0863735891	0.1730018973	0.13694648369999998	162.7558210611	6.374524752	0.006	0.1988	0.7952
AXUHEH	163.5609658823	3.3724187308999998	0.1084157008	0.050732115300000005	0.09427809820000001	0.0567347326	163.7636596813	3.4798855788	0.006	0.2485	0.7455
AXUHEH	164.9329008302	1.2906015001	0.0772325895	0.024334374300000003	0.128561043	0.0321848079	165.13869446270002	1.3471206823	0.006999999999999999	0.1655	0.8275
AXUHEH	164.1656700632	2.7811181575	0.10877829509999999	0.0705709523	0.14157586460000002	0.0882536902	164.4160242229	2.9399428	0.006999999999999999	0.1986	0.7944
AXUHEH	164.7440541491	4.3416570248	0.1171179644	0.09843884789999999	0.12126004539999999	0.1143751974	164.9824321589	4.5544710701	0.006999999999999999	0.24825	0.74475
AXUHEH	165.9442504776	3.4362453919	0.11929353029999999	0.1092703106	0.18950850030000002	0.2196280937	166.2530525082	3.7651437962	0.008	0.16533333333333333	0.8266666666666667
AXUHEH	166.21008343629998	4.4624702201	0.08375928719999999	0.0161181229	0.1215774801	0.07025568730000001	166.4154202036	4.5488440303	0.008	0.1984	0.7936
AXUHEH	163.7090164163	4.4444591895	0.1290835768	0.06038692389999999	0.1393538219	0.074887677	163.977453815	4.579733790400001	0.008	0.248	0.7440000000000001
AXUHEH	162.75557097770002	3.8852877744	0.0783203725	0.0443730119	0.1279261736	0.065351466	162.9618175238	3.9950122523	0.009000000000000001	0.16516666666666666	0.8258333333333333
AXUHEH	166.7818874986	3.3064618593	0.09354933380000001	0.0751401815	0.1203077414	0.1200289302	166.99574457379998	3.5016309710000004	0.009000000000000001	0.1982	0.7928
AXUHEH	166.2403515455	2.4032617663	0.08375928719999999	0.0469079903	0.06539154280000001	0.0520979837	166.3895023755	2.5022677403	0.009000000000000001	0.24775	0.74325
AXUHEH	166.6693690928	1.3811744107	0.0736066463	0.048081701799999994	0.1263390002	0.1091643029	166.8693147393	1.5384204153999999	0.01	0.165	0.8250000000000001
AXUHEH	165.8751602284	2.9812878524	0.0808585327	0.0639894221	0.114911352	0.1220469241	166.0709301131	3.1673241986000003	0.01	0.198	0.792
AXUHEH	166.84966174299998	3.0203126041000004	0.1294461711	0.0997918585	0.1263390002	0.0909570825	167.1054469143	3.2110615450999997	0.01	0.2475	0.7424999999999999
AXUHEH	164.04525562889998	6.5023561457	0.0823089099	0.10965945630000001	0.10253139970000001	0.0989989132	164.2300959385	6.7110145152	0.012	0.16466666666666666	0.8233333333333333
AXUHEH	164.68154392370002	1.4960375294	0.0761448066	0.0281799009	0.08951657810000001	0.0417568392	164.8472053084	1.5659742694999998	0.012	0.1976	0.7904
AXUHEH	166.2620656238	1.3593354411	0.11022867230000001	0.0451950217	0.08126327650000001	0.053018243	166.4535575726	1.4575487058	0.012	0.247	0.741
AXUHEH	165.8600261739	1.5430479736000002	0.0620036282	0.041621026400000004	0.0933257941	0.030802615099999996	166.0153555962	1.6154716151	0.013999999999999999	0.16433333333333333	0.8216666666666667
AXUHEH	168.32753507290002	3.8636662212	0.0768699952	0.10270063980000001	0.073962279	0.10435058380000001	168.4783673471	4.0707174448000005	0.013999999999999999	0.1972	0.7888
AXUHEH	166.62133491950001	2.1441009094	0.0848470702	0.0266845769	0.071105367	0.0183344288	166.77728735670001	2.1891199151	0.013999999999999999	0.2465	0.7395
AXUHEH	164.6854919379	2.2167919286	0.0739692406	0.0423723691	0.10380113839999999	0.10169013710000001	164.8632623169	2.3608544348	0.016	0.16399999999999998	0.8200000000000001
AXUHEH	163.5932079986	1.2370402614	0.0775951838	0.0321382134	0.0787237991	0.0648872502	163.7495269815	1.334065725	0.016	0.1968	0.7872
AXUHEH	161.7797534584	7.2140698673	0.16824376300000002	0.0659243935	0.1437979073	0.058827419900000004	162.0917951287	7.338821680700001	0.016	0.24600000000000002	0.738
AXUHEH	169.8587065951	6.1284669508	0.052576175999999995	0.0407011111	0.08888170869999999	0.06775576009999999	170.0001644798	6.2369238220000005	0.018000000000000002	0.16366666666666665	0.8183333333333332
AXUHEH	164.1150038804	2.8955406203	0.08375928719999999	0.027269407000000002	0.09808731429999999	0.035313805	164.2968504819	2.9581238323	0.018000000000000002	0.1964	0.7856
AXUHEH	165.4132425625	2.4914844312	0.1069653235	0.0556083042	0.1126893093	0.0696622669	165.63289719530002	2.6167550022999997	0.018000000000000002	0.2455	0.7364999999999999
AXUHEH	167.22603910040002	3.1525623655	0.0612784396	0.0390121829	0.0958652715	0.0686305217	167.3831828115	3.2602050701	0.02	0.16333333333333333	0.8166666666666667
AXUHEH	165.5711631321	3.9385728981	0.0797707497	0.0862639238	0.0850724926	0.0791068607	165.7360063744	4.1039436826	0.02	0.196	0.784
AXUHEH	171.80047159810002	2.9871782989	0.0859348531	0.050794274400000006	0.0815807112	0.045276467699999996	171.96798716240002	3.083249041	0.02	0.245	0.735
AXUHEH	167.881409464	0.5861556642	0.0449616953	0.011093253	0.0726925403	0.023618505	167.9990636996	0.6208674222	0.03	0.16166666666666665	0.8083333333333332
