MOF	acetone_mass	acetone_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	acetone_comp	O2_comp	N2_comp
BAZGAM	0.0047815749	0.011712418600000002	3.4201029933999996	0.1491457031	13.934991198599999	0.7136952708	17.3598757669	0.8745533925	1e-06	0.1666665	0.8333325
BAZGAM	0.0023907874	0.009563149699999999	4.1328440256	0.3580559605	13.432122785899999	0.5687121428	17.567357598900003	0.936331253	1e-06	0.19999979999999998	0.7999991999999999
BAZGAM	0.0	0.0	4.8126487808	0.5335660593	12.503661610999998	0.32032912280000003	17.316310391800002	0.8538951820999999	1e-06	0.24999975	0.74999925
BAZGAM	0.0262986617	0.027881133	3.4925628025999997	0.3911210271	13.9949663304	0.5674476391	17.5138277947	0.9864497992	1e-05	0.166665	0.8333250000000001
BAZGAM	0.0358618114	0.0302413347	4.019543233	0.2063651598	13.309865786500001	0.7282493273	17.3652708309	0.9648558218000001	1e-05	0.199998	0.799992
BAZGAM	0.009563149699999999	0.0178910149	5.068234289599999	0.3001476246	12.651292704600001	1.4111002819	17.729090143900002	1.7291389214	1e-05	0.24999749999999998	0.7499925000000001
BAZGAM	0.1625735451	0.0998422142	3.3489606352999997	0.1586639975	13.9522917174	0.40519835719999997	17.4638258978	0.6637045689	0.0001	0.16665	0.8332499999999999
BAZGAM	0.1625735451	0.0794374876	3.9971465647000004	0.4232607613	13.3767611258	0.8620713472	17.5364812356	1.3647695961000001	0.0001	0.19998	0.79992
BAZGAM	0.10758543429999999	0.0676216801	4.989187225	0.2614534687	12.2130128954	0.45737400710000004	17.3097855547	0.7864491559000001	0.0001	0.249975	0.749925
BAZGAM	1.5420578913	0.17107082269999999	3.3371035756	0.1180130288	13.770059586199999	0.5411446919	18.6492210531	0.8302285434000001	0.001	0.1665	0.8325
BAZGAM	1.4368632444	0.1938750245	4.0353526459	0.2690440256	13.1922222587	0.942679147	18.664438149000002	1.4055981971	0.001	0.1998	0.7992
BAZGAM	1.3866567084	0.3264103473	5.0300282083	0.1329516379	12.5843973653	0.255350552	19.001082282	0.7147125371999999	0.001	0.24975	0.74925
BAZGAM	3.0243460969	0.5456026252	3.2936276901	0.2588380676	13.617815020899998	0.8250120620999999	19.9357888079	1.6294527549000002	0.002	0.16633333333333333	0.8316666666666667
BAZGAM	3.1080236569	0.5491529955	4.1670977535	0.4545187119	13.2637310697	0.7930610145999999	20.5388524801	1.7967327219999998	0.002	0.1996	0.7984
BAZGAM	3.270597202	0.2831241497	4.9351717309	0.2078735746	12.1922522728	0.47315644960000003	20.3980212057	0.9641541739	0.002	0.2495	0.7484999999999999
BAZGAM	4.6070473744	0.7707981723	3.4332775042000003	0.36198991189999996	13.7273849732	0.3577002835	21.7677098518	1.4904883677	0.003	0.16616666666666666	0.8308333333333333
BAZGAM	4.5855302876	0.6218989125	4.0617016675	0.1113538455	13.383681333299998	0.9046228622	22.0309132884	1.6378756202000002	0.003	0.1994	0.7976
BAZGAM	4.7002880841	0.6394451382999999	5.090630957799999	0.281009566	12.3168160081	0.4838319996	22.10773505	1.4042867038999998	0.003	0.24925	0.74775
BAZGAM	5.9267620349	0.8234032954	3.4161506401999997	0.2625134911	13.9073103686	0.9618452273999999	23.2502230437	2.0477620139	0.004	0.166	0.8300000000000001
BAZGAM	6.1897486520000005	1.2084620488	4.0076861733	0.1540009583	12.9119538544	0.7832378789	23.109388679699997	2.1457008859999998	0.004	0.1992	0.7968
BAZGAM	6.1275881789	0.525451349	5.1472813541	0.39423278850000004	12.176105122000001	0.7183028728	23.450974655	1.6379870103	0.004	0.249	0.747
BAZGAM	7.829828827899999	0.8162359765	3.4807057429	0.42409648479999995	13.802353887899999	0.5899834857	25.1128884587	1.8303159469999999	0.005	0.16583333333333333	0.8291666666666666
BAZGAM	7.4903370129999995	0.8495339420999999	4.063019118500001	0.34530289659999996	13.1241735515	0.565286785	24.677529683000003	1.7601236237	0.005	0.19899999999999998	0.7959999999999999
BAZGAM	7.640956621	1.4739665001	5.041885268	0.2040305989	12.2441538292	1.1416221869	24.9269957182	2.8196192858999996	0.005	0.24875	0.74625
BAZGAM	9.2571289226	0.4780618446	3.2857229837	0.3163419235	13.548612945699999	0.9323494109999999	26.091464851999998	1.7267531791	0.006	0.16566666666666666	0.8283333333333333
BAZGAM	9.1734513626	0.8618249823	4.1618279492	0.28076239420000004	13.1691549003	0.9173038951000001	26.5044342121	2.0598912716	0.006	0.1988	0.7952
BAZGAM	9.1614974254	1.6984756962	5.0300282083	0.1586639975	12.5267289694	0.7449149725	26.7182546031	2.6020546662	0.006	0.2485	0.7455
BAZGAM	10.610314607000001	1.1264237529999999	3.3463257332	0.3041001292	13.3998284841	1.1434198936	27.3564688243	2.5739437758	0.006999999999999999	0.1655	0.8275
BAZGAM	10.409488462999999	1.3088245625	3.8851632232999997	0.3067596495	12.8796595526	0.4098336738	27.1743112389	2.0254178858	0.006999999999999999	0.1986	0.7944
BAZGAM	10.6055330322	1.1458233802	4.9786476164	0.39147588200000005	11.966192160699999	0.5611582386999999	27.550372809299997	2.0984575009	0.006999999999999999	0.24825	0.74475
BAZGAM	12.1667172229	1.6178690115	3.4411822106	0.4069708519	13.713544558099999	0.2095196873	29.3214439916	2.2343595507	0.008	0.16533333333333333	0.8266666666666667
BAZGAM	12.974803373699999	1.2725279109	4.002416369	0.3347051809	13.565913464500001	0.4878405456	30.543133207199997	2.0950736374	0.008	0.1984	0.7936
BAZGAM	12.750069355399999	2.1055006706	5.0576946809	0.3491021626	12.353723781500001	0.7784131269	30.1614878178	3.2330159601	0.008	0.248	0.7440000000000001
BAZGAM	13.6920396022	1.2013653302	3.396388874	0.1676013187	13.9453715099	0.9490304843999999	31.0337999861	2.3179971333	0.009000000000000001	0.16516666666666666	0.8258333333333333
BAZGAM	13.7661540125	1.8584032200999998	4.0524795099	0.35207262429999997	12.8508253547	0.3218371862	30.669458877100002	2.5323130306	0.009000000000000001	0.1982	0.7928
BAZGAM	14.0076235427	2.5810496399000002	5.0155362465	0.5108993059	12.490974563900002	0.7599985731000001	31.5141343531	3.8519475189	0.009000000000000001	0.24775	0.74325
BAZGAM	15.6070603323	1.7869020974	3.2988974944	0.2690182192	13.7965870483	0.3359133326	32.702544875	2.3918336492	0.01	0.165	0.8250000000000001
BAZGAM	15.2866948169	0.8828967893999999	4.0300828416000005	0.1326379489	12.9281010052	0.219006316	32.2448786637	1.2345410543000002	0.01	0.198	0.792
BAZGAM	16.4605714442	2.0636802907	5.0076315401	0.3536466687	12.2983621214	1.0227609926999999	33.7665651057	3.4400879521	0.01	0.2475	0.7424999999999999
BAZGAM	18.2273633538	1.983886875	3.2659612175	0.2795232567	13.351387031500002	0.6266259687	34.844711602800004	2.8900361004	0.012	0.16466666666666666	0.8233333333333333
