MOF	acetone_mass	acetone_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	acetone_comp	O2_comp	N2_comp
BIWSEG	127.4774260762	38.9004485735	2.607118556	0.28754253399999996	9.681419979600001	1.1856214015	139.7659646118	40.373612509000004	1e-06	0.1666665	0.8333325
BIWSEG	135.6841454394	23.7548265452	3.0362116635	0.16253354050000002	9.3566699298	1.1638375084	148.07702703270002	25.081197594099997	1e-06	0.19999979999999998	0.7999991999999999
BIWSEG	124.14324850000001	38.8972042315	3.9083521261	0.3789833615	8.9352074828	0.15726430619999998	136.9868081089	39.4334518992	1e-06	0.24999975	0.74999925
BIWSEG	213.1784512183	26.7244962543	2.2966365512999998	0.1319723967	8.855801514500001	0.5385497821	224.3308892841	27.3950184331	1e-05	0.166665	0.8333250000000001
BIWSEG	212.5517102435	27.6342747693	2.8036408735	0.329840812	8.5626102469	0.4498888372	223.9179613639	28.4140044185	1e-05	0.199998	0.799992
BIWSEG	209.31460366009998	19.850335038599997	3.6048472450999998	0.533850025	7.9741916614	0.5426599722	220.8936425666	20.9268450358	1e-05	0.24999749999999998	0.7499925000000001
BIWSEG	354.11709169870005	12.627782856600001	1.4686845388999998	0.2869776539	5.7895095083	0.7068820059	361.3752857459	13.621642516400001	0.0001	0.16665	0.8332499999999999
BIWSEG	361.1040929359	14.0682654425	1.8245178476	0.158489784	5.3090015977	0.6519177977	368.23761238120005	14.878673024200001	0.0001	0.19998	0.79992
BIWSEG	379.1951716452	31.0785364223	2.257099517	0.30813654949999997	5.0992883994	0.2468076158	386.5515595616	31.6334805876	0.0001	0.249975	0.749925
BIWSEG	530.3136049278	16.6158721225	0.6407325265	0.1534614794	2.5990184235	0.1885519052	533.5533558778	16.957885507100002	0.001	0.1665	0.8325
BIWSEG	524.3880538937	25.7641100972	0.8058577873999999	0.09718008800000001	2.51859443	0.2662792854	527.7125061111	26.1275694706	0.001	0.1998	0.7992
BIWSEG	534.5024292877999	9.7809519455	1.0151714984	0.1904526161	2.357746443	0.1477224423	537.8753472292	10.1191270039	0.001	0.24975	0.74925
BIWSEG	556.8308678535	14.7921664951	0.5942183685	0.0461639837	2.3037911056	0.1573960515	559.7288773276	14.995726530299999	0.002	0.16633333333333333	0.8316666666666667
BIWSEG	555.0793695065	17.0619438604	0.6779438529	0.16909032059999998	2.3170254336	0.36469750549999996	558.074338793	17.595731686500002	0.002	0.1996	0.7984
BIWSEG	553.9398404614	5.4553885503999995	0.8802804402	0.1543751578	2.0879697559	0.21838005719999998	556.9080906575	5.828143765399999	0.002	0.2495	0.7484999999999999
BIWSEG	567.9855910609	12.0403482508	0.5070043222	0.1304056586	2.2966649289	0.2764383745	570.789260312	12.447192283900002	0.003	0.16616666666666666	0.8308333333333333
BIWSEG	575.9644046151	15.759123358900002	0.651198212	0.09867142960000001	2.1398890428	0.1532592952	578.7554918699	16.0110540837	0.003	0.1994	0.7976
BIWSEG	591.1623456934	15.0980601041	0.8209748887	0.1257603833	2.0584470241	0.2657494379	594.0417676062	15.4895699253	0.003	0.24925	0.74775
BIWSEG	589.6978398466999	7.2445508933000005	0.5546813342	0.0600194875	2.1857001784	0.1769842067	592.4382213593	7.4815545875	0.004	0.166	0.8300000000000001
BIWSEG	589.3855244788	10.6025479064	0.7023637858	0.1504357328	2.1887542541	0.2902354057	592.2766425187	11.0432190449	0.004	0.1992	0.7968
BIWSEG	589.0858705447	21.523450233800002	0.8035320795	0.0987810037	1.9108333651	0.18410220089999998	591.8002359893	21.806333438400003	0.004	0.249	0.747
BIWSEG	593.4836085629	12.223235693900001	0.5418899407	0.0880703544	2.2111508092	0.1381816919	596.2366493128	12.4494877402	0.005	0.16583333333333333	0.8291666666666666
BIWSEG	615.4026607679	20.479434235899998	0.6151497396	0.11426778289999999	2.0747354278	0.23906041879999998	618.0925459353	20.8327624376	0.005	0.19899999999999998	0.7959999999999999
BIWSEG	614.5817778077	8.5670878735	0.7872521242	0.1758333612	1.9098153398	0.2433399753	617.2788452717	8.98626121	0.005	0.24875	0.74625
BIWSEG	610.4879142015	20.910428573	0.5453785026	0.0836608565	2.097131983	0.1691270541	613.1304246871	21.1632164836	0.006	0.16566666666666666	0.8283333333333333
BIWSEG	619.2327445026	23.0745984977	0.6651524594	0.10848872710000002	2.0299423175	0.1453175306	621.9278392795	23.3284047554	0.006	0.1988	0.7952
BIWSEG	611.9081050299	19.3488288927	0.837254844	0.097568921	1.9739509296000002	0.1244158456	614.7193108035	19.5708136593	0.006	0.2485	0.7455
BIWSEG	619.131453032	24.89554157	0.5209585696	0.0325599106	2.0350324437	0.1010668874	621.6874440453	25.029168368	0.006999999999999999	0.1655	0.8275
BIWSEG	622.1955200197	21.175401766300002	0.6418953803999999	0.063946395	2.0594650493	0.1786162916	624.8968804494	21.417964452899998	0.006999999999999999	0.1986	0.7944
BIWSEG	627.5702986821	31.694459126399998	0.8767918782999999	0.17930589519999998	1.8354994977	0.2885594278	630.2825900581	32.1623244494	0.006999999999999999	0.24825	0.74475
