MOF	acetone_mass	acetone_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	acetone_comp	O2_comp	N2_comp
EDUVOO	0.0802166124	0.1228764715	2.3988123645	0.10621341599999999	9.3262760021	0.5531478264999999	11.805304979	0.7822377140000001	1e-06	0.1666665	0.8333325
EDUVOO	0.0643321347	0.0500802089	2.9555153981999998	0.2628086786	9.1170756119	0.7452733106	12.1369231448	1.0581621981	1e-06	0.19999979999999998	0.7999991999999999
EDUVOO	0.09530686619999999	0.0803698064	3.6601473827	0.2471998225	8.577215997	0.500556404	12.3326702459	0.8281260329000001	1e-06	0.24999975	0.74999925
EDUVOO	0.8466426614	0.761617225	2.41544343	0.2538637058	9.5009928115	0.6534429347	12.7630789029	1.6689238655	1e-05	0.166665	0.8333250000000001
EDUVOO	0.9451264231000001	0.7436921787999999	2.8509147496	0.16949128010000003	9.1051979341	0.6332426124	12.9012391068	1.5464260713	1e-05	0.199998	0.799992
EDUVOO	0.8792058407	0.6724520612999999	3.642640998	0.310011333	8.2982821435	0.3832014703	12.8201289822	1.3656648646	1e-05	0.24999749999999998	0.7499925000000001
EDUVOO	8.6379789728	4.124974072	2.3896215125999998	0.07249841809999999	9.4121018032	0.5704961186	20.4397022886	4.7679686087	0.0001	0.16665	0.8332499999999999
EDUVOO	7.1130691137	1.4290681155	2.9327570981	0.20891359920000002	9.1983036023	0.4792456575	19.244129814100003	2.1172273722	0.0001	0.19998	0.79992
EDUVOO	5.39913397	2.4222167074	3.65183185	0.1351907819	8.5415829635	0.3498115238	17.5925487835	2.9072190131	0.0001	0.249975	0.749925
EDUVOO	52.7618811258	9.8674454737	2.296400014	0.20803522800000002	9.014774322200001	0.1627124171	64.073055462	10.2381931188	0.001	0.1665	0.8325
EDUVOO	51.0169712505	8.2314721362	2.7323089931999998	0.09702233619999999	8.364184097899999	0.5060319614	62.1134643416	8.8345264338	0.001	0.1998	0.7992
EDUVOO	53.6601483397	8.3714039754	3.4837705568	0.192729315	7.8032511836000005	0.5462415065999999	64.94717008010001	9.110374797	0.001	0.24975	0.74925
EDUVOO	71.1751676747	6.623551787699999	2.3086544833000002	0.1781441312	8.8373754566	0.36506862030000004	82.3211976146	7.1667645392	0.002	0.16633333333333333	0.8316666666666667
EDUVOO	71.3578391683	16.1340630035	2.7012351604	0.1429908386	8.395219320599999	0.39187478049999996	82.4542936493	16.6689286226	0.002	0.1996	0.7984
EDUVOO	73.8485252715	8.7364794855	3.4321267219	0.1643317162	7.9285415271	0.37148332009999996	85.20919352050001	9.2722945218	0.002	0.2495	0.7484999999999999
EDUVOO	92.00607172950001	2.5456797190000002	2.2675144792	0.1997262914	8.6189794449	0.3907688365	102.8925656536	3.1361748469	0.003	0.16616666666666666	0.8308333333333333
EDUVOO	85.036757139	15.3494917582	2.7874541050999997	0.1559788423	8.4139937146	0.46716135740000003	96.23820495870001	15.9726319579	0.003	0.1994	0.7976
EDUVOO	88.8768296227	15.0499104967	3.4404422545999997	0.1308712033	7.8216424266999995	0.4282413668	100.138914304	15.6090230668	0.003	0.24925	0.74775
EDUVOO	99.9665777285	11.609482816300002	2.2653261812	0.1121433917	8.7017400388	0.3924437916	110.9336439485	12.1140699996	0.004	0.166	0.8300000000000001
EDUVOO	98.4059277945	7.0502974674	2.7235558009	0.1811001441	8.2760593914	0.1905458377	109.4055429868	7.4219434492	0.004	0.1992	0.7968
EDUVOO	108.6950982242	4.9222472360000005	3.4268748065	0.1083417522	7.70784661	0.3466158454	119.8298196407	5.3772048336000005	0.004	0.249	0.747
EDUVOO	105.9081666119	11.603726314200001	2.3025272487	0.0828275885	8.666873307100001	0.1947974736	116.87756716770001	11.881351376300001	0.005	0.16583333333333333	0.8291666666666666
EDUVOO	114.78520697409999	13.0988675354	2.7808892108	0.2327987164	8.3316162716	0.1849472201	125.8977124565	13.516613471900001	0.005	0.19899999999999998	0.7959999999999999
EDUVOO	114.4500444946	14.0370362794	3.425124168	0.11404035779999999	7.7699170555	0.2513469889	125.64508571809999	14.4024236261	0.005	0.24875	0.74625
EDUVOO	129.0407314852	10.2338678798	2.2732040543000003	0.113298909	8.5446481707	0.38743661030000004	139.8585837102	10.7346033991	0.006	0.16566666666666666	0.8283333333333333
EDUVOO	127.09250029540001	10.0244488478	2.7099883527	0.0409252698	8.1568994622	0.08633742470000001	137.9593881103	10.151711542300001	0.006	0.1988	0.7952
EDUVOO	126.99639920540001	9.1073982227	3.4255618275999997	0.1395468615	7.6484582209	0.34804445619999996	138.07041925389998	9.5949895404	0.006	0.2485	0.7455
EDUVOO	132.5877353555	14.8867525017	2.3349140604	0.111375559	8.567254073700001	0.3851914896	143.48990348959998	15.3833195503	0.006999999999999999	0.1655	0.8275
EDUVOO	130.9389265703	8.3879298661	2.7296830355	0.1326505798	8.2434915651	0.6285403337	141.9121011709	9.1491207796	0.006999999999999999	0.1986	0.7944
EDUVOO	135.8758222392	7.3513407411000005	3.3410935214	0.1850094416	7.6561212388	0.3262016324	146.8730369994	7.8625518151	0.006999999999999999	0.24825	0.74475
EDUVOO	141.9333678098	17.9018969943	2.2180589424	0.1610587393	8.4657190858	0.33092350660000003	152.617145838	18.3938792402	0.008	0.16533333333333333	0.8266666666666667
EDUVOO	141.3599381649	9.3513850779	2.7134896297	0.1686665443	8.232380189	0.3161902728	152.3058079836	9.836241895	0.008	0.1984	0.7936
EDUVOO	142.1096855123	11.814541356800001	3.3927373563	0.12454780800000001	7.8323706518	0.18576457940000002	153.3347935204	12.124853744200001	0.008	0.248	0.7440000000000001
EDUVOO	148.7764008027	6.9672343186	2.2797689485	0.2160177214	8.5890936748	0.2053431456	159.645263426	7.3885951856	0.009000000000000001	0.16516666666666666	0.8258333333333333
EDUVOO	149.19972213329999	2.3149979161000003	2.6850417545	0.1121297265	8.1166686179	0.2340848173	160.0014325057	2.6612124599	0.009000000000000001	0.1982	0.7928
EDUVOO	149.69928895700002	7.811260347999999	3.3844218236000003	0.1161110223	7.7419470399	0.18332719460000002	160.8256578205	8.1106985649	0.009000000000000001	0.24775	0.74325
EDUVOO	154.40506547540002	8.168329134	2.2775806504	0.06816258759999999	8.423955637899999	0.2052973854	165.1066017637	8.441789107	0.01	0.165	0.8250000000000001
EDUVOO	158.9114917987	9.8017594245	2.6618457948	0.0936877857	7.95536209	0.1973372195	169.5286996835	10.0927844297	0.01	0.198	0.792
EDUVOO	155.6281702582	9.2484225487	3.3345286272	0.1550921438	7.590219284400001	0.2012180697	166.5529181698	9.604732762200001	0.01	0.2475	0.7424999999999999
EDUVOO	173.8730813436	12.1463290445	2.2587612869	0.048530906500000005	8.4841103289	0.40980026020000004	184.61595295939998	12.604660211199999	0.012	0.16466666666666666	0.8233333333333333
EDUVOO	179.503334464	15.2132098916	2.6211434503	0.0963408019	8.0611117377	0.22604474219999998	190.185589652	15.5355954357	0.012	0.1976	0.7904
EDUVOO	169.810626172	13.4952680923	3.3485337349	0.0734121011	7.5898361335	0.10597153150000001	180.74899604040002	13.6746517249	0.012	0.247	0.741
EDUVOO	190.41597064340002	11.2353701127	2.2193719213	0.10746838630000001	8.3611188907	0.3408759839	200.9964614554	11.6837144829	0.013999999999999999	0.16433333333333333	0.8216666666666667
EDUVOO	191.39286602189998	3.6511791067000003	2.6609704755	0.1983520513	7.9584272971	0.12973831130000002	202.0122637945	3.9792694693	0.013999999999999999	0.1972	0.7888
EDUVOO	188.66550120099998	6.1221517826	3.2995158577	0.0844762427	7.568379683200001	0.38053346619999995	199.5333967419	6.5871614915	0.013999999999999999	0.2465	0.7395
EDUVOO	204.6865854084	13.039184896400002	2.2018655366	0.1509107226	8.3182059901	0.176249413	215.20665693509997	13.366345032	0.016	0.16399999999999998	0.8200000000000001
EDUVOO	204.7620366775	5.2033398254000005	2.6285836637999997	0.1369923542	7.987163614500001	0.324458008	215.37778395580003	5.6647901875999995	0.016	0.1968	0.7872
EDUVOO	208.32413080150002	9.036537381699999	3.3192105405000003	0.11279058119999999	7.3722064236	0.1341662928	219.01554776560002	9.2834942557	0.016	0.24600000000000002	0.738
EDUVOO	218.6998716347	8.145842350399999	2.2044914943	0.1786723613	8.2542197902	0.2854574474	229.15858291919997	8.6099721591	0.018000000000000002	0.16366666666666665	0.8183333333333332
EDUVOO	226.59445705119998	8.383731324	2.6548432409	0.1716697186	7.917813302000001	0.24156137219999999	237.1671135941	8.7969624148	0.018000000000000002	0.1964	0.7856
EDUVOO	216.80247077349998	8.9182019034	3.2658160672000003	0.1468502918	7.4825538821	0.2111491723	227.5508407228	9.2762013675	0.018000000000000002	0.2455	0.7364999999999999
EDUVOO	234.23171392900002	17.2565762189	2.1856721307	0.1145431393	8.120883277799999	0.36165060979999997	244.5382693375	17.732769968	0.02	0.16333333333333333	0.8166666666666667
EDUVOO	234.8933024252	12.5983452759	2.6097643003	0.0644772293	7.8825634194	0.2658150602	245.3856301449	12.928637565399999	0.02	0.196	0.784
EDUVOO	240.35835697759998	1.5549727296	3.300391177	0.1671928481	7.3507499733	0.248404738	251.0094981279	1.9705703156999999	0.02	0.245	0.735
EDUVOO	346.29114452989995	30.4438165888	2.1690410653	0.0764790615	8.0883154515	0.23893383370000001	356.5485010467	30.759229484000002	0.03	0.16166666666666665	0.8083333333333332
EDUVOO	347.408617536	24.5173773935	2.6460900485	0.1518975242	7.6204882053	0.1921172245	357.67519578980006	24.861392142199996	0.03	0.19399999999999998	0.7759999999999999
EDUVOO	353.88869021339997	18.11328493	3.2325539362	0.17834616	7.1944244070000005	0.1149605943	364.31566855660003	18.4065916843	0.03	0.2425	0.7275
EDUVOO	1360.2450095049	37.1649096554	0.929589028	0.150223755	2.7027464326999997	0.27362876350000004	1363.8773449656	37.5887621739	0.04	0.16	0.8
EDUVOO	1349.8533841941	27.760056800900003	1.1641745829999999	0.0728147763	2.6537031178	0.2577030897	1353.6712618949	28.0905746669	0.04	0.192	0.768
EDUVOO	1378.2945415145002	21.9983171062	1.3729382206999998	0.1688390746	2.2709353709999998	0.21460007809999998	1381.9384151062	22.381756258899998	0.04	0.24	0.72
EDUVOO	1427.6531732932	10.5839396568	0.7777211406	0.044684168200000006	2.0356807197	0.1543028157	1430.4665751535001	10.7829266407	0.05	0.15833333333333333	0.7916666666666666
EDUVOO	1437.5245819594	21.667800194699996	0.9344032837999999	0.09105003199999999	1.9142218852000001	0.2010487359	1440.3732071284	21.9598989626	0.05	0.19	0.76
EDUVOO	1435.6033543817002	13.9468997797	1.1050905347	0.0898215733	1.8080890865	0.14995647039999999	1438.5165340029	14.186677823399998	0.05	0.2375	0.7124999999999999
