MOF	acetone_mass	acetone_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	acetone_comp	O2_comp	N2_comp
HIFTOG	2.4810522728	1.9918987213	3.2161961647000004	0.1623149841	9.721690198500001	0.2665427393	15.418938635999998	2.4207564447	1e-06	0.1666665	0.8333325
HIFTOG	1.6715139630000002	0.9114623173999999	3.889240244	0.3860255732	9.2851052163	0.48695887270000004	14.845859423299999	1.7844467633	1e-06	0.19999979999999998	0.7999991999999999
HIFTOG	2.8575406134	2.1375984902000003	5.039876142200001	0.3127151491	8.8155489725	0.5396065319	16.7129657281	2.9899201712	1e-06	0.24999975	0.74999925
HIFTOG	18.214611972100002	5.84003143	3.2080793764999997	0.1774786555	9.2640718253	0.947705522	30.686763173899998	6.9652156075	1e-05	0.166665	0.8333250000000001
HIFTOG	17.548245284700002	5.0581494043	3.7145669613999996	0.3499916915	9.0068391372	0.6911754014	30.269651383299998	6.0993164972	1e-05	0.199998	0.799992
HIFTOG	19.7618081888	6.0156270863	4.5353365863	0.4040949028	8.2055806315	0.7651729065999999	32.5027254066	7.1848948957	1e-05	0.24999749999999998	0.7499925000000001
HIFTOG	114.67163185860001	4.0153417365	2.0324437705	0.0847635226	5.3865377584	0.2517969315	122.0906133875	4.3519021906	0.0001	0.16665	0.8332499999999999
HIFTOG	105.29182844290001	12.646476390799998	2.6077617196	0.3601167848	5.776792433200001	0.4302773644	113.67638259569999	13.43687054	0.0001	0.19998	0.79992
HIFTOG	108.12933681290001	12.0796941546	3.1259374797	0.2550323275	5.0642152520999995	0.6103727054	116.31948954469999	12.9450991875	0.0001	0.249975	0.749925
HIFTOG	181.07851898060002	1.762380513	0.6947970717	0.1176727156	1.7392340533000001	0.3276695962	183.5125501056	2.2077228248	0.001	0.1665	0.8325
HIFTOG	181.89335994310002	4.7508538541	0.8266137123999999	0.1651732699	1.6215607573	0.3095735583	184.3415344128	5.2256006823000005	0.001	0.1998	0.7992
HIFTOG	184.0580206058	4.121191888899999	0.9191450981	0.15862322550000002	1.3867826354	0.24185978100000002	186.3639483393	4.5216748954	0.001	0.24975	0.74925
HIFTOG	192.4697953147	1.3280653876000001	0.5074615996	0.0794377751	1.1784383698	0.2510836298	194.1556952841	1.6585867925	0.002	0.16633333333333333	0.8316666666666667
HIFTOG	191.56068497110002	2.0180804584	0.6038890436	0.1217756302	1.1042530311	0.2844793515	193.2688270458	2.4243354400999997	0.002	0.1996	0.7984
HIFTOG	190.06415854669999	1.7953089453	0.7584326914	0.0880189245	1.0772507047	0.0945610209	191.89984194279998	1.9778888906999998	0.002	0.2495	0.7484999999999999
HIFTOG	195.53531775009998	3.3427789102	0.4577868557	0.1222594173	1.0513853184	0.2180614278	197.04448992419998	3.6830997552999998	0.003	0.16616666666666666	0.8308333333333333
HIFTOG	195.02861982689998	1.7022248268	0.557461015	0.09526993519999999	1.0275095772	0.1610486728	196.6135904191	1.9585434348	0.003	0.1994	0.7976
HIFTOG	194.7528818873	4.2984805937	0.6743427654	0.1541229119	1.0036338359	0.1835322017	196.4308584886	4.6361357073	0.003	0.24925	0.74775
HIFTOG	198.6921636484	1.9567944209	0.43765722090000003	0.1361237414	0.9487764781999999	0.24264149489999998	200.0785973475	2.3355596572	0.004	0.166	0.8300000000000001
HIFTOG	200.5404327009	5.5496757236	0.5022668551	0.08895288900000001	0.8578212734999999	0.23879530710000002	201.9005208295	5.8774239197	0.004	0.1992	0.7968
HIFTOG	198.07057491700002	2.1569548451	0.5493442268	0.14552529820000001	0.7952895704	0.1903364658	199.4152087142	2.4928166091	0.004	0.249	0.747
HIFTOG	199.41509196439998	2.2577498314	0.4074627687	0.0790493501	0.8382090575	0.239820251	200.66076379060001	2.5766194325	0.005	0.16583333333333333	0.8291666666666666
HIFTOG	201.1101732727	5.246704025400001	0.5344093365	0.128159331	0.9339962573999999	0.2680708409	202.5785788666	5.6429341973	0.005	0.19899999999999998	0.7959999999999999
HIFTOG	199.4198054335	2.0126864708000003	0.6259667076	0.1112178897	0.8788546646	0.21927474100000002	200.9246268057	2.3431791015	0.005	0.24875	0.74625
HIFTOG	202.82116253889998	3.0657108031	0.394151236	0.0772527232	0.8899398302	0.0838642623	204.1052536051	3.2268277886	0.006	0.16566666666666666	0.8283333333333333
HIFTOG	200.2464300687	1.8080869744999999	0.4831112349	0.11786247289999999	0.8924979453	0.22400171789999998	201.6220392489	2.1499511653	0.006	0.1988	0.7952
HIFTOG	200.4108123019	2.8348122101	0.6029150290999999	0.1041097619	0.7944368653	0.13393472369999998	201.8081641963	3.0728566957	0.006	0.2485	0.7455
HIFTOG	201.9273709697	4.183456711	0.3704502144	0.1203721609	0.7853413449	0.2650716678	203.08316252900002	4.5689005397	0.006999999999999999	0.1655	0.8275
HIFTOG	204.93397504200001	3.2289211131	0.43213780490000003	0.056287219699999995	0.7461169129	0.10888835289999999	206.1122297598	3.3940966857	0.006999999999999999	0.1986	0.7944
