MOF	acetone_mass	acetone_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	acetone_comp	O2_comp	N2_comp
HKUST-1	9.9601270267	3.0507306324	3.4799453743	0.1874009941	11.6708964691	0.6873851459999999	25.110968870100002	3.9255167725	1e-06	0.1666665	0.8333325
HKUST-1	9.9331266824	5.128728393	4.125512437799999	0.2274791061	11.3590068127	1.0910696111	25.4176459329	6.4472771102	1e-06	0.19999979999999998	0.7999991999999999
HKUST-1	9.0181150128	2.8665141876	5.379449999	0.6985466095	10.6100374522	1.0241473411	25.007602464	4.5892081382	1e-06	0.24999975	0.74999925
HKUST-1	42.339539978400005	5.044325032	2.4913433154	0.3186567445	8.7625796964	1.0378589003	53.5934629902	6.4008406768	1e-05	0.166665	0.8333250000000001
HKUST-1	43.787058439300004	7.678441889299999	3.0162281878	0.3662606825	8.676466311	0.6324977891	55.479752938100006	8.6772003609	1e-05	0.199998	0.799992
HKUST-1	44.0375616341	5.2141113773	3.6758472873000003	0.3281719843	7.5815961252	0.3046386267	55.2950050466	5.8469219883	1e-05	0.24999749999999998	0.7499925000000001
HKUST-1	132.5236901441	7.8441827789	1.6118511829	0.0948240009	6.037344322999999	0.35117439729999994	140.17288565	8.290181177100001	0.0001	0.16665	0.8332499999999999
HKUST-1	128.64914073	13.6648268499	2.0929267666999998	0.17272376260000002	6.1661525801999995	0.5001072325	136.9082200769	14.337657845	0.0001	0.19998	0.79992
HKUST-1	127.3126236847	10.4185692245	2.3574356787	0.165532844	5.5141512335	0.5131432383	135.18421059690002	11.097245306800001	0.0001	0.249975	0.749925
HKUST-1	395.99155028800004	19.6073224089	0.7083879301	0.1097343443	2.0775758781	0.3807594333	398.77751409620004	20.0978161865	0.001	0.1665	0.8325
HKUST-1	407.2146934226	30.0661981571	0.7778215195	0.1363648625	1.7237149918999999	0.48354442299999995	409.716229934	30.6861074426	0.001	0.1998	0.7992
