MOF	acetone_mass	acetone_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	acetone_comp	O2_comp	N2_comp
IRMOF-1	0.030637548799999997	0.0382924036	1.5636180829	0.17099312390000002	6.0178237254999996	0.143920625	7.612079357200001	0.3532061525	1e-06	0.1666665	0.8333325
IRMOF-1	0.035351017900000004	0.0494352805	1.9402370563	0.1510947485	6.090587889199999	0.6042106389	8.066175963400001	0.8047406679000001	1e-06	0.19999979999999998	0.7999991999999999
IRMOF-1	0.040064487	0.060728800599999994	2.3843877078	0.1442418812	5.7051652096000005	0.439547555	8.129617404400001	0.6445182368	1e-06	0.24999975	0.74999925
IRMOF-1	0.32522936469999997	0.177366782	1.4947877188	0.10499296949999999	6.2224729359	0.34661571399999996	8.0424900194	0.6289754654999999	1e-05	0.166665	0.8333250000000001
IRMOF-1	0.398288135	0.1846091998	1.86880932	0.26658201730000003	5.947333441900001	0.23842150780000002	8.2144308969	0.6896127248999999	1e-05	0.199998	0.799992
IRMOF-1	0.40300160399999996	0.4374647797	2.3272455187	0.3555270358	5.5334872609	0.3620114268	8.263734383600001	1.1550032423	1e-05	0.24999749999999998	0.7499925000000001
IRMOF-1	4.3882396884	0.9488717787000001	1.5480338495	0.1591831098	6.3066065001	0.3903266068	12.242880038	1.4983814953	0.0001	0.16665	0.8332499999999999
IRMOF-1	3.3583467003	0.9398614743000001	1.8740040644999998	0.1390504139	6.0269192459	0.5653873848	11.2592700107	1.6442992730000001	0.0001	0.19998	0.79992
IRMOF-1	3.6930030031	1.2131667256999998	2.2973757381	0.2317927344	5.4129716148	0.3815378403	11.403350355999999	1.8264973004	0.0001	0.249975	0.749925
IRMOF-1	33.2346702935	7.2880444378	1.6194615858	0.1564040854	6.370275143400001	0.3928354129	41.2244070227	7.8372839361	0.001	0.1665	0.8325
IRMOF-1	31.391703893699997	12.2236893068	1.9921845009999999	0.1645594689	5.819996155399999	0.1730839546	39.2038845501	12.5613327303	0.001	0.1998	0.7992
