MOF	acetone_mass	acetone_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	acetone_comp	O2_comp	N2_comp
KICXAX	4.0796132895	1.5001536824000001	0.1687554016	0.0157823171	0.7307276548999999	0.0784430995	4.979096346	1.594379099	1e-06	0.1666665	0.8333325
KICXAX	4.4570036895	0.4843076333	0.1995537513	0.025029769900000002	0.6780009082999999	0.0666004571	5.3345583491	0.5759378603	1e-06	0.19999979999999998	0.7999991999999999
KICXAX	3.7299017341000003	0.8826575063	0.26408362679999997	0.0229413631	0.6774017406999999	0.069105525	4.671387101600001	0.9747043944	1e-06	0.24999975	0.74999925
KICXAX	9.7040964487	0.5411639940999999	0.09444827230000001	0.0118203724	0.38560713189999996	0.042862687000000003	10.1841518529	0.5958470535	1e-05	0.166665	0.8333250000000001
KICXAX	10.0502594343	0.6662163641	0.112731737	0.0177677211	0.3454629044	0.07236003769999999	10.508454075700001	0.7563441229000001	1e-05	0.199998	0.799992
KICXAX	9.8196023962	0.9515352168000001	0.1512541172	0.0202046425	0.3434086156	0.0998052266	10.314265128999999	1.0715450859	1e-05	0.24999749999999998	0.7499925000000001
KICXAX	14.196940693399998	0.37024696619999997	0.0320693927	0.0099823799	0.1097332615	0.0152600002	14.3387433476	0.39548934630000004	0.0001	0.16665	0.8332499999999999
KICXAX	13.4244170443	0.9368999861	0.050841720099999994	0.0179965224	0.1361822302	0.050729681799999995	13.6114409946	1.0056261903000001	0.0001	0.19998	0.79992
KICXAX	13.207776857	0.8055206586	0.0686363221	0.0180347272	0.1479087956	0.0301441561	13.4243219747	0.8536995419	0.0001	0.249975	0.749925
KICXAX	15.7975231091	0.6862537689	0.0173057393	0.009184375699999999	0.0546098447	0.0463942686	15.8694386931	0.7418324131999999	0.001	0.1665	0.8325
KICXAX	16.0975546871	0.8105562671	0.0213144134	0.0129207806	0.052127579	0.0246383854	16.1709966795	0.8481154331	0.001	0.1998	0.7992
KICXAX	16.6144038809	0.8022962431999999	0.0123193399	0.0113920742	0.019087767	0.014185092	16.6458109878	0.8278734094	0.001	0.24975	0.74925
KICXAX	16.559046191700002	0.5338146022	0.0126126575	0.0112229928	0.030899927799999997	0.0407326043	16.602558777	0.5857701993	0.002	0.16633333333333333	0.8316666666666667
KICXAX	16.7199738329	0.5284260137	0.011048296899999999	0.0074615246	0.026791350099999996	0.016478831200000002	16.7578134799	0.5523663695000001	0.002	0.1996	0.7984
KICXAX	16.497655933900003	0.4403381951	0.0113416145	0.0076587795	0.0236243215	0.0104468436	16.5326218699	0.4584438182	0.002	0.2495	0.7484999999999999
KICXAX	17.271599010899997	0.9037402694	0.0117327046	0.0078218031	0.0335533842	0.025337385499999997	17.3168850997	0.936899458	0.003	0.16616666666666666	0.8308333333333333
KICXAX	15.9572087509	0.9843846520999999	0.017403511899999998	0.0093494271	0.0343237425	0.0210251218	16.0089360053	1.014759201	0.003	0.1994	0.7976
KICXAX	16.1323306713	0.4588831792	0.0258119502	0.0089908216	0.0435680422	0.010710029499999999	16.2017106637	0.4785840303	0.003	0.24925	0.74775
KICXAX	16.4758322295	0.5353713534000001	0.0089950736	0.0057544767	0.0326974305	0.0308836817	16.5175247336	0.5720095118	0.004	0.166	0.8300000000000001
KICXAX	16.8590777697	0.5659077751	0.0071373953	0.0044419303	0.0144656172	0.0180311879	16.8806807822	0.5883808933	0.004	0.1992	0.7968
KICXAX	16.914790315799998	0.2215302534	0.007430712900000001	0.008688013	0.0121545422	0.0144613114	16.9343755709	0.24467957780000002	0.004	0.249	0.747
KICXAX	16.065262701800002	1.0525826147	0.0108527518	0.0043019917	0.030985523100000002	0.0158256553	16.1071009767	1.0727102617	0.005	0.16583333333333333	0.8291666666666666
KICXAX	16.5070596439	0.802424935	0.0159369238	0.0119682533	0.0371483896	0.0199376583	16.5601449573	0.8343308466	0.005	0.19899999999999998	0.7959999999999999
KICXAX	16.9678414346	0.0893549328	0.0042042191999999996	0.005412043399999999	0.0075323924	0.0080404992	16.9795780462	0.10280747539999999	0.005	0.24875	0.74625
KICXAX	17.385862959	0.5341376788000001	0.0071373953	0.0086261758	0.0155783569	0.0263021627	17.4085787112	0.5690660173	0.006	0.16566666666666666	0.8283333333333333
KICXAX	16.2716120366	0.7497336144	0.0125148849	0.0112773747	0.035350886899999996	0.0328650546	16.3194778084	0.7938760437000001	0.006	0.1988	0.7952
KICXAX	16.3617457099	1.1475865206	0.016425786499999998	0.0145887636	0.0244802752	0.0251504769	16.402651771600002	1.1873257611	0.006	0.2485	0.7455
KICXAX	17.3494901184	0.3437639349	0.0093861637	0.0036268209	0.0187453855	0.012313838999999998	17.3776216676	0.35970459479999994	0.006999999999999999	0.1655	0.8275
KICXAX	16.6087261692	0.5381913585	0.0080173482	0.0042212381	0.0146368079	0.0142448798	16.6313803253	0.5566574764	0.006999999999999999	0.1986	0.7944
KICXAX	16.8569486278	0.6675392749	0.0116349321	0.004346206500000001	0.0168622875	0.012411033200000001	16.8854458474	0.6842965146	0.006999999999999999	0.24825	0.74475
KICXAX	17.0336674047	0.8341755540000001	0.007919575600000001	0.011492329099999999	0.0205428883	0.0313657682	17.0621298686	0.8770336513	0.008	0.16533333333333333	0.8266666666666667
KICXAX	16.7639760986	0.8562608525	0.0117327046	0.0072378099	0.023538726099999997	0.0097893563	16.7992475293	0.8732880187000001	0.008	0.1984	0.7936
KICXAX	16.4222488253	0.2740925066	0.0169146492	0.0069850935	0.0203716975	0.0085355364	16.459535172	0.2896131365	0.008	0.248	0.7440000000000001
KICXAX	16.133572670699998	0.47721733689999996	0.0123193399	0.0069246154	0.0340669564	0.0157885755	16.179958967	0.4999305278	0.009000000000000001	0.16516666666666666	0.8258333333333333
KICXAX	16.4705093748	0.21754903690000002	0.0111460694	0.005879374200000001	0.020114911399999998	0.0103708246	16.501770355599998	0.2337992357	0.009000000000000001	0.1982	0.7928
KICXAX	16.8837403299	0.335771594	0.0051819445	0.0021949879999999997	0.0062484618000000006	0.0116560653	16.895170736199997	0.3496226473	0.009000000000000001	0.24775	0.74325
KICXAX	16.5457390549	0.55361738	0.011048296899999999	0.0101532909	0.037747557200000004	0.0330774879	16.594534909	0.5968481588	0.01	0.165	0.8250000000000001
KICXAX	16.3535839994	0.168143805	0.0123193399	0.0048847145	0.025764205699999997	0.0157774345	16.391667545	0.188805954	0.01	0.198	0.792
KICXAX	16.9623411514	0.3274782039	0.0082128932	0.0071954212	0.007361201600000001	0.011139243200000001	16.9779152462	0.34581286829999996	0.01	0.2475	0.7424999999999999
KICXAX	16.5129147841	0.7546136967	0.0095817088	0.007227236	0.0237099169	0.012999228500000001	16.5462064098	0.7748401612000001	0.012	0.16466666666666666	0.8233333333333333
KICXAX	16.9815034284	0.0541479662	0.0029331762	0.0033300127	0.008901918299999999	0.009690061	16.9933385229	0.0671680399	0.012	0.1976	0.7904
KICXAX	16.9857617122	0.11193249	0.0061596699	0.0066772273	0.0072756063	0.0166592424	16.999196988399998	0.1352689597	0.012	0.247	0.741
KICXAX	16.942469160399998	0.3254918773	0.005279717099999999	0.0057809951	0.010699421	0.0116861974	16.9584482985	0.34295906979999996	0.013999999999999999	0.16433333333333333	0.8216666666666667
KICXAX	16.9809711429	0.7053780279999999	0.0084084383	0.005976134	0.0154071662	0.011355508799999999	17.0047867474	0.7227096708	0.013999999999999999	0.1972	0.7888
KICXAX	16.969793148	0.12071710880000001	0.0045953093	0.0031892437	0.005306912800000001	0.0033195115000000004	16.9796953701	0.127225864	0.013999999999999999	0.2465	0.7395
KICXAX	16.8867566143	0.8730945771999999	0.011928249699999999	0.0137104852	0.0322694537	0.0507100364	16.9309543177	0.9375150988	0.016	0.16399999999999998	0.8200000000000001
KICXAX	17.5077563322	0.5514744659	0.0042042191999999996	0.0044847657	0.0061628665	0.0026850218	17.5181234179	0.5586442534	0.016	0.1968	0.7872
KICXAX	17.5288703226	0.6844375268999999	0.0126126575	0.0067851606	0.0144656172	0.0093200739	17.5559485973	0.7005427614	0.016	0.24600000000000002	0.738
KICXAX	17.2669858701	0.8442200483	0.0082128932	0.0063484425	0.0173758597	0.0246098219	17.292574623	0.8751783126999999	0.018000000000000002	0.16366666666666665	0.8183333333333332
KICXAX	17.821449904	0.3853338354	0.005377489599999999	0.0020508941	0.0118121608	0.007194085699999999	17.8386395544	0.39457881520000004	0.018000000000000002	0.1964	0.7856
KICXAX	17.2366455982	0.5845471502	0.0056708072	0.0023627801999999997	0.008388346	0.0084838785	17.2507047514	0.5953938089	0.018000000000000002	0.2455	0.7364999999999999
KICXAX	16.9951654222	0.1886270984	0.0060618974	0.0035306583	0.0143800218	0.005744463199999999	17.015607341400003	0.19790221989999998	0.02	0.16333333333333333	0.8166666666666667
KICXAX	17.442640076	0.41932415149999996	0.0058663523	0.0060587426	0.0126681144	0.0115169514	17.4611745427	0.4368998455	0.02	0.196	0.784
KICXAX	17.521063469	0.3948698867	0.0082128932	0.0074049386	0.0108706117	0.0092601371	17.5401469739	0.41153496240000004	0.02	0.245	0.735
KICXAX	17.5764211581	0.3600104091	0.0026398585	0.0025941986	0.0059060804	0.0075673276	17.584967097	0.37017193530000003	0.03	0.16166666666666665	0.8083333333333332
KICXAX	17.0286994069	0.011108780700000001	0.0031287211999999997	0.0019159426000000001	0.0035094101	0.0060136456999999996	17.0353375382	0.019038369	0.03	0.19399999999999998	0.7759999999999999
KICXAX	17.007762845	0.0393171287	0.0080173482	0.0050464271000000005	0.011384183899999999	0.0060428146999999995	17.0271643771	0.0504063705	0.03	0.2425	0.7275
KICXAX	17.2714215824	0.5023985392	0.0035198114	0.0025794167	0.0070188202	0.0051528127	17.281960214	0.5101307686	0.04	0.16	0.8
KICXAX	17.9005830109	0.560039646	0.005377489599999999	0.0032131334999999997	0.0115553747	0.0116107206	17.9175158752	0.5748635001	0.04	0.192	0.768
KICXAX	17.264856728199998	0.475714075	0.0098750264	0.0072746974	0.0216556281	0.013765693899999999	17.2963873827	0.49675446630000003	0.04	0.24	0.72
KICXAX	18.6862363682	0.40828543409999996	0.0032264938000000003	0.0025941986	0.0126681144	0.0069664324	18.7021309764	0.4178460651	0.05	0.15833333333333333	0.7916666666666666
KICXAX	17.539516032	0.5683357779	0.0066485326	0.0078364552	0.0105282302	0.0091806768	17.5566927948	0.5853529099	0.05	0.19	0.76
KICXAX	17.6426019852	0.3223793164	0.0049863995000000005	0.0054402313	0.0077891785	0.013473048	17.6553775632	0.3412925957	0.05	0.2375	0.7124999999999999
