MOF	acetone_mass	acetone_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	acetone_comp	O2_comp	N2_comp
MOF-177	0.2796747082	0.6477646967	2.0801258455	0.2733196932	8.4817392935	0.7227411998000001	10.8415398472	1.6438255897	1e-06	0.1666665	0.8333325
MOF-177	0.5372282531	1.3032381325	2.5921032406999998	0.1045722174	8.0152321984	0.5476236247	11.1445636922	1.9554339746	1e-06	0.19999979999999998	0.7999991999999999
MOF-177	0.5783104137	2.0628261698	3.2773518972000004	0.2010868548	7.8101825111	0.18902979579999998	11.665844822	2.4529428204	1e-06	0.24999975	0.74999925
MOF-177	4.0687139759	7.439067469199999	2.2098616140000003	0.249491422	8.494697824	0.46470506429999997	14.773273413900002	8.1532639555	1e-05	0.166665	0.8333250000000001
MOF-177	4.5332584065	2.2702533649000003	2.5363778099000003	0.2198331164	8.3087047991	0.3126965451	15.3783410155	2.8027830263999998	1e-05	0.199998	0.799992
MOF-177	6.4925614473	8.7261304688	3.2712569282	0.1596607441	7.772831452899999	0.359886671	17.536649828399998	9.2456778839	1e-05	0.24999749999999998	0.7499925000000001
MOF-177	10.5802364204	4.803737438500001	2.1506533438	0.1211507583	8.7096569756	0.5205203057	21.4405467398	5.4454085025	0.0001	0.16665	0.8332499999999999
MOF-177	11.0226596876	4.8177601668	2.6086467279	0.1844096875	8.322425596	0.5107663335	21.9537320115	5.512936187799999	0.0001	0.19998	0.79992
MOF-177	11.098503676300002	4.6707363267	3.2381699537	0.2294051972	7.839910904500001	0.39035190159999994	22.176584534499998	5.2904934255	0.0001	0.249975	0.749925
MOF-177	21.8904712317	11.1115928312	2.2185687125	0.27360801690000003	8.493173291	0.881354133	32.6022132352	12.266554981099999	0.001	0.1665	0.8325
MOF-177	23.867155186599998	7.675776324	2.6338973137	0.17361875920000003	8.4863128925	0.406927528	34.9873653928	8.2563226112	0.001	0.1998	0.7992
MOF-177	22.7168546917	7.1361185013999995	3.2790933169	0.0777617513	7.5403401718	0.3260362704	33.5362881804	7.5399165231	0.001	0.24975	0.74925
MOF-177	40.6618584291	8.2219143814	2.1889645774	0.0751841701	8.5091808874	0.3347938316	51.3600038939	8.6318923831	0.002	0.16633333333333333	0.8316666666666667
MOF-177	37.8445702664	7.1591917389	2.6156124068	0.1505497376	8.3788333167	0.7389126906999999	48.8390159899	8.0486541672	0.002	0.1996	0.7984
MOF-177	38.399179433600004	8.811196216499999	3.3008610632999997	0.35753853119999995	7.6219026867999995	0.22459843059999998	49.3219431837	9.3933331783	0.002	0.2495	0.7484999999999999
MOF-177	45.560116031199996	8.1825875175	2.1785160591999997	0.21282400350000003	8.564064075	0.29006218370000003	56.3026961654	8.6854737047	0.003	0.16616666666666666	0.8308333333333333
MOF-177	46.9916713174	12.8443632254	2.6008103391999997	0.237280817	8.324712395499999	0.5068103507	57.9171940521	13.5884543931	0.003	0.1994	0.7976
MOF-177	47.625284639499995	11.771321719500001	3.2190143368	0.1401383101	7.694318003899999	0.52294815	58.538616980200004	12.4344081796	0.003	0.24925	0.74775
MOF-177	56.5732952202	10.868097783900001	2.2281465209	0.2627986405	8.6098000647	0.2677715368	67.4112418058	11.3986679612	0.004	0.166	0.8300000000000001
MOF-177	53.5016136788	7.006716325399999	2.590361821	0.1664855533	8.1288099062	0.374749932	64.220785406	7.547951810700001	0.004	0.1992	0.7968
MOF-177	56.8987923383	8.2112344201	3.2825761562999998	0.2243662349	7.599034691900001	0.3542497708	67.7804031865	8.789850425800001	0.004	0.249	0.747
MOF-177	64.2999015666	9.8158770641	2.2333707801	0.3073001414	8.5198526183	0.5962580864	75.053124965	10.7194352919	0.005	0.16583333333333333	0.8291666666666666
MOF-177	68.2422088947	11.2164506668	2.6086467279	0.1740026018	8.2751650733	0.4957756908	79.1260206959	11.8862289594	0.005	0.19899999999999998	0.7959999999999999
MOF-177	66.9734021675	17.9839430178	3.2930246746	0.30335711309999996	7.6866953389	0.41570858689999995	77.953122181	18.7030087178	0.005	0.24875	0.74625
MOF-177	79.0373366163	10.0930355429	2.1654554113	0.1524712158	8.6059887323	0.6409750248	89.8087807599	10.886481783499999	0.006	0.16566666666666666	0.8283333333333333
MOF-177	70.1730704398	10.316920966	2.5773011731	0.1321644636	8.019043530900001	0.26945878019999997	80.7694151438	10.718544209800001	0.006	0.1988	0.7952
MOF-177	75.9261529975	9.0137590499	3.2007294299	0.3297864585	7.7644465214	0.40359545539999997	86.8913289488	9.7471409638	0.006	0.2485	0.7455
MOF-177	82.66362732489999	6.9229959250999995	2.1941888366	0.23730637640000002	8.4390523698	0.3543481708	93.29686853129999	7.5146504723000005	0.006999999999999999	0.1655	0.8275
