MOF	acetone_mass	acetone_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	acetone_comp	O2_comp	N2_comp
MUDTEL	0.06801225179999999	0.0425421449	2.8048328029	0.23530111120000002	10.961912726500001	0.6245708541	13.834757781199999	0.9024141102	1e-06	0.1666665	0.8333325
MUDTEL	0.1316366163	0.0604828512	3.5737438644	0.4462690936	10.7449394611	0.7806590406	14.4503199418	1.2874109854	1e-06	0.19999979999999998	0.7999991999999999
MUDTEL	0.1031153495	0.040691592	4.3680434987	0.1027561589	9.523538738300001	0.369964057	13.994697586500001	0.5134118079	1e-06	0.24999975	0.74999925
MUDTEL	1.2746812347	0.5028679554	2.7540556574	0.1710780972	10.7830420833	0.9571316301	14.8117789754	1.6310776827000002	1e-05	0.166665	0.8333250000000001
MUDTEL	1.3317237684999998	0.4223783055	3.5640720272000004	0.1759636561	10.210444344099999	1.0146709842000001	15.1062401398	1.6130129458000002	1e-05	0.199998	0.799992
MUDTEL	1.3185601069	0.5119744978999999	4.3946410512	0.17553118969999998	9.6029192012	0.5030982079999999	15.316120359300001	1.1906038956	1e-05	0.24999749999999998	0.7499925000000001
MUDTEL	12.281696303099999	2.2454924379	2.8314303554	0.2406568071	10.4528193576	0.6495337874	25.5659460161	3.1356830324000002	0.0001	0.16665	0.8332499999999999
MUDTEL	12.9201338923	1.4976393224000002	3.4600997767000004	0.3507791503	10.1109541639	0.9179890552	26.4911878329	2.7664075279	0.0001	0.19998	0.79992
MUDTEL	13.4664258501	2.22611664	4.1637259368	0.2517930527	9.472735242	0.277455884	27.1028870289	2.7553655767	0.0001	0.249975	0.749925
MUDTEL	90.87095019290001	9.2653373722	2.4107054349	0.2298206411	9.2991566298	0.189853405	102.5808122576	9.6850114183	0.001	0.1665	0.8325
MUDTEL	86.8099605793	13.1909304349	2.8797895416	0.2488971728	8.999627683	0.7798837709	98.68937780389999	14.2197113786	0.001	0.1998	0.7992
MUDTEL	87.3628343679	11.0123381505	3.7381650976999996	0.22274117300000001	8.438672411699999	0.6025520375	99.5396718773	11.837631361	0.001	0.24975	0.74925
MUDTEL	239.59838720439998	39.3469834546	2.132640114	0.0974410603	7.5750129751	0.8372146698	249.3060402935	40.2816391847	0.002	0.16633333333333333	0.8316666666666667
MUDTEL	227.44613357400002	26.909531757699998	2.5751266682	0.47554565880000005	7.5379687591	0.3439152385	237.5592290013	27.728992655	0.002	0.1996	0.7984
MUDTEL	215.5417955709	51.7967242076	3.1904973133	0.4409313062	7.052160326	0.6910865513	225.7844532102	52.9287420651	0.002	0.2495	0.7484999999999999
MUDTEL	323.220547725	42.126908377	1.8231413219	0.19367839	6.7833251582	0.8752039932	331.8270142051	43.195790760200005	0.003	0.16616666666666666	0.8308333333333333
MUDTEL	325.8796073748	56.6846291228	2.1797903206	0.3188223997	6.4890882423	0.7261437734	334.5484859377	57.729595295900005	0.003	0.1994	0.7976
MUDTEL	317.7554342039	38.8649182814	2.8278034163999997	0.233605405	6.1503982672	0.3552462706	326.7336358875	39.453769957	0.003	0.24925	0.74775
MUDTEL	396.79883442	63.8936473456	1.6502572309999999	0.13974047720000002	5.714334924199999	0.5829656616	404.1634265752	64.6163534844	0.004	0.166	0.8300000000000001
MUDTEL	394.73652743089997	52.327135156800004	1.9621739824000002	0.0925797436	5.4370325071000005	0.3958269283	402.1357339204	52.8155418287	0.004	0.1992	0.7968
MUDTEL	388.6329763206	14.5995986701	2.5424842175	0.2039703112	5.2369937405	0.19163875219999998	396.4124542786	14.9952077335	0.004	0.249	0.747
MUDTEL	435.9300125663	24.803382367399998	1.4519845674	0.10715679859999999	5.241227365199999	0.2851496303	442.6232244989	25.1956887963	0.005	0.16583333333333333	0.8291666666666666
MUDTEL	448.76677660160004	22.307349684600002	1.8606196913	0.37493186170000004	5.0210788814	0.43953303130000004	455.6484751743	23.121814577600002	0.005	0.19899999999999998	0.7959999999999999
MUDTEL	448.9488739208	12.292189672000001	2.241448283	0.1329657789	4.4643572347000005	0.21820629	455.6546794385	12.6433617409	0.005	0.24875	0.74625
MUDTEL	503.5934273011	25.9972360065	1.3238327238	0.1424340181	4.4008528644	0.3309681964	509.3181128893	26.470638220999998	0.006	0.16566666666666666	0.8283333333333333
MUDTEL	515.9848207845	13.5405208475	1.5656286550999998	0.1983611059	4.0706301386	0.23755501539999999	521.6210795782	13.976436968800002	0.006	0.1988	0.7952
MUDTEL	495.7413031373	46.8286588758	2.1036246022	0.43891123530000004	3.9213948683999997	0.4088243693	501.7663226079	47.6763944804	0.006	0.2485	0.7455
