MOF	acetone_mass	acetone_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	acetone_comp	O2_comp	N2_comp
NU-125	0.0882461561	0.0113866008	3.0604473024	0.280250879	11.6926151589	0.9473466473000001	14.8413086174	1.2389841271	1e-06	0.1666665	0.8333325
NU-125	0.09014392289999999	0.0334136325	3.668562835	0.2260509752	10.991323751400001	0.5411622198	14.7500305093	0.8006268275	1e-06	0.19999979999999998	0.7999991999999999
NU-125	0.1195593083	0.0492688917	4.6327632153	0.2596166019	10.2442561423	0.6293280489	14.9965786659	0.9382135425	1e-06	0.24999975	0.74999925
NU-125	1.1177846442000001	0.2223385871	2.9433210089	0.2032510816	11.0224515684	0.6406666829	15.083557221500001	1.0662563515999999	1e-05	0.166665	0.8333250000000001
NU-125	1.0380784387	0.2075778677	3.7062105722000003	0.2004117555	10.9080110646	0.670282398	15.6523000755	1.0782720212	1e-05	0.199998	0.799992
NU-125	1.0504139229	0.17543825079999997	4.516159807	0.26076407960000003	10.2346431399	0.4191520584	15.801216869800001	0.8553543887999999	1e-05	0.24999749999999998	0.7499925000000001
NU-125	9.917729288	1.9419412842	3.0060672375	0.17092509820000001	11.0274869506	1.0778910425	23.951283476100002	3.1907574249	0.0001	0.16665	0.8332499999999999
NU-125	9.9537868571	1.4252595063999998	3.5514365414999998	0.12198364619999999	10.5807112236	1.06138182	24.085934622199996	2.6086249726	0.0001	0.19998	0.79992
NU-125	9.4840895746	0.8096817097	4.446616070299999	0.1221090977	9.7805432207	0.4283282872	23.7112488656	1.3601190946000001	0.0001	0.249975	0.749925
NU-125	97.5385712493	11.5751292318	2.5046202936	0.2147015436	9.6088824649	0.2513342752	109.65207400780001	12.0411650506	0.001	0.1665	0.8325
NU-125	86.1092707065	12.3603047808	3.0949577281	0.22034262359999998	9.2133760836	0.7581268704999999	98.4176045182	13.3387742749	0.001	0.1998	0.7992
NU-125	99.3034943717	8.5059161213	3.8897432910000003	0.1787441718	8.5720515001	0.3280771135	111.7652891628	9.0127374066	0.001	0.24975	0.74925
NU-125	304.7652167907	37.7643054997	2.0753315126	0.1404762116	7.319156864	0.5275786168	314.1597051673	38.432360328099996	0.002	0.16633333333333333	0.8316666666666667
NU-125	290.512039252	20.1188850508	2.5935107842	0.0759894566	7.2573589919	0.38420825229999994	300.36290902810003	20.5790827597	0.002	0.1996	0.7984
NU-125	296.56781310540003	22.892751842	3.1211019901	0.1366882423	6.676458994400001	0.3973100049	306.3653740899	23.426750089200002	0.002	0.2495	0.7484999999999999
NU-125	408.6755400654	17.0330383876	1.8588570237	0.15962993539999998	5.944039769700001	0.210231909	416.47843685879997	17.402900232	0.003	0.16616666666666666	0.8308333333333333
NU-125	399.7342117951	39.0209709613	2.1668364294	0.1673690226	5.8067111651	0.43458952729999994	407.70775938959997	39.6229295112	0.003	0.1994	0.7976
NU-125	394.54381960169997	15.9150536846	2.7885469782	0.22941735100000002	5.565470583	0.280792877	402.89783716290003	16.4252639126	0.003	0.24925	0.74775
NU-125	465.6977390542	27.1861429609	1.5874795847999998	0.1851752136	5.1360898126	0.2980449075	472.42130845160005	27.669363081999997	0.004	0.166	0.8300000000000001
NU-125	464.508788155	13.4238619997	1.9210803671	0.1042838209	4.9223149514	0.2908802974	471.35218347349996	13.819026118	0.004	0.1992	0.7968
NU-125	458.8135899933	33.6902223442	2.4774302612	0.08734531460000002	4.730054905	0.2705462583	466.02107515949996	34.048113917100004	0.004	0.249	0.747
NU-125	506.2976130538	31.6738481654	1.438980177	0.24415101460000002	4.5396259066	0.4407333064	512.2762191374	32.3587324864	0.005	0.16583333333333333	0.8291666666666666
NU-125	497.31453391400004	10.5537352331	1.7903590575	0.11707959800000001	4.58357106	0.2562747845	503.6884640315	10.9270896156	0.005	0.19899999999999998	0.7959999999999999
NU-125	494.25153830150003	8.612526150599999	2.2065757075	0.10509863230000001	4.3043362306	0.1314215533	500.7624502396	8.8490463362	0.005	0.24875	0.74625
NU-125	526.3361326771	18.0271534295	1.371005096	0.0872200164	4.3624720066	0.1882732375	532.0696097797	18.3026466834	0.006	0.16566666666666666	0.8283333333333333
NU-125	521.1039896142	17.3465160089	1.6010746009999999	0.1501909914	4.1262668067	0.3728038135	526.8313310219	17.8695108138	0.006	0.1988	0.7952
NU-125	528.8497248015	7.2970586937	1.9618654158000002	0.1250821932	3.8332991168	0.2501475706	534.6448893341001	7.6722884575	0.006	0.2485	0.7455
NU-125	550.54784149	20.6989211547	1.2967553921	0.0903850657	3.9990089664	0.1794847445	555.8436058485	20.9687909649	0.006999999999999999	0.1655	0.8275
NU-125	545.5121172907	21.3959975594	1.4933602419	0.139146433	3.8346724029000003	0.48249593049999995	550.8401499355	22.0176399229	0.006999999999999999	0.1986	0.7944
NU-125	553.1392420531	13.109223865599999	1.8991191871000002	0.1414150838	3.5211054223000002	0.27609691210000004	558.5594666625	13.5267358615	0.006999999999999999	0.24825	0.74475
NU-125	582.5783495118	19.029611457999998	1.1660340824	0.0720747562	3.629137258	0.16325105339999998	587.3735208522	19.2649372676	0.008	0.16533333333333333	0.8266666666666667
NU-125	571.455538307	26.1460256969	1.5038179466	0.0806939161	3.6089957293	0.2532777003	576.5683519829	26.4799973133	0.008	0.1984	0.7936
NU-125	581.1540755297	9.8426031609	1.6993770259	0.1816452445	3.1805304829	0.0794240182	586.0339830385	10.1036724236	0.008	0.248	0.7440000000000001
NU-125	587.6994732171	12.041384022999999	1.1707400495	0.0802181624	3.3462403325	0.19841752510000002	592.2164535991001	12.320019710499999	0.009000000000000001	0.16516666666666666	0.8258333333333333
NU-125	596.4709513589	14.756868665799999	1.2266887701	0.1125552227	3.0903513658999997	0.1423455868	600.7879914949	15.0117694753	0.009000000000000001	0.1982	0.7928
NU-125	592.3072510034	19.581894074	1.732318796	0.2419461815	3.0715831232	0.3553837404	597.1111529226	20.1792239959	0.009000000000000001	0.24775	0.74325
NU-125	614.5585667136	7.073975062100001	0.9903446422	0.11623587140000001	3.0638011689999995	0.2376062676	618.6127125248	7.4278172011	0.01	0.165	0.8250000000000001
NU-125	610.3104157355	19.2609162631	1.2570161139	0.1583021567	3.0541881666000004	0.2671950257	614.621620016	19.6864134455	0.01	0.198	0.792
