MOF	acetone_mass	acetone_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	acetone_comp	O2_comp	N2_comp
OFEREX	101.8163267333	2.1894516762	2.5681865895	0.1629325123	5.3493987373000005	0.5093886685	109.7339120601	2.861772857	1e-06	0.1666665	0.8333325
OFEREX	110.9132969	5.805918098999999	2.9094769277999997	0.1858849929	4.4078092087	0.5710523375	118.2305830365	6.562855429400001	1e-06	0.19999979999999998	0.7999991999999999
OFEREX	101.98309422540001	3.7782373995	3.7492430006	0.2880606139	4.3582376081	0.6804125315999999	110.0905748341	4.746710545	1e-06	0.24999975	0.74999925
OFEREX	116.4048324984	7.7775555405	2.4530823231	0.2473549798	4.5310610025	0.5634227067	123.388975824	8.588333227	1e-05	0.166665	0.8333250000000001
OFEREX	118.5301353859	2.0763804375999997	2.6811249154	0.2855865122	3.8985490494	0.3707541172	125.10980935069999	2.732721067	1e-05	0.199998	0.799992
OFEREX	121.4999443614	6.1722094345	3.3126512803	0.2768533384	3.4180024948	0.44254566590000005	128.2305981365	6.8916084388	1e-05	0.24999749999999998	0.7499925000000001
OFEREX	142.6367413482	6.9015200337	1.503162705	0.1019415875	2.4639523453	0.2790090294	146.6038563985	7.2824706506	0.0001	0.16665	0.8332499999999999
OFEREX	137.0390809821	3.024173999	2.034436967	0.2215240266	2.7074762193	0.27411974100000003	141.7809941684	3.5198177666	0.0001	0.19998	0.79992
OFEREX	143.29089666229999	3.5140649156	2.2977534474000003	0.1472319412	2.0855287056	0.1810212427	147.6741788153	3.8423180995	0.0001	0.249975	0.749925
OFEREX	155.14542626899998	5.7082680186	1.0702840257	0.19445174420000003	1.7054797676	0.4526143921	157.92119006229998	6.3553341549	0.001	0.1665	0.8325
OFEREX	152.2036926289	3.0597913751999997	1.4186910256	0.3673899184	1.6171718889	0.44666966210000003	155.2395555434	3.8738509557	0.001	0.1998	0.7992
OFEREX	163.29906516719998	4.394714096	1.5127547272	0.24045264460000002	1.3192005191	0.1988584284	166.1310204135	4.834025168999999	0.001	0.24975	0.74925
OFEREX	159.42803792639998	4.8727193604000005	1.0941093711	0.09459149210000001	1.4974415747999998	0.19531852309999997	162.0195888723	5.1626293756	0.002	0.16633333333333333	0.8316666666666667
OFEREX	162.6421023195	4.3382061995	1.0510999813	0.1542216185	1.0881372659	0.09367385439999999	164.7813395667	4.5861016724	0.002	0.1996	0.7984
OFEREX	168.3683477216	6.2472524663	1.3645425132	0.12250846800000001	1.1905310639	0.05360474	170.92342129870002	6.423365674299999	0.002	0.2495	0.7484999999999999
OFEREX	179.5485077727	11.0515810062	0.7769537983	0.13514822640000002	1.1024940683	0.1532824792	181.4279556393	11.3400117118	0.003	0.16616666666666666	0.8308333333333333
OFEREX	165.91456341030002	8.0517425771	1.1439260026	0.1373574211	1.3026766522	0.2801009468	168.3611660651	8.469200945	0.003	0.1994	0.7976
OFEREX	168.4626808485	7.659154353200001	1.4307584084	0.2648708101	1.2054296324	0.3160219851	171.0988688893	8.2400471484	0.003	0.24925	0.74775
OFEREX	170.6767017958	12.3911900741	0.9443500568000001	0.1491212145	1.3549570834	0.1952208214	172.97600893599997	12.73553211	0.004	0.166	0.8300000000000001
OFEREX	175.69488723979998	8.235575368	0.993547848	0.1930086907	1.0445250927	0.254920393	177.7329601805	8.6835044517	0.004	0.1992	0.7968
OFEREX	171.95076051490003	7.237174891	1.2225187006	0.1893832838	1.0198747339	0.15649447	174.1931539494	7.5830526448	0.004	0.249	0.747
OFEREX	165.2553545358	10.6007027217	0.8187255079000001	0.15250863	1.1168508707	0.2339187791	167.1909309144	10.987130130799999	0.005	0.16583333333333333	0.8291666666666666
OFEREX	176.2681855881	13.435140844000001	0.8304834706	0.1671028816	0.9478198391	0.12226882539999999	178.04648889779997	13.724512550999998	0.005	0.19899999999999998	0.7959999999999999
OFEREX	169.530666606	9.4700941329	1.5808271428	0.21316685059999999	1.2894033821	0.1425884808	172.4008971309	9.8258494643	0.005	0.24875	0.74625
OFEREX	168.1465525722	9.3489658777	0.9406370159	0.181858998	1.3538735512	0.2401533809	170.4410631393	9.7709782566	0.006	0.16566666666666666	0.8283333333333333
OFEREX	184.72279208150002	9.8053301348	0.8586406970999999	0.1198698307	0.8852458514	0.22312347059999998	186.46667863	10.1483234361	0.006	0.1988	0.7952
OFEREX	175.6982562801	9.9013838962	1.3227708036	0.1060187135	1.0615907257	0.20167530600000003	178.08261780939998	10.2090779157	0.006	0.2485	0.7455
OFEREX	173.7284907505	13.6331361421	0.8264610097	0.1451493478	1.1601921607999999	0.1843804528	175.715143921	13.9626659427	0.006999999999999999	0.1655	0.8275
OFEREX	172.6554514327	2.3843280679	1.0012833498	0.23834907440000003	1.0052470485	0.29697185870000004	174.661981831	2.9196490010000002	0.006999999999999999	0.1986	0.7944
OFEREX	178.56081747439998	7.077073901	1.1423789022	0.057342143	0.9800549236	0.1527991791	180.6832513002	7.2872152231	0.006999999999999999	0.24825	0.74475
OFEREX	168.9708444187	6.065394725599999	0.9616775807	0.2542943586	1.2447076766	0.24714869550000002	171.177229676	6.5668377797	0.008	0.16533333333333333	0.8266666666666667
OFEREX	174.6386931232	12.3218506766	0.8159407273	0.2133571991	0.9451110084000001	0.305396598	176.3997448589	12.8406044737	0.008	0.1984	0.7936
OFEREX	173.6072053017	10.8884113302	1.376919316	0.19010583829999997	1.0098520606	0.1560587398	175.99397667830002	11.2345759083	0.008	0.248	0.7440000000000001
OFEREX	190.2968691659	8.481090248200001	0.540247444	0.0723116758	0.7687661340999999	0.2035527164	191.605882744	8.7569546404	0.009000000000000001	0.16516666666666666	0.8258333333333333
OFEREX	183.2550135483	7.0663593256	0.7197110851999999	0.09304030519999999	0.7942291421	0.1530678675	184.7689537756	7.3124674983	0.009000000000000001	0.1982	0.7928
OFEREX	177.1070766089	7.8009958525	1.0789477876	0.1091441746	0.7468246059999999	0.1743241431	178.9328490025	8.0844641702	0.009000000000000001	0.24775	0.74325
OFEREX	175.2114299648	11.6229081408	0.6457596882	0.0863852961	0.8064188798999999	0.09158251519999999	176.6636085329	11.8008759521	0.01	0.165	0.8250000000000001
OFEREX	182.91698651049998	7.4295714104999995	0.7908777015	0.2574880724	0.8508437023000001	0.3047182833	184.55870791430002	7.9917777662	0.01	0.198	0.792
OFEREX	175.2917254239	11.3727327325	1.0928716908	0.055509650300000005	0.8611372587	0.1219322874	177.2457343734	11.5501746702	0.01	0.2475	0.7424999999999999
OFEREX	178.94881860919998	15.284028321	0.8499769351	0.24216820719999999	1.2625859588	0.44650009590000006	181.06138150310002	15.972696624100001	0.012	0.16466666666666666	0.8233333333333333
OFEREX	181.34757526330003	12.970883892	0.8171784076	0.1621361172	0.9795131575	0.1862162957	183.1442668284	13.3192363049	0.012	0.1976	0.7904
OFEREX	176.4012626777	11.7816902876	1.1714643889	0.1925517895	0.8703472829000001	0.197262396	178.4430743495	12.171504473099999	0.012	0.247	0.741
OFEREX	179.31155194220003	9.7693602122	0.7367291891	0.1437441903	0.8928305772	0.17191494969999999	180.9411117085	10.0850193522	0.013999999999999999	0.16433333333333333	0.8216666666666667
OFEREX	185.5010403779	8.24429886	0.7546755531999999	0.1255711892	0.9283162585	0.2897542318	187.1840321896	8.659624281000001	0.013999999999999999	0.1972	0.7888
OFEREX	187.114810655	6.4310406240999995	0.8069675451999999	0.1557044102	0.6907518118000001	0.2428720084	188.612530012	6.8296170427	0.013999999999999999	0.2465	0.7395
OFEREX	178.67704936279998	11.7189067659	0.5950147966	0.1612978072	0.8148162549	0.33675722259999996	180.0868804143	12.2169617957	0.016	0.16399999999999998	0.8200000000000001
OFEREX	181.9826393493	12.1896650878	0.7116661633	0.0466393667	0.8194212670000001	0.1052198528	183.51372677959998	12.3415243073	0.016	0.1968	0.7872
OFEREX	184.00743253619999	11.905894914700001	0.9022689271	0.3026463639	0.6761241264	0.27871958609999997	185.58582558970002	12.4872608647	0.016	0.24600000000000002	0.738
OFEREX	171.3763391532	2.8450866106	0.8140842068999999	0.2240030357	1.1485441891	0.3627406421	173.3389675492	3.4318302883999996	0.018000000000000002	0.16366666666666665	0.8183333333333332
