MOF	acetone_mass	acetone_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	acetone_comp	O2_comp	N2_comp
TOHSAL	0.6613671614	0.0909166088	4.6207523379	0.2331607551	16.5671808848	0.592254156	21.849300384099998	0.9163315199	1e-06	0.1666665	0.8333325
TOHSAL	0.6244380305	0.154683908	5.3837420428	0.10856148339999999	15.9135633162	0.5822488472999999	21.921743389499998	0.8454942387000001	1e-06	0.19999979999999998	0.7999991999999999
TOHSAL	0.6301932198	0.1005283649	6.7960790649	0.489932655	14.6687978227	0.9285287112999999	22.095070107399998	1.5189897312	1e-06	0.24999975	0.74999925
TOHSAL	5.7973939425	1.0704480051	4.5570597439	0.23021966800000002	16.3149886194	0.4850568139	26.6694423058	1.785724487	1e-05	0.166665	0.8333250000000001
TOHSAL	6.026162714	0.5948034388	5.2965281174	0.1690793791	15.4908520603	0.6400750253	26.8135428917	1.4039578432	1e-05	0.199998	0.799992
TOHSAL	5.9614168353	0.6299530094	6.625879768099999	0.359207041	14.4688949628	0.325809688	27.0561915662	1.3149697384	1e-05	0.24999749999999998	0.7499925000000001
TOHSAL	42.9548139529	2.1755207347	4.1363186250999995	0.16002122900000001	14.9212214572	0.5785769759	62.012354035200005	2.9141189396	0.0001	0.16665	0.8332499999999999
TOHSAL	37.0370406359	2.799439307	5.0488934262	0.1500373386	14.725945978299999	0.5570348166	56.8118800404	3.5065114622	0.0001	0.19998	0.79992
TOHSAL	39.1477562829	2.9957426086	6.286538312899999	0.2428463637	13.6040374508	0.7018146064	59.0383320466	3.9404035787000002	0.0001	0.249975	0.749925
TOHSAL	501.84914292199994	27.1198104079	2.2746977449	0.2227315788	6.8311712258	0.7402262184	510.9550118927	28.082768205100002	0.001	0.1665	0.8325
TOHSAL	490.5445124936	30.1533307754	2.7789528045	0.3221715184	6.820528249500001	0.4355257974	500.1439935476	30.9110280912	0.001	0.1998	0.7992
TOHSAL	503.1181621453	22.1243142992	3.3487504504000003	0.1786720422	6.1215623469	0.45094439369999995	512.5884749426	22.753930735100003	0.001	0.24975	0.74925
TOHSAL	633.2137348985	11.104668963	1.2780804339	0.1058115891	3.3416632012000003	0.08952039029999999	637.8334785336	11.3000009424	0.002	0.16633333333333333	0.8316666666666667
TOHSAL	628.2450882039	3.5616304160000003	1.5701149416	0.0916637219	3.2787308193	0.1914326889	633.0939339648	3.8447268268	0.002	0.1996	0.7984
TOHSAL	632.00082877	7.324382086	1.9958774683000002	0.1304570575	3.04944409	0.20766065120000002	637.0461503283	7.6624997947	0.002	0.2495	0.7484999999999999
TOHSAL	663.4323151042	12.6000775483	1.0304457427	0.0755206893	2.4689391414	0.189922284	666.9316999883	12.8655205216	0.003	0.16616666666666666	0.8308333333333333
