MOF	acetone_mass	acetone_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	acetone_comp	O2_comp	N2_comp
UKUPUL	172.4442115077	5.1668988644	0.2409737657	0.0210516126	1.7300971153	0.543398798	174.41528238869998	5.731349275	1e-06	0.1666665	0.8333325
UKUPUL	171.0064328601	7.3642499352	0.3115620404	0.0663392439	2.3043811066	1.2191189768000001	173.6223760071	8.6497081559	1e-06	0.19999979999999998	0.7999991999999999
UKUPUL	171.94684168979998	3.968418573	0.3619474642	0.026955701600000003	1.7563074792	0.25980707989999996	174.0650966332	4.2551813544999995	1e-06	0.24999975	0.74999925
UKUPUL	180.37606747529998	1.8937175672	0.2068966675	0.033267717599999996	1.1010483797	0.2357907498	181.6840125225	2.1627760346000002	1e-05	0.166665	0.8333250000000001
UKUPUL	185.46858668509998	3.64270521	0.267018405	0.050511673	1.7599300499000001	0.2631234598	187.49553514	3.9563403428	1e-05	0.199998	0.799992
UKUPUL	181.1472998927	4.0192519587	0.3327385229	0.0181236714	1.188629352	0.3048535213	182.66866776759997	4.3422291514	1e-05	0.24999749999999998	0.7499925000000001
UKUPUL	193.7714823037	5.9775605111	0.1969169459	0.0335655799	1.1315205915	0.4695349502	195.09991984110002	6.4806610412	0.0001	0.16665	0.8332499999999999
UKUPUL	184.62977204560002	3.506705185	0.2925762286	0.0360900869	1.7650442672	0.5544246307	186.6873925414	4.0972199026	0.0001	0.19998	0.79992
UKUPUL	189.6781198684	5.2797055037	0.3035295816	0.08069401400000001	1.2169706399	0.42636672229999995	191.1986200899	5.78676624	0.0001	0.249975	0.749925
UKUPUL	194.09658371220002	6.0266140291	0.1535903496	0.022170165800000002	0.6458830344	0.2318280679	194.8960570962	6.2806122628	0.001	0.1665	0.8325
UKUPUL	186.177095733	3.8380727373	0.2212577303	0.049079134299999994	0.8476815278000001	0.3319363902	187.2460349911	4.2190882618	0.001	0.1998	0.7992
UKUPUL	186.2261259726	7.6761469997	0.282596507	0.0369595395	0.858123055	0.2347175678	187.3668455346	7.947824107000001	0.001	0.24975	0.74925
UKUPUL	193.57271106209998	2.7242817448000003	0.18791085559999998	0.0357602491	1.0326457223999999	0.5463007343	194.79326764009997	3.3063427281999997	0.002	0.16633333333333333	0.8316666666666667
UKUPUL	189.7178741167	2.406336842	0.23610560879999998	0.034628989900000004	1.0390384941	0.10863449210000001	190.9930182196	2.549600324	0.002	0.1996	0.7984
