MOF	acetone_mass	acetone_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	acetone_comp	O2_comp	N2_comp
VETTIZ	33.9460680872	3.5911391661	4.6295334272	0.23213289010000002	16.6564437871	0.7852671720000001	55.232045301499994	4.6085392282	1e-06	0.1666665	0.8333325
VETTIZ	34.8529207833	7.162206780499999	5.2567990325	0.2205820387	15.4680503694	1.2504234079	55.5777701852	8.6332122271	1e-06	0.19999979999999998	0.7999991999999999
VETTIZ	34.9909789549	6.086057138099999	6.7753635658	0.3451439951	14.9260907339	0.2616876654	56.6924332546	6.6928887986	1e-06	0.24999975	0.74999925
VETTIZ	129.5716546247	13.395346988599998	2.4919077139	0.3138418124	8.8750787547	1.0325794256999998	140.9386410933	14.741768226700001	1e-05	0.166665	0.8333250000000001
VETTIZ	129.4065262233	9.1786107878	2.9095875462	0.45589855119999995	8.6419708151	0.6667776458	140.9580845846	10.3012869848	1e-05	0.199998	0.799992
VETTIZ	130.59355579709998	8.9516301318	3.6815493792000002	0.42243161409999996	7.8518850814	0.7218480297	142.12699025770002	10.0959097756	1e-05	0.24999749999999998	0.7499925000000001
VETTIZ	149.2259949235	3.8935178336000003	1.9489239319	0.2671208996	7.0591874939	0.4792128718	158.2341063493	4.639851605	0.0001	0.16665	0.8332499999999999
VETTIZ	151.5770443759	2.467174857	2.1711892712	0.17494437559999998	6.6465146148	0.2739771003	160.3947482619	2.9160963329	0.0001	0.19998	0.79992
VETTIZ	151.0857197062	2.0428250732	2.7022393438	0.20407602800000002	6.1574450160000005	0.22073640519999999	159.945404066	2.4676375064	0.0001	0.249975	0.749925
VETTIZ	164.0185219619	0.3477233969	1.7497801547	0.0923658708	6.6909161271	0.21516506929999998	172.45921824369998	0.655254337	0.001	0.1665	0.8325
VETTIZ	163.1631027023	0.5541534557	2.1510511365	0.10154615630000001	6.37226998	0.2752192389	171.6864238188	0.9309188509	0.001	0.1998	0.7992
VETTIZ	163.498773551	1.3698285204	2.7611620344	0.1205060939	6.0679890278999995	0.3607432299	172.3279246133	1.8510778441999998	0.001	0.24975	0.74925
VETTIZ	178.2547557794	2.3806354822	1.7945315653	0.079131158	6.816285103099999	0.3329831741	186.8655724478	2.7927498143	0.002	0.16633333333333333	0.8316666666666667
