MOF	acetone_mass	acetone_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	acetone_comp	O2_comp	N2_comp
WUNSEE01	17.521358206400002	4.1476929507	9.1226058184	0.1748102139	23.992556140599998	1.0903825328	50.6365201654	5.4128856974	1e-06	0.1666665	0.8333325
WUNSEE01	18.7885515272	3.0484471588999997	10.7188792687	0.9866896237999999	22.128829758600002	1.4257044138	51.6362605545	5.4608411965	1e-06	0.19999979999999998	0.7999991999999999
WUNSEE01	18.8744629388	0.7123110637000001	13.7497590995	0.5871809486	21.5358058684	0.322246364	54.1600279067	1.6217383763	1e-06	0.24999975	0.74999925
WUNSEE01	80.0452158862	1.9609537827	6.1650049865	0.3083410794	13.551587938499999	1.1357949997	99.76180881120001	3.4050898618	1e-05	0.166665	0.8333250000000001
WUNSEE01	78.2173135121	4.326498190400001	7.3890916313999995	0.7291379232999999	13.2905692448	0.9563646929999999	98.8969743883	6.0120008067	1e-05	0.199998	0.799992
WUNSEE01	75.873485693	6.8255826616999995	9.2611056445	0.7576974871	12.5174336378	0.8622219368	97.65202497530001	8.4455020856	1e-05	0.24999749999999998	0.7499925000000001
WUNSEE01	106.74264401030001	3.628550812	4.7193186199	0.1804843836	9.3157659956	0.8751297378	120.7777286258	4.6841649334	0.0001	0.16665	0.8332499999999999
WUNSEE01	106.7595521073	3.2609627223000004	5.654318355	0.462208657	8.934819794	0.945278863	121.34869025629999	4.6684502423000005	0.0001	0.19998	0.79992
WUNSEE01	105.26615586770001	5.4131465537	6.9534467238	0.3954890774	8.1372136845	0.6953408613	120.356816276	6.5039764924000005	0.0001	0.249975	0.749925
WUNSEE01	116.2838374272	1.2175647971999999	4.3146473098	0.41628593189999996	8.0278680155	0.479553175	128.6263527525	2.1134039041	0.001	0.1665	0.8325
WUNSEE01	114.70224489809999	2.984410446	5.1829153105	0.4333392579	7.776990250800001	0.7386967025	127.66215045940001	4.1564464064	0.001	0.1998	0.7992
WUNSEE01	113.78006815040001	5.6375314122	6.1544286362000005	0.5158837927000001	6.803020159	1.0166750679	126.73751694559999	7.1700902727999996	0.001	0.24975	0.74925
WUNSEE01	114.61861836450001	0.7810460222	4.189745648500001	0.07316771650000001	7.7066651129	0.2569812953	126.5150291259	1.111195034	0.002	0.16633333333333333	0.8316666666666667
WUNSEE01	112.79254389280001	2.3656058301	5.1743535031	0.5997064543	7.757149302799999	0.884855422	125.72404669870001	3.8501677063999997	0.002	0.1996	0.7984
WUNSEE01	114.4276025664	2.0626940832	6.4825473151	0.3609828208	7.2516460388	0.7807137192	128.1617959203	3.2043906232	0.002	0.2495	0.7484999999999999
WUNSEE01	115.62076584100001	3.2875493710000003	4.1607865939	0.0815920973	7.8614245073	0.5476431788	127.6429769422	3.9167846470999996	0.003	0.16616666666666666	0.8308333333333333
WUNSEE01	115.4466581399	2.65840044	5.0930163325	0.44390854479999997	7.5885012448	0.563836782	128.12817571719998	3.6661457668	0.003	0.1994	0.7976
WUNSEE01	116.2619025987	1.3754446133000002	6.1619831721	0.49449489090000004	7.0177433073	0.4034352596	129.4416290781	2.2733747638	0.003	0.24925	0.74775
WUNSEE01	116.1572551878	1.720544606	4.2247483318	0.2341153284	7.8473153887	0.4217077271	128.2293189083	2.3763676615000002	0.004	0.166	0.8300000000000001
WUNSEE01	115.3977617514	3.5335331565	5.240077966	0.2102906857	7.8717858912	0.7036080249	128.5096256086	4.4474318671	0.004	0.1992	0.7968
WUNSEE01	116.0119369491	3.0699638057999996	6.0630187509	0.4245192154	6.813601997899999	0.5486815716	128.8885576979	4.043164592799999	0.004	0.249	0.747
WUNSEE01	114.5971405116	1.1724950083	4.4453407821	0.19306138550000002	8.2668412114	0.4175405639	127.3093225051	1.7830969577000002	0.005	0.16583333333333333	0.8291666666666666
WUNSEE01	115.1409414678	2.5824670466	4.9943037292	0.3401447006	7.421616826599999	0.6059649306	127.5568620236	3.5285766778	0.005	0.19899999999999998	0.7959999999999999
WUNSEE01	116.60966102540002	0.6802007644	6.0597451187	0.37567782310000003	6.900020349199999	0.8304049456	129.5694264933	1.8862835331	0.005	0.24875	0.74625
WUNSEE01	116.23037128280001	0.8156296208	4.3964881161000005	0.45285058689999996	8.2159161115	0.4996574015	128.8427755104	1.7681376091999998	0.006	0.16566666666666666	0.8283333333333333
WUNSEE01	115.28625970659999	4.326056815299999	5.1317962838	0.3433207612	7.5417647895	0.38466708899999996	127.9598207799	5.0540446655	0.006	0.1988	0.7952
