MOF	acetone_mass	acetone_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	acetone_comp	O2_comp	N2_comp
XAHQAA	0.0	0.0	3.0545012472	0.3167380595	12.2230847366	1.218944164	15.277585983800002	1.5356822234999998	1e-06	0.1666665	0.8333325
XAHQAA	0.0	0.0	3.7440322218	0.6577297151	11.555889642	0.7048429686	15.299921863800002	1.3625726837	1e-06	0.19999979999999998	0.7999991999999999
XAHQAA	0.0109762855	0.029270094700000002	4.7642154766	0.3628214205	10.853393219500001	0.7970129864	15.628584981600001	1.1891045016	1e-06	0.24999975	0.74999925
XAHQAA	0.021952571	0.0426681286	3.2520861463	0.2424777428	12.441952968699999	0.4751144314	15.715991685999999	0.7602603028	1e-05	0.166665	0.8333250000000001
XAHQAA	0.0365876184	0.0400797279	3.653304462	0.34301013210000003	12.143656749100002	0.6713752001000001	15.8335488295	1.0544650601	1e-05	0.199998	0.799992
XAHQAA	0.0329288566	0.0273796665	4.5343718183999995	0.1791559531	10.7421940371	0.6450973560000001	15.309494712100001	0.8516329756000001	1e-05	0.24999749999999998	0.7499925000000001
XAHQAA	0.28172466170000005	0.067859923	3.0928085235	0.1880128096	12.2442655333	0.49239974490000005	15.618798718499999	0.7482724775	0.0001	0.16665	0.8332499999999999
XAHQAA	0.3366060893	0.2025249443	3.5887869438999997	0.3635824756	11.921258384300002	0.8303994890999999	15.8466514175	1.396506909	0.0001	0.19998	0.79992
XAHQAA	0.28172466170000005	0.1492487842	4.3992882649	0.44440026369999996	10.9522369373	0.6854278011	15.633249863900001	1.279076849	0.0001	0.249975	0.749925
XAHQAA	3.2562980381	0.2862265079	2.9234500385000004	0.24059282329999998	12.1260060853	0.6667186368	18.3057541619	1.193537968	0.001	0.1665	0.8325
XAHQAA	3.3075207039	0.22482786359999998	3.7440322218	0.4023463942	11.857715994300001	0.7507323484	18.90926892	1.3779066062	0.001	0.1998	0.7992
XAHQAA	3.1611702301999998	0.5531389674	4.512193921600001	0.5559081384000001	10.9804779995	0.2755765542	18.6538421513	1.38462366	0.001	0.24975	0.74925
XAHQAA	6.333316746	0.7875777005	2.9819190393	0.21006930149999997	12.0571684961	0.3283972305	21.3724042814	1.3260442325	0.002	0.16633333333333333	0.8316666666666667
XAHQAA	6.1467198921	0.9336655547	3.8266952918	0.2858702173	11.6300224302	0.6915276921	21.6034376141	1.9110634641	0.002	0.1996	0.7984
XAHQAA	6.604065122200001	1.3042857337	4.6492936475	0.6087906049	10.7157180413	0.5445337083	21.969076811	2.4576100469	0.002	0.2495	0.7484999999999999
XAHQAA	10.0945239181	1.6079248872	3.0786953164999997	0.392527597	12.0624636953	0.8945526412	25.235682929899998	2.8950051254000004	0.003	0.16616666666666666	0.8308333333333333
XAHQAA	9.9115858261	1.3651447919	3.7762909808	0.3331507625	11.7765229404	0.3178295991	25.4643997473	2.0161251535	0.003	0.1994	0.7976
XAHQAA	9.567662213	1.8142441991	4.5565497152	0.4329844736	10.7880857632	0.4821701347	24.9122976914	2.7293988074	0.003	0.24925	0.74775
XAHQAA	13.958176421700001	2.2986810044999997	2.9294985558999995	0.24974509579999998	12.366055114000002	0.6766814273	29.253730091599998	3.2251075276	0.004	0.166	0.8300000000000001
XAHQAA	14.448450508299999	0.5982495177	3.6371750824	0.28751495579999997	11.5576547083	0.7498188159999999	29.643280299	1.6355832895	0.004	0.1992	0.7968
XAHQAA	13.8630486139	1.4567938155000002	4.6593745097	0.446007239	10.641585252999999	0.6832790623	29.1640083766	2.5860801168000003	0.004	0.249	0.747
XAHQAA	17.5218104544	1.5404039133	2.9839352118	0.47249034479999996	11.8965474548	0.43593923960000003	32.402293121	2.4488334977	0.005	0.16583333333333333	0.8291666666666666
XAHQAA	17.4303414084	2.0945764454	3.4920106667	0.2670496317	11.6141368328	0.7058500265000001	32.5364889079	3.0674761036000002	0.005	0.19899999999999998	0.7959999999999999
XAHQAA	18.3925957725	2.4237025894	4.4093691271	0.40113218850000004	10.5215607386	0.9559688201000001	33.3235256382	3.7808035980000003	0.005	0.24875	0.74625
XAHQAA	21.583036097399997	1.9741588556	3.0988570408999996	0.3114578592	12.170132745	0.6624056879	36.8520258833	2.9480224027	0.006	0.16566666666666666	0.8283333333333333
XAHQAA	23.1050810231	1.8955070178	3.7198381525	0.18434476649999998	11.802998936300002	1.1224823089	38.6279181119	3.2023340931999997	0.006	0.1988	0.7952
XAHQAA	22.5672430325	2.2908173768	4.4900160247	0.4377648507	10.6857119127	0.9267119637000001	37.7429709699	3.6552941912	0.006	0.2485	0.7455
XAHQAA	24.864945468400002	4.0981660554	3.1694230762999998	0.4338473296	11.990095973399999	1.3481040469	40.0244645181	5.8801174319000005	0.006999999999999999	0.1655	0.8275
XAHQAA	24.0856291964	3.4652627675	3.5565281848000003	0.38156296479999996	11.421744596500002	0.2340028068	39.0639019777	4.0808285391000005	0.006999999999999999	0.1986	0.7944
XAHQAA	24.023430245100002	3.5859897916000003	4.463805783	0.6030209651	10.6327599211	0.4401213478	39.1199959492	4.6291321045	0.006999999999999999	0.24825	0.74475
XAHQAA	30.931172600000004	4.6725354012	2.9617573149000003	0.2832417325	12.471959097300001	0.5118570795	46.3648890122	5.4676342132	0.008	0.16533333333333333	0.8266666666666667
XAHQAA	27.451690089699998	3.8089520767000002	3.7420160493	0.4019016114	11.6847394883	1.016592434	42.8784456273	5.2274461221	0.008	0.1984	0.7936
XAHQAA	29.3798575796	1.6370659574000002	4.4375955413	0.3381885126	10.95576707	0.6417272623	44.7732201909	2.6169817322999998	0.008	0.248	0.7440000000000001
XAHQAA	34.5057829183	6.7250948874	2.95772497	0.1867981318	11.968915176700001	0.7355394004000001	49.432423065	7.6474324196	0.009000000000000001	0.16516666666666666	0.8258333333333333
XAHQAA	32.3215020994	4.5492639241	3.6492721170999998	0.5005632814000001	11.7765229404	1.1468096937	47.7472971569	6.1966368992	0.009000000000000001	0.1982	0.7928
XAHQAA	31.9153795351	3.1511775349	4.5484850255	0.39290023020000003	10.9592972028	0.8383898124	47.4231617634	4.3824675775	0.009000000000000001	0.24775	0.74325
XAHQAA	36.254671078	5.7758582321	2.9133691763	0.11405193640000001	11.993626106199999	0.8419200153	51.1616663605	6.7318301838	0.01	0.165	0.8250000000000001
XAHQAA	39.759764921300004	5.9727580908	3.6069324957999997	0.1698378476	11.2928947501	1.0430691144	54.6595921672	7.1856650528	0.01	0.198	0.792
XAHQAA	34.2972334933	6.7569476385	4.3690456783	0.4097544983	10.6768865808	0.6610309124	49.3431657524	7.8277330492	0.01	0.2475	0.7424999999999999
XAHQAA	46.221138331700004	4.4954615796	2.9153853488	0.10699020000000001	12.043047965	0.7041354013	61.179571645500005	5.306587180899999	0.012	0.16466666666666666	0.8233333333333333
XAHQAA	47.271202979899996	11.8391337073	3.4920106667	0.3881537779	11.2628886216	0.7057087717	62.0261022682	12.932996256900001	0.012	0.1976	0.7904
XAHQAA	46.9382556525	12.328982928499999	4.530339473500001	0.19405594280000002	10.5886332614	1.1100232937	62.057228387399995	13.633062165	0.012	0.247	0.741
XAHQAA	59.224377913000005	7.7549388415	3.0303071779	0.5838690578	12.0095117037	0.8285966875	74.2641967946	9.1674045868	0.013999999999999999	0.16433333333333333	0.8216666666666667
XAHQAA	56.8791115732	13.2764443851	3.4899944943	0.3751164546	11.3493768746	0.6306006913000001	71.7184829421	14.282161531	0.013999999999999999	0.1972	0.7888
XAHQAA	52.59836021979999	6.5118313912	4.4496925758999994	0.4639124725	10.4897895436	0.2633677791	67.5378423393	7.239111642799999	0.013999999999999999	0.2465	0.7395
XAHQAA	63.011196418000004	8.8860049862	3.044420385	0.2761493917	12.080114359200001	0.9081022129	78.1357311622	10.0702565908	0.016	0.16399999999999998	0.8200000000000001
XAHQAA	60.8708207413	6.880285832899999	3.5605605297000005	0.2221086425	11.5400040445	1.0822376132	75.9713853155	8.1846320886	0.016	0.1968	0.7872
XAHQAA	63.0294902272	7.7175976474	4.3307384019	0.17041130289999998	10.3432890334	0.5903876629	77.7035176625	8.478396613200001	0.016	0.24600000000000002	0.738
XAHQAA	75.3302475352	15.423326428	3.0000645913	0.20346366780000003	11.568245106700001	0.784722393	89.8985572332	16.4115124888	0.018000000000000002	0.16366666666666665	0.8183333333333332
XAHQAA	71.6202630288	9.8425453867	3.4496710455	0.3436731372	11.148159306300002	1.2217217828	86.2180933806	11.4079403067	0.018000000000000002	0.1964	0.7856
XAHQAA	76.8010697951	9.5944260844	4.3730780232	0.3735962636	10.814561759000002	0.6499280276	91.9887095773	10.6179503756	0.018000000000000002	0.2455	0.7364999999999999
XAHQAA	77.8950395854	10.835940674300002	3.0665982818	0.0949101264	11.6053115008	0.6090885813	92.566949368	11.539939382	0.02	0.16333333333333333	0.8166666666666667
XAHQAA	87.9712696943	14.1390842995	3.4214446313	0.6417131972	10.957532136400001	0.6587836897	102.350246462	15.439581186400002	0.02	0.196	0.784
XAHQAA	83.939314146	13.926856712100001	4.4738866451999995	0.5350117862	10.5621572655	0.8187625309000001	98.9753580567	15.2806310292	0.02	0.245	0.735
XAHQAA	129.1652692571	27.2388526083	2.9012721417000003	0.35415835100000004	11.3793830032	0.6678018522	143.445924402	28.2608128115	0.03	0.16166666666666665	0.8083333333333332
XAHQAA	127.1419739592	40.596200850900004	3.5323341155000003	0.5193121698	11.116388111400001	0.5472958286999999	141.7906961861	41.6628088494	0.03	0.19399999999999998	0.7759999999999999
XAHQAA	130.4202245684	6.7769672364	4.2319459523	0.3313890834	10.255035714	0.4404892831	144.9072062347	7.548845602899999	0.03	0.2425	0.7275
XAHQAA	189.4580056275	27.3442319174	2.8387707960000004	0.6752943785	11.247003024100001	0.5600130359000001	203.54377944759997	28.5795393318	0.04	0.16	0.8
XAHQAA	178.16706658759998	17.6207337713	3.5041077013999997	0.5883079247	11.2117016963	0.5975838125	192.8828759853	18.806625508499998	0.04	0.192	0.768
XAHQAA	181.0172420614	36.667964406399996	4.252107676700001	0.07369379179999999	9.9991010878	0.5748807948	195.2684508259	37.316538993	0.04	0.24	0.72
XAHQAA	231.3105823216	21.0989778168	2.7903826575	0.0779818386	10.849863086800001	0.7909860993000001	244.9508280659	21.967945754699997	0.05	0.15833333333333333	0.7916666666666666
