MOF	acetone_mass	acetone_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	acetone_comp	O2_comp	N2_comp
YEQRIV	224.72005794560002	15.1861243636	0.5800655732	0.1065242437	2.9254769525	0.16361435230000002	228.2256004713	15.4562629596	1e-06	0.1666665	0.8333325
YEQRIV	232.74782339490002	23.7978401953	0.674915005	0.0451479571	2.8492191057	0.0741168404	236.2719575056	23.917104992800002	1e-06	0.19999979999999998	0.7999991999999999
YEQRIV	231.2069045893	23.487849482199998	0.9297825259999999	0.13073916789999998	2.8819817362	0.2990648814	235.01866885150002	23.9176535315	1e-06	0.24999975	0.74999925
YEQRIV	298.3457673519	35.504135044499996	0.5439324563	0.0985836824	2.7481068495999996	0.2960063559	301.6378066578	35.8987250828	1e-05	0.166665	0.8333250000000001
YEQRIV	275.8689608225	10.8067674067	0.6787864104000001	0.0487312058	2.6176212006	0.21840649850000002	279.16536843349996	11.073905110999998	1e-05	0.199998	0.799992
YEQRIV	311.2937005986	22.899679218000003	0.7787977161	0.0515541746	2.1459522963	0.2217412303	314.218450611	23.1729746229	1e-05	0.24999749999999998	0.7499925000000001
YEQRIV	432.15981214239997	22.7745688794	0.3716549167	0.0870851106	1.4675398962000001	0.374568264	433.9990069553	23.236222254	0.0001	0.16665	0.8332499999999999
YEQRIV	417.16863929410005	26.5809789391	0.5549014382	0.09394752199999999	1.6906647072999998	0.2917195498	419.4142054396	26.9666460109	0.0001	0.19998	0.79992
YEQRIV	400.29698346559996	16.960371791700002	0.6323295458	0.10339865960000001	1.5336300300999999	0.1433041567	402.4629430415	17.207074608	0.0001	0.249975	0.749925
YEQRIV	497.02359493589995	21.0757847722	0.26454603449999997	0.0786021363	0.9427729357	0.2471382052	498.2309139061	21.4015251137	0.001	0.1665	0.8325
YEQRIV	494.8831697257	16.126742865	0.34842648439999996	0.07546758419999999	0.9546352673999999	0.2377034728	496.1862314775	16.439913922	0.001	0.1998	0.7992
