MOF	ammonia_mass	ammonia_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	ammonia_comp	O2_comp	N2_comp
ALUKIC	27.0211866898	7.056478275	2.8351623117	0.2322548435	11.6888947371	0.42003973969999997	41.5452437386	7.708772858200001	1e-06	0.1666665	0.8333325
ALUKIC	33.8246802941	13.206682196800001	3.36237715	0.3144943547	10.9723588731	0.5713149014	48.159416317200005	14.0924914529	1e-06	0.19999979999999998	0.7999991999999999
ALUKIC	24.5134745762	8.9913047511	4.1817722394	0.4165695413	10.2913270383	0.9774658468	38.9865738539	10.3853401392	1e-06	0.24999975	0.74999925
ALUKIC	31.3567030554	10.0162232753	2.6849245169	0.2509745025	11.275756941600001	0.4281460432	45.3173845139	10.695343821	1e-05	0.166665	0.8333250000000001
ALUKIC	37.5774184924	10.9107534795	3.3550035158999996	0.2341927017	10.7093062924	0.5807418709000001	51.641728300699995	11.7256880521	1e-05	0.199998	0.799992
ALUKIC	35.2369852971	9.9484563767	4.2582736932	0.2428126625	10.0484472015	0.7781321603	49.543706191800005	10.9694011995	1e-05	0.24999749999999998	0.7499925000000001
ALUKIC	43.644590523299996	9.839284346	2.8941513845999998	0.2174128237	11.312874790499999	0.5819380356	57.8516166984	10.6386352053	0.0001	0.16665	0.8332499999999999
ALUKIC	42.7198962091	12.8412697898	3.3347260221	0.3327135359	10.8480947705	0.6012728539	56.9027170017	13.775256179600001	0.0001	0.19998	0.79992
ALUKIC	45.6975590671	9.592221468	4.2094233673	0.3098681452	10.361528187200001	0.5199004161	60.2685106216	10.4219900293	0.0001	0.249975	0.749925
ALUKIC	53.309976238500006	5.462904813	2.8618917354000004	0.15167567140000002	11.3629031954	0.6625431795000001	67.5347711693	6.277123663899999	0.001	0.1665	0.8325
ALUKIC	53.0519448278	11.4884702553	3.4075406588	0.3149802107	10.9578344975	0.529544326	67.4173199841	12.332994792000001	0.001	0.1998	0.7992
ALUKIC	53.1647722507	8.326963620599999	4.2379961994	0.28980821030000004	10.350231450599999	0.2587451477	67.75299990069999	8.8755169786	0.001	0.24975	0.74925
ALUKIC	55.760293532700004	17.2584240632	2.8434576501	0.29146847989999997	11.498464034500001	0.4396288436	70.1022152173	17.9895213867	0.002	0.16633333333333333	0.8316666666666667
