MOF	ammonia_mass	ammonia_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	ammonia_comp	O2_comp	N2_comp
AMIMAL	0.1601898991	0.3355074079	4.076477112	0.34658830329999996	15.7027066545	1.0386397361	19.939373665599998	1.7207354472999998	1e-06	0.1666665	0.8333325
AMIMAL	0.1518189305	0.1847734919	5.1281252762000005	0.4245833778	15.0718194805	0.5196599486	20.351763687200002	1.1290168183	1e-06	0.19999979999999998	0.7999991999999999
AMIMAL	0.1419259676	0.3275966759	6.0939829714	0.4551613575	14.172429729500001	0.9236039981	20.4083386685	1.7063620315	1e-06	0.24999975	0.74999925
AMIMAL	0.9306995088	0.6318082271000001	4.0099894987	0.3746456667	15.123141651400001	0.7412978829000001	20.063830658900002	1.7477517767	1e-05	0.166665	0.8333250000000001
AMIMAL	1.3233740358	1.2671633089	4.6662865854	0.4830154929	14.261304708399999	1.2192003619	20.2509653296	2.9693791637	1e-05	0.199998	0.799992
AMIMAL	1.7537179216	1.6941929575999999	5.8223131533000005	0.6219628205	13.0220620452	1.0511686179000002	20.5980931201	3.3673243960000003	1e-05	0.24999749999999998	0.7499925000000001
AMIMAL	5.7949932622	1.9806242753999999	3.2464543258	0.5435916812	11.7828193821	1.3277300235	20.8242669701	3.8519459801	0.0001	0.16665	0.8332499999999999
AMIMAL	6.9026246073	3.7851560444	3.5352822375999997	0.6318377270000001	10.3558126791	2.5916831	20.793719524	7.0086768714	0.0001	0.19998	0.79992
AMIMAL	6.962743381799999	1.2367091020999998	4.599084051499999	0.5771955429	9.710530262	1.1751222432	21.2723576953	2.9890268881999997	0.0001	0.249975	0.749925
AMIMAL	11.1181682942	2.2693197727000003	2.3406499588	0.4897993846	7.7990923361	2.5284020508	21.2579105891	5.2875212081	0.001	0.1665	0.8325
AMIMAL	11.3704388479	1.6628346611000002	2.5722842247	0.3541448381	7.0499138171	1.3616792932	20.9926368897	3.3786587924	0.001	0.1998	0.7992
AMIMAL	11.7920312664	1.0904172991	3.3265254301	0.3571627561	6.3802220748	0.6249205489	21.4987787713	2.0725006041	0.001	0.24975	0.74925
AMIMAL	12.3654426155	0.2782649304	2.1654944181999998	0.20884492989999998	6.8414957327999995	0.4614803983	21.3724327665	0.9485902586	0.002	0.16633333333333333	0.8316666666666667
AMIMAL	11.815622178	1.3947618294	2.5679947012	0.233489163	6.778281839400001	1.0945424977	21.1618987186	2.7227934901	0.002	0.1996	0.7984
AMIMAL	12.090722646	0.7739584155	3.2378752789	0.40679922979999994	6.278829493300001	0.5429465962	21.6074274182	1.7237042415000001	0.002	0.2495	0.7484999999999999
AMIMAL	12.1896522749	0.6482713096	2.1604899741	0.20826656030000001	7.0567984985	0.7031283491	21.4069407475	1.5596662190000001	0.003	0.16616666666666666	0.8308333333333333
AMIMAL	12.205633215	0.9180590837999999	2.4922131203999998	0.1637402242	6.6155530048	0.4471605855	21.3133993402	1.5289598935	0.003	0.1994	0.7976
AMIMAL	12.228463129300001	0.5130814094	3.1499400483	0.1318558542	6.2037238774	0.6065111119	21.582127055	1.2514483754999999	0.003	0.24925	0.74775
AMIMAL	12.3155973025	0.1728921204	2.0346639531	0.0522234677	6.7557501546	0.3479443236	21.1060114102	0.5730599117	0.004	0.166	0.8300000000000001
AMIMAL	12.5058465888	0.42829741450000003	2.5594156543	0.388879993	6.6781410181	0.766022056	21.743403261199997	1.5831994635	0.004	0.1992	0.7968
AMIMAL	12.5301984975	0.2739737691	3.0698689441000004	0.2943320275	6.009075156000001	0.2898683277	21.609142597600002	0.8581741243000001	0.004	0.249	0.747
AMIMAL	12.432029865699999	0.450460174	2.1440468009	0.1287968651	6.864653297699999	0.5639120952000001	21.4407299643	1.1431691343000001	0.005	0.16583333333333333	0.8291666666666666
AMIMAL	12.7634441225	0.17746740600000002	2.5987362859	0.1461658566	6.7582536751	0.43366944909999994	22.120434083499998	0.7573027117	0.005	0.19899999999999998	0.7959999999999999
AMIMAL	12.610483696300001	0.23937685050000002	3.093461323	0.3108910022	6.0159598375	0.4428578512	21.7199048568	0.9931257039	0.005	0.24875	0.74625
AMIMAL	12.673265960799998	0.4911268285	2.0732696641	0.183220628	6.7945547228	0.4592169161	21.5410903477	1.1335643726	0.006	0.16566666666666666	0.8283333333333333
AMIMAL	12.42023441	0.8147241267	2.492928041	0.46223029229999996	6.725082028099999	0.9199117976000001	21.6382444791	2.1968662166	0.006	0.1988	0.7952
AMIMAL	12.257381020899999	0.8033023291	3.2357305172000004	0.4410173443	6.449694769600001	0.9483849945999999	21.9428063077	2.192704668	0.006	0.2485	0.7455
AMIMAL	12.7664881111	0.0960365131	2.0782741082	0.1411565367	6.804568805	0.6438186497999999	21.649331024299997	0.8810116995999999	0.006999999999999999	0.1655	0.8275
AMIMAL	12.5340034832	0.4154194129	2.5479769252	0.2716472407	6.7394772711	0.6093463031	21.821457679499996	1.2964129567	0.006999999999999999	0.1986	0.7944
AMIMAL	12.916024050199999	0.5209246417	3.0898867201	0.3326832019	6.0591455667	0.43935537119999996	22.065056336999998	1.2929632148	0.006999999999999999	0.24825	0.74475
AMIMAL	12.8349778542	0.26760278239999996	2.0053522096000003	0.2029165753	6.7244561479	0.38992683899999997	21.5647862117	0.8604461967	0.008	0.16533333333333333	0.8266666666666667
AMIMAL	12.9141215573	0.6043199029999999	2.5858677156	0.23868498920000003	6.753872514199999	1.0449117086	22.2538617871	1.8879166008000001	0.008	0.1984	0.7936
AMIMAL	12.8985211158	0.352969804	3.0591451355	0.1242728566	5.9033014136	0.6120275696	21.8609676649	1.0892702302	0.008	0.248	0.7440000000000001
AMIMAL	12.9369514717	0.8750077415	1.9910537981	0.19353099329999998	6.831481650700001	0.3372326721	21.759486920500002	1.4057714069	0.009000000000000001	0.16516666666666666	0.8258333333333333
AMIMAL	12.8254653899	0.7050941425	2.3906943989	0.22995117699999998	6.4672194133000005	0.3105425237	21.6833792021	1.2455878431999998	0.009000000000000001	0.1982	0.7928
AMIMAL	13.001636229	0.4154584445	3.0284035508	0.17935247070000002	6.0516350051	0.333574735	22.0816747849	0.9283856502	0.009000000000000001	0.24775	0.74325
AMIMAL	13.2877711557	0.211614684	2.076844267	0.1677246939	6.7219526274	0.4652946303	22.086568050100002	0.8446340081999999	0.01	0.165	0.8250000000000001
AMIMAL	13.200256484	1.2620641519	2.4049928104	0.43668481649999996	6.500391060399999	0.4800039551	22.1056403548	2.1787529235	0.01	0.198	0.792
AMIMAL	13.228413378399999	0.2911189582	2.9619159374	0.2066404923	6.0247221594	0.12731085	22.2150514752	0.6250703005	0.01	0.2475	0.7424999999999999
AMIMAL	13.4890549007	0.4655125967	2.0096417331	0.0919333376	6.689406860499999	0.42949425189999996	22.188103494299998	0.9869401862	0.012	0.16466666666666666	0.8233333333333333
AMIMAL	13.3467484345	0.3757862157	2.4464582037000002	0.1956637174	6.3645750715	0.2704613379	22.157781709699996	0.841911271	0.012	0.1976	0.7904
AMIMAL	13.506557835	0.7782906472	3.1141940195999998	0.2021291741	6.1229853402	0.4737809256	22.7437371948	1.4542007469	0.012	0.247	0.741
AMIMAL	13.4384485905	0.6733539087999999	2.0203655417	0.20288634719999998	6.7401031513	0.4445670245	22.1989172835	1.3208072805	0.013999999999999999	0.16433333333333333	0.8216666666666667
AMIMAL	13.319733035799999	0.906837228	2.3921242401	0.27467840179999997	6.3120011404	0.1092694224	22.0238584163	1.2907850522	0.013999999999999999	0.1972	0.7888
AMIMAL	13.5339537322	0.5782146251	3.0241140273	0.37886743479999996	5.9777811494	0.3157911067	22.5358489089	1.2728731666	0.013999999999999999	0.2465	0.7395
AMIMAL	13.6735967084	0.8806627751999999	2.1261737866	0.2796938872	6.9122201878	0.6936197798999999	22.711990682800003	1.8539764422999998	0.016	0.16399999999999998	0.8200000000000001
AMIMAL	13.8330256104	0.7010886258	2.4493178859999998	0.2418672559	6.4521982901	0.2515197259	22.7345417865	1.1944756076	0.016	0.1968	0.7872
AMIMAL	13.495523376400001	0.6007377212	3.0505660886	0.22642111329999998	5.989672871900001	0.5840236392	22.5357623369	1.4111824737	0.016	0.24600000000000002	0.738
AMIMAL	13.8714559662	0.5415573508	1.9317153905000002	0.17415911260000003	6.4578312113	0.41460673439999995	22.261002568000002	1.1303231978	0.018000000000000002	0.16366666666666665	0.8183333333333332
AMIMAL	13.842157576099998	0.6719626340000001	2.5007921672999998	0.19649784129999998	6.6806445386	0.6708243878	23.023594281999998	1.5392848631	0.018000000000000002	0.1964	0.7856
AMIMAL	13.8604215076	1.1545874170000001	2.9519070494	0.1385839925	5.8594898043	0.2672031753	22.6718183613	1.5603745848	0.018000000000000002	0.2455	0.7364999999999999
AMIMAL	13.9464141851	0.8379909001000001	2.0611160144	0.2161189641	6.484118176900001	0.2267034262	22.491648376399997	1.2808132904	0.02	0.16333333333333333	0.8166666666666667
AMIMAL	14.532001488399999	1.0877111918	2.3535185291	0.2768727799	6.2049756376	0.6881426116	23.090495655100003	2.0527265833	0.02	0.196	0.784
AMIMAL	14.470741218199999	0.9057637254	2.8839895949	0.1808282739	5.8551086433	0.1665829092	23.209839456399997	1.2531749085	0.02	0.245	0.735
AMIMAL	14.7515491649	0.6101868538	1.9760404661000002	0.23786128420000002	6.441558327899999	0.5131392694	23.1691479589	1.3611874074	0.03	0.16166666666666665	0.8083333333333332
AMIMAL	14.800633480799998	0.8139987744	2.3299261501	0.11134414570000001	6.1167265389	0.4483084631	23.2472861698	1.3736513832	0.03	0.19399999999999998	0.7759999999999999
AMIMAL	15.3192530353	1.4000018796	2.9233102264	0.149170195	5.9220778176	0.1879141911	24.164641079299997	1.7370862657	0.03	0.2425	0.7275
AMIMAL	15.0601335073	1.5137034753999998	1.8502144451	0.1988764608	6.424033684099999	0.6808862489	23.3343816365	2.3934661851	0.04	0.16	0.8
AMIMAL	16.0699767193	2.3470333898	2.2183985406	0.17741557460000001	5.9202001772	0.20736949359999998	24.208575437100002	2.7318184580000002	0.04	0.192	0.768
AMIMAL	15.4725939601	1.2431008913	2.8782702302999996	0.2891816163	5.6592081617	0.4484831864	24.0100723521	1.980765694	0.04	0.24	0.72
AMIMAL	17.4256931338	1.590073625	1.9138423762	0.08320152139999999	6.336410465499999	0.1469632657	25.675945975500003	1.8202384121000001	0.05	0.15833333333333333	0.7916666666666666
AMIMAL	15.834828601300002	1.5981853224	2.212679176	0.1717595749	5.8857767698000005	0.3298429867	23.9332845471	2.099787884	0.05	0.19	0.76
AMIMAL	16.729000247200002	1.1856018032	2.8282257901	0.2422895253	5.513378090800001	0.24231828579999998	25.0706041281	1.6702096143	0.05	0.2375	0.7124999999999999
