MOF	ammonia_mass	ammonia_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	ammonia_comp	O2_comp	N2_comp
AXUHEH	0.00038596349999999997	0.0009454136	4.5520090545	0.31313037239999997	16.2685270401	0.5016311591	20.8209220581	0.8157069451000001	1e-06	0.1666665	0.8333325
AXUHEH	0.0	0.0	5.4041056992	0.4321747046	15.3793925183	0.4841244074	20.7834982175	0.916299112	1e-06	0.19999979999999998	0.7999991999999999
AXUHEH	0.00038596349999999997	0.0009454136	6.4244461070000005	0.17603720690000002	14.271545506199999	0.6769457975	20.6963775767	0.853928418	1e-06	0.24999975	0.74999925
AXUHEH	0.0034736714	0.0035792782	4.3732500563	0.3108632545	16.0577504166	0.499523175	20.4344741443	0.8139657077	1e-05	0.166665	0.8333250000000001
AXUHEH	0.0025087626999999997	0.0019680354	5.4534185263	0.7501129125	16.0545760698	1.4608554765000001	21.5105033588	2.2129364244	1e-05	0.199998	0.799992
AXUHEH	0.0044385801	0.0072823446	6.7373650025	0.5433855418	14.7327780875	0.7508242020999999	21.4745816701	1.3014920884999999	1e-05	0.24999749999999998	0.7499925000000001
AXUHEH	0.0322279515	0.020806260400000002	4.5161122171	0.4655631958	16.0256895145	1.2248026749	20.5740296831	1.7111721311	0.0001	0.16665	0.8332499999999999
AXUHEH	0.0328068967	0.0276442561	5.3384761279	0.4360344033	15.5781066242	0.8883294643	20.9493896488	1.3520081237000001	0.0001	0.19998	0.79992
AXUHEH	0.0505612173	0.053013458799999996	6.6224226041	0.5339791962	14.1242558175	1.4021043194	20.797239638900002	1.9890969744	0.0001	0.249975	0.749925
AXUHEH	0.3020164313	0.0757511734	4.4573719378	0.2122660702	15.932681155	0.7530567473	20.692069524100003	1.0410739909	0.001	0.1665	0.8325
AXUHEH	0.2906305083	0.058945104500000005	5.2612435384	0.45975472380000004	15.0937013118	0.7669379387	20.6455753585	1.285637767	0.001	0.1998	0.7992
AXUHEH	0.3896301437	0.2673236744	6.521983978300001	0.3032259878	14.0829893099	1.0553678953	20.9946034319	1.6259175575	0.001	0.24975	0.74925
AXUHEH	0.7327516867	0.3014411925	4.4178491572	0.1783787155	15.5511246769	0.6590910132	20.7017255208	1.1389109212000001	0.002	0.16633333333333333	0.8316666666666667
AXUHEH	0.7088219503000001	0.25702560469999997	5.1633430728	0.41634923030000004	15.1095730455	0.5688563982	20.9817380686	1.2422312331999998	0.002	0.1996	0.7984
AXUHEH	0.6312432887	0.0668552941	6.614445529099999	0.3163402162	14.217899046300001	0.2555063221	21.463587864100003	0.6387018324	0.002	0.2495	0.7484999999999999
