MOF	ammonia_mass	ammonia_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	ammonia_comp	O2_comp	N2_comp
EDUVOO	0.0	0.0	2.4167564089	0.15566415039999998	9.3699552045	0.5943607847	11.7867116134	0.7500249351	1e-06	0.1666665	0.8333325
EDUVOO	0.0002329334	0.0009317335000000001	2.8714847516	0.226205253	8.9990651354	0.18933392989999998	11.870782820399999	0.4164709164	1e-06	0.19999979999999998	0.7999991999999999
EDUVOO	0.0	0.0	3.6505188711	0.21193573780000002	8.725495394400001	0.3695418406	12.3760142655	0.5814775784	1e-06	0.24999975	0.74999925
EDUVOO	0.0002329334	0.0009317335000000001	2.4539574764	0.1857368842	9.2542436333	0.3282831883	11.708434043099999	0.514951806	1e-05	0.166665	0.8333250000000001
EDUVOO	0.0002329334	0.0009317335000000001	2.8946807114	0.1716920328	9.190257433400001	0.8739919737	12.0851710782	1.04661574	1e-05	0.199998	0.799992
EDUVOO	0.00046586669999999997	0.0011411358	3.592310142	0.2714138982	8.430852354099999	0.6552144743	12.0236283628	0.9277695082999999	1e-05	0.24999749999999998	0.7499925000000001
EDUVOO	0.003959867299999999	0.0066864457	2.4005630030000003	0.0929241143	9.3339390201	0.5664748349000001	11.7384618904	0.6660853949000001	0.0001	0.16665	0.8332499999999999
EDUVOO	0.005823334300000001	0.0051033145	2.9161260327	0.2119935727	9.121673422699999	0.5372458765	12.0436227897	0.7543427637000001	0.0001	0.19998	0.79992
EDUVOO	0.0034940006	0.0025516572	3.5673635438	0.4030025275	8.4691674438	0.6661203703999999	12.040024988199999	1.0716745551	0.0001	0.249975	0.749925
EDUVOO	0.061494410199999995	0.0286952738	2.4066902377	0.2369739918	9.3841317877	0.6252506127	11.852316435599999	0.8909198783	0.001	0.1665	0.8325
EDUVOO	0.0423938737	0.0210724253	2.8999326268	0.1669865022	9.035464470700001	0.6658523253	11.9777909712	0.8539112528	0.001	0.1998	0.7992
EDUVOO	0.048217208	0.0472711291	3.5376026898000004	0.0778296141	8.3189722919	0.38512745600000003	11.9047921897	0.5102281992000001	0.001	0.24975	0.74925
EDUVOO	0.08828174789999998	0.0760576505	2.3817436395	0.12111711	9.4757048522	0.3881256185	11.9457302396	0.585300379	0.002	0.16633333333333333	0.8316666666666667
EDUVOO	0.1059846842	0.1051146522	2.9463245463	0.09670594099999999	8.9764592325	0.4519400864	12.028768462999999	0.6537606796000001	0.002	0.1996	0.7984
EDUVOO	0.0661530776	0.019455166399999998	3.5432922648000003	0.11262062880000001	8.4116948092	0.2694659704	12.021140151600001	0.40154176560000004	0.002	0.2495	0.7484999999999999
EDUVOO	0.1358001558	0.0688096378	2.430323857	0.1425077782	9.4983107552	0.9015728697	12.064434768	1.1128902857	0.003	0.16616666666666666	0.8308333333333333
EDUVOO	0.1747000289	0.10158672740000001	2.9375713538999997	0.1878492998	8.990635815700001	0.5706453493	12.102907198499999	0.8600813765	0.003	0.1994	0.7976
EDUVOO	0.159093493	0.0663038204	3.5345390724000003	0.1338236873	8.2948337854	0.2547236041	11.9884663508	0.4548511118	0.003	0.24925	0.74775
EDUVOO	0.17679642920000002	0.0848261343	2.4290108781999997	0.1559198859	9.306352155399999	0.5085635057	11.9121594628	0.7493095259	0.004	0.166	0.8300000000000001
EDUVOO	0.2194232363	0.1389548601	2.8666704959	0.0955662622	8.8891008278	0.4754036536	11.97519456	0.7099247759	0.004	0.1992	0.7968
EDUVOO	0.16072402660000001	0.076875071	3.5266611993	0.172719805	8.4906238941	0.6519062284	12.17800912	0.9015011044	0.004	0.249	0.747
EDUVOO	0.246210574	0.1911734575	2.3939981088	0.20998541760000003	9.312865720700001	0.4080828675	11.953074403499999	0.8092417426	0.005	0.16583333333333333	0.8291666666666666
EDUVOO	0.32517498710000003	0.1567099834	2.8093370858999998	0.2533047436	8.8572993033	0.3970197696	11.991811376300001	0.8070344965999999	0.005	0.19899999999999998	0.7959999999999999
EDUVOO	0.2110376349	0.1399803597	3.5848699285000003	0.1509614847	8.5389009072	0.5337026571	12.334808470599999	0.8246445015	0.005	0.24875	0.74625
EDUVOO	0.2524997751	0.035491586299999996	2.3747410856	0.1181324302	9.5025254151	0.3807016318	12.1297662758	0.5343256483	0.006	0.16566666666666666	0.8283333333333333
EDUVOO	0.2893032478	0.2525779804	2.8964313499000003	0.07743483799999999	8.9914021175	0.2445763557	12.1771367152	0.5745891741	0.006	0.1988	0.7952
EDUVOO	0.3745568619	0.20107749870000002	3.5446052437	0.08152225440000001	8.5239580222	0.5611380614	12.4431201278	0.8437378145000001	0.006	0.2485	0.7455
EDUVOO	0.3687335276	0.1750171516	2.3852449164	0.1280481649	9.387580145800001	0.2787000757	12.1415585898	0.5817653922	0.006999999999999999	0.1655	0.8275
EDUVOO	0.34823539090000005	0.15690790289999998	2.8482887919	0.09889945359999999	8.925500163099999	0.429108479	12.1220243459	0.6849158355	0.006999999999999999	0.1986	0.7944
EDUVOO	0.37269339490000003	0.17728662829999997	3.5266611993	0.1922237711	8.4132274128	0.4759505325	12.312582007	0.8454609318999999	0.006999999999999999	0.24825	0.74475
EDUVOO	0.502437283	0.2843642361	2.3918098107	0.1430015547	9.379150826	0.4568752742	12.2733979197	0.884241065	0.008	0.16533333333333333	0.8266666666666667
