MOF	ammonia_mass	ammonia_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	ammonia_comp	O2_comp	N2_comp
IRMOF-1	0.0	0.0	1.5597220244999999	0.1949586973	6.30433262	0.0697158442	7.8640546445	0.26467454149999997	1e-06	0.1666665	0.8333325
IRMOF-1	0.0006911932000000001	0.0027647727	1.9064712172999998	0.238421228	6.0382886465	0.3987662267	7.9454510570000005	0.6399522274	1e-06	0.19999979999999998	0.7999991999999999
IRMOF-1	0.0	0.0	2.3116612853	0.2268801298	5.6278532857000005	0.4531244611	7.939514571	0.6800045909	1e-06	0.24999975	0.74999925
IRMOF-1	0.0006911932000000001	0.0027647727	1.5740075718000002	0.1678473303	6.213377415399999	0.604569947	7.7880761804	0.77518205	1e-05	0.166665	0.8333250000000001
IRMOF-1	0.0006911932000000001	0.0027647727	1.9038738451	0.1817047061	6.0360147664	0.2691836145	7.9405798047000005	0.4536530933	1e-05	0.199998	0.799992
IRMOF-1	0.0	0.0	2.3181547159	0.1720942869	5.555089122	0.4613455635	7.8732438379	0.6334398504	1e-05	0.24999749999999998	0.7499925000000001
IRMOF-1	0.004147159	0.005172416	1.5817996884999999	0.22427824170000002	6.2008710748	0.26657789670000004	7.7868179223	0.4960285544	0.0001	0.16665	0.8332499999999999
IRMOF-1	0.0027647727	0.0027647727	1.8701080061000002	0.2020281469	5.9928110442	0.2547760652	7.8656838229999995	0.45956898479999997	0.0001	0.19998	0.79992
IRMOF-1	0.0055295453	0.0128197234	2.409062744	0.21622246309999998	5.6847002886	0.325093293	8.0992925779	0.5541354795000001	0.0001	0.249975	0.749925
IRMOF-1	0.0255741471	0.0148887564	1.509073266	0.3182814463	6.2611288978	0.4124194231	7.7957763109	0.7455896258	0.001	0.1665	0.8325
IRMOF-1	0.0456187488	0.0241027292	1.7597196863	0.1773075184	5.9359640413	0.3598482636	7.7413024764	0.5612585111999999	0.001	0.1998	0.7992
IRMOF-1	0.032486078700000004	0.0367309178	2.3882837661000003	0.29630541899999996	5.697206629199999	0.49419110759999996	8.117976473999999	0.8272274444	0.001	0.24975	0.74925
IRMOF-1	0.0995318156	0.11878873949999999	1.5714101996	0.17404332179999998	6.290689339299999	0.26727523870000003	7.961631354500001	0.5601073000000001	0.002	0.16633333333333333	0.8316666666666667
IRMOF-1	0.060133805199999994	0.029194218799999998	1.8753027506	0.1519851201	5.9189099405	0.38571602590000004	7.8543464963	0.5668953647999999	0.002	0.1996	0.7984
IRMOF-1	0.0725752822	0.0368348244	2.2454282934	0.20882614289999998	5.526665620499999	0.2222594229	7.8446691961	0.46792039020000004	0.002	0.2495	0.7484999999999999
IRMOF-1	0.09884062240000001	0.08494648689999999	1.5817996884999999	0.2695016204	6.4430393071	0.8817437445999999	8.123679617999999	1.2361918519	0.003	0.16616666666666666	0.8308333333333333
IRMOF-1	0.0946934634	0.0392461402	1.9532239175	0.23654632679999998	6.0814923687	0.5247394078000001	8.1294097496	0.8005318748	0.003	0.1994	0.7976
IRMOF-1	0.09331107710000001	0.050224589400000005	2.4519193858	0.2618841689	5.6983435692999995	0.4713902107	8.2435740322	0.783498969	0.003	0.24925	0.74775
IRMOF-1	0.1368562464	0.10569606890000001	1.5220601272	0.1072812207	6.0360147664	0.1426214152	7.69493114	0.35559870479999994	0.004	0.166	0.8300000000000001
IRMOF-1	0.1541360755	0.0823187554	1.9454318008000002	0.27921449460000003	6.1212852707000005	0.2826754016	8.220853147	0.6442086516	0.004	0.1992	0.7968
IRMOF-1	0.1624303935	0.1128995853	2.3493231827	0.20075519949999998	5.7927095941	0.3821877739	8.3044631703	0.6958425587	0.004	0.249	0.747
IRMOF-1	0.1548272687	0.0822955376	1.6155655275	0.1604074509	6.1804061537	0.5249364413000001	7.9507989499	0.7676394298	0.005	0.16583333333333333	0.8291666666666666
IRMOF-1	0.2170346534	0.0996277684	1.9363409980000001	0.2474193038	5.946196501799999	0.3920053249	8.0995721532	0.7390523970999999	0.005	0.19899999999999998	0.7959999999999999
IRMOF-1	0.16934232510000002	0.0932470558	2.3804916494	0.1934301309	5.697206629199999	0.4208460067	8.2470406037	0.7075231934	0.005	0.24875	0.74625
IRMOF-1	0.3013602194	0.1604044754	1.5038785216	0.144522235	6.184953913999999	0.1485872351	7.990192655	0.45351394549999996	0.006	0.16566666666666666	0.8283333333333333
IRMOF-1	0.2370792552	0.2162274942	1.8376408532	0.1842121136	5.989400224	0.16056234449999998	8.0641203324	0.5610019522999999	0.006	0.1988	0.7952
