MOF	ammonia_mass	ammonia_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	ammonia_comp	O2_comp	N2_comp
LOFVUY	17.4038955734	7.2495740825	2.9832444744999997	0.2040762184	11.0410517549	0.4932762035	31.4281918028	7.9469265044	1e-06	0.1666665	0.8333325
LOFVUY	20.0254135665	5.1861452648	3.7472628659	0.34964617789999997	10.8317313141	0.7347666006999999	34.6044077465	6.2705580434	1e-06	0.19999979999999998	0.7999991999999999
LOFVUY	18.50018668	1.6548047899	4.5367027326	0.1561078893	9.898210268	0.44024212729999995	32.9350996806	2.2511548065	1e-06	0.24999975	0.74999925
LOFVUY	22.1441296011	4.3993488656999995	3.1357733260000002	0.11491899929999999	10.9598498598	1.0912753369	36.2397527869	5.605543201900001	1e-05	0.166665	0.8333250000000001
LOFVUY	20.5797755804	5.6257612356	3.6648148381	0.2777110466	10.5418104738	0.5549610327000001	34.7864008923	6.4584333149	1e-05	0.199998	0.799992
LOFVUY	21.063562483	4.6118905189	4.595790485899999	0.5267684157	9.9000147545	0.20477013670000002	35.5593677234	5.3434290713	1e-05	0.24999749999999998	0.7499925000000001
LOFVUY	22.860850938400002	2.1774188263	3.1206578542	0.175631287	10.9718797702	0.34459761780000003	36.9533885628	2.6976477311	0.0001	0.16665	0.8332499999999999
LOFVUY	23.4389817721	0.0395604679	3.7259637921	0.1498120974	10.5466224379	0.741040527	37.7115680021	0.9304130923	0.0001	0.19998	0.79992
LOFVUY	22.505415663	2.0758120569	4.6480075702	0.3639768915	9.6425746722	0.2198348866	36.7959979054	2.659623835	0.0001	0.249975	0.749925
LOFVUY	24.068672661300003	1.2921084635	3.2024188151999997	0.12400748619999999	10.7890251323	0.4067212897	38.0601166088	1.8228372394	0.001	0.1665	0.8325
LOFVUY	23.6752072741	0.7258181481	3.7156577886	0.17606080899999998	10.517750653	0.7992460976000001	37.9086157157	1.7011250547	0.001	0.1998	0.7992
LOFVUY	23.487616434299998	1.0679874039	4.7009117214	0.38263149770000005	9.7881365879	0.3919536067	37.976664743600004	1.8425725083000002	0.001	0.24975	0.74925
LOFVUY	24.457384284499998	0.9151812256	3.0725631713	0.2809288761	11.1012013069	0.6735933453	38.6311487627	1.8697034469999998	0.002	0.16633333333333333	0.8316666666666667
LOFVUY	24.379861364299998	0.41610697840000005	3.760317137	0.2682413357	10.4960968143	0.5717055914	38.6362753156	1.2560539055	0.002	0.1996	0.7984
LOFVUY	24.0332022685	0.8287134784	4.6253343626	0.43548552630000004	9.7243780628	0.1673239021	38.3829146939	1.4315229068000002	0.002	0.2495	0.7484999999999999
LOFVUY	25.548555953	1.6687336278	3.0093530166000004	0.08690785220000001	10.9021062899	0.1929666625	39.4600152595	1.9486081425	0.003	0.16616666666666666	0.8308333333333333
