MOF	ammonia_mass	ammonia_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	ammonia_comp	O2_comp	N2_comp
OFEREX	12.694276712799999	5.2948415722	3.6341387341000004	0.3420848447	14.899922905799999	0.7257644304	31.2283383527	6.362690847300001	1e-06	0.1666665	0.8333325
OFEREX	10.0732125729	4.6298493618	4.3012484073	0.2006264088	14.4803250405	1.2487578778	28.8547860207	6.079233648400001	1e-06	0.19999979999999998	0.7999991999999999
OFEREX	10.6008507675	6.0853391069	5.365344031499999	0.2907758552	13.616208067999999	0.5690437619	29.582402867	6.945158724	1e-06	0.24999975	0.74999925
OFEREX	24.3979967028	11.2129462967	3.8748675493999998	0.3507060505	15.2474658762	0.8878811323	43.520330128400005	12.4515334795	1e-05	0.166665	0.8333250000000001
OFEREX	24.900438691399998	9.9479409297	4.7041133397	0.2164932437	15.1120243445	0.7184942327	44.716576375600006	10.8829284061	1e-05	0.199998	0.799992
OFEREX	28.2661906951	10.7227903927	5.9136363973	0.3306286303	14.047995671199999	0.4054097865	48.227822763599995	11.4588288095	1e-05	0.24999749999999998	0.7499925000000001
OFEREX	37.8754966532	9.0403502826	4.2201803487000005	0.2850858914	16.0007916757	0.46419715549999996	58.0964686776	9.7896333295	0.0001	0.16665	0.8332499999999999
OFEREX	38.4510570433	9.6733600368	5.0884130679	0.24943173149999998	15.465255859200001	0.7468489231000001	59.0047259704	10.6696406914	0.0001	0.19998	0.79992
OFEREX	37.3592214535	5.1952365976	6.3582730394	0.2733732894	14.425606661700002	0.39794704270000003	58.143101154600004	5.866556929700001	0.0001	0.249975	0.749925
OFEREX	47.2328405521	5.2008288256999995	4.1985209437	0.17030363780000002	16.1370458566	0.6414305032000001	67.5684073524	6.0125629667	0.001	0.1665	0.8325
OFEREX	47.746151492299994	2.8270615999	5.1524630226	0.2288754979	15.654061354500001	0.45699955810000004	68.55267586939999	3.5129366559	0.001	0.1998	0.7992
OFEREX	48.0931345372	2.8967543373	6.40437663	0.208243156	14.5147271895	0.25136196829999996	69.0122383567	3.3563594616000003	0.001	0.24975	0.74925
OFEREX	49.9793916783	2.6513115743999998	4.2226557092000006	0.2384310037	15.6963191124	0.4241478669	69.89836649989999	3.313890445	0.002	0.16633333333333333	0.8316666666666667
OFEREX	50.097632696999995	0.9277478109999999	5.0772739454	0.1532351162	15.1832665902	0.3444303451	70.35817323260001	1.4254132723	0.002	0.1996	0.7984
OFEREX	49.887499633199994	1.2837274078	6.3656991211000005	0.1390202032	14.208087561700001	0.19225752489999998	70.461286316	1.6150051359	0.002	0.2495	0.7484999999999999
OFEREX	52.1141525759	0.6187653706	4.0438109082	0.1634183292	15.2301293601	0.2457457362	71.3880928442	1.027929436	0.003	0.16616666666666666	0.8308333333333333
OFEREX	51.8266194025	1.4396824658	4.8520161337	0.1054101134	14.578113826400001	0.2745829793	71.2567493626	1.8196755585	0.003	0.1994	0.7976
OFEREX	52.2139493131	0.8918385585999999	6.0723688938	0.1632143214	13.5260040079	0.3290915963	71.81232221479999	1.3841444763	0.003	0.24925	0.74775
OFEREX	53.976695640900004	0.6030836265999999	3.9717160316	0.09700997759999999	14.640687814000001	0.47372049969999996	72.58909948649999	1.1738141039	0.004	0.166	0.8300000000000001
OFEREX	53.7362612576	1.5204161834	4.6539872882	0.0798135863	14.0775219251	0.2546035663	72.4677704709	1.854833336	0.004	0.1992	0.7968
OFEREX	53.992505025	0.9133002115000001	6.0627768716	0.10613424169999999	13.2315541179	0.2607657186	73.2868360145	1.2802001718	0.004	0.249	0.747
OFEREX	55.1591058272	2.0224239859999997	3.8612530662999998	0.2377377322	14.3530100006	0.349648656	73.3733688941	2.6098103742	0.005	0.16583333333333333	0.8291666666666666
OFEREX	55.3374554416	1.2591303348	4.5781793708	0.1628549293	13.5896615278	0.4366971053	73.5052963402	1.8586823693999999	0.005	0.19899999999999998	0.7959999999999999
OFEREX	55.3106124248	1.1480489958	5.830092978200001	0.24902914690000003	12.993989671300001	0.2345002623	74.1346950743	1.631578405	0.005	0.24875	0.74625
OFEREX	56.3975075821	2.0750143385	3.7910147101	0.09382318640000001	13.8190994826	0.24218218449999998	74.0076217748	2.4110197094	0.006	0.16566666666666666	0.8283333333333333
OFEREX	56.8139860447	1.0179174284	4.544143163	0.0646502862	13.2469944525	0.46400173450000004	74.60512366020001	1.5465694491	0.006	0.1988	0.7952
OFEREX	56.780720465600005	0.5146515491	5.6413467348	0.2043353549	12.401568411500001	0.4058641943	74.8236356119	1.1248510983	0.006	0.2485	0.7455
OFEREX	58.2491816956	0.6596355467	3.6446590166000004	0.08102789490000001	13.358056508499999	0.383582661	75.2518972207	1.1242461026000001	0.006999999999999999	0.1655	0.8275
OFEREX	58.3218060538	0.4417040178	4.413258473	0.23983229350000002	12.925456256199999	0.28179859760000003	75.660520783	0.9633349089	0.006999999999999999	0.1986	0.7944
OFEREX	58.3578712113	0.3647340657	5.5052019036	0.1862554625	12.1323106464	0.25265476940000003	75.9953837613	0.8036442976	0.006999999999999999	0.24825	0.74475
OFEREX	59.8072294354	0.7737382633	3.5496670547000004	0.1659438044	13.143246239200002	0.46691628909999994	76.50014272930001	1.4065983568	0.008	0.16533333333333333	0.8266666666666667
OFEREX	59.9244823676	0.7769992133	4.2662839392	0.2773384414	12.4394920403	0.1216937452	76.6302583471	1.1760313999	0.008	0.1984	0.7936
OFEREX	59.7102322767	1.3026718889	5.4498157109	0.20053285399999998	11.7530743575	0.2115150988	76.9131223451	1.7147198416999998	0.008	0.248	0.7440000000000001
OFEREX	61.0477720445	0.6251260994	3.5181062075	0.0630184701	12.6775982531	0.3480627068	77.2434765051	1.0362072762999999	0.009000000000000001	0.16516666666666666	0.8258333333333333
OFEREX	60.7865878446	0.7226010827	4.2099694863	0.1648880949	12.1076602876	0.2942722797	77.1042176185	1.1817614573000002	0.009000000000000001	0.1982	0.7928
OFEREX	60.92030888520001	0.5570344923	5.2251767393	0.1229546753	11.430994395099999	0.33333545059999997	77.5764800196	1.0133246182	0.009000000000000001	0.24775	0.74325
OFEREX	61.992712106999996	0.6065152248	3.3773200751999997	0.1604575042	12.4573703225	0.3966956454	77.8274025047	1.1636683744	0.01	0.165	0.8250000000000001
OFEREX	62.0450806919	1.3114928609999998	4.0564971311	0.048134466699999996	11.7869347405	0.5551783906000001	77.8885125635	1.9148057183000002	0.01	0.198	0.792
