MOF	ammonia_mass	ammonia_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	ammonia_comp	O2_comp	N2_comp
RAVXOD	0.0535663186	0.0690910926	2.9165652013999996	0.1417891492	11.5683614173	0.7351004748000001	14.538492937300001	0.9459807165999999	1e-06	0.1666665	0.8333325
RAVXOD	0.0845054854	0.1017213483	3.5273823669	0.23016786670000003	10.940191037	0.7420700365999999	14.5520788893	1.0739592516	1e-06	0.19999979999999998	0.7999991999999999
RAVXOD	0.044792525	0.0510552587	4.5364453831	0.2557192877	10.869170564700001	0.7425169631	15.4504084728	1.0492915095	1e-06	0.24999975	0.74999925
RAVXOD	0.8346648352	0.8744592157	2.9681896635	0.1619162258	11.5326612868	0.6613663092000001	15.3355157855	1.6977417506999999	1e-05	0.166665	0.8333250000000001
RAVXOD	0.6349455869	0.6918007656999999	3.5030885023000002	0.2601322901	11.0848905018	0.376849841	15.222924590999998	1.3287828968000002	1e-05	0.199998	0.799992
RAVXOD	0.6081624275999999	0.7383180033	4.6752674662	0.1015766622	10.362912332	0.5477989771	15.6463422258	1.3876936426	1e-05	0.24999749999999998	0.7499925000000001
RAVXOD	4.0373303757	1.0056933823	2.9196019344	0.2703496581	11.2174367308	0.7608196553000001	18.1743690409	2.0368626957	0.0001	0.16665	0.8332499999999999
RAVXOD	3.3580540423	0.9453922078	3.5477718602999997	0.2271588349	11.3454254963	0.49242989060000003	18.251251398900003	1.6649809333	0.0001	0.19998	0.79992
RAVXOD	4.5510590778	3.1503558781	4.4878576541	0.24018063399999998	10.3306302991	0.8005072098	19.369547031	4.1910437219	0.0001	0.249975	0.749925
RAVXOD	10.841176396	2.6841830096	2.8228602953	0.2528625285	10.7844777021	0.7854204999	24.4485143934	3.7224660380000003	0.001	0.1665	0.8325
RAVXOD	11.3906929403	3.1483242618	3.3733766185	0.1174167835	10.122885923	0.5258633953	24.886955481799998	3.7916044406	0.001	0.1998	0.7992
RAVXOD	12.8443720004	2.9730621554	4.2817936245	0.2440516305	9.7260068133	0.5363519009000001	26.8521724382	3.7534656868000003	0.001	0.24975	0.74925
RAVXOD	14.9918734201	5.114040667	2.7881547744999997	0.27153882	10.4563403329	0.3268530692	28.2363685275	5.7124325562000005	0.002	0.16633333333333333	0.8316666666666667
RAVXOD	14.984946741	2.4228003209	3.3365020026	0.2818074395	10.0864262154	0.5748379006000001	28.407874959	3.2794456610000005	0.002	0.1996	0.7984
RAVXOD	12.472640220399999	3.01582621	4.3138962312	0.3032689661	9.6177670562	0.5108144255	26.4043035078	3.8299096016000003	0.002	0.2495	0.7484999999999999
RAVXOD	16.282544631300002	4.3467089206	2.8224264763	0.06330785480000001	10.4798872274	0.3507520128	29.584858335	4.7607687882	0.003	0.16616666666666666	0.8308333333333333
RAVXOD	15.5499328687	1.1463402607	3.2779364363	0.2758679607	10.0435101011	0.2314281162	28.8713794061	1.6536363375999998	0.003	0.1994	0.7976
RAVXOD	15.7127098282	2.5560263997	4.2553306649	0.368367265	9.4563568919	0.8944692089	29.424397385	3.8188628736	0.003	0.24925	0.74775
RAVXOD	15.1495708149	2.5580973661	2.7313244843	0.237840456	10.4684935688	0.1692238546	28.349388868000002	2.9651616767	0.004	0.166	0.8300000000000001
RAVXOD	16.8064324629	2.610021145	3.3278256224000002	0.2284608047	9.8976712704	0.40315165950000004	30.0319293557	3.2416336092	0.004	0.1992	0.7968
RAVXOD	18.8703519544	4.2602978188	4.2483895608	0.2526093487	9.3644480455	0.7162116623	32.483189560700005	5.2291188298	0.004	0.249	0.747
RAVXOD	15.515299472999999	3.2292124287	2.7005233345999997	0.1294788051	10.5509076997	0.48862370759999996	28.7667305073	3.8473149414	0.005	0.16583333333333333	0.8291666666666666
RAVXOD	16.6231063552	3.9273138331	3.3299947175	0.2721867726	10.188969143200001	0.19416969539999998	30.142070215900002	4.3936703011	0.005	0.19899999999999998	0.7959999999999999
RAVXOD	18.148591989	2.7417820918999998	4.2089120309	0.2623884267	9.3424203054	0.6201119021	31.699924325300003	3.6242824206999997	0.005	0.24875	0.74625
RAVXOD	17.4603109728	2.1074452589	2.8037722589	0.2063921009	10.4415285766	1.1979705913	30.7056118083	3.5118079511	0.006	0.16566666666666666	0.8283333333333333
RAVXOD	17.665802453599998	3.2965522652	3.3278256224000002	0.05135948059999999	10.104656069199999	0.6680195767	31.0982841452	4.0159313225	0.006	0.1988	0.7952
RAVXOD	16.7648723881	2.5330448771	4.211948764	0.1790027864	9.37698107	0.5586482783	30.3538022221	3.2706959418	0.006	0.2485	0.7455
RAVXOD	15.7780515014	2.1487156594	2.7712358332	0.2042287941	10.405068868999999	0.9841893667	28.9543562036	3.3371338201999996	0.006999999999999999	0.1655	0.8275
RAVXOD	18.249490615	5.681916042899999	3.3720751613999997	0.1880514087	9.9857822306	0.7749981169	31.607348007	6.6449655685	0.006999999999999999	0.1986	0.7944
