MOF	ammonia_mass	ammonia_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	ammonia_comp	O2_comp	N2_comp
UIO-66	0.0569346509	0.0246057512	2.1560003978999998	0.08811088660000001	8.2131038726	0.3518325043	10.4260389214	0.46454914210000003	1e-06	0.1666665	0.8333325
UIO-66	0.06254678080000001	0.030303890299999997	2.5539466012	0.109953072	8.0576423616	0.27645975230000003	10.6741357436	0.4167167146	1e-06	0.19999979999999998	0.7999991999999999
UIO-66	0.049695816799999994	0.0393359841	3.2344590602	0.29876119079999996	7.592461919400001	0.5087944275999999	10.8766167964	0.8468916025	1e-06	0.24999975	0.74999925
UIO-66	0.4435209308	0.1729475121	2.1622660638999998	0.0304325146	8.4559288662	0.4863724939	11.0617158609	0.6897525206	1e-05	0.166665	0.8333250000000001
UIO-66	0.5356737302000001	0.242748981	2.6613798504	0.1438695417	8.0267373624	0.2342952311	11.223790943	0.6209137538	1e-05	0.199998	0.799992
UIO-66	0.5097277964	0.1584877567	3.194419926	0.06405812309999999	7.4917196494	0.24150338370000002	11.1958673718	0.46404926350000003	1e-05	0.24999749999999998	0.7499925000000001
UIO-66	4.0284518951	0.3133352594	2.0227403789	0.0618833092	7.8623120638	0.41999387369999996	13.9135043378	0.7952124423	0.0001	0.16665	0.8332499999999999
UIO-66	4.0749756384	1.3721907425	2.4234373624	0.0701354057	7.2660195039	0.26208631579999997	13.7644325047	1.704412464	0.0001	0.19998	0.79992
UIO-66	3.8533371757999997	0.6625020481	3.0263166912	0.17016232280000002	7.0083440562	0.4292005118	13.887997923199999	1.2618648826999999	0.0001	0.249975	0.749925
UIO-66	19.1078382029	1.4450995653999998	1.8433283809999998	0.08504656810000001	6.5691184618	0.1520466093	27.520285045700003	1.6821927428	0.001	0.1665	0.8325
UIO-66	18.9519185945	0.598471569	2.2405104787	0.15887047529999998	6.288966651	0.1854429294	27.481395724200002	0.9427849737	0.001	0.1998	0.7992
UIO-66	19.174289074	1.5501462274000002	2.7808859682	0.1359767965	5.772144089	0.14649961720000002	27.727319131199998	1.8326226411000002	0.001	0.24975	0.74925
UIO-66	27.297481064899998	2.6355185655	1.7950369062	0.06026192440000001	6.094037716799999	0.35167231590000003	35.1865556879	3.0474528058	0.002	0.16633333333333333	0.8316666666666667
UIO-66	27.0219986895	2.3057392042	2.1278813113	0.0828476556	5.7607721196	0.18915807760000003	34.9106521204	2.5777449374	0.002	0.1996	0.7984
UIO-66	26.7770170201	0.8007714652	2.6289817724	0.0496760333	5.4160007651	0.19143282530000003	34.8219995576	1.0418803238	0.002	0.2495	0.7484999999999999
UIO-66	32.747591194	0.9156115875	1.6917298274	0.07513454809999999	5.6629731828	0.1291994713	40.1022942042	1.1199456069	0.003	0.16616666666666666	0.8308333333333333
UIO-66	32.552224005999996	1.9621028388	2.0236573057	0.0663222544	5.4114519774000005	0.227448202	39.9873332891	2.2558732952000002	0.003	0.1994	0.7976
UIO-66	33.7053946933	1.2315035236	2.574883095	0.0469576316	5.1363841058999995	0.0633742305	41.416661894200004	1.3418353856999998	0.003	0.24925	0.74775
UIO-66	38.505636449499995	1.3642900924	1.6266280291	0.0635147825	5.421887431699999	0.1966934763	45.5541519103	1.6244983512	0.004	0.166	0.8300000000000001
UIO-66	38.128647725	1.562079134	1.9944684713	0.0912811708	5.2003347103	0.20848598629999998	45.3234509066	1.8618462911000002	0.004	0.1992	0.7968
UIO-66	36.645906744	2.2227794758000003	2.5360665298	0.1271155773	4.9682127467	0.1253757295	44.1501860205	2.4752707826	0.004	0.249	0.747
UIO-66	42.3048043716	2.5498183759	1.6218905743	0.0637438134	5.239266982	0.1012957119	49.1659619279	2.7148579012000003	0.005	0.16583333333333333	0.8291666666666666
UIO-66	42.4461649764	1.9438085764	1.9697114493999999	0.0545928729	4.9854713826	0.11920612300000001	49.401347808400004	2.1176075723	0.005	0.19899999999999998	0.7959999999999999
UIO-66	41.9900370872	1.7729565452	2.4348989466	0.0551224751	4.6306659375	0.1119848471	49.0556019713	1.9400638674000001	0.005	0.24875	0.74625
UIO-66	45.293060194	1.2328672112	1.5806288712	0.0570626787	5.060125017	0.1495329551	51.9338140822	1.439462845	0.006	0.16566666666666666	0.8283333333333333
UIO-66	45.2016394116	2.7267513799	1.9426621107	0.09421815720000001	4.8920874457	0.11218223029999999	52.036388968000004	2.9331517674	0.006	0.1988	0.7952
UIO-66	44.9142007596	1.8012514116	2.386760293	0.092829744	4.5303250311	0.23988221989999997	51.8312860837	2.1339633755	0.006	0.2485	0.7455
UIO-66	48.8692882901	0.5770355175999999	1.5224040235	0.1113586874	4.8783072946	0.2733068541	55.269999608199996	0.9617010590999999	0.006999999999999999	0.1655	0.8275
UIO-66	48.7413479959	2.9470891188	1.8627366636000002	0.0737060568	4.702108662900001	0.2654769499	55.3061933224	3.2862721255	0.006999999999999999	0.1986	0.7944
UIO-66	48.942408648999994	1.9649489637	2.3152400076	0.14873507619999998	4.3982763983	0.15127616970000002	55.655925054899996	2.2649602096	0.006999999999999999	0.24825	0.74475
UIO-66	51.200518240600005	1.5642878738	1.5506759312	0.047846436299999996	4.7379638135	0.1663525133	57.4891579853	1.7784868234	0.008	0.16533333333333333	0.8266666666666667
