MOF	ammonia_mass	ammonia_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	ammonia_comp	O2_comp	N2_comp
VETTIZ	0.0003969636	0.0015878545	5.4529593824	0.3835300035	19.8520467466	0.7040944212000001	25.305403092600002	1.0892122792	1e-06	0.1666665	0.8333325
VETTIZ	0.0007939272999999999	0.0019447167000000002	6.8290652585	0.7897268072	19.7619377952	1.3891096512999999	26.591796980999998	2.1807811752	1e-06	0.19999979999999998	0.7999991999999999
VETTIZ	0.0003969636	0.0015878545	8.255143543099999	0.3134941988	17.6953085825	0.2807894538	25.950849089200002	0.5958715071	1e-06	0.24999975	0.74999925
VETTIZ	0.0035726726	0.0038894333	5.6125727468	0.5046315495	19.622203624100003	1.9208820915	25.238349043499998	2.4294030743	1e-05	0.166665	0.8333250000000001
VETTIZ	0.0023817817999999998	0.0038894333	6.600833064400001	0.5390228507	18.7655156219	1.5827563835	25.3687304681	2.1256686675	1e-05	0.199998	0.799992
VETTIZ	0.0015878545	0.0038894333	8.2640938253	0.7918456895	17.7481986192	1.2247714014	26.013880299	2.0205065242	1e-05	0.24999749999999998	0.7499925000000001
VETTIZ	0.0297722721	0.010943531999999999	5.5096445025	0.2190636275	19.4491683188	1.1630918987	24.9885850934	1.3930990582	0.0001	0.16665	0.8332499999999999
VETTIZ	0.024214781299999998	0.011058127099999999	6.7813304205	0.4297740782	18.941162780899997	0.9467708348	25.7467079827	1.3876030401	0.0001	0.19998	0.79992
VETTIZ	0.0222299631	0.0116141545	8.4259447603	0.7069936063	18.2385741449	0.8065998699	26.6867488683	1.5252076307	0.0001	0.249975	0.749925
VETTIZ	0.25842332149999997	0.026498623	5.3724068433	0.2190636275	19.4785516725	1.0714522838	25.1093818373	1.3170145343000002	0.001	0.1665	0.8325
VETTIZ	0.2373842492	0.0216845356	6.5844242138	0.4070383461	19.4348031236	0.8250460845	26.2566115866	1.2537689662	0.001	0.1998	0.7992
VETTIZ	0.2695383031	0.041815177	8.392381202300001	0.5458856889	17.9075216928	1.2796150575	26.569441198200003	1.8673159234	0.001	0.24975	0.74925
VETTIZ	0.5315342972	0.1202321506	5.501440077200001	0.38321076509999996	20.033570576400002	1.5723131286	26.0665449508	2.0757560443000003	0.002	0.16633333333333333	0.8316666666666667
VETTIZ	0.4906470436	0.06572835469999999	6.5687612201	0.2543185912	18.8105700976	0.7581869743	25.8699783613	1.0782339202	0.002	0.1996	0.7984
VETTIZ	0.5319312608	0.109665468	8.2447015473	0.7377787279000001	17.7514634363	0.8464723175	26.5280962444	1.6939165134	0.002	0.2495	0.7484999999999999
VETTIZ	0.7518491104999999	0.1261670066	5.4895063677	0.40458179310000003	19.8690237955	0.9770514829000001	26.110379273699998	1.5078002825999999	0.003	0.16616666666666666	0.8308333333333333
VETTIZ	0.8367993268	0.1304942077	6.8134022648000006	0.2889076266	19.0658787934	0.7483587479000001	26.716080385	1.1677605822	0.003	0.1994	0.7976
VETTIZ	0.7713003281999999	0.2271048307	8.055999765900001	0.557757313	17.6718018995	1.1530557448999998	26.4991019936	1.9379178886000001	0.003	0.24925	0.74775
VETTIZ	1.1087194115999999	0.1403613092	5.592434612100001	0.2538807296	20.0152876007	1.2609100598	26.7164416244	1.6551520986000001	0.004	0.166	0.8300000000000001
VETTIZ	1.0761683941	0.1585351667	6.5083468158	0.3036434417	19.043025073800003	1.1004508514	26.6275402837	1.5626294598	0.004	0.1992	0.7968
VETTIZ	0.9475521788	0.0887850663	7.9597842331	0.6586992813	17.4334702526	1.354475934	26.340806664499997	2.1019602816	0.004	0.249	0.747
VETTIZ	1.3945332234	0.2261173955	5.368677559	0.2136121499	19.752143343900002	1.1398504648999999	26.5153541263	1.5795800103	0.005	0.16583333333333333	0.8291666666666666
VETTIZ	1.273459317	0.061681556799999995	6.460611977799999	0.2342797965	18.713931512000002	0.6576479489	26.448002806799998	0.9536093022	0.005	0.19899999999999998	0.7959999999999999
VETTIZ	1.3584095333000001	0.10224722779999999	8.1686241493	0.466350831	17.5673277529	0.542036727	27.0943614355	1.1106347858	0.005	0.24875	0.74625
VETTIZ	1.5977786006999999	0.2131069943	5.5327660646000005	0.14505717199999998	19.5164235507	1.7002114162000002	26.646968215999998	2.0583755825	0.006	0.16566666666666666	0.8283333333333333
VETTIZ	1.54736422	0.1276372332	6.7291204415	0.546150586	18.748538573	0.9450490008	27.025023234499997	1.61883682	0.006	0.1988	0.7952
