MOF	ammonia_mass	ammonia_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	ammonia_comp	O2_comp	N2_comp
WIYMOG	0.0	0.0	1.9511344603	0.13250185849999999	7.3312983551999995	0.350273193	9.2824328155	0.4827750515	1e-06	0.1666665	0.8333325
WIYMOG	0.0	0.0	2.246011795	0.1040567759	6.8974388377	0.4256712959	9.1434506327	0.5297280718	1e-06	0.19999979999999998	0.7999991999999999
WIYMOG	0.0	0.0	2.9275845567000003	0.0782962968	6.498102583400001	0.39645060719999997	9.425687140099999	0.47474690399999997	1e-06	0.24999975	0.74999925
WIYMOG	0.0	0.0	2.0117579443	0.1288756293	7.2385492897	0.5874704083	9.250307234	0.7163460376	1e-05	0.166665	0.8333250000000001
WIYMOG	0.0003132556	0.0012530225999999999	2.3666701855000003	0.24013385539999998	7.1087005979999995	0.1093252524	9.475684039099999	0.3507121304	1e-05	0.199998	0.799992
WIYMOG	0.0003132556	0.0012530225999999999	2.9440647271	0.059045795899999996	6.4331782376	0.30544844320000003	9.377556220299999	0.3657472617	1e-05	0.24999749999999998	0.7499925000000001
WIYMOG	0.0021927895000000003	0.0015346329999999999	1.9034596816	0.2587706997	7.1653805825	0.3276809561	9.0710330536	0.5879862888	0.0001	0.16665	0.8332499999999999
WIYMOG	0.0021927895000000003	0.0046883812	2.3201725618	0.15246770769999998	6.920626104099999	0.3649847081	9.2429914554	0.522140797	0.0001	0.19998	0.79992
WIYMOG	0.0021927895000000003	0.0031945933	2.9552476999	0.1169715443	6.5352022096	0.31073286769999997	9.492642699	0.4308990053	0.0001	0.249975	0.749925
WIYMOG	0.0197351055	0.0169968251	1.961140278	0.0940693449	7.2916223661	0.3494809488	9.272497749600001	0.46054711880000004	0.001	0.1665	0.8325
WIYMOG	0.022241150699999997	0.0155243378	2.3643158754	0.0716615784	7.066963518500001	0.3775650865	9.4535205446	0.4647510027	0.001	0.1998	0.7992
WIYMOG	0.0156627822	0.0097058711	2.8922699057999997	0.23209366010000002	6.381650979	0.4560904669	9.289583667	0.6978899981000001	0.001	0.24975	0.74925
WIYMOG	0.0375906772	0.0112073746	1.877562271	0.0677247888	7.1499224049	0.1344219674	9.0650753531	0.21335413079999999	0.002	0.16633333333333333	0.8316666666666667
WIYMOG	0.0397834667	0.016880962700000002	2.3313555346	0.2441114154	6.8237548579	0.5639502506	9.194893859199999	0.8249426287	0.002	0.1996	0.7984
WIYMOG	0.0454220683	0.0145588067	2.8710811152999995	0.1725084448	6.4486364152	0.410294189	9.3651395988	0.5973614405	0.002	0.2495	0.7484999999999999
WIYMOG	0.057325782699999994	0.0174525849	1.9835062236	0.0483923837	7.311717996900001	0.5319749643	9.352550003200001	0.5978199329	0.003	0.16616666666666666	0.8308333333333333
WIYMOG	0.0570125271	0.014905176200000002	2.2925094186000003	0.13380271289999998	7.0308944375	0.3375251768	9.3804163832	0.48623306590000004	0.003	0.1994	0.7976
WIYMOG	0.052626948	0.0251073958	2.9010985685	0.1364890824	6.5068622174	0.43654993119999996	9.4605877339	0.5981464094	0.003	0.24925	0.74775
WIYMOG	0.0805067003	0.019064893899999998	1.9258256272	0.2203387702	7.0149209873	0.36510108049999995	9.021253314800001	0.6045047446	0.004	0.166	0.8300000000000001
WIYMOG	0.0880248357	0.022710493999999998	2.2901551086	0.1873637394	6.7170934325	0.47205718700000004	9.0952733768	0.6821314204000001	0.004	0.1992	0.7968
WIYMOG	0.07173554230000001	0.013349248700000002	2.9546591224000003	0.19917936170000003	6.5151065788	0.4788365792	9.5415012435	0.6913651895999999	0.004	0.249	0.747
WIYMOG	0.1011815727	0.0177867426	1.9835062236	0.1209093516	7.102517327	0.15664286619999998	9.1872051233	0.2953389604	0.005	0.16583333333333333	0.8291666666666666
WIYMOG	0.1005550614	0.025479837400000004	2.3178182518	0.0814366705	6.9561799125	0.3138851802	9.3745532257	0.4208016881	0.005	0.19899999999999998	0.7959999999999999
WIYMOG	0.1068201743	0.0317239977	2.8863841306999998	0.1969897807	6.3940175211	0.3051423198	9.3872218261	0.5338560982	0.005	0.24875	0.74625
WIYMOG	0.1137117985	0.0414445621	1.9629060106	0.1194101791	7.2421561978	0.2883869773	9.3187740069	0.4492417185	0.006	0.16566666666666666	0.8283333333333333
WIYMOG	0.12686853550000002	0.0146929921	2.2607262328999997	0.1709268016	6.920626104099999	0.3099080828	9.3082208725	0.49552787649999996	0.006	0.1988	0.7952
WIYMOG	0.1224829565	0.0325182896	2.8704925377999997	0.16091326039999998	6.336822263999999	0.4247121593	9.3297977583	0.6181437093	0.006	0.2485	0.7455
WIYMOG	0.1356396935	0.0390553287	1.9370085999000002	0.12570781179999999	7.2184536588	0.273617021	9.2911019522	0.4383801615	0.006999999999999999	0.1655	0.8275
WIYMOG	0.1531820095	0.0281860458	2.3219382943999998	0.1425767527	6.9283551928	0.24015019489999997	9.403475496699999	0.41091299340000004	0.006999999999999999	0.1986	0.7944
WIYMOG	0.14754340789999998	0.035407588999999996	2.8404750846	0.2979481465	6.5934280119	0.3619752326	9.5814465044	0.6953309681000001	0.006999999999999999	0.24825	0.74475
WIYMOG	0.1622664231	0.0424273517	1.9158198094	0.09785267130000001	7.177747124500001	0.5088639638	9.255833357	0.6491439868	0.008	0.16533333333333333	0.8266666666666667
WIYMOG	0.1738568819	0.008635862099999999	2.2730863607	0.13300289140000002	6.7722275993	0.5475638635	9.2191708419	0.6892026170000001	0.008	0.1984	0.7936
WIYMOG	0.1503627087	0.023691737799999998	2.8098690538	0.2706791136	6.2414968356	0.3524193282	9.201728598099999	0.6467901796	0.008	0.248	0.7440000000000001
WIYMOG	0.19139919800000002	0.0235588238	1.9499573052	0.1238308903	7.2545227399000005	0.3333204328	9.3958792431	0.48071014689999997	0.009000000000000001	0.16516666666666666	0.8258333333333333
WIYMOG	0.1744833932	0.0113119558	2.3360641547	0.12275192929999999	7.0092529889	0.5393365814	9.5198005368	0.6734004665000001	0.009000000000000001	0.1982	0.7928
WIYMOG	0.1769894384	0.0252943021	2.8646067626	0.0115337167	6.4548196862000005	0.397055561	9.4964158872	0.4338835798	0.009000000000000001	0.24775	0.74325
WIYMOG	0.19797756649999998	0.033187362000000005	1.961140278	0.06549891990000001	7.1932053021	0.3282411751	9.3523231466	0.426927457	0.01	0.165	0.8250000000000001
WIYMOG	0.1910859423	0.0426303987	2.2866236435	0.2230079736	6.782533051000001	0.4508396625	9.2602426368	0.7164780348	0.01	0.198	0.792
WIYMOG	0.20017035600000002	0.0271214992	2.8281149568	0.2086256153	6.2193401144000005	0.38467091600000003	9.247625427200001	0.6204180305	0.01	0.2475	0.7424999999999999
WIYMOG	0.24402614600000003	0.0331163222	1.8422476201	0.10036929359999999	7.1354947725	0.3912897374	9.221768538600001	0.5247753532	0.012	0.16466666666666666	0.8233333333333333
WIYMOG	0.2549900935	0.0209108407	2.3036923914	0.0608715504	6.9649395465	0.4322961961	9.5236220314	0.5140785872	0.012	0.1976	0.7904
WIYMOG	0.24339963469999998	0.0378300775	2.9016871461	0.1464127235	6.4403920538	0.1861097246	9.5854788346	0.37035252560000004	0.012	0.247	0.741
WIYMOG	0.2847493796	0.0203399183	1.9016939491	0.1107652217	7.1442544064	0.4244670325	9.3306977351	0.5555721725	0.013999999999999999	0.16433333333333333	0.8216666666666667
WIYMOG	0.2919542594	0.0366174275	2.2919208411	0.1773719135	6.879404297200001	0.4274266079	9.4632793977	0.6414159489	0.013999999999999999	0.1972	0.7888
WIYMOG	0.29007472559999997	0.0338200054	2.8098690538	0.3181238325	6.2904477312000004	0.3520273524	9.390391510599999	0.7039711903	0.013999999999999999	0.2465	0.7395
WIYMOG	0.3041712295	0.0655415852	1.8487219728	0.12609303119999998	6.9917337209	0.6555790251	9.1446269232	0.8472136415000001	0.016	0.16399999999999998	0.8200000000000001
WIYMOG	0.3073037859	0.0474827775	2.2925094186000003	0.1714367782	6.763467965299999	0.4121201555	9.3632811698	0.6310397112	0.016	0.1968	0.7872
WIYMOG	0.3226533124	0.0163374155	2.8881498632	0.1732298717	6.4342087828	0.22221574600000002	9.6450119584	0.4117830332	0.016	0.24600000000000002	0.738
WIYMOG	0.355545155	0.1091461062	1.9464258402	0.09711350630000001	7.1282809563	0.7773166625	9.430251951499999	0.983576275	0.018000000000000002	0.16366666666666665	0.8183333333333332
WIYMOG	0.37778630560000004	0.0923631488	2.2430689074	0.1467624848	6.7995370463	0.3737967901	9.4203922593	0.6129224236999999	0.018000000000000002	0.1964	0.7856
WIYMOG	0.332677493	0.0341204282	2.7892688407999997	0.2668119967	6.3265168123	0.37176265399999997	9.4484631461	0.6726950789	0.018000000000000002	0.2455	0.7364999999999999
WIYMOG	0.3972081555	0.0450304306	1.9116997668	0.1294121216	7.1669264001999995	0.37012787020000004	9.4758343225	0.5445704224	0.02	0.16333333333333333	0.8166666666666667
WIYMOG	0.38937676439999996	0.0219368434	2.2683777405	0.1289723626	6.9061984716	0.47321664799999996	9.5639529765	0.624125854	0.02	0.196	0.784
WIYMOG	0.4153769828	0.037138963399999995	2.8875612857	0.12121839289999999	6.4862513139999995	0.383393276	9.7891895825	0.5417506323	0.02	0.245	0.735
WIYMOG	0.6111617598	0.049664605199999996	1.9493687277	0.3208605906	7.099940964	0.4698359307	9.6604714515	0.8403611265	0.03	0.16166666666666665	0.8083333333333332
WIYMOG	0.5954989776	0.049625072699999995	2.2978066163	0.1153611928	6.705242163099999	0.2260302975	9.598547757	0.391016563	0.03	0.19399999999999998	0.7759999999999999
WIYMOG	0.6287040758	0.0808078133	2.7798516006	0.2093417236	6.2492259244	0.2670007107	9.6577816008	0.5571502476	0.03	0.2425	0.7275
WIYMOG	0.8301274543000001	0.1015837386	1.8793280035	0.248226243	6.842304671	0.2847625871	9.5517601288	0.6345725687	0.04	0.16	0.8
WIYMOG	0.8128983940000001	0.0607102044	2.2613148104	0.1379131441	6.5790003795	0.234063104	9.6532135839	0.4326864525	0.04	0.192	0.768
WIYMOG	0.8175972286	0.0794953704	2.7869145307	0.2006350159	6.2219164773	0.18644040420000002	9.8264282366	0.46657079049999994	0.04	0.24	0.72
WIYMOG	1.0108759604000002	0.0646734464	1.8828594686000002	0.0604145504	6.8386977629	0.2457931252	9.7324331919	0.370881122	0.05	0.15833333333333333	0.7916666666666666
WIYMOG	1.0331171111	0.1430669765	2.2642576978999998	0.1792448052	6.5841531052999995	0.3262550421	9.8815279143	0.6485668238000001	0.05	0.19	0.76
WIYMOG	1.0193338628	0.0743254714	2.7704343603	0.17839239760000003	6.1868779414	0.33502387969999997	9.9766461645	0.5877417487	0.05	0.2375	0.7124999999999999
