MOF	ammonia_mass	ammonia_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	ammonia_comp	O2_comp	N2_comp
XUWVUG	0.0	0.0	0.1301323913	0.014438543500000001	0.1944469462	0.0448123367	0.3245793375	0.059250880199999995	1e-06	0.1666665	0.8333325
XUWVUG	0.0	0.0	0.1481960943	0.0217282932	0.16604639640000002	0.0222522364	0.3142424907	0.0439805296	1e-06	0.19999979999999998	0.7999991999999999
XUWVUG	0.0	0.0	0.1909591464	0.0383534642	0.1873468088	0.0458735928	0.37830595520000004	0.084227057	1e-06	0.24999975	0.74999925
XUWVUG	0.00019620310000000003	0.0004805976	0.12589295080000001	0.0253161467	0.1929946454	0.0197474942	0.31908379929999997	0.045544238499999994	1e-05	0.166665	0.8333250000000001
XUWVUG	0.0	0.0	0.15962415130000002	0.0188839404	0.1820217057	0.0283123948	0.34164585700000005	0.047196335199999995	1e-05	0.199998	0.799992
XUWVUG	0.0	0.0	0.19390832239999997	0.046244264699999996	0.18605587469999998	0.0453047058	0.3799641971	0.09154897050000001	1e-05	0.24999749999999998	0.7499925000000001
XUWVUG	0.0	0.0	0.13271292029999998	0.01474588	0.1955765136	0.017899349199999998	0.3282894339	0.0326452292	0.0001	0.16665	0.8332499999999999
XUWVUG	0.0	0.0	0.1544630933	0.0312503087	0.1823444392	0.0694439749	0.3368075325	0.10069428359999999	0.0001	0.19998	0.79992
XUWVUG	0.00029430470000000003	0.0004805976	0.1963045279	0.028316313399999998	0.1839581068	0.0356032271	0.38055693939999996	0.06440013809999999	0.0001	0.249975	0.749925
XUWVUG	0.0018639298000000001	0.0016878032000000002	0.1352934493	0.027768688599999997	0.2062267198	0.0353772471	0.3433840989	0.0648337389	0.001	0.1665	0.8325
XUWVUG	0.0015696251	0.00190226	0.1658911504	0.016195313500000003	0.1707260325	0.0102870519	0.33818680799999995	0.028384625400000002	0.001	0.1998	0.7992
XUWVUG	0.0020601329	0.0009611950999999999	0.20441476190000002	0.0336540591	0.1815376054	0.0241942539	0.38801250020000005	0.0588095081	0.001	0.24975	0.74925
XUWVUG	0.0035316564000000003	0.0015696251	0.12460268630000002	0.0244643882	0.1875081755	0.0425053647	0.3156425182	0.068539378	0.002	0.16633333333333333	0.8316666666666667
XUWVUG	0.0044145705	0.0046013714	0.15593768130000002	0.038863857200000004	0.1928332786	0.0262785162	0.3531855304	0.06974374480000001	0.002	0.1996	0.7984
XUWVUG	0.0048069767999999995	0.0022712154999999998	0.2009126154	0.044726468600000006	0.17233970010000002	0.0401229291	0.37805929229999996	0.0871206132	0.002	0.2495	0.7484999999999999
XUWVUG	0.005886094000000001	0.0051163518	0.1266302448	0.020478996200000002	0.19896521550000001	0.024120957400000004	0.3314815543	0.0497163054	0.003	0.16616666666666666	0.8308333333333333
XUWVUG	0.0062785003	0.004821969000000001	0.1535414758	0.0296434369	0.1681441643	0.0328586471	0.3279641404	0.067324053	0.003	0.1994	0.7976
XUWVUG	0.0059841956000000005	0.0014417927	0.2010969389	0.0318490528	0.1737920009	0.025790427	0.3808731354	0.0590812725	0.003	0.24925	0.74775
XUWVUG	0.008240531700000001	0.0038945209999999997	0.1316069793	0.0254980102	0.2034834848	0.029160540800000002	0.3433309958	0.058553072000000005	0.004	0.166	0.8300000000000001
