MOF	argon_mass	argon_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	argon_comp	O2_comp	N2_comp
ALUKIC	0.0	0.0	2.6766291786000003	0.16584530890000002	11.658232166400001	0.8130607858	14.334861345	0.9789060947	1e-06	0.1666665	0.8333325
ALUKIC	0.0	0.0	3.2379470745	0.142623125	11.1176026293	0.8241642112	14.355549703800001	0.9667873362	1e-06	0.19999979999999998	0.7999991999999999
ALUKIC	0.0	0.0	3.8951222137	0.3178156053	10.0807235918	0.5912088529	13.975845805499999	0.9090244581999999	1e-06	0.24999975	0.74999925
ALUKIC	0.0011506757000000001	0.0046027028000000005	2.6508214592	0.3290574579	12.5805300184	1.3401252857	15.232502153299999	1.6737854464	1e-05	0.166665	0.8333250000000001
ALUKIC	0.0	0.0	3.239790483	0.1364620436	10.7399688631	0.8174119301	13.9797593461	0.9538739737	1e-05	0.199998	0.799992
ALUKIC	0.0	0.0	4.0250825148	0.11711086009999999	10.7827350802	0.7968510644	14.807817595	0.9139619245	1e-05	0.24999749999999998	0.7499925000000001
ALUKIC	0.0023013514000000002	0.005637136700000001	2.5586510330000003	0.2322548435	11.4799051101	0.27786766690000003	14.0408574945	0.5157596471	0.0001	0.16665	0.8332499999999999
ALUKIC	0.0	0.0	3.1420898312	0.1086516932	10.937661753499999	0.9992788151	14.0797515847	1.1079305083	0.0001	0.19998	0.79992
ALUKIC	0.0011506757000000001	0.0046027028000000005	3.9200082288	0.1416668747	10.368790375	0.290397842	14.2899492795	0.43666741950000004	0.0001	0.249975	0.749925
ALUKIC	0.0195614871	0.0172217371	2.6840028127	0.15517514710000002	11.9091811007	1.2041018752	14.6127454005	1.3764987594	0.001	0.1665	0.8325
ALUKIC	0.0103560814	0.013419069399999999	3.1420898312	0.1637835019	11.1410030123	1.2396991340999999	14.2934489249	1.4169017054	0.001	0.1998	0.7992
ALUKIC	0.00805473	0.0117346358	4.0278476275	0.4284090931	10.5987596557	0.9059695856000001	14.6346620132	1.3461133145	0.001	0.24975	0.74925
ALUKIC	0.023013514199999998	0.0072775122	2.6425261209	0.2567306258	11.6913154664	0.48216217159999997	14.3568551015	0.7461703096	0.002	0.16633333333333333	0.8316666666666667
ALUKIC	0.0402736498	0.0126050208	3.2139827637000002	0.2775294237	11.2459012806	1.7432134463999998	14.5001576941	2.0333478909	0.002	0.1996	0.7984
ALUKIC	0.0287668927	0.0145550244	4.0407514872000005	0.4383825468	10.349424540800001	1.169116173	14.4189429207	1.6220537441999998	0.002	0.2495	0.7484999999999999
ALUKIC	0.0586844612	0.015265438300000002	2.7310097301	0.4175065968	11.320136978299999	0.4954031636	14.1098311696	0.9281751987000001	0.003	0.16616666666666666	0.8308333333333333
ALUKIC	0.0437256769	0.038919384	3.2093742424	0.1192672494	11.5307404248	0.7410401947	14.783840344100001	0.8992268281	0.003	0.1994	0.7976
ALUKIC	0.071341894	0.02874387	4.0213956977	0.2264167975	10.6923611875	1.2331249711	14.7850987792	1.4882856386	0.003	0.24925	0.74775
ALUKIC	0.060985812599999994	0.026838138799999998	2.6904547425	0.147403538	11.4944294857	1.6023854421000001	14.2458700408	1.7766271188999998	0.004	0.166	0.8300000000000001
ALUKIC	0.0598351369	0.0428076109	3.1402464226999998	0.2021539312	11.496850215	0.7689574798000001	14.696931774600001	1.0139190219	0.004	0.1992	0.7968
ALUKIC	0.071341894	0.0463709462	3.93106868	0.1749782171	10.4357638848	0.7925743497	14.4381744588	1.013923513	0.004	0.249	0.747
