MOF	argon_mass	argon_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	argon_comp	O2_comp	N2_comp
AMIMAL	0.0	0.0	4.1708466278	0.3298070488	16.1245498641	0.8376567951999999	20.2953964919	1.167463844	1e-06	0.1666665	0.8333325
AMIMAL	0.0	0.0	4.9808516379	0.24784554809999998	15.4454699199	1.0918952041	20.4263215578	1.3397407522	1e-06	0.19999979999999998	0.7999991999999999
AMIMAL	0.0	0.0	6.161900425900001	0.3393998364	14.166796808299999	0.6756955071999999	20.3286972342	1.0150953436	1e-06	0.24999975	0.74999925
AMIMAL	0.0008925224	0.0035700897999999997	4.1293812345	0.18184296760000002	16.2040366409	0.9012760840999999	20.3343103978	1.0866891415	1e-05	0.166665	0.8333250000000001
AMIMAL	0.0	0.0	4.923657992	0.21172273519999998	15.489281529200001	0.45059196840000004	20.4129395212	0.6623147036	1e-05	0.199998	0.799992
AMIMAL	0.0008925224	0.0035700897999999997	6.4993429368	0.3806279031	14.333906803800001	1.2868229475	20.834142263	1.6710209403999998	1e-05	0.24999749999999998	0.7499925000000001
AMIMAL	0.0008925224	0.0035700897999999997	4.2287551943	0.3765942096	15.8585508076	0.8417340886	20.0881985243	1.221898388	0.0001	0.16665	0.8332499999999999
AMIMAL	0.0008925224	0.0035700897999999997	5.1459982905	0.38842234159999994	15.1982472674	1.0073411926	20.3451380803	1.399333624	0.0001	0.19998	0.79992
AMIMAL	0.0008925224	0.0035700897999999997	6.323472475599999	0.3120527985	14.584258857	1.1824901612999998	20.908623855	1.4981130496000001	0.0001	0.249975	0.749925
AMIMAL	0.0285607181	0.0165538252	4.1901494833	0.25861553870000004	16.0431854468	1.1875741962000002	20.2618956482	1.4627435600999998	0.001	0.1665	0.8325
AMIMAL	0.0232055835	0.031123321000000002	5.000869413999999	0.35711696020000006	14.9115941665	0.9493922901999999	19.935669164	1.3376325714	0.001	0.1998	0.7992
AMIMAL	0.017850448799999998	0.0112896151	6.0160566288999995	0.3086602825	14.253168266700001	1.5501351548	20.2870753444	1.8700850524000001	0.001	0.24975	0.74925
AMIMAL	0.059799003499999996	0.0183781619	4.1351005991	0.46704399189999996	16.100766419	0.7652853190000001	20.295666021600002	1.2507074728	0.002	0.16633333333333333	0.8316666666666667
AMIMAL	0.05265882400000001	0.0420149666	4.8707538696	0.4973422447	15.337192656900001	2.1023499061	20.2606053505	2.6417071174	0.002	0.1996	0.7984
AMIMAL	0.05265882400000001	0.011840648200000001	6.148316935	0.35096702679999997	14.2081048971	0.7088147079000001	20.4090806561	1.0716223829	0.002	0.2495	0.7484999999999999
AMIMAL	0.0758644075	0.0218622456	4.158692978	0.3369878058	15.991863275899998	1.2653705176999999	20.226420661400002	1.6242205691	0.003	0.16616666666666666	0.8308333333333333
AMIMAL	0.0856821543	0.0380344435	4.9737024322000005	0.38689292700000005	15.3722419443	1.2299422087	20.4316265308	1.6548695791999999	0.003	0.1994	0.7976
AMIMAL	0.0758644075	0.0407052861	6.1783435991	0.4613005267	14.2869657938	1.3252506002	20.5411738004	1.8272564130000002	0.003	0.24925	0.74775
AMIMAL	0.1106727827	0.038863177900000004	4.1250917111000005	0.4244003615	16.2710058152	1.2386899952	20.506770309	1.7019535346	0.004	0.166	0.8300000000000001
AMIMAL	0.0990699909	0.0396746053	4.9679830676	0.34320357659999995	15.1763414627	0.8014648651	20.2433945212	1.184343047	0.004	0.1992	0.7968
AMIMAL	0.11513539490000001	0.0306071439	6.208370263200001	0.2987786428	14.6155528636	1.4842340584	20.9390585217	1.8136198450999998	0.004	0.249	0.747
AMIMAL	0.1347708886	0.0416340433	4.1694167866	0.3001168107	15.8435296844	0.9618081468	20.1477173596	1.3035590008	0.005	0.16583333333333333	0.8291666666666666
AMIMAL	0.1303082764	0.0442316689	4.8257138734	0.30650004940000003	15.055546597100001	1.2173843215	20.0115687469	1.5681160397999998	0.005	0.19899999999999998	0.7959999999999999
AMIMAL	0.1320933213	0.048754931900000006	6.2605594651	0.4947456991	14.285088153499998	1.0571439682	20.6777409399	1.6006445991999998	0.005	0.24875	0.74625
AMIMAL	0.1428035906	0.0225792302	4.2144567828	0.457817184	15.7640429075	0.7446090444	20.121303280899998	1.2250054586	0.006	0.16566666666666666	0.8283333333333333
AMIMAL	0.16779421890000001	0.0368429112	5.0423348073000005	0.31138381800000003	15.177593222999999	1.0375650488	20.3877222492	1.3857917780000002	0.006	0.1988	0.7952
AMIMAL	0.166009174	0.0300821111	6.2576997828	0.5251353194	14.3714596118	0.8959193731	20.795168568599998	1.4511368036	0.006	0.2485	0.7455
AMIMAL	0.1793970106	0.0616809854	4.1415348843	0.3658158529	15.781567551199998	0.9490704020999999	20.102499446099998	1.3765672404	0.006999999999999999	0.1655	0.8275
AMIMAL	0.1847521453	0.046066610099999995	4.9129341834	0.2735671391	15.0686900798	0.510702848	20.1663764085	0.8303365972	0.006999999999999999	0.1986	0.7944
AMIMAL	0.18742971260000002	0.0374434173	6.3585035837	0.5141148888	14.2537941468	0.5913610145	20.7997274431	1.1429193206000001	0.006999999999999999	0.24825	0.74475
AMIMAL	0.1999250268	0.0431375587	4.1043590144	0.2113748246	15.4942885702	1.0932633667	19.7985726114	1.34777575	0.008	0.16533333333333333	0.8266666666666667
AMIMAL	0.23562592440000002	0.0793090439	4.8964910102	0.2186955941	14.887184841300002	1.4768935815000002	20.0193017759	1.7748982194999998	0.008	0.1984	0.7936
AMIMAL	0.2079577287	0.062246642000000005	6.153321378999999	0.2086588503	13.9521199227	0.661926757	20.3133990304	0.9328322493000001	0.008	0.248	0.7440000000000001
AMIMAL	0.2329483571	0.0354321292	4.1729913895	0.1828073016	15.851040245999998	1.1219319937	20.2569799926	1.3401714245	0.009000000000000001	0.16516666666666666	0.8258333333333333
AMIMAL	0.23027078980000001	0.0332037542	4.8006916532999995	0.6074216961	14.9385070122	0.4464872878	19.9694694553	1.0871127381	0.009000000000000001	0.1982	0.7928
AMIMAL	0.23562592440000002	0.0675964231	6.390675009600001	0.1591176158	14.1248628394	1.3322199352	20.7511637734	1.5589339741	0.009000000000000001	0.24775	0.74325
AMIMAL	0.2856071811	0.0410948193	4.3066815368	0.3650269915	16.1539662303	0.706463153	20.7462549482	1.1125849638	0.01	0.165	0.8250000000000001
AMIMAL	0.2766819567	0.030398219	4.9636935442	0.6330596451	15.0749488812	0.4235206505	20.315324382100002	1.0869785146	0.01	0.198	0.792
AMIMAL	0.2766819567	0.08871511439999999	6.0989874154	0.4118190734	14.345798526300001	0.6234771472999999	20.7214678984	1.1240113351	0.01	0.2475	0.7424999999999999
AMIMAL	0.3159529441	0.0689960835	4.0421609245	0.2584573834	15.479893327200001	0.8761123665	19.8380071958	1.2035658334000001	0.012	0.16466666666666666	0.8233333333333333
AMIMAL	0.3248781685	0.0710438893	4.9172237069	0.1109025941	15.1994990276	0.9721834604999999	20.441600903	1.1541299439	0.012	0.1976	0.7904
AMIMAL	0.3213080787	0.0922369154	6.196931534	0.3324372981	13.906430673	0.4396405882	20.4246702857	0.8643148017	0.012	0.247	0.741
AMIMAL	0.3730743803	0.0568978681	4.0521698125	0.22218277620000002	15.9718351116	0.7244156313	20.397079304400002	1.0034962756	0.013999999999999999	0.16433333333333333	0.8216666666666667
AMIMAL	0.3819996047	0.0791481735	4.9107894217000005	0.45493671729999996	15.1412921753	0.47630423920000003	20.4340812017	1.01038913	0.013999999999999999	0.1972	0.7888
AMIMAL	0.3864622169	0.0737290526	6.1132858269	0.375898684	13.748082999400001	0.8141389491	20.247831043199998	1.2637666856999998	0.013999999999999999	0.2465	0.7395
AMIMAL	0.40788275549999997	0.0609534673	3.9806777551	0.3278859893	15.7396335823	0.7969752259999999	20.1281940929	1.1858146826	0.016	0.16399999999999998	0.8200000000000001
AMIMAL	0.3846771721	0.061162212699999996	4.8728986313	0.4014111907	14.7181972054	1.7278980597	19.9757730088	2.1904714631	0.016	0.1968	0.7872
AMIMAL	0.4194855473	0.09612760880000001	5.923116954299999	0.3211577275	13.9852915698	0.6785302740000001	20.3278940714	1.0958156103	0.016	0.24600000000000002	0.738
AMIMAL	0.45697148979999996	0.021568779399999998	4.0943501264	0.2781619892	16.0381784057	1.3040494565	20.5895000219	1.6037802251	0.018000000000000002	0.16366666666666665	0.8183333333333332
AMIMAL	0.5015976118	0.0446618087	4.9243729126	0.2886579797	14.8671566771	0.5398759455	20.293127201500003	0.8731957339	0.018000000000000002	0.1964	0.7856
AMIMAL	0.4623266244	0.053729554400000004	6.0646712279	0.5499890990999999	14.1480204043	1.2675393925	20.6750182566	1.871258046	0.018000000000000002	0.2455	0.7364999999999999
