MOF	argon_mass	argon_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	argon_comp	O2_comp	N2_comp
FIDRIV	0.0	0.0	1.9030741616999998	0.1745768756	21.885915539899997	2.4364391588	23.7889897016	2.6110160344	1e-06	0.1666665	0.8333325
FIDRIV	0.0	0.0	2.2279454045	0.2275043566	20.1734218849	2.386468062	22.4013672894	2.6139724186	1e-06	0.19999979999999998	0.7999991999999999
FIDRIV	0.0	0.0	2.9109542257	0.17324025769999998	18.3570294268	3.2922084081	21.2679836525	3.4654486658	1e-06	0.24999975	0.74999925
FIDRIV	0.0003741479	0.0014965917	1.9282486861	0.07153654570000001	18.8127673583	6.4316304116	20.7413901923	6.504663549	1e-05	0.166665	0.8333250000000001
FIDRIV	0.0	0.0	2.3019704939	0.0956102991	21.7434482418	2.91807553	24.0454187357	3.0136858291000004	1e-05	0.199998	0.799992
FIDRIV	0.0	0.0	2.8654003245	0.2741686121	19.2955294734	1.7446177668	22.1609297979	2.0187863789	1e-05	0.24999749999999998	0.7499925000000001
FIDRIV	0.0014965917	0.0036658859999999997	1.9396371613999999	0.0655123591	22.7157941106	3.0376688982999998	24.6569278637	3.1068471433999996	0.0001	0.16665	0.8332499999999999
FIDRIV	0.0003741479	0.0014965917	2.3418301574	0.0653146352	17.3752382123	1.5660137621999999	19.7174425176	1.6328249891	0.0001	0.19998	0.79992
FIDRIV	0.0011224438000000002	0.0029931834	2.862703054	0.1934249214	19.120265835999998	3.1943071521	21.984091333800002	3.3907252569	0.0001	0.249975	0.749925
FIDRIV	0.0138434731	0.0114955389	1.8859914488	0.1699425743	22.0960744824	2.5877535144	23.995909404299997	2.7691916275999997	0.001	0.1665	0.8325
FIDRIV	0.014217621000000001	0.0083996	2.2630099205	0.08674447	19.1320725181	3.1636394885000003	21.4093000596	3.2587835585000002	0.001	0.1998	0.7992
FIDRIV	0.0134693252	0.0114467253	2.8357303493	0.23356048059999998	16.5611018845	3.8464944156	19.410301559	4.0915016215	0.001	0.24975	0.74925
FIDRIV	0.028061094100000003	0.0203558477	1.9141629403	0.1036205467	20.1495461498	4.084333469700001	22.0917701842	4.2083098641	0.002	0.16633333333333333	0.8316666666666667
FIDRIV	0.0213264315	0.006523491899999999	2.2066669375	0.1625516985	19.1556858824	2.4341029278999997	21.3836792514	2.6031781183000002	0.002	0.1996	0.7984
FIDRIV	0.026190354500000002	0.0143937579	2.9031621110000003	0.21320720280000002	17.3227640693	4.7752889745	20.2521165348	5.0028899352	0.002	0.2495	0.7484999999999999
FIDRIV	0.044897750599999994	0.016564234599999998	1.8593184409	0.107212705	23.6107406186	3.5306664687000002	25.514956810100003	3.6544434082999997	0.003	0.16616666666666666	0.8308333333333333
