MOF	argon_mass	argon_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	argon_comp	O2_comp	N2_comp
GAGZEV	0.0	0.0	2.9516420498000002	0.3098661741	10.8571065424	0.5267196242000001	13.8087485922	0.8365857983	1e-06	0.1666665	0.8333325
GAGZEV	0.0	0.0	3.5361168427	0.3088490829	10.5364325095	0.44698195840000005	14.072549352200001	0.7558310413	1e-06	0.19999979999999998	0.7999991999999999
GAGZEV	0.0	0.0	4.2607236801	0.4614123354	10.0721151447	0.5837255074000001	14.3328388248	1.0451378428	1e-06	0.24999975	0.74999925
GAGZEV	0.0	0.0	2.9516420498000002	0.3098661741	10.8571065424	0.5267196242000001	13.8087485922	0.8365857983	1e-05	0.166665	0.8333250000000001
GAGZEV	0.0	0.0	3.4970927291000002	0.15234240970000001	10.590784040499999	0.4962241263	14.087876769600001	0.648566536	1e-05	0.199998	0.799992
GAGZEV	0.0	0.0	4.3068430871	0.1268500751	9.8842141375	0.5767307475	14.1910572246	0.7035808226000001	1e-05	0.24999749999999998	0.7499925000000001
GAGZEV	0.0022144798	0.0054243455	2.9090702895	0.2725576401	10.8376952813	0.7582800873000001	13.7489800506	1.0362620729	0.0001	0.16665	0.8332499999999999
GAGZEV	0.0011072399	0.0044289595	3.3693774481	0.2396565979	10.360178259	0.3172861917	13.730662947	0.5613717491	0.0001	0.19998	0.79992
GAGZEV	0.0	0.0	4.3680399926	0.3006094193	9.812780696699999	0.45094594670000004	14.1808206893	0.751555366	0.0001	0.249975	0.749925
GAGZEV	0.0166085982	0.0198069091	2.8523079424	0.2647932693	11.257754970899999	0.43340681979999995	14.126671511500001	0.7180069981999999	0.001	0.1665	0.8325
GAGZEV	0.0177158381	0.0162730364	3.4784675838999997	0.3152019703	10.3951185289	0.7253327251999999	13.891301950899999	1.0568077319	0.001	0.1998	0.7992
GAGZEV	0.0166085982	0.0121292052	4.3964211661000006	0.38613164200000005	9.9999052535	0.49591787060000003	14.412935017799999	0.8941787178	0.001	0.24975	0.74925
GAGZEV	0.0431823554	0.0331432983	2.8957666144	0.1833141516	11.147499007999999	1.1471366189	14.086447977799999	1.3635940688	0.002	0.16633333333333333	0.8316666666666667
GAGZEV	0.0354316762	0.0293783939	3.5689325746	0.1992217635	10.6839580936	0.466516859	14.288322344400001	0.6951170164	0.002	0.1996	0.7984
GAGZEV	0.0310027167	0.0112916755	4.3582839642	0.3693388167	9.7475588595	0.4986093668	14.1368455404	0.879239859	0.002	0.2495	0.7484999999999999
GAGZEV	0.065327153	0.027480971200000003	2.7902241252	0.1086819698	10.9456218929	0.4836133286	13.801173171099999	0.6197762696	0.003	0.16616666666666666	0.8308333333333333
GAGZEV	0.065327153	0.0373190763	3.4350089119	0.3681100164	10.3858011236	0.691248498	13.8861371885	1.0966775907	0.003	0.1994	0.7976
GAGZEV	0.0531475143	0.028531575899999998	4.3449802891000004	0.3253116577	10.0092226588	0.6336025917	14.4073504622	0.9874458253	0.003	0.24925	0.74775
GAGZEV	0.08857919060000001	0.028873283599999997	2.8283613272	0.2498762479	10.953386397300001	0.4300329964	13.8703269151	0.7087825279000001	0.004	0.166	0.8300000000000001
GAGZEV	0.07972127150000001	0.019305387	3.3791334765	0.28717318	10.336108295199999	0.4324375897	13.7949630432	0.7389161567	0.004	0.1992	0.7968
GAGZEV	0.07972127150000001	0.054062340800000004	4.2624975034	0.4249186331	9.6613728604	0.5735777692	14.0035916353	1.0525587431	0.004	0.249	0.747
GAGZEV	0.08968643039999999	0.0392406814	2.9551896964999997	0.1502628362	11.1381816027	0.5657761607999999	14.1830577296	0.7552796784	0.005	0.16583333333333333	0.8291666666666666
GAGZEV	0.1018660691	0.05268414440000001	3.4350089119	0.20167053140000002	10.501492239600001	0.7147900048	14.0383672206	0.9691446806	0.005	0.19899999999999998	0.7959999999999999
GAGZEV	0.10629502869999999	0.0620054334	4.2758011785	0.18892675960000002	9.809674895	0.3022936073	14.1917711022	0.5532258003	0.005	0.24875	0.74625
GAGZEV	0.1251181067	0.0472883475	2.8079623587	0.2466443799	10.6451355715	0.5926306008	13.5782160369	0.8865633282	0.006	0.16566666666666666	0.8283333333333333
GAGZEV	0.1240108668	0.037450251000000004	3.3738120063999997	0.28294567530000003	10.3221321873	0.9195796012999999	13.8199550605	1.2399755276	0.006	0.1988	0.7952
GAGZEV	0.1384049853	0.0649412946	4.274027355199999	0.20727184640000001	9.6497261037	0.41225350920000003	14.062158444200001	0.6844666502	0.006	0.2485	0.7455
