MOF	argon_mass	argon_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	argon_comp	O2_comp	N2_comp
HIFTOG	0.0	0.0	3.1782095958	0.14929807650000002	9.6972459873	0.4348948053	12.875455583099999	0.5841928818	1e-06	0.1666665	0.8333325
HIFTOG	0.0	0.0	4.0544980521	0.4471169021	9.4280754286	0.7392711761	13.4825734807	1.1863880782	1e-06	0.19999979999999998	0.7999991999999999
HIFTOG	0.0	0.0	4.9444227127	0.3422931106	8.687074746	0.6909252176	13.631497458699998	1.0332183282	1e-06	0.24999975	0.74999925
HIFTOG	0.000405327	0.0016213081	3.2798317843	0.2139937607	9.6091331328	0.6089945952	12.8893702441	0.824609664	1e-05	0.166665	0.8333250000000001
HIFTOG	0.0	0.0	3.9639146956	0.2075806659	9.3470684495	0.634464507	13.3109831451	0.8420451729	1e-05	0.199998	0.799992
HIFTOG	0.0	0.0	4.9463707419	0.35987316350000004	8.8078746271	0.3854989711	13.754245369000001	0.7453721346	1e-05	0.24999749999999998	0.7499925000000001
HIFTOG	0.0020266351	0.0036253551000000003	3.2769097406	0.1322907999	9.6486417998	0.7439780783	12.927578175499999	0.8798942332999999	0.0001	0.16665	0.8332499999999999
HIFTOG	0.0020266351	0.0025635132	3.9291748419999997	0.2878765614	9.2819786312	0.5194752406	13.2131801083	0.8099153151999999	0.0001	0.19998	0.79992
HIFTOG	0.000405327	0.0016213081	4.8268916192	0.13973102199999998	8.903377592	0.1948484408	13.730674538199999	0.33620077090000006	0.0001	0.249975	0.749925
HIFTOG	0.0162130808	0.0067824183	3.1866510556	0.32497657679999997	9.6119754829	0.523636502	12.8148396193	0.8553954971	0.001	0.1665	0.8325
HIFTOG	0.0194556969	0.0104445467	3.9061231635	0.1812981632	9.3868613515	0.5059542937	13.3124402119	0.6976970036	0.001	0.1998	0.7992
HIFTOG	0.0186450429	0.0124006223	4.942799355	0.3842684715	8.7427848088	0.7086530142	13.7042292067	1.105322108	0.001	0.24975	0.74925
HIFTOG	0.0425593371	0.0203472549	3.2259363105000003	0.1384395744	9.9937031073	0.37286607450000003	13.2621987549	0.5316529038000001	0.002	0.16633333333333333	0.8316666666666667
HIFTOG	0.049855223399999996	0.0119141325	3.8950843314999997	0.169422551	9.3271719985	0.3162195973	13.272111553399998	0.4975562808	0.002	0.1996	0.7984
HIFTOG	0.0348581237	0.0100599521	4.9418253405	0.3321337373	9.0273040582	0.737770294	14.0039875224	1.0799639834	0.002	0.2495	0.7484999999999999
HIFTOG	0.0648523231	0.0193540999	3.3356752873000004	0.10934057900000001	9.895642027300001	0.68701902	13.2961696377	0.8157136989	0.003	0.16616666666666666	0.8308333333333333
HIFTOG	0.06120438	0.0361991296	3.9915117755000002	0.2162458626	9.5380743792	0.9419337387000001	13.5907905347	1.1943787309	0.003	0.1994	0.7976
HIFTOG	0.0689055933	0.0164144932	4.9668250482	0.2596284353	8.7871254711	0.20245036719999998	13.8228561126	0.4784932957	0.003	0.24925	0.74775
HIFTOG	0.0749854986	0.0181267754	3.2655462370999997	0.2584483259	9.3251823534	0.2830250086	12.665714089100002	0.5596001099	0.004	0.166	0.8300000000000001
HIFTOG	0.083092039	0.0391303301	3.9639146956	0.3121537356	9.1819279061	0.7121715745	13.228934640699999	1.0634556402	0.004	0.1992	0.7968
HIFTOG	0.08349736599999999	0.0053772706	4.9733184787999996	0.1705388007	8.7399424587	0.35198074049999994	13.796758303499999	0.5278968118	0.004	0.249	0.747
HIFTOG	0.1005211009	0.0355765387	3.2934679885	0.1194932379	9.620218298300001	0.6549786255	13.014207387699999	0.8100484021	0.005	0.16583333333333333	0.8291666666666666
HIFTOG	0.1061956791	0.015079036799999999	3.9389149879	0.15676760650000002	9.202677062200001	0.1021760635	13.2477877292	0.2740227068	0.005	0.19899999999999998	0.7959999999999999
HIFTOG	0.1098436223	0.0097278485	4.9119555598	0.1782372768	8.7837146509	0.276703042	13.805513833	0.4646681673	0.005	0.24875	0.74625
HIFTOG	0.1378111867	0.036882531600000004	3.3567789367	0.1757477905	9.845332429800001	0.55681516	13.3399225532	0.7694454821	0.006	0.16566666666666666	0.8283333333333333
HIFTOG	0.12200343289999999	0.0185567191	3.8993050613999998	0.1513122595	9.2220050431	0.908241845	13.2433135374	1.0781108236	0.006	0.1988	0.7952
HIFTOG	0.1301099733	0.0252996801	4.8720209618	0.306957314	8.8308976633	0.3311766073	13.833028598399999	0.6634336014	0.006	0.2485	0.7455
HIFTOG	0.15240295939999998	0.0436851526	3.3051561636	0.08391361619999999	9.6841711766	0.3758416714	13.1417302996	0.5034404402	0.006999999999999999	0.1655	0.8275
HIFTOG	0.13943249470000002	0.0229860092	3.923006083	0.1767549494	9.302159317200001	0.5249124318	13.3645978949	0.7246533904000001	0.006999999999999999	0.1986	0.7944
HIFTOG	0.1507816513	0.00979517	4.8859818375	0.17461654629999998	8.746195628999999	0.2293436657	13.782959117799999	0.413755382	0.006999999999999999	0.24825	0.74475
HIFTOG	0.1746959454	0.0339508261	3.2519100327999997	0.22763526420000002	9.2603767701	0.2680804847	12.686982748299998	0.529666575	0.008	0.16533333333333333	0.8266666666666667
HIFTOG	0.1840184669	0.0260672862	4.0064466658999995	0.1736674047	9.515051343	0.8673302806000001	13.7055164758	1.0670649715	0.008	0.1984	0.7936
HIFTOG	0.19577295050000001	0.029741172200000002	4.8921505965	0.2627601806	8.7956525215	0.6004695932	13.883576068499998	0.8929709459999999	0.008	0.248	0.7440000000000001
HIFTOG	0.1925303343	0.029228547	3.3678177686	0.2441875268	9.6878662318	0.8171771989	13.2482143347	1.0905932727	0.009000000000000001	0.16516666666666666	0.8258333333333333
HIFTOG	0.19050369920000002	0.052033634100000004	3.8402148431	0.2514106724	9.250997014600001	0.4727969023	13.2817155569	0.7762412087999999	0.009000000000000001	0.1982	0.7928
HIFTOG	0.17591192649999998	0.046596743899999994	4.8678002318999996	0.2586277235	8.689348626100001	0.26204186949999997	13.733060784500001	0.5672663369	0.009000000000000001	0.24775	0.74325
