MOF	argon_mass	argon_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	argon_comp	O2_comp	N2_comp
KICXAX	0.0	0.0	0.21852162379999998	0.0285120548	0.9700523031999999	0.0476593286	1.188573927	0.0761713834	1e-06	0.1666665	0.8333325
KICXAX	0.0	0.0	0.2639858543	0.0311463472	0.949509415	0.047871002999999995	1.2134952693	0.07901735019999999	1e-06	0.19999979999999998	0.7999991999999999
KICXAX	0.0	0.0	0.3355553525	0.0131554032	0.8781228781999999	0.045888697699999995	1.2136782307	0.0590441009	1e-06	0.24999975	0.74999925
KICXAX	0.0	0.0	0.217641671	0.014768508799999998	0.9677412283	0.1058554145	1.1853828993000002	0.1206239233	1e-05	0.166665	0.8333250000000001
KICXAX	0.0	0.0	0.2590972273	0.0146463132	0.931363197	0.023655314	1.1904604243	0.0383016272	1e-05	0.199998	0.799992
KICXAX	0.0	0.0	0.3340887644	0.0375049137	0.9075676847	0.0609318789	1.2416564491	0.0984367926	1e-05	0.24999749999999998	0.7499925000000001
KICXAX	0.0	0.0	0.2179349886	0.0121710121	0.961150385	0.1250833902	1.1790853736	0.1372544023	0.0001	0.16665	0.8332499999999999
KICXAX	0.0004882455	0.0004882455	0.2576306393	0.0309801665	0.94719834	0.0981199231	1.2053172248000001	0.1295883351	0.0001	0.19998	0.79992
KICXAX	0.0001220614	0.0004882455	0.3340887644	0.0361869361	0.8639996425	0.1305338059	1.1982104682999999	0.1672089875	0.0001	0.249975	0.749925
KICXAX	0.0014647364	0.0012447866	0.2190104865	0.0256604023	0.9486534613	0.12495117859999999	1.1691286842	0.1518563675	0.001	0.1665	0.8325
KICXAX	0.0012206137	0.0007719839	0.2706343869	0.02547045	0.9547307324	0.07554420419999999	1.226585733	0.10178663810000001	0.001	0.1998	0.7992
KICXAX	0.0015867978	0.001655721	0.3335999018	0.0149767616	0.8689641739	0.068942486	1.2041508735	0.0855749686	0.001	0.24975	0.74925
KICXAX	0.0025632888	0.0014234679999999998	0.2213570274	0.027504511699999998	0.9974428209	0.12594403640000001	1.2213631371	0.15487201609999998	0.002	0.16633333333333333	0.8316666666666667
KICXAX	0.0034177184000000003	0.0029497463	0.2666257128	0.0315646342	0.972791355	0.1275330767	1.2428347862	0.1620474572	0.002	0.1996	0.7984
KICXAX	0.0035397796999999996	0.0019529819	0.3336976743	0.0160609066	0.9044862515000001	0.0886820886	1.2417237054999999	0.1066959771	0.002	0.2495	0.7484999999999999
KICXAX	0.0048824548	0.0027834275	0.2286899678	0.012633483300000001	0.9988979421999999	0.0420411824	1.2324703648	0.057458093200000004	0.003	0.16616666666666666	0.8308333333333333
KICXAX	0.0040280252	0.0031453015000000003	0.26515912469999997	0.0092672689	0.9465135771	0.0588373369	1.215700727	0.0712499073	0.003	0.1994	0.7976
KICXAX	0.0041500866	0.0014234679999999998	0.3201072914	0.014910231999999999	0.8602334464	0.0865571915	1.1844908244	0.1028908915	0.003	0.24925	0.74775
KICXAX	0.0068354367	0.0036536946	0.2311342813	0.018431096	1.0036056874	0.1571564519	1.2415754054	0.1792412425	0.004	0.166	0.8300000000000001
KICXAX	0.0063471913	0.0035038204999999997	0.2706343869	0.0287564312	0.9602944312999999	0.0742154783	1.2372760095	0.10647573	0.004	0.1992	0.7968
KICXAX	0.0052486389	0.0012447866	0.3375108033	0.05045517730000001	0.8629724981	0.033233056000000004	1.2057319403	0.0849330199	0.004	0.249	0.747
KICXAX	0.0076898663	0.0018268473	0.2082555073	0.0202273401	0.9610647896	0.0597296228	1.1770101631999998	0.0817838102	0.005	0.16583333333333333	0.8291666666666666
KICXAX	0.0081781118	0.0035038204999999997	0.272100975	0.0196091839	0.9616639572	0.047869166399999996	1.241943044	0.0709821708	0.005	0.19899999999999998	0.7959999999999999
KICXAX	0.0064692526	0.0063000697	0.3257780987	0.0312358396	0.8655403592	0.0833834207	1.1977877104999999	0.12091933	0.005	0.24875	0.74625
KICXAX	0.010985523300000001	0.0086654977	0.20737555440000002	0.0300681953	0.9447160743999999	0.1338144445	1.1630771520999998	0.1725481375	0.006	0.16566666666666666	0.8283333333333333
KICXAX	0.0091546028	0.004011346	0.257044004	0.0186783937	0.9486534613	0.1174380924	1.2148520681000001	0.14012783210000002	0.006	0.1988	0.7952
KICXAX	0.0100090324	0.0028469359000000004	0.34347492820000003	0.0437890008	0.8584359436	0.046579611900000005	1.2119199042	0.09321554859999999	0.006	0.2485	0.7455
KICXAX	0.0120840756	0.0047838092	0.2215525725	0.030790744199999998	1.0478584926	0.0646335151	1.2814951407	0.1002080685	0.006999999999999999	0.1655	0.8275
KICXAX	0.0101310937	0.0044077508000000005	0.2642791719	0.0112434168	0.9418058319	0.0699720013	1.2162160975	0.0856231689	0.006999999999999999	0.1986	0.7944
KICXAX	0.0097649096	0.0026742306	0.3241159655	0.0423841418	0.8594630879999999	0.0773801062	1.1933439631	0.1224384786	0.006999999999999999	0.24825	0.74475
KICXAX	0.0129385052	0.0058994926	0.2142196321	0.0309394088	0.9858874462999999	0.1233602389	1.2130455836	0.1601991403	0.008	0.16533333333333333	0.8266666666666667
KICXAX	0.0152576713	0.0044347098	0.2753274687	0.0344314848	0.9283673591	0.06518164530000001	1.2189524991	0.10404783990000001	0.008	0.1984	0.7936
KICXAX	0.0115958302	0.0073236822	0.3258758712	0.0300249262	0.8763253755	0.0393053332	1.2137970769	0.0766539416	0.008	0.248	0.7440000000000001
KICXAX	0.013182628	0.0063471913	0.2219436627	0.010763864	0.9810941056999999	0.1088328861	1.2162203964	0.1259439414	0.009000000000000001	0.16516666666666666	0.8258333333333333
KICXAX	0.013670873500000002	0.0031453015000000003	0.2590972273	0.0286525256	0.9348726071	0.0591379133	1.2076407079	0.09093574039999999	0.009000000000000001	0.1982	0.7928
KICXAX	0.0142811803	0.0031453015000000003	0.31912956600000003	0.0231405106	0.8594630879999999	0.1301954785	1.1928738343	0.15648129060000002	0.009000000000000001	0.24775	0.74325
KICXAX	0.0140370576	0.0037023047	0.22086816469999998	0.0184932305	0.956271449	0.0645132463	1.1911766713	0.0867087815	0.01	0.165	0.8250000000000001
KICXAX	0.0175768373	0.0021000232	0.2634969916	0.015789583899999998	0.9226324695	0.08822951949999999	1.2037062984	0.1061191266	0.01	0.198	0.792
KICXAX	0.0159900395	0.0040409504	0.3263647339	0.027212400299999998	0.8984945758	0.1187866351	1.2408493492000001	0.1500399858	0.01	0.2475	0.7424999999999999
KICXAX	0.018309205500000002	0.007524368199999999	0.2202815295	0.0204398397	0.9630334831	0.0414529096	1.2016242181	0.0694171175	0.012	0.16466666666666666	0.8233333333333333
KICXAX	0.018187144199999998	0.0055346453	0.2558707336	0.038156852799999995	0.8852272937000001	0.0766307559	1.1592851715	0.120322254	0.012	0.1976	0.7904
KICXAX	0.020140126100000003	0.007642250600000001	0.3223560598	0.0281041206	0.8875383687	0.073642665	1.2300345546	0.1093890362	0.012	0.247	0.741
KICXAX	0.0228254762	0.0046703429999999995	0.2124597264	0.0151291749	0.9657725348	0.1158982773	1.2010577374	0.1356977952	0.013999999999999999	0.16433333333333333	0.8216666666666667
KICXAX	0.020384248799999997	0.0070161402	0.2585105921	0.0173076726	0.9442880975	0.047668551399999995	1.2231829384000001	0.0719923642	0.013999999999999999	0.1972	0.7888
KICXAX	0.022947537599999998	0.013023439099999999	0.3128721236	0.0361626244	0.8691353646	0.0611738063	1.2049550258	0.11035986980000001	0.013999999999999999	0.2465	0.7395
KICXAX	0.0262431946	0.0082786049	0.2133396793	0.017605573899999998	0.9427473809	0.1735897695	1.1823302548	0.19947394829999998	0.016	0.16399999999999998	0.8200000000000001
KICXAX	0.025388765	0.0077429638	0.2645724895	0.022832766299999998	0.9272546193000001	0.0761165682	1.2172158737999998	0.1066922983	0.016	0.1968	0.7872
