MOF	argon_mass	argon_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	argon_comp	O2_comp	N2_comp
LOFVUY	0.0	0.0	2.9241567212	0.27889838780000004	11.367663822	0.5320077408	14.2918205432	0.8109061286	1e-06	0.1666665	0.8333325
LOFVUY	0.0	0.0	3.4367086277	0.19445814	10.8816554423	0.9277502457	14.31836407	1.1222083857	1e-06	0.19999979999999998	0.7999991999999999
LOFVUY	0.0	0.0	4.3367662651	0.2339904146	10.6073734854	0.42889625259999997	14.9441397505	0.6628866672	1e-06	0.24999975	0.74999925
LOFVUY	0.0	0.0	2.8918645769999998	0.1844822602	11.5336765853	0.4317212878	14.4255411623	0.616203548	1e-05	0.166665	0.8333250000000001
LOFVUY	0.0	0.0	3.39411048	0.2687476907	11.261199115	0.822485246	14.655309595	1.0912329367	1e-05	0.199998	0.799992
LOFVUY	0.0	0.0	4.3546300045	0.19744538309999998	10.1983565322	0.5141854465	14.5529865367	0.7116308295999999	1e-05	0.24999749999999998	0.7499925000000001
LOFVUY	0.0008577493	0.0034309972	2.9248437881	0.1449434349	11.7069072949	0.9470955231999999	14.6326088323	1.0954699553	0.0001	0.16665	0.8332499999999999
LOFVUY	0.0	0.0	3.4222802227999995	0.3418639425	11.114434208299999	0.9875127681999999	14.536714431099998	1.3293767106999999	0.0001	0.19998	0.79992
LOFVUY	0.0017154986	0.0042020963	4.1388909982	0.5143447234	10.1989580277	0.9303905008	14.3395645245	1.4489373205	0.0001	0.249975	0.749925
LOFVUY	0.0162972368	0.0198583321	2.8533888306	0.2963990993	11.292476882	0.3800652143	14.1621629494	0.6963226456999999	0.001	0.1665	0.8325
LOFVUY	0.0180127354	0.014757277	3.3817432758	0.1019640612	11.2557856553	0.8007493679000001	14.655541666500001	0.9174707061	0.001	0.1998	0.7992
LOFVUY	0.014581738200000001	0.008747360899999999	4.3566912051	0.25742187980000003	10.7198531475	0.5489463105	15.0911260908	0.8151155512	0.001	0.24975	0.74925
LOFVUY	0.0471762118	0.012130407	2.9014835135	0.1718821132	11.338190541500001	1.1625213936	14.2868502668	1.3465339137999999	0.002	0.16633333333333333	0.8316666666666667
LOFVUY	0.0471762118	0.0260168246	3.6400804297000002	0.203983671	11.386911678599999	1.2546302623	15.0741683201	1.4846307579	0.002	0.1996	0.7984
LOFVUY	0.05060720900000001	0.014757277	4.3463852017	0.2433962975	10.6939888402	0.9367539126000001	15.090981250899999	1.1949074870999998	0.002	0.2495	0.7484999999999999
LOFVUY	0.0669044458	0.022758660899999998	2.9784350062000002	0.24396196679999999	11.777883766199999	0.406593175	14.823223218199999	0.6733138027	0.003	0.16616666666666666	0.8308333333333333
LOFVUY	0.060042451399999995	0.037974180499999996	3.4305250256	0.19610194050000002	11.0344353042	1.1981875295	14.5250027812	1.4322636505000002	0.003	0.1994	0.7976
LOFVUY	0.0480339611	0.030878975	4.3278343954	0.1952721003	10.6554931269	0.9573496109	15.0313614834	1.1835006862000002	0.003	0.24925	0.74775
LOFVUY	0.08577493050000001	0.012130407	2.9585100661	0.2636905113	11.710516268	0.8528722879999999	14.754801264600001	1.1286932063	0.004	0.166	0.8300000000000001
LOFVUY	0.0720509417	0.0431951513	3.5184695886000004	0.2457510657	11.053683160799999	1.26625079	14.6442036911	1.5551970069999999	0.004	0.1992	0.7968
LOFVUY	0.0780551868	0.0250955812	4.256379437900001	0.3503906462	10.507525229199999	0.6860783508	14.8419598539	1.0615645781999998	0.004	0.249	0.747
LOFVUY	0.0960679222	0.0524841653	2.8636948341000004	0.18217511120000002	11.767056846900001	0.7783324131	14.7268196032	1.0129916896	0.005	0.16583333333333333	0.8291666666666666
LOFVUY	0.10464541529999999	0.0300089696	3.5377074618	0.23734755600000002	11.225109383900001	0.4429000663	14.867462260999998	0.7102565919	0.005	0.19899999999999998	0.7959999999999999
LOFVUY	0.0994989194	0.0331761642	4.4040988212	0.101723033	10.3373019972	0.7899942406	14.8408997378	0.9248934378	0.005	0.24875	0.74625
LOFVUY	0.1286623958	0.0355733363	2.9083541825	0.16663886630000002	11.7448015127	1.6682818447	14.781818091	1.8704940472999998	0.006	0.16566666666666666	0.8283333333333333
LOFVUY	0.12265815070000001	0.037427761000000004	3.4147224869	0.26133842890000003	11.0169919341	1.0485597276	14.5543725717	1.3473259175	0.006	0.1988	0.7952
LOFVUY	0.1097919111	0.0382059681	4.330582663	0.20314884730000002	10.5237656082	0.6868267661	14.9641401823	0.9281815815000001	0.006	0.2485	0.7455
LOFVUY	0.12008490279999999	0.036391221	2.8162872181	0.33486036420000004	11.4103700038	0.8079139502	14.3467421247	1.1791655354000001	0.006999999999999999	0.1655	0.8275
LOFVUY	0.1406708861	0.0691326784	3.3748726068	0.2471760768	10.8413552425	0.2237822025	14.3568987354	0.5400909577	0.006999999999999999	0.1986	0.7944
LOFVUY	0.1286623958	0.0254449564	4.3079094553	0.11463933050000001	10.7132366968	0.6226033605	15.1498085479	0.7626876474	0.006999999999999999	0.24825	0.74475
LOFVUY	0.1586836215	0.0195596936	2.9097283163	0.1553439873	11.7634478738	1.0401010711	14.831859811600001	1.215004752	0.008	0.16533333333333333	0.8266666666666667
LOFVUY	0.1595413708	0.0617102788	3.339832195	0.17181618640000001	10.982105194	0.6364902694	14.4814787598	0.8700167346	0.008	0.1984	0.7936
LOFVUY	0.15696812289999998	0.0358206626	4.269433708999999	0.308137057	10.134598007100001	0.2752563373	14.560999839	0.6192140569	0.008	0.248	0.7440000000000001
LOFVUY	0.1775541062	0.051350464400000004	2.8300285561000003	0.17021519100000002	11.535481071900001	1.1870882481	14.5430637342	1.4086539034999999	0.009000000000000001	0.16516666666666666	0.8258333333333333
LOFVUY	0.1775541062	0.029514554100000003	3.4160966207	0.34128902780000003	11.184207688499999	1.1829103315	14.777858415399999	1.5537139134	0.009000000000000001	0.1982	0.7928
LOFVUY	0.19299359370000002	0.0427155709	4.327147328500001	0.32975203010000004	10.548426924500001	0.38221431590000005	15.0685678467	0.7546819169	0.009000000000000001	0.24775	0.74325
LOFVUY	0.20757533190000002	0.060797425700000005	2.9358368585	0.1971582732	11.1872151661	0.5609783396	14.3306273565	0.8189340384999999	0.01	0.165	0.8250000000000001
LOFVUY	0.19042034579999997	0.0522030484	3.3728114061000003	0.3126388436	11.243755745	0.7613479286	14.8069874969	1.1261898206	0.01	0.198	0.792
