MOF	argon_mass	argon_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	argon_comp	O2_comp	N2_comp
MOF-801	0.0	0.0	2.3183064459000002	0.1651260615	13.0836406508	0.6700743390999999	15.4019470967	0.8352004006	1e-06	0.1666665	0.8333325
MOF-801	0.0	0.0	2.8346375283999996	0.08773018460000001	12.9328756278	1.0297987765	15.7675131562	1.1175289610999999	1e-06	0.19999979999999998	0.7999991999999999
MOF-801	0.0	0.0	3.4663965364999996	0.1515100743	12.200723831300001	0.44275081130000005	15.667120367799999	0.5942608856	1e-06	0.24999975	0.74999925
MOF-801	0.0	0.0	2.3051544703999998	0.1985352521	13.2467323738	0.3819082675	15.5518868442	0.5804435196	1e-05	0.166665	0.8333250000000001
MOF-801	0.00019316720000000002	0.0007726688000000001	2.8250443227999997	0.1806600168	13.1972901156	0.7282916365000001	16.0225276056	0.9097243221	1e-05	0.199998	0.799992
MOF-801	0.00019316720000000002	0.0007726688000000001	3.5717670691000003	0.3382923599	12.124325383	0.2111157439	15.696285619300001	0.5501807726	1e-05	0.24999749999999998	0.7499925000000001
MOF-801	0.0019316721	0.0036650902000000003	2.3941237159999997	0.07226098519999999	13.4818878814	0.5326721014	15.877943269500001	0.6085981768	0.0001	0.16665	0.8332499999999999
MOF-801	0.0007726688000000001	0.0014455311	2.8457780252	0.2386454832	12.9966764596	0.9631777875	15.8432271536	1.2032688018000002	0.0001	0.19998	0.79992
MOF-801	0.0013521705	0.0023180065	3.4320466712999997	0.16552227	11.999839258800002	1.2208509781999999	15.433238100599999	1.3886912546999999	0.0001	0.249975	0.749925
MOF-801	0.0106241967	0.0034554801	2.3302205883	0.09697949410000001	13.507354030899998	0.7084299759999999	15.8481988159	0.8088649501999999	0.001	0.1665	0.8325
MOF-801	0.0098515278	0.0046360131	2.8027633291000003	0.18377078309999997	13.0022302475	0.6631195487	15.8148451044	0.8515263448999999	0.001	0.1998	0.7992
MOF-801	0.0144875409	0.0063481224	3.5248841449	0.1602724855	12.291074478499999	0.7130708148	15.830446164300001	0.8796914227	0.001	0.24975	0.74925
MOF-801	0.0264639081	0.0019699267999999997	2.3642609953	0.151909015	13.3446686826	0.5942885139	15.735393585999999	0.7481674557	0.002	0.16633333333333333	0.8316666666666667
MOF-801	0.0305204196	0.009027338499999999	2.7865167712	0.21955708129999998	12.7779113992	0.9129175615	15.59494859	1.1415019813	0.002	0.1996	0.7984
