MOF	argon_mass	argon_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	argon_comp	O2_comp	N2_comp
NIBJAK	0.0	0.0	2.4258073831	0.20972565059999998	9.4866233315	0.4550000901	11.912430714600001	0.6647257407	1e-06	0.1666665	0.8333325
NIBJAK	0.0	0.0	2.8365007279000003	0.2962177778	9.2585862273	0.3215389246	12.0950869552	0.6177567024	1e-06	0.19999979999999998	0.7999991999999999
NIBJAK	0.0	0.0	3.6179367031	0.39057335390000003	8.5926619233	0.6379565631	12.210598626400001	1.028529917	1e-06	0.24999975	0.74999925
NIBJAK	0.0	0.0	2.3570921542	0.1601221447	9.630720397300001	0.27520159710000003	11.987812551500001	0.4353237418	1e-05	0.166665	0.8333250000000001
NIBJAK	0.0	0.0	2.9451666713	0.22477168100000003	8.9829831015	0.4902813657	11.9281497728	0.7150530467	1e-05	0.199998	0.799992
NIBJAK	0.0	0.0	3.7617592751999998	0.125177772	8.6150459335	0.8388685946	12.376805208699999	0.9640463666	1e-05	0.24999749999999998	0.7499925000000001
NIBJAK	0.0019950137	0.007980055	2.3794645543	0.17429503649999997	9.4404563104	0.1433822098	11.821915878399999	0.3256573013	0.0001	0.16665	0.8332499999999999
NIBJAK	0.0019950137	0.007980055	2.9036179282	0.2067826752	9.2557882261	0.3427294596	12.161401168	0.5574921897999999	0.0001	0.19998	0.79992
NIBJAK	0.0	0.0	3.5044766738999997	0.2911044935	8.5842679195	0.3485056329	12.0887445934	0.6396101264	0.0001	0.249975	0.749925
NIBJAK	0.017955123700000002	0.0264668481	2.3650822971000003	0.288708531	9.4390573098	0.21264809710000002	11.8220947306	0.5278234761999999	0.001	0.1665	0.8325
NIBJAK	0.021945151099999997	0.031920219799999996	2.9339804712	0.1037611659	8.9871801034	0.4444684697	11.943105725699999	0.5801498554	0.001	0.1998	0.7992
NIBJAK	0.015960109899999998	0.015960109899999998	3.5939662744	0.4959967684	8.4135898415	0.41871039740000005	12.0235162258	0.9306672757	0.001	0.24975	0.74925
NIBJAK	0.029925206099999997	0.017843945400000002	2.3219355254	0.20529536739999998	9.4670373225	0.6683417157	11.818898054000002	0.8914810285	0.002	0.16633333333333333	0.8316666666666667
NIBJAK	0.0379052611	0.0510972833	2.8668632708999997	0.24599261120000002	9.1662521852	0.6551506697	12.0710207172	0.9522405642	0.002	0.1996	0.7984
NIBJAK	0.021945151099999997	0.023265658300000002	3.717014475	0.5209082952	8.6821979642	0.4595371062	12.4211575903	1.0037110597	0.002	0.2495	0.7484999999999999
NIBJAK	0.055860384699999995	0.027061683	2.4369935831	0.1385777361	9.5243963487	0.5105566531	12.0172503165	0.6761960722	0.003	0.16616666666666666	0.8308333333333333
