MOF	argon_mass	argon_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	argon_comp	O2_comp	N2_comp
NU-125	0.0	0.0	3.0311657289999996	0.24334339730000001	11.3053484939	0.8107977165000001	14.3365142229	1.0541411137999999	1e-06	0.1666665	0.8333325
NU-125	0.0	0.0	3.6617653269	0.125562156	11.1858726079	0.2455823886	14.8476379348	0.3711445446	1e-06	0.19999979999999998	0.7999991999999999
NU-125	0.0	0.0	4.4999503646	0.2760794448	10.1833737942	0.6429847219	14.683324158800001	0.9190641667	1e-06	0.24999975	0.74999925
NU-125	0.0013055627	0.0031979624	3.0562642205	0.1676171413	11.1460473126	0.9233975556	14.203617095799999	1.0942126593000001	1e-05	0.166665	0.8333250000000001
NU-125	0.0006527813	0.0026111254	3.5503907711	0.10953166539999999	10.8352269041	0.4764596756	14.3862704565	0.5886024664	1e-05	0.199998	0.799992
NU-125	0.0	0.0	4.6291030186	0.1594791406	10.3051384903	0.280658517	14.934241508900001	0.44013765759999995	1e-05	0.24999749999999998	0.7499925000000001
NU-125	0.0026111254	0.0048849682	2.9882891394	0.142009316	11.093404680799999	0.39483824729999994	14.0843049456	0.5417325315	0.0001	0.16665	0.8332499999999999
NU-125	0.001958344	0.0052222507	3.5577111644	0.27445050260000003	10.6892008212	0.7393580712000001	14.2488703296	1.0190308245	0.0001	0.19998	0.79992
NU-125	0.0026111254	0.0076126731999999996	4.625965707200001	0.1855351269	10.2717218632	0.7976279488	14.9002986958	0.9907757489	0.0001	0.249975	0.749925
NU-125	0.025458472200000002	0.013314179099999999	3.0750880891000003	0.19856975710000002	11.2403462877	0.25211011829999996	14.340892849000001	0.46399405450000003	0.001	0.1665	0.8325
NU-125	0.0189306588	0.0095938872	3.7480413913	0.2246484406	10.9666046025	0.8403573084999999	14.7335766526	1.0745996362999999	0.001	0.1998	0.7992
NU-125	0.0195834402	0.0116773076	4.5857035438	0.449669145	10.3188713508	0.519664537	14.9241583348	0.9810109895999999	0.001	0.24975	0.74925
NU-125	0.0378613177	0.024284869599999998	3.0024070408999997	0.1658329525	11.3474625993	0.455976925	14.387730957899999	0.6460947471	0.002	0.16633333333333333	0.8316666666666667
NU-125	0.032639067	0.0143017226	3.7360150308	0.20310575039999998	11.005972135899999	0.8718202268	14.7746262337	1.0892276998000001	0.002	0.1996	0.7984
NU-125	0.0548336325	0.0139395949	4.598775674800001	0.41909178490000004	10.2442561423	0.6832741753	14.897865449600001	1.1163055551	0.002	0.2495	0.7484999999999999
NU-125	0.0574447579	0.010606441299999998	3.0630617286	0.1913959974	11.3232012125	0.2291811028	14.443707699	0.4311835415	0.003	0.16616666666666666	0.8308333333333333
NU-125	0.059403101900000005	0.015112980600000001	3.6235947045	0.3828005657	11.1011866351	0.12074509039999999	14.7841844415	0.5186586367	0.003	0.1994	0.7976
NU-125	0.059403101900000005	0.031005395699999997	4.5888408552	0.1562858407	10.236016426	0.5712268374	14.884260383099999	0.7585180737999999	0.003	0.24925	0.74775
NU-125	0.07376429129999999	0.0281832248	3.0275055323	0.09452515660000001	11.395985373	0.4637380007	14.497255196600001	0.5864463821	0.004	0.166	0.8300000000000001
NU-125	0.09073660619999999	0.0312790585	3.6973215232	0.1291600631	10.6603618142	0.4901739942	14.4484199436	0.6506131158	0.004	0.1992	0.7968
NU-125	0.0705003846	0.0173202462	4.647404002	0.2230361454	10.1742185539	0.5908315731	14.8921229405	0.8311879647	0.004	0.249	0.747
NU-125	0.0985699822	0.0346404924	2.9731254675	0.27389205969999997	11.260487816400001	0.5431720052000001	14.3321832661	0.8517045573	0.005	0.16583333333333333	0.8291666666666666
NU-125	0.11227839029999999	0.0532887122	3.7584990961	0.2181277678	10.9853728452	0.4494430461	14.8561503316	0.7208595261	0.005	0.19899999999999998	0.7959999999999999
NU-125	0.1109728277	0.0668264471	4.585180658500001	0.4436014884	10.3586966461	0.9297388820999999	15.0548501323	1.4401668176	0.005	0.24875	0.74625
NU-125	0.12925070519999998	0.0228380195	2.9997926147000005	0.3430796649	11.191823514100001	0.6888635457	14.320866834	1.0547812301000001	0.006	0.16566666666666666	0.8283333333333333
NU-125	0.1240284545	0.0486749066	3.5660773282	0.3098552806	10.6122968026	0.6975764445	14.3024025853	1.0561066317	0.006	0.1988	0.7952
NU-125	0.1305562678	0.0136928569	4.625965707200001	0.13777207460000002	10.4117970399	0.6327324281000001	15.1683190149	0.7841973595999999	0.006	0.2485	0.7455
NU-125	0.1429591133	0.026241485099999996	2.996132418	0.3220056193	11.1318566901	0.4085802302	14.270948221400001	0.7568273346	0.006999999999999999	0.1655	0.8275
NU-125	0.1534036147	0.0148857048	3.7056876869999997	0.37961036189999997	10.861777101	0.6301213445	14.720868402699999	1.0246174112	0.006999999999999999	0.1986	0.7944
NU-125	0.148181364	0.0302259613	4.492107086	0.3066337427	10.243340618200001	0.3260165519	14.8836290682	0.6628762559	0.006999999999999999	0.24825	0.74475
NU-125	0.1645008975	0.039942537400000006	2.902013075	0.2648711809	11.1606956971	0.6112684583	14.2272096696	0.9160821765999999	0.008	0.16533333333333333	0.8266666666666667
NU-125	0.14557023859999998	0.0370651061	3.6821578512	0.1725552978	10.8787142956	0.6415726942000001	14.706442385399999	0.8511930981	0.008	0.1984	0.7936
NU-125	0.180820431	0.0438093613	4.598775674800001	0.1855763838	10.4571154794	0.259327737	15.2367115852	0.4887134821	0.008	0.248	0.7440000000000001
NU-125	0.19909830850000002	0.0327693632	2.9898577951	0.3643816118	11.1140039715	1.2079693429	14.3029600751	1.6051203179	0.009000000000000001	0.16516666666666666	0.8258333333333333
NU-125	0.1932232764	0.056517444900000005	3.7025503755	0.2993425515	10.960195934300001	0.3277729466	14.855969586199999	0.683632943	0.009000000000000001	0.1982	0.7928
NU-125	0.1899593697	0.0403247714	4.4727603322	0.3481866068	10.066644480299999	0.8294637614	14.7293641822	1.2179751396	0.009000000000000001	0.24775	0.74325
NU-125	0.20562612190000001	0.052709819500000005	3.0588786467	0.2308525005	11.3186235924	1.116366593	14.583128360999998	1.399928913	0.01	0.165	0.8250000000000001
NU-125	0.1873482444	0.0228380195	3.6089539177999996	0.1536464264	10.9194551149	0.4605131378	14.7157572771	0.6369975836999999	0.01	0.198	0.792
NU-125	0.2069316845	0.0305066169	4.5276632823	0.1808124756	10.1925290345	0.4097560738	14.927124001300001	0.6210751663	0.01	0.2475	0.7424999999999999
NU-125	0.2571958477	0.0295991532	3.0468522862	0.2466245198	11.1259057839	0.6573437039	14.429953917799999	0.9335673769	0.012	0.16466666666666666	0.8233333333333333
NU-125	0.2689459118	0.07915629860000001	3.5535280825	0.257319046	10.805472373099999	0.0883373951	14.6279463674	0.4248127397	0.012	0.1976	0.7904
NU-125	0.261765317	0.0898280255	4.5009961351	0.1650396786	9.9627325028	0.6997526909	14.7254939549	0.954620395	0.012	0.247	0.741
NU-125	0.29244604	0.0691578622	2.9746941232	0.1562858407	10.901602396300001	0.4648662857	14.1687425595	0.6903099886	0.013999999999999999	0.16433333333333333	0.8216666666666667
NU-125	0.31398782420000004	0.07605953139999999	3.6110454588	0.31032082559999996	10.6333538553	0.6518273924	14.558387138299999	1.0382077494	0.013999999999999999	0.1972	0.7888
NU-125	0.29505716530000003	0.0484291608	4.4586424307999994	0.2924532245	9.9407599261	0.4097969832	14.6944595222	0.7506793684999999	0.013999999999999999	0.2465	0.7395
NU-125	0.34009907770000003	0.0585905345	3.0703821219	0.1556266701	11.3048907319	0.9287556982999999	14.715371931500002	1.1429729029	0.016	0.16399999999999998	0.8200000000000001
NU-125	0.336835171	0.0489194179	3.5660773282	0.2166789995	10.7363503088	0.3130824477	14.639262808	0.5786808650999999	0.016	0.1968	0.7872
NU-125	0.3133350428	0.06796453849999999	4.4643941684	0.29517045399999997	9.816706419900001	0.3544863649	14.5944356311	0.7176213574	0.016	0.24600000000000002	0.738
NU-125	0.402113305	0.0806284054	3.0280284176	0.2574889945	11.2018942784	0.373545024	14.632036001	0.7116624239	0.018000000000000002	0.16366666666666665	0.8183333333333332
NU-125	0.39623827289999997	0.054082451399999995	3.5885613935	0.2545457759	10.744590025099999	0.6040072221	14.729389691500002	0.9126354494	0.018000000000000002	0.1964	0.7856
NU-125	0.3910160222	0.0789190771	4.4978588237	0.1802126839	10.0725953865	0.2576740717	14.9614702324	0.5168058327	0.018000000000000002	0.2455	0.7364999999999999
NU-125	0.4203911825	0.0390361058	3.0562642205	0.0379947283	10.7871618925	0.3813682357	14.263817295499999	0.45839906979999995	0.02	0.16333333333333333	0.8166666666666667
NU-125	0.42953012119999995	0.0560936338	3.5613713611	0.3673677225	10.6983560615	0.460949757	14.689257543800002	0.8844111133	0.02	0.196	0.784
NU-125	0.38514099009999997	0.055081749699999995	4.4063539069	0.3650862472	9.9242804935	0.7239995062000001	14.7157753905	1.1441675031	0.02	0.245	0.735
NU-125	0.6240589603	0.0743597891	2.9318175336000003	0.2502124702	10.994528085499999	0.2548316366	14.5504045794	0.5794038959000001	0.03	0.16166666666666665	0.8083333333333332
NU-125	0.586850424	0.0619832983	3.4656833624	0.34771829060000004	10.5294418778	0.6274753518999999	14.581975664200002	1.0371769408	0.03	0.19399999999999998	0.7759999999999999
NU-125	0.6469063072	0.12117140970000001	4.413151415	0.2931516815	9.9901982237	0.8477693203	15.050255945899998	1.2620924115	0.03	0.2425	0.7275
NU-125	0.8198933621	0.0877159364	2.9396608122	0.1457565464	10.8301915219	0.774586355	14.5897456962	1.0080588378	0.04	0.16	0.8
NU-125	0.8322962075	0.022232931299999998	3.4259440842	0.1186200631	10.4204945182	0.42084639119999995	14.6787348099	0.5616993856	0.04	0.192	0.768
NU-125	0.8264211754	0.0935460941	4.3347186292	0.2249500671	9.675257957100001	0.6638237409000001	14.8363977617	0.9823199021	0.04	0.24	0.72
NU-125	1.0268250466	0.13330811480000002	2.8973071079	0.1553734812	10.859030528900002	0.7542917981999999	14.783162683399999	1.0429733942000001	0.05	0.15833333333333333	0.7916666666666666
NU-125	1.0170333265	0.1033458215	3.4918276243	0.3186529742	10.4030995616	0.6340782226	14.9119605124	1.0560770183	0.05	0.19	0.76
NU-125	0.9896165103	0.0935460941	4.2766783677	0.1533543159	9.728816112899999	0.35998376950000005	14.995110990899999	0.6068841795000001	0.05	0.2375	0.7124999999999999
