MOF	argon_mass	argon_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	argon_comp	O2_comp	N2_comp
OFEREX	0.0	0.0	3.4249707661	0.2266797165	15.3997021579	0.4962086797	18.824672924	0.7228883962	1e-06	0.1666665	0.8333325
OFEREX	0.0	0.0	4.1211659259	0.1312524783	14.3072307629	1.0188424456	18.4283966888	1.1500949239	1e-06	0.19999979999999998	0.7999991999999999
OFEREX	0.0	0.0	5.0791304658	0.2952652275	13.7508369506	0.8287013777	18.829967416400002	1.1239666052	1e-06	0.24999975	0.74999925
OFEREX	0.0	0.0	3.437347569	0.4225658728	15.039969449600001	1.0342350837	18.477317018599997	1.4568009565	1e-05	0.166665	0.8333250000000001
OFEREX	0.0	0.0	4.038550767	0.074892442	14.4258775447	1.0405224605	18.4644283117	1.1154149025	1e-05	0.199998	0.799992
OFEREX	0.0003862868	0.0015451471	5.1097630528	0.1986023759	13.2326376502	1.2263292444	18.3427869898	1.4264767674	1e-05	0.24999749999999998	0.7499925000000001
OFEREX	0.0015451471	0.0028907055	3.4262084464	0.2056803446	15.0044837683	0.3887540986	18.432237361800002	0.5973251487	0.0001	0.16665	0.8332499999999999
OFEREX	0.0015451471	0.0028907055	4.0564971311	0.1126051018	14.666150822	0.5768845184	18.7241931002	0.6923803257	0.0001	0.19998	0.79992
OFEREX	0.0027040073999999997	0.0030902940999999995	5.0834623468	0.26952886	13.644109023599999	0.7944948069	18.730275377799998	1.067113961	0.0001	0.249975	0.749925
OFEREX	0.022018345699999997	0.0145768883	3.4552939331	0.1822439565	15.050263006	0.8887524287999999	18.5275752848	1.0855732735999999	0.001	0.1665	0.8325
OFEREX	0.018155478	0.0099539137	4.0366942465	0.1769969355	14.472740314700001	1.6119282206999999	18.5275900392	1.7988790699000001	0.001	0.1998	0.7992
OFEREX	0.018155478	0.0093350415	5.1001710306	0.3022804475	13.7053285959	0.8773818375	18.823655104500002	1.1889973265	0.001	0.24975	0.74925
OFEREX	0.044809265	0.0095873854	3.4271367066000002	0.150142403	14.9148214743	0.8622118977	18.3867674459	1.0219416861	0.002	0.16633333333333333	0.8316666666666667
OFEREX	0.042877831100000006	0.0191436177	4.0620666924	0.09221756380000001	14.5472331571	0.627650964	18.652177680599998	0.7390121454999999	0.002	0.1996	0.7984
OFEREX	0.044036691399999994	0.010760704199999999	5.1462746212	0.2549936794	13.4379670123	0.45334075329999995	18.6282783249	0.7190951368999999	0.002	0.2495	0.7484999999999999
OFEREX	0.0714630519	0.0181184554	3.4119751231	0.18979939140000002	15.0822272075	0.5543450976	18.5656653825	0.7622629444	0.003	0.16616666666666666	0.8308333333333333
OFEREX	0.0587155886	0.0121173424	4.1437535911	0.237755451	14.3646579724	1.025499598	18.5671271521	1.2753723914	0.003	0.1994	0.7976
OFEREX	0.0753259195	0.0184449403	4.9436044747	0.2457707088	13.4642426694	0.8395539753	18.4831730636	1.1037696244	0.003	0.24925	0.74775
