MOF	argon_mass	argon_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	argon_comp	O2_comp	N2_comp
SADLEQ	0.0	0.0	3.2346754246	0.1269071189	16.813126655	1.4667852256	20.0478020796	1.5936923445	1e-06	0.1666665	0.8333325
SADLEQ	0.0	0.0	3.9287914239	0.2898976444	15.80044113	0.8558568798	19.7292325539	1.1457545242	1e-06	0.19999979999999998	0.7999991999999999
SADLEQ	0.0	0.0	5.005857070199999	0.2648229642	14.3290295485	0.5953192929	19.3348866187	0.8601422570999999	1e-06	0.24999975	0.74999925
SADLEQ	0.0	0.0	3.2963394882999997	0.12233327349999999	16.404508876199998	0.8748735669	19.7008483645	0.9972068404000001	1e-05	0.166665	0.8333250000000001
SADLEQ	0.0	0.0	3.908236736	0.23081809739999998	15.9247428798	1.1161431533	19.8329796158	1.3469612507	1e-05	0.199998	0.799992
SADLEQ	0.0	0.0	4.775328339700001	0.2638651325	14.886587954000001	1.1857092453	19.6619162937	1.4495743778	1e-05	0.24999749999999998	0.7499925000000001
SADLEQ	0.001973917	0.00353105	3.2691440551	0.2914265501	16.105797098900002	1.8646865284	19.376915071	2.1596441285	0.0001	0.16665	0.8332499999999999
SADLEQ	0.0011843502	0.0031582672	3.8797763989	0.22033848469999998	16.3184112277	0.7820794056999999	20.199371976800002	1.0055761576	0.0001	0.19998	0.79992
SADLEQ	0.001973917	0.0024968294	4.8594444471	0.2224451331	15.0139349582	1.0023132949	19.8753533223	1.2272552574	0.0001	0.249975	0.749925
SADLEQ	0.0193443864	0.013069656	3.2043177317000002	0.079311591	16.5479126766	0.29130968420000003	19.7715747947	0.3836909312	0.001	0.1665	0.8325
SADLEQ	0.018160036299999998	0.009798266199999999	3.8838873365	0.1116344851	16.1678095531	1.1755405877	20.069856925899998	1.296973339	0.001	0.1998	0.7992
SADLEQ	0.0185548197	0.008503894599999999	5.017557431	0.2940568254	15.0471559158	0.7802773282	20.0832681665	1.0828380482	0.001	0.24975	0.74925
SADLEQ	0.044215740499999996	0.031444194	3.2789470600999997	0.0569698437	16.6293040228	0.34796915840000003	19.952466823399998	0.4363831961	0.002	0.16633333333333333	0.8316666666666667
SADLEQ	0.0450053072	0.0190807437	3.8952714713	0.07134663349999999	15.9527038525	1.3880453525	19.892980631	1.4784727297	0.002	0.1996	0.7984
SADLEQ	0.044215740499999996	0.020680018999999997	4.8973915632	0.213452294	14.814055529800001	0.6863150218	19.7556628335	0.9204473348000001	0.002	0.2495	0.7484999999999999
SADLEQ	0.0596122929	0.0160653076	3.2144369626	0.26420296390000003	16.5681220925	1.7506859808000002	19.842171348	2.0309542523	0.003	0.16616666666666666	0.8308333333333333
SADLEQ	0.06119142650000001	0.0111661607	3.8649137783999996	0.10745356519999999	15.804870590999998	2.0305754583	19.730975795899997	2.1491951842	0.003	0.1994	0.7976
SADLEQ	0.05842794269999999	0.016674633799999998	4.963799016499999	0.21776560949999998	15.4867799218	1.5484251168	20.509006880999998	1.7828653601	0.003	0.24925	0.74775
SADLEQ	0.0777723292	0.026728906	3.1932498228	0.1578674018	16.4665213304	0.7261521795999999	19.7375434824	0.9107484873999999	0.004	0.166	0.8300000000000001
SADLEQ	0.08250973	0.0326884467	3.8721869756	0.2246584652	16.0880792548	0.8901343292	20.0427759604	1.1474812411	0.004	0.1992	0.7968
SADLEQ	0.0777723292	0.0299203104	4.8186512973	0.3965458506	14.6091929578	1.2848341068	19.5056165843	1.7113002678	0.004	0.249	0.747
SADLEQ	0.0908001813	0.0310852758	3.1983094383	0.1116129846	16.228160959500002	1.1029302341	19.5172705791	1.2456284945	0.005	0.16583333333333333	0.8291666666666666
