MOF	argon_mass	argon_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	argon_comp	O2_comp	N2_comp
UIO-66	0.0	0.0	2.1677676243	0.1631024553	8.4809471988	0.3306162335	10.648714823099999	0.4937186888	1e-06	0.1666665	0.8333325
UIO-66	0.0	0.0	2.5719794936	0.1808772111	8.0423905438	0.4147791817	10.6143700374	0.5956563928	1e-06	0.19999979999999998	0.7999991999999999
UIO-66	0.0	0.0	3.1828055207	0.2054557091	7.4182701059000005	0.5345856805	10.6010756266	0.7400413896	1e-06	0.24999975	0.74999925
UIO-66	0.0	0.0	2.2035277669999997	0.11039313869999999	8.4176655339	0.34629367899999997	10.6211933009	0.4566868177	1e-05	0.166665	0.8333250000000001
UIO-66	0.0003815704	0.0009346528999999999	2.6095734898	0.09804591630000001	8.0601843312	0.34153966659999996	10.6701393914	0.4405202358	1e-05	0.199998	0.799992
UIO-66	0.0	0.0	3.2058815102	0.2466034827	7.5337290422	0.4341291007	10.7396105524	0.6807325834000001	1e-05	0.24999749999999998	0.7499925000000001
UIO-66	0.0011447113	0.0018693057999999998	2.1346054407	0.0774463917	8.3796697773	0.2910621565	10.5154199293	0.370377854	0.0001	0.16665	0.8332499999999999
UIO-66	0.0020986375	0.0022249189	2.5640327952	0.0790225598	8.1337676626	0.3383605133	10.6998990953	0.41960799200000004	0.0001	0.19998	0.79992
UIO-66	0.0003815704	0.0015262817999999998	3.2654817481	0.1466879001	7.6655100993	0.2767002375	10.9313734178	0.42491441939999997	0.0001	0.249975	0.749925
UIO-66	0.013927321299999998	0.0046105333000000005	2.1156556215	0.04883967980000001	8.4236859882	0.5849787297	10.553268931	0.6384289428000001	0.001	0.1665	0.8325
UIO-66	0.0171706701	0.0071385293999999995	2.5411096269	0.1042172831	8.0331591804	0.4805517451	10.5914394774	0.5919075576	0.001	0.1998	0.7992
UIO-66	0.0150720326	0.007477223199999999	3.2612027566000004	0.16562595060000002	7.6925352501	0.5296037274000001	10.968810039300001	0.7027069012	0.001	0.24975	0.74925
UIO-66	0.0267099313	0.0071385293999999995	2.1381203265	0.09531628730000001	8.5866396203	0.2743785468	10.7514698781	0.3768333635	0.002	0.16633333333333333	0.8316666666666667
UIO-66	0.0316703471	0.0064303395	2.5907764917	0.1005493309	8.128014784	0.215436867	10.7504616228	0.3224165374	0.002	0.1996	0.7984
UIO-66	0.029953280099999997	0.0058617964	3.2381267671	0.17139255109999998	7.5182096487	0.388384151	10.786289695899999	0.5656384985	0.002	0.2495	0.7484999999999999
UIO-66	0.0415911787	0.0041096395	2.1711296890000003	0.1851359625	8.2560497806	0.2371527363	10.4687706483	0.42639833829999996	0.003	0.16616666666666666	0.8308333333333333
UIO-66	0.0408280378	0.010751894199999999	2.532551644	0.10988933279999999	7.890942669099999	0.49255266810000004	10.4643223509	0.6131938951	0.003	0.1994	0.7976
UIO-66	0.045979238799999995	0.0249454871	3.2711361296	0.1700261191	7.5186110123	0.5701665679	10.835726380699999	0.7651381741	0.003	0.24925	0.74775
UIO-66	0.056853996600000005	0.0117978719	2.2021523769	0.1974198129	8.593061438300001	0.5049257215	10.852067811800001	0.7141434063	0.004	0.166	0.8300000000000001
UIO-66	0.054755359100000005	0.0135766175	2.5469168294999998	0.11707893400000001	8.1970493276	0.23284533440000002	10.798721516199999	0.3635008859	0.004	0.1992	0.7968
UIO-66	0.0534198625	0.010992938	3.2003799498000003	0.2994227184	7.6185505551	0.5324522124000001	10.8723503674	0.8428678688	0.004	0.249	0.747
UIO-66	0.07879429730000001	0.0182436967	2.141176749	0.0268095468	8.3377941723	0.6272619383	10.5577652186	0.6723151818	0.005	0.16583333333333333	0.8291666666666666
UIO-66	0.0742154519	0.019433888899999998	2.591082134	0.2427365223	8.1401894806	0.3072200783	10.805487066500001	0.5693904895	0.005	0.19899999999999998	0.7959999999999999
UIO-66	0.07287995530000001	0.0056079174	3.2312498166	0.155869754	7.5524593447	0.1274778728	10.8565891166	0.2889555442	0.005	0.24875	0.74625
UIO-66	0.084517854	0.0057362616000000005	2.1799933141	0.0875866371	8.3086284155	0.3714936381	10.5731395836	0.4648165368	0.006	0.16566666666666666	0.8283333333333333
UIO-66	0.0864257062	0.0299137602	2.5846636468	0.1113586874	7.9530202432	0.2490553919	10.6241095962	0.39032783950000005	0.006	0.1988	0.7952
UIO-66	0.08585335050000001	0.0115105328	3.1571315721	0.1253036291	7.5374751027	0.33436199829999996	10.7804600253	0.4711761602	0.006	0.2485	0.7455
UIO-66	0.1045503024	0.0159895774	2.1274228479	0.095980425	8.361608414099999	0.21075459219999998	10.5935815644	0.3227245946	0.006999999999999999	0.1655	0.8275
UIO-66	0.09405711509999999	0.013468950300000001	2.5881785325999997	0.070618573	8.0506853921	0.1550162186	10.7329210398	0.2391037419	0.006999999999999999	0.1986	0.7944
