MOF	argon_mass	argon_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	argon_comp	O2_comp	N2_comp
VETTIZ	0.0	0.0	5.4895063677	0.36664004060000005	20.563123907	0.6136827957	26.052630274699997	0.9803228363	1e-06	0.1666665	0.8333325
VETTIZ	0.0	0.0	6.5329600916	0.453034208	18.7054429876	0.8937502206	25.2384030792	1.3467844286000001	1e-06	0.19999979999999998	0.7999991999999999
VETTIZ	0.0	0.0	8.0679334754	0.2183004614	17.5588392285	1.0185509335	25.6267727039	1.2368513949	1e-06	0.24999975	0.74999925
VETTIZ	0.0	0.0	5.4059704012	0.5649952974	19.818092649	1.0538869996	25.224063050199998	1.6188822969999999	1e-05	0.166665	0.8333250000000001
VETTIZ	0.0	0.0	6.5948662096	0.7024942076	18.9385509272	1.1530779306999999	25.533417136799997	1.8555721383000001	1e-05	0.199998	0.799992
VETTIZ	0.0	0.0	8.327491656900001	0.844631421	18.2659986084	1.2082992306	26.5934902653	2.0529306516	1e-05	0.24999749999999998	0.7499925000000001
VETTIZ	0.0018622879	0.0045616551	5.6401694501	0.4088384199	19.8154807953	1.4714938774000001	25.4575125333	1.8848939524000001	0.0001	0.16665	0.8332499999999999
VETTIZ	0.0018622879	0.0045616551	6.603816491799999	0.5546567814	19.5830258191	0.9063019314	26.1887045988	1.4655203679	0.0001	0.19998	0.79992
VETTIZ	0.0018622879	0.0074491516	8.3953646297	0.4846669364	18.0198314004	0.756103442	26.417058318000002	1.24821953	0.0001	0.249975	0.749925
VETTIZ	0.0288654626	0.0340345535	5.432075390700001	0.3640087062	19.9317082834	0.29913992289999997	25.3926491367	0.6971831826	0.001	0.1665	0.8325
VETTIZ	0.0391080461	0.0172701476	6.6440927613	0.4235153539	19.2003892571	0.7340656429000001	25.883590064499998	1.1748511444	0.001	0.1998	0.7992
VETTIZ	0.0335211824	0.0345402952	8.075392043899999	0.8145439721	17.6182588994	0.5577943567	25.7271721257	1.406878624	0.001	0.24975	0.74925
VETTIZ	0.0912521076	0.0182466205	5.4604179508	0.2889230305	20.1648162231	2.0473692648	25.7164862815	2.3545389158	0.002	0.16633333333333333	0.8316666666666667
VETTIZ	0.08938981970000001	0.0091233103	6.6821314603	0.3728806838	19.949991259100003	0.792414622	26.721512539099997	1.1744186161	0.002	0.1996	0.7984
VETTIZ	0.061455500999999996	0.0345402952	8.2200882715	0.5545966001	17.9355991197	0.9226500152	26.2171428922	1.5117869105000001	0.002	0.2495	0.7484999999999999
VETTIZ	0.1070815548	0.0372457582	5.5126279298	0.39645360840000005	19.7606318684	1.2207070299	25.380341353000002	1.6544063965	0.003	0.16616666666666666	0.8308333333333333
VETTIZ	0.1154618504	0.0123530205	6.787297275299999	0.5579487793	19.1768825742	0.9961354443000001	26.079641699899998	1.5664372441	0.003	0.1994	0.7976
VETTIZ	0.1173241383	0.0278721733	8.2200882715	0.3227208018	18.1595655715	0.9908740818999999	26.496977981300002	1.341467057	0.003	0.24925	0.74775
VETTIZ	0.1666747679	0.0369653595	5.5514124857	0.2250758196	20.0446709545	2.2687358371	25.7627582081	2.5307770162	0.004	0.166	0.8300000000000001
VETTIZ	0.1396715932	0.061483710999999996	6.5888993549	0.2352182275	19.6731347706	1.1480084804000001	26.4017057187	1.4447104189	0.004	0.1992	0.7968
VETTIZ	0.1359470174	0.018055551200000002	8.193983282	0.5169686534000001	17.769746412	1.3788781691999998	26.099676711399997	1.9139023738	0.004	0.249	0.747
VETTIZ	0.1899533668	0.0714982753	5.538732919299999	0.5440237072999999	20.032264649600002	0.7780452984	25.760950935700002	1.393567281	0.005	0.16583333333333333	0.8291666666666666
VETTIZ	0.18529764699999998	0.0405448777	6.467324689400001	0.5644002771	18.7844515609	0.871960217	25.4370738973	1.4769053718	0.005	0.19899999999999998	0.7959999999999999
VETTIZ	0.1759862075	0.0559926522	8.2887071011	0.6400929351	17.5105199357	1.1348992573	25.975213244299997	1.8309848446	0.005	0.24875	0.74625
VETTIZ	0.247684292	0.063262992	5.4977107929999995	0.24454097019999999	19.3721186356	1.6845524756999999	25.117513720599998	1.9923564378999998	0.006	0.16566666666666666	0.8283333333333333
VETTIZ	0.23744170850000001	0.0805318409	6.8432365385	0.6325112301	19.2291196475	0.8064391623	26.309797894499997	1.5194822333000002	0.006	0.1988	0.7952
VETTIZ	0.226267981	0.035627665499999996	8.1089556018	0.5583594125	18.016566583299998	0.6616243444	26.351790166100002	1.2556114224	0.006	0.2485	0.7455
VETTIZ	0.2653760271	0.038617224	5.6177937448	0.315933549	19.944767551800002	0.5768738699	25.8279373237	0.9314246429	0.006999999999999999	0.1655	0.8275
VETTIZ	0.2728251788	0.07826041980000001	6.522518095800001	0.6079350977	18.870642731900002	1.7085645928	25.665986006500003	2.3947601103	0.006999999999999999	0.1986	0.7944
VETTIZ	0.2597891634	0.0727008197	8.1544528693	0.2289962715	17.914051327	0.8175352306	26.328293359699998	1.1192323218	0.006999999999999999	0.24825	0.74475
VETTIZ	0.310070937	0.0838236455	5.564092052	0.4053236163	20.098213954600002	0.6281087222	25.9723769436	1.117255984	0.008	0.16533333333333333	0.8266666666666667
VETTIZ	0.29982835350000003	0.0365881521	6.467324689400001	0.3686193247	18.8758664392	0.9176735866	25.6430194821	1.3228810634000001	0.008	0.1984	0.7936
VETTIZ	0.2774808985	0.06520667549999999	8.2931822422	0.4209276648	17.9499643149	0.8727949759	26.5206274556	1.3589293162	0.008	0.248	0.7440000000000001
VETTIZ	0.3491789831	0.0542945561	5.7125175639	0.5599870133	20.0583831862	0.6243286409000001	26.1200797332	1.2386102103	0.009000000000000001	0.16516666666666666	0.8258333333333333
VETTIZ	0.3221758084	0.08663142380000001	6.4427114136000005	0.2698559123	19.1716588668	0.2598564701	25.9365460888	0.6163438062	0.009000000000000001	0.1982	0.7928
VETTIZ	0.3016906414	0.049412082	8.2387346926	0.4326072568	17.5503507041	1.5365970415999999	26.0907760381	2.0186163804	0.009000000000000001	0.24775	0.74325
VETTIZ	0.3799067336	0.077369042	5.326163719	0.5093366769	19.2030011108	0.4909208078	24.9090715634	1.0776265267	0.01	0.165	0.8250000000000001
VETTIZ	0.3659395742	0.0458440667	6.607545776	0.4295358414	18.6858540851	1.4652161519999998	25.6593394353	1.9405960600999999	0.01	0.198	0.792
VETTIZ	0.35011012700000005	0.1032520672	8.3356960822	0.5490924934	17.7912942047	1.1540773266	26.477100413899997	1.8064218872	0.01	0.2475	0.7424999999999999
VETTIZ	0.45719168179999997	0.11086480060000001	5.3664399885	0.3628576296	19.525565038499998	1.1778099008	25.3491967088	1.6515323309999999	0.012	0.16466666666666666	0.8233333333333333
VETTIZ	0.4562605379	0.058595521100000006	6.433015274600001	0.4936422964	18.8125289878	2.0194265777	25.701804800300003	2.5716643952	0.012	0.1976	0.7904
VETTIZ	0.44788024229999995	0.1005290544	8.074646187	0.5687206117	17.9493113515	0.7880421755	26.471837780799998	1.4572918416	0.012	0.247	0.741
VETTIZ	0.5093357433	0.0303729966	5.5887053279	0.4667800717	19.6411395632	0.959762937	25.7391806344	1.4569160053	0.013999999999999999	0.16433333333333333	0.8216666666666667
VETTIZ	0.5177160389	0.1139501087	6.5866617844	0.2068270575	18.9098205369	0.8538305031	26.014198360199998	1.1746076693	0.013999999999999999	0.1972	0.7888
VETTIZ	0.5270274784000001	0.0806179252	8.1305854503	0.19134680760000003	17.1781615568	0.5320526063000001	25.835774485500004	0.8040173391	0.013999999999999999	0.2465	0.7395
VETTIZ	0.576378108	0.0844008933	5.2664951715	0.2792095941	19.4047668065	1.6553291009	25.247640086	2.0189395883000003	0.016	0.16399999999999998	0.8200000000000001
VETTIZ	0.5661355245	0.0590671225	6.522518095800001	0.5664781498	18.4566639259	1.8615042228	25.5453175462	2.4870494951	0.016	0.1968	0.7872
VETTIZ	0.6052435706	0.0552443871	8.3521049328	0.3593637037	17.9963247174	1.6948263895	26.9536732208	2.1094344803	0.016	0.24600000000000002	0.738
VETTIZ	0.6434204728	0.0618773008	5.3246720053	0.334702791	19.4563509163	1.2897083742	25.4244433944	1.686288466	0.018000000000000002	0.16366666666666665	0.8183333333333332
VETTIZ	0.7151185573000001	0.1274817351	6.2808604786	0.7090804170999999	18.4860472797	1.5899432593	25.4820263156	2.4265054115	0.018000000000000002	0.1964	0.7856
VETTIZ	0.7151185573000001	0.0804456645	7.9292041026	0.6943186123	17.482442508800002	0.9838873904000001	26.1267651687	1.7586516671999999	0.018000000000000002	0.2455	0.7364999999999999
VETTIZ	0.7495708836	0.077234448	5.3671858454	0.5078929139	19.4348031236	1.0878252935	25.551559852600004	1.6729526553999998	0.02	0.16333333333333333	0.8166666666666667
VETTIZ	0.7719183384999999	0.09826105869999999	6.6500596161	0.42636402659999995	18.7851045244	1.0229950982	26.207082479	1.5476201834999999	0.02	0.196	0.784
VETTIZ	0.7784363462	0.1714316691	8.1686241493	0.31544013379999997	17.638500765299998	1.0373909912000001	26.5855612608	1.5242627941	0.02	0.245	0.735
VETTIZ	1.1378579128	0.11026883330000001	5.3216885779	0.27859525329999996	18.7962049024	1.4793989680000001	25.2557513931	1.8682630546	0.03	0.16166666666666665	0.8083333333333332
VETTIZ	1.1061990183	0.0954320349	6.333816314400001	0.22556960239999999	18.6283933044	1.9021997733000002	26.0684086371	2.2232014106	0.03	0.19399999999999998	0.7759999999999999
VETTIZ	1.0801269876000001	0.1002872731	7.8046460097	0.3280210222	17.2323575203	1.640627725	26.117130517600003	2.0689360203000002	0.03	0.2425	0.7275
VETTIZ	1.4358239783000002	0.1202005505	5.3097548684	0.1000004625	19.1775355376	2.0718643412	25.9231143843	2.2920653542	0.04	0.16	0.8
VETTIZ	1.4991417672999998	0.08675143960000001	6.3084571818	0.5091225588	18.393979438	0.9430473731	26.2015783871	1.5389213715	0.04	0.192	0.768
